Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,141.02,142.27,140.765,141.73,457417.0,0.0,1.0,141.02,142.27,140.765,141.73,457417.0
2015-04-15,143.0,143.0,140.84,141.28,702031.0,0.0,1.0,143.0,143.0,140.84,141.28,702031.0
2015-04-14,143.01,143.65,141.2916,142.75,622089.0,0.0,1.0,143.01,143.65,141.2916,142.75,622089.0
2015-04-13,141.99,145.87,141.79,143.1,918587.0,0.0,1.0,141.99,145.87,141.79,143.1,918587.0
2015-04-10,140.0,142.0,139.364,141.68,1041674.0,0.0,1.0,140.0,142.0,139.364,141.68,1041674.0
2015-04-09,138.91,140.0,137.7,139.37,802336.0,0.0,1.0,138.91,140.0,137.7,139.37,802336.0
2015-04-08,139.15,140.56,138.04,139.02,995167.0,0.0,1.0,139.15,140.56,138.04,139.02,995167.0
2015-04-07,139.98,141.0845,138.7216,138.75,1007219.0,0.0,1.0,139.98,141.0845,138.7216,138.75,1007219.0
2015-04-06,140.24,140.63,139.2514,139.85,894542.0,0.0,1.0,140.24,140.63,139.2514,139.85,894542.0
2015-04-02,141.31,142.05,139.89,140.61,839322.0,0.0,1.0,141.31,142.05,139.89,140.61,839322.0
2015-04-01,142.06,142.23,138.91,140.7,966090.0,0.0,1.0,142.06,142.23,138.91,140.7,966090.0
2015-03-31,143.15,144.11,142.21,142.46,716720.0,0.0,1.0,143.15,144.11,142.21,142.46,716720.0
2015-03-30,144.87,145.227,143.89,144.14,605239.0,0.0,1.0,144.87,145.227,143.89,144.14,605239.0
2015-03-27,141.97,144.17,141.91,143.68,727430.0,0.0,1.0,141.97,144.17,141.91,143.68,727430.0
2015-03-26,140.77,142.8,138.13,141.9,1046000.0,0.0,1.0,140.77,142.8,138.13,141.9,1046000.0
2015-03-25,146.55,147.88,142.07,142.25,1294165.0,0.0,1.0,146.55,147.88,142.07,142.25,1294165.0
2015-03-24,146.48,147.95,145.32,145.8,818175.0,0.0,1.0,146.48,147.95,145.32,145.8,818175.0
2015-03-23,146.91,147.52,145.75,146.1,698856.0,0.0,1.0,146.91,147.52,145.75,146.1,698856.0
2015-03-20,149.79,150.41,146.71,146.77,1734421.0,0.0,1.0,149.79,150.41,146.71,146.77,1734421.0
2015-03-19,147.27,149.32,147.26,148.94,879532.0,0.0,1.0,147.27,149.32,147.26,148.94,879532.0
2015-03-18,148.0,149.95,147.55,148.38,1334032.0,0.0,1.0,148.0,149.95,147.55,148.38,1334032.0
2015-03-17,147.5,148.76,146.53,148.1,1133117.0,0.0,1.0,147.5,148.76,146.53,148.1,1133117.0
2015-03-16,137.0,149.71,137.0,148.64,2947640.0,0.0,1.0,137.0,149.71,137.0,148.64,2947640.0
2015-03-13,136.85,137.34,134.39,135.35,1049047.0,0.0,1.0,136.85,137.34,134.39,135.35,1049047.0
2015-03-12,135.06,137.42,134.725,137.0,1160446.0,0.0,1.0,135.06,137.42,134.725,137.0,1160446.0
2015-03-11,134.0,136.0,133.65,134.71,948338.0,0.0,1.0,134.0,136.0,133.65,134.71,948338.0
2015-03-10,132.89,133.88,132.01,133.65,963975.0,0.0,1.0,132.89,133.88,132.01,133.65,963975.0
2015-03-09,133.43,134.46,132.43,133.9,1915238.0,0.0,1.0,133.43,134.46,132.43,133.9,1915238.0
2015-03-06,135.23,136.0,132.59,133.0,825180.0,0.0,1.0,135.23,136.0,132.59,133.0,825180.0
2015-03-05,135.6,136.95,135.12,135.65,679447.0,0.0,1.0,135.6,136.95,135.12,135.65,679447.0
2015-03-04,133.89,136.61,133.55,135.76,606344.0,0.0,1.0,133.89,136.61,133.55,135.76,606344.0
2015-03-03,135.78,136.1,133.76,134.58,736550.0,0.0,1.0,135.78,136.1,133.76,134.58,736550.0
2015-03-02,132.62,136.06,132.61,135.85,1173405.0,0.0,1.0,132.62,136.06,132.61,135.85,1173405.0
2015-02-27,134.4,135.16,133.02,133.02,1169215.0,0.0,1.0,134.4,135.16,133.02,133.02,1169215.0
2015-02-26,134.22,135.5,133.97,134.9,628491.0,0.0,1.0,134.22,135.5,133.97,134.9,628491.0
2015-02-25,133.66,134.98,133.55,134.05,672406.0,0.0,1.0,133.66,134.98,133.55,134.05,672406.0
2015-02-24,133.86,134.97,133.34,133.99,691209.0,0.0,1.0,133.86,134.97,133.34,133.99,691209.0
2015-02-23,134.46,134.88,133.6,134.25,601209.0,0.0,1.0,134.46,134.88,133.6,134.25,601209.0
2015-02-20,133.75,134.62,131.94,134.46,754460.0,0.0,1.0,133.75,134.62,131.94,134.46,754460.0
2015-02-19,134.06,134.98,133.51,133.72,678467.0,0.0,1.0,134.06,134.98,133.51,133.72,678467.0
2015-02-18,133.24,134.747,133.0,134.22,925013.0,0.0,1.0,133.24,134.747,133.0,134.22,925013.0
2015-02-17,134.09,134.67,132.05,133.04,661378.0,0.0,1.0,134.09,134.67,132.05,133.04,661378.0
2015-02-13,132.39,134.23,131.25,134.23,1067011.0,0.0,1.0,132.39,134.23,131.25,134.23,1067011.0
2015-02-12,132.38,132.87,130.5601,132.34,718041.0,0.0,1.0,132.38,132.87,130.5601,132.34,718041.0
2015-02-11,129.58,131.86,129.36,131.59,916763.0,0.0,1.0,129.58,131.86,129.36,131.59,916763.0
2015-02-10,129.56,131.1,129.26,130.07,892671.0,0.0,1.0,129.56,131.1,129.26,130.07,892671.0
2015-02-09,132.64,132.82,127.71,128.08,1090218.0,0.0,1.0,132.64,132.82,127.71,128.08,1090218.0
2015-02-06,134.09,136.75,131.95,132.62,1300097.0,0.0,1.0,134.09,136.75,131.95,132.62,1300097.0
2015-02-04,129.04,137.58,128.52,134.85,2063861.0,0.0,1.0,129.04,137.58,128.52,134.85,2063861.0
2015-02-03,126.86,127.519,123.97,127.0,1398885.0,0.0,1.0,126.86,127.519,123.97,127.0,1398885.0
2015-02-02,125.84,127.39,124.56,125.48,1535452.0,0.0,1.0,125.84,127.39,124.56,125.48,1535452.0
2015-01-30,128.51,128.96,124.69,125.35,2080636.0,0.0,1.0,128.51,128.96,124.69,125.35,2080636.0
2015-01-29,128.92,129.62,127.81,129.28,781068.0,0.0,1.0,128.92,129.62,127.81,129.28,781068.0
2015-01-28,129.99,131.1,128.75,128.87,628799.0,0.0,1.0,129.99,131.1,128.75,128.87,628799.0
2015-01-26,129.5,130.38,128.82,130.14,998880.0,0.0,1.0,129.5,130.38,128.82,130.14,998880.0
2015-01-23,130.62,130.88,129.5,129.63,769960.0,0.0,1.0,130.62,130.88,129.5,129.63,769960.0
2015-01-22,129.77,130.88,127.56,130.34,1161344.0,0.0,1.0,129.77,130.88,127.56,130.34,1161344.0
2015-01-21,128.06,129.45,127.54,128.88,887368.0,0.0,1.0,128.06,129.45,127.54,128.88,887368.0
2015-01-20,130.59,131.88,128.02,128.46,979106.0,0.0,1.0,130.59,131.88,128.02,128.46,979106.0
2015-01-15,132.64,133.12,128.47,128.59,1272983.0,0.0,1.0,132.64,133.12,128.47,128.59,1272983.0
2015-01-14,131.09,133.06,131.02,131.67,776804.0,0.0,1.0,131.09,133.06,131.02,131.67,776804.0
2015-01-13,136.49,137.19,132.6401,133.62,746415.0,0.0,1.0,136.49,137.19,132.6401,133.62,746415.0
2015-01-12,133.8,136.28,132.85,135.29,1133751.0,0.0,1.0,133.8,136.28,132.85,135.29,1133751.0
2015-01-08,130.92,133.47,130.56,133.15,1157513.0,0.0,1.0,130.92,133.47,130.56,133.15,1157513.0
2015-01-06,126.94,128.82,125.41,127.02,830449.0,0.0,1.0,126.94,128.82,125.41,127.02,830449.0
2015-01-05,127.31,129.22,126.5,127.78,638101.0,0.0,1.0,127.31,129.22,126.5,127.78,638101.0
2015-01-02,128.17,129.81,126.61,127.72,606809.0,0.0,1.0,128.17,129.81,126.61,127.72,606809.0
2014-12-31,129.66,130.6,127.2,127.38,416549.0,0.0,1.0,129.66,130.6,127.2,127.38,416549.0
2014-12-30,129.47,130.69,129.11,129.27,403492.0,0.0,1.0,129.47,130.69,129.11,129.27,403492.0
2014-12-26,131.15,131.24,129.56,129.9,256715.0,0.0,1.0,131.15,131.24,129.56,129.9,256715.0
2014-12-24,130.05,131.56,129.6201,130.75,247866.0,0.0,1.0,130.05,131.56,129.6201,130.75,247866.0
2014-12-23,133.47,133.3199,128.45,129.58,645033.0,0.0,1.0,133.47,133.3199,128.45,129.58,645033.0
2014-12-22,133.43,134.2399,131.5,132.47,706449.0,0.0,1.0,133.43,134.2399,131.5,132.47,706449.0
2014-12-19,131.94,133.75,131.73,133.21,1533515.0,0.0,1.0,131.94,133.75,131.73,133.21,1533515.0
2014-12-18,131.0,131.43,129.89,131.4,1288769.0,0.0,1.0,131.0,131.43,129.89,131.4,1288769.0
2014-12-17,126.17,130.01,125.62,129.74,1302908.0,0.0,1.0,126.17,130.01,125.62,129.74,1302908.0
2014-12-16,126.45,128.57,125.34,125.44,1063595.0,0.0,1.0,126.45,128.57,125.34,125.44,1063595.0
2014-12-15,130.03,130.09,126.73,127.01,1574419.0,0.0,1.0,130.03,130.09,126.73,127.01,1574419.0
2014-12-10,133.57,133.95,130.11,130.37,920149.0,0.0,1.0,133.57,133.95,130.11,130.37,920149.0
2014-12-09,131.02,133.999,131.01,133.48,1389055.0,0.0,1.0,131.02,133.999,131.01,133.48,1389055.0
2014-12-05,130.0,130.12,129.44,129.71,1269859.0,0.0,1.0,130.0,130.12,129.44,129.71,1269859.0
2014-12-04,131.59,132.0,129.785,130.0,825260.0,0.0,1.0,131.59,132.0,129.785,130.0,825260.0
2014-12-02,130.1,132.6,129.4,132.4,826884.0,0.0,1.0,130.1,132.6,129.4,132.4,826884.0
2014-12-01,129.57,131.07,128.3,129.39,612443.0,0.0,1.0,129.57,131.07,128.3,129.39,612443.0
2014-11-28,129.75,131.27,129.09,129.68,307464.0,0.0,1.0,129.75,131.27,129.09,129.68,307464.0
2014-11-26,127.53,129.27,127.215,129.16,666585.0,0.0,1.0,127.53,129.27,127.215,129.16,666585.0
2014-11-25,127.64,128.9,127.32,127.57,912011.0,0.0,1.0,127.64,128.9,127.32,127.57,912011.0
2014-11-24,124.72,127.97,123.84,127.52,1536763.0,0.0,1.0,124.72,127.97,123.84,127.52,1536763.0
2014-11-21,126.2,126.9,123.24,123.5,992850.0,0.0,1.0,126.2,126.9,123.24,123.5,992850.0
2014-11-20,124.47,125.48,122.9,125.39,549071.0,0.0,1.0,124.47,125.48,122.9,125.39,549071.0
2014-11-19,126.91,127.48,124.93,125.59,761212.0,0.0,1.0,126.91,127.48,124.93,125.59,761212.0
2014-11-18,126.15,127.96,126.05,127.88,484041.0,0.0,1.0,126.15,127.96,126.05,127.88,484041.0
2014-11-17,124.47,126.618,124.35,126.23,700759.0,0.0,1.0,124.47,126.618,124.35,126.23,700759.0
2014-11-14,124.18,124.94,123.26,124.5,786331.0,0.0,1.0,124.18,124.94,123.26,124.5,786331.0
2014-11-13,122.91,124.864,122.91,124.55,741002.0,0.0,1.0,122.91,124.864,122.91,124.55,741002.0
2014-11-12,124.59,124.59,122.44,122.95,995909.0,0.0,1.0,124.59,124.59,122.44,122.95,995909.0
2014-11-11,124.98,125.35,124.16,124.79,423230.0,0.0,1.0,124.98,125.35,124.16,124.79,423230.0
2014-11-10,122.76,124.6,122.73,124.6,682483.0,0.0,1.0,122.76,124.6,122.73,124.6,682483.0
2014-11-07,122.61,123.34,121.93,122.76,1043722.0,0.0,1.0,122.61,123.34,121.93,122.76,1043722.0
2014-11-06,121.18,123.68,120.5805,123.57,789582.0,0.0,1.0,121.18,123.68,120.5805,123.57,789582.0
2014-11-04,120.2,120.83,119.31,119.78,855932.0,0.0,1.0,120.2,120.83,119.31,119.78,855932.0
2014-11-03,120.84,121.03,119.765,119.93,812301.0,0.0,1.0,120.84,121.03,119.765,119.93,812301.0
2014-10-31,120.88,122.0,120.29,120.92,650777.0,0.0,1.0,120.88,122.0,120.29,120.92,650777.0
2014-10-30,119.52,120.51,119.06,120.28,659597.0,0.0,1.0,119.52,120.51,119.06,120.28,659597.0
2014-10-29,118.38,120.12,118.01,120.0,1387184.0,0.0,1.0,118.38,120.12,118.01,120.0,1387184.0
2014-10-28,117.02,118.84,116.03,118.28,978825.0,0.0,1.0,117.02,118.84,116.03,118.28,978825.0
2014-10-27,116.62,117.5,115.56,117.02,1380952.0,0.0,1.0,116.62,117.5,115.56,117.02,1380952.0
2014-10-24,113.78,117.94,113.22,116.76,2818492.0,0.0,1.0,113.78,117.94,113.22,116.76,2818492.0
2014-10-23,105.78,107.87,104.44,105.19,1310543.0,0.0,1.0,105.78,107.87,104.44,105.19,1310543.0
2014-10-22,106.22,106.66,104.392,105.26,834541.0,0.0,1.0,106.22,106.66,104.392,105.26,834541.0
2014-10-21,102.27,106.17,102.27,105.81,871992.0,0.0,1.0,102.27,106.17,102.27,105.81,871992.0
2014-10-20,99.07,101.92,98.6901,101.87,901739.0,0.0,1.0,99.07,101.92,98.6901,101.87,901739.0
2014-10-17,98.89,100.43,98.3,99.0,1160631.0,0.0,1.0,98.89,100.43,98.3,99.0,1160631.0
2014-10-16,98.18,99.08,97.07,98.03,1258088.0,0.0,1.0,98.18,99.08,97.07,98.03,1258088.0
2014-10-15,101.12,101.75,98.8752,100.01,1308290.0,0.0,1.0,101.12,101.75,98.8752,100.01,1308290.0
2014-10-14,104.14,104.96,101.83,102.47,1122510.0,0.0,1.0,104.14,104.96,101.83,102.47,1122510.0
2014-10-13,104.69,105.484,103.22,103.33,708292.0,0.0,1.0,104.69,105.484,103.22,103.33,708292.0
2014-10-10,106.03,107.4499,104.55,104.59,714471.0,0.0,1.0,106.03,107.4499,104.55,104.59,714471.0
2014-10-09,106.96,108.0475,105.6,105.67,802492.0,0.0,1.0,106.96,108.0475,105.6,105.67,802492.0
2014-10-08,106.25,106.79,105.66,106.69,850434.0,0.0,1.0,106.25,106.79,105.66,106.69,850434.0
2014-10-07,106.46,106.82,105.7201,106.01,725081.0,0.0,1.0,106.46,106.82,105.7201,106.01,725081.0
2014-10-06,107.04,108.73,106.63,106.91,861537.0,0.0,1.0,107.04,108.73,106.63,106.91,861537.0
2014-10-03,104.94,106.49,104.62,106.18,707368.0,0.0,1.0,104.94,106.49,104.62,106.18,707368.0
2014-10-01,102.27,103.67,101.76,103.39,988954.0,0.0,1.0,102.27,103.67,101.76,103.39,988954.0
2014-09-30,103.42,103.57,102.13,102.15,456568.0,0.0,1.0,103.42,103.57,102.13,102.15,456568.0
2014-09-29,102.35,103.37,102.071,103.17,539373.0,0.0,1.0,102.35,103.37,102.071,103.17,539373.0
2014-09-26,102.79,103.0,102.25,102.75,522147.0,0.0,1.0,102.79,103.0,102.25,102.75,522147.0
2014-09-25,103.65,104.14,102.65,102.65,553486.0,0.0,1.0,103.65,104.14,102.65,102.65,553486.0
2014-09-24,103.03,103.67,102.6201,103.59,575023.0,0.0,1.0,103.03,103.67,102.6201,103.59,575023.0
2014-09-23,103.03,104.14,102.6,103.19,658082.0,0.0,1.0,103.03,104.14,102.6,103.19,658082.0
