Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,46.62,46.85,46.33,46.4,776041.0,0.0,1.0,46.62,46.85,46.33,46.4,776041.0
2015-04-15,46.75,47.0,46.26,46.69,965956.0,0.0,1.0,46.75,47.0,46.26,46.69,965956.0
2015-04-14,46.56,46.85,46.11,46.81,893176.0,0.0,1.0,46.56,46.85,46.11,46.81,893176.0
2015-04-13,46.85,47.32,46.6,46.705,1184047.0,0.0,1.0,46.85,47.32,46.6,46.705,1184047.0
2015-04-10,46.63,46.945,46.53,46.87,645465.0,0.0,1.0,46.63,46.945,46.53,46.87,645465.0
2015-04-09,46.48,46.98,46.36,46.64,610154.0,0.0,1.0,46.48,46.98,46.36,46.64,610154.0
2015-04-08,46.53,46.75,46.24,46.64,991949.0,0.0,1.0,46.53,46.75,46.24,46.64,991949.0
2015-04-07,47.05,47.24,46.45,46.565,1465295.0,0.0,1.0,47.05,47.24,46.45,46.565,1465295.0
2015-04-06,46.64,47.15,46.25,46.91,1195375.0,0.0,1.0,46.64,47.15,46.25,46.91,1195375.0
2015-04-02,47.87,48.22,47.03,47.04,1335945.0,0.0,1.0,47.87,48.22,47.03,47.04,1335945.0
2015-04-01,48.0,48.13,47.43,47.86,880278.0,0.0,1.0,48.0,48.13,47.43,47.86,880278.0
2015-03-31,48.15,48.39,47.94,48.18,628879.0,0.0,1.0,48.15,48.39,47.94,48.18,628879.0
2015-03-30,48.2,48.62,48.0,48.44,864622.0,0.0,1.0,48.2,48.62,48.0,48.44,864622.0
2015-03-27,47.96,48.22,47.83,47.97,693293.0,0.0,1.0,47.96,48.22,47.83,47.97,693293.0
2015-03-26,48.02,48.23,47.73,48.055,853970.0,0.0,1.0,48.02,48.23,47.73,48.055,853970.0
2015-03-25,49.28,49.39,48.16,48.165,1050220.0,0.0,1.0,49.28,49.39,48.16,48.165,1050220.0
2015-03-24,49.06,49.48,49.056,49.32,779493.0,0.0,1.0,49.06,49.48,49.056,49.32,779493.0
2015-03-23,49.37,49.505,49.1,49.16,990164.0,0.0,1.0,49.37,49.505,49.1,49.16,990164.0
2015-03-20,49.12,49.48,48.86,49.27,1437181.0,0.0,1.0,49.12,49.48,48.86,49.27,1437181.0
2015-03-19,49.07,49.25,48.85,48.87,920510.0,0.0,1.0,49.07,49.25,48.85,48.87,920510.0
2015-03-18,48.52,49.29,48.38,49.195,1249187.0,0.0,1.0,48.52,49.29,48.38,49.195,1249187.0
2015-03-17,48.74,49.03,48.51,48.71,844212.0,0.0,1.0,48.74,49.03,48.51,48.71,844212.0
2015-03-16,48.37,49.24,48.19,49.02,1158742.0,0.0,1.0,48.37,49.24,48.19,49.02,1158742.0
2015-03-13,47.97,48.57,47.86,48.04,954848.0,0.0,1.0,47.97,48.57,47.86,48.04,954848.0
2015-03-12,47.75,48.38,47.63,48.26,1059808.0,0.0,1.0,47.75,48.38,47.63,48.26,1059808.0
2015-03-11,47.22,48.01,47.07,47.58,1802375.0,0.0,1.0,47.22,48.01,47.07,47.58,1802375.0
2015-03-10,47.38,47.57,47.2,47.21,1152870.0,0.0,1.0,47.38,47.57,47.2,47.21,1152870.0
2015-03-09,47.73,48.03,47.57,47.83,1139244.0,0.0,1.0,47.73,48.03,47.57,47.83,1139244.0
2015-03-06,47.52,47.83,47.17,47.66,1291564.0,0.0,1.0,47.52,47.83,47.17,47.66,1291564.0
2015-03-05,48.1,48.1,47.66,47.97,659439.0,0.0,1.0,48.1,48.1,47.66,47.97,659439.0
2015-03-04,47.56,48.09,47.51,47.99,948589.0,0.0,1.0,47.56,48.09,47.51,47.99,948589.0
2015-03-03,47.91,48.13,47.72,48.08,1778949.0,0.0,1.0,47.91,48.13,47.72,48.08,1778949.0
2015-03-02,48.13,48.67,47.94,48.25,1291365.0,0.0,1.0,48.13,48.67,47.94,48.25,1291365.0
2015-02-27,48.88,48.95,48.215,48.3,1299063.0,0.0,1.0,48.88,48.95,48.215,48.3,1299063.0
2015-02-26,48.0,49.02,47.79,48.79,1635957.0,0.0,1.0,48.0,49.02,47.79,48.79,1635957.0
2015-02-25,47.51,48.49,47.5,48.16,1889622.0,0.0,1.0,47.51,48.49,47.5,48.16,1889622.0
2015-02-24,45.6,48.16,45.47,47.875,2763902.0,0.0,1.0,45.6,48.16,45.47,47.875,2763902.0
2015-02-23,45.5,45.65,45.17,45.47,1769631.0,0.0,1.0,45.5,45.65,45.17,45.47,1769631.0
2015-02-20,45.57,45.64,45.25,45.505,985670.0,0.0,1.0,45.57,45.64,45.25,45.505,985670.0
2015-02-19,45.57,46.17,45.46,45.61,777382.0,0.0,1.0,45.57,46.17,45.46,45.61,777382.0
2015-02-18,45.78,45.785,45.3301,45.595,656801.0,0.0,1.0,45.78,45.785,45.3301,45.595,656801.0
2015-02-17,45.64,46.07,45.254,45.86,1019111.0,0.0,1.0,45.64,46.07,45.254,45.86,1019111.0
2015-02-13,45.35,45.855,45.25,45.81,797337.0,0.0,1.0,45.35,45.855,45.25,45.81,797337.0
2015-02-12,45.43,45.43,44.92,45.32,707754.0,0.0,1.0,45.43,45.43,44.92,45.32,707754.0
2015-02-11,44.92,45.27,44.9,45.08,925689.0,0.0,1.0,44.92,45.27,44.9,45.08,925689.0
2015-02-10,44.92,45.12,44.49,44.99,544487.0,0.0,1.0,44.92,45.12,44.49,44.99,544487.0
2015-02-09,44.78,44.99,44.53,44.7,763681.0,0.0,1.0,44.78,44.99,44.53,44.7,763681.0
2015-02-04,44.24,44.305,43.555,44.07,1036284.0,0.0,1.0,44.24,44.305,43.555,44.07,1036284.0
2015-02-03,44.28,44.5,43.8975,44.31,988314.0,0.0,1.0,44.28,44.5,43.8975,44.31,988314.0
2015-02-02,43.8,44.22,43.38,44.03,1254193.0,0.0,1.0,43.8,44.22,43.38,44.03,1254193.0
2015-01-30,44.21,44.79,43.28,43.68,6978903.0,0.0,1.0,44.21,44.79,43.28,43.68,6978903.0
2015-01-29,44.18,44.655,44.01,44.565,1457208.0,0.0,1.0,44.18,44.655,44.01,44.565,1457208.0
2015-01-28,44.96,45.47,44.21,44.33,1317063.0,0.0,1.0,44.96,45.47,44.21,44.33,1317063.0
2015-01-26,44.54,45.5,44.54,45.24,1586972.0,0.0,1.0,44.54,45.5,44.54,45.24,1586972.0
2015-01-23,44.29,44.59,44.0,44.29,914722.0,0.0,1.0,44.29,44.59,44.0,44.29,914722.0
2015-01-22,43.68,44.77,43.49,44.76,1283397.0,0.0,1.0,43.68,44.77,43.49,44.76,1283397.0
2015-01-21,43.35,43.712,43.109,43.47,805582.0,0.0,1.0,43.35,43.712,43.109,43.47,805582.0
2015-01-20,43.52,43.77,43.02,43.55,670052.0,0.0,1.0,43.52,43.77,43.02,43.55,670052.0
2015-01-15,43.54,43.73,42.95,43.18,807704.0,0.0,1.0,43.54,43.73,42.95,43.18,807704.0
2015-01-14,43.37,43.63,42.85,43.5,737865.0,0.0,1.0,43.37,43.63,42.85,43.5,737865.0
2015-01-13,43.92,44.47,43.33,43.735,925333.0,0.0,1.0,43.92,44.47,43.33,43.735,925333.0
2015-01-12,43.55,43.76,42.91,43.61,1159612.0,0.0,1.0,43.55,43.76,42.91,43.61,1159612.0
2015-01-08,42.95,43.76,42.84,43.72,919250.0,0.0,1.0,42.95,43.76,42.84,43.72,919250.0
2015-01-06,43.02,43.36,42.41,42.55,1128524.0,0.0,1.0,43.02,43.36,42.41,42.55,1128524.0
2015-01-05,44.33,44.38,42.92,43.04,1144959.0,0.0,1.0,44.33,44.38,42.92,43.04,1144959.0
2015-01-02,44.99,44.99,43.77,44.42,1126229.0,0.0,1.0,44.99,44.99,43.77,44.42,1126229.0
2014-12-31,44.91,45.19,44.61,44.61,888064.0,0.0,1.0,44.91,45.19,44.61,44.61,888064.0
2014-12-30,44.6,44.855,44.23,44.66,674744.0,0.0,1.0,44.6,44.855,44.23,44.66,674744.0
2014-12-26,44.84,45.0599,44.63,44.72,366820.0,0.0,1.0,44.84,45.0599,44.63,44.72,366820.0
2014-12-24,44.78,45.13,44.69,44.76,418114.0,0.0,1.0,44.78,45.13,44.69,44.76,418114.0
2014-12-23,44.82,44.93,44.41,44.58,698175.0,0.0,1.0,44.82,44.93,44.41,44.58,698175.0
2014-12-22,43.8,44.54,43.72,44.52,1244939.0,0.0,1.0,43.8,44.54,43.72,44.52,1244939.0
2014-12-19,43.62,44.34,43.62,43.73,3984148.0,0.0,1.0,43.62,44.34,43.62,43.73,3984148.0
2014-12-18,43.65,43.76,43.38,43.71,1450378.0,0.0,1.0,43.65,43.76,43.38,43.71,1450378.0
2014-12-17,43.5,43.85,41.97,43.275,3670682.0,0.0,1.0,43.5,43.85,41.97,43.275,3670682.0
