Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,16.04,16.09,15.93,15.94,23393346.0,0.0,1.0,16.04,16.09,15.93,15.94,23393346.0
2015-04-15,16.01,16.08,16.0,16.07,25449258.0,0.0,1.0,16.01,16.08,16.0,16.07,25449258.0
2015-04-14,15.9,16.05,15.89,15.97,21388619.0,0.0,1.0,15.9,16.05,15.89,15.97,21388619.0
2015-04-13,16.0,16.08,15.87,15.87,22331548.0,0.0,1.0,16.0,16.08,15.87,15.87,22331548.0
2015-04-10,15.97,16.05,15.95,16.03,17643610.0,0.0,1.0,15.97,16.05,15.95,16.03,17643610.0
2015-04-09,16.0,16.07,15.88,15.95,23379000.0,0.0,1.0,16.0,16.07,15.88,15.95,23379000.0
2015-04-08,15.97,16.09,15.95,15.98,25131714.0,0.0,1.0,15.97,16.09,15.95,15.98,25131714.0
2015-04-07,15.95,15.97,15.78,15.9,26594626.0,0.0,1.0,15.95,15.97,15.78,15.9,26594626.0
2015-04-06,15.95,16.11,15.9,16.0,18455871.0,0.0,1.0,15.95,16.11,15.9,16.0,18455871.0
2015-04-02,15.93,16.04,15.85,16.03,15870422.0,0.0,1.0,15.93,16.04,15.85,16.03,15870422.0
2015-04-01,16.16,16.16,15.85,15.91,27253517.0,0.0,1.0,16.16,16.16,15.85,15.91,27253517.0
2015-03-31,16.12,16.29,16.08,16.14,21758178.0,0.0,1.0,16.12,16.29,16.08,16.14,21758178.0
2015-03-30,16.12,16.28,16.05,16.16,20396335.0,0.0,1.0,16.12,16.28,16.05,16.16,20396335.0
2015-03-27,16.06,16.1,15.85,15.98,53112869.0,0.0,1.0,16.06,16.1,15.85,15.98,53112869.0
2015-03-26,16.11,16.17,15.963,16.01,33305112.0,0.0,1.0,16.11,16.17,15.963,16.01,33305112.0
2015-03-25,16.53,16.55,16.18,16.18,21845718.0,0.0,1.0,16.53,16.55,16.18,16.18,21845718.0
2015-03-24,16.58,16.69,16.47,16.56,16584989.0,0.0,1.0,16.58,16.69,16.47,16.56,16584989.0
2015-03-23,16.47,16.74,16.46,16.57,30662189.0,0.0,1.0,16.47,16.74,16.46,16.57,30662189.0
2015-03-20,16.35,16.54,16.34,16.48,39054007.0,0.0,1.0,16.35,16.54,16.34,16.48,39054007.0
2015-03-19,16.42,16.46,16.28,16.34,17987824.0,0.0,1.0,16.42,16.46,16.28,16.34,17987824.0
2015-03-18,16.31,16.51,16.11,16.46,33678668.0,0.0,1.0,16.31,16.51,16.11,16.46,33678668.0
2015-03-17,16.39,16.49,16.36,16.39,20246046.0,0.0,1.0,16.39,16.49,16.36,16.39,20246046.0
2015-03-16,16.26,16.5,16.24,16.49,37510230.0,0.0,1.0,16.26,16.5,16.24,16.49,37510230.0
2015-03-13,16.16,16.25,16.0,16.2,27690008.0,0.0,1.0,16.16,16.25,16.0,16.2,27690008.0
2015-03-12,15.88,16.23,15.86,16.17,30978489.0,0.0,1.0,15.88,16.23,15.86,16.17,30978489.0
2015-03-11,15.77,15.85,15.7,15.75,20613814.0,0.0,1.0,15.77,15.85,15.7,15.75,20613814.0
2015-03-10,15.94,15.95,15.69,15.72,31687721.0,0.0,1.0,15.94,15.95,15.69,15.72,31687721.0
2015-03-09,15.98,16.1,15.93,16.03,17132373.0,0.0,1.0,15.98,16.1,15.93,16.03,17132373.0
2015-03-06,16.04,16.2,15.91,15.93,24420536.0,0.0,1.0,16.04,16.2,15.91,15.93,24420536.0
2015-03-05,16.09,16.23,16.09,16.11,16548157.0,0.0,1.0,16.09,16.23,16.09,16.11,16548157.0
2015-03-04,16.09,16.14,15.93,16.03,25658290.0,0.0,1.0,16.09,16.14,15.93,16.03,25658290.0
2015-03-03,16.07,16.3,16.06,16.17,37501910.0,0.0,1.0,16.07,16.3,16.06,16.17,37501910.0
2015-03-02,16.41,16.59,16.405,16.57,26338280.0,0.0,1.0,16.41,16.59,16.405,16.57,26338280.0
2015-02-27,16.38,16.4,16.22,16.34,20310200.0,0.0,1.0,16.38,16.4,16.22,16.34,20310200.0
2015-02-26,16.4,16.57,16.37,16.38,20778280.0,0.0,1.0,16.4,16.57,16.37,16.38,20778280.0
2015-02-25,16.34,16.62,16.34,16.51,23319470.0,0.0,1.0,16.34,16.62,16.34,16.51,23319470.0
2015-02-24,16.36,16.42,16.28,16.36,17666506.0,0.0,1.0,16.36,16.42,16.28,16.36,17666506.0
2015-02-23,16.32,16.45,16.29,16.38,18964384.0,0.0,1.0,16.32,16.45,16.29,16.38,18964384.0
2015-02-20,16.4,16.46,16.25,16.4,21410740.0,0.0,1.0,16.4,16.46,16.25,16.4,21410740.0
2015-02-19,16.19,16.48,16.17,16.43,24830710.0,0.0,1.0,16.19,16.48,16.17,16.43,24830710.0
2015-02-18,16.11,16.33,16.06,16.21,22393377.0,0.0,1.0,16.11,16.33,16.06,16.21,22393377.0
2015-02-17,16.195,16.3,16.0,16.11,44323538.0,0.0,1.0,16.195,16.3,16.0,16.11,44323538.0
2015-02-13,16.28,16.36,16.19,16.3,19923487.0,0.0,1.0,16.28,16.36,16.19,16.3,19923487.0
2015-02-12,16.33,16.45,16.3,16.36,23668768.0,0.0,1.0,16.33,16.45,16.3,16.36,23668768.0
