Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,14.46,14.58,14.345,14.55,2418330.0,0.0,1.0,14.46,14.58,14.345,14.55,2418330.0
2015-04-15,14.32,14.61,14.27,14.5,1630101.0,0.0,1.0,14.32,14.61,14.27,14.5,1630101.0
2015-04-14,14.35,14.44,14.23,14.31,1430963.0,0.0,1.0,14.35,14.44,14.23,14.31,1430963.0
2015-04-13,14.37,14.47,14.31,14.44,1241885.0,0.0,1.0,14.37,14.47,14.31,14.44,1241885.0
2015-04-10,14.28,14.37,14.14,14.35,1791148.0,0.0,1.0,14.28,14.37,14.14,14.35,1791148.0
2015-04-09,14.24,14.31,14.1,14.29,1453075.0,0.0,1.0,14.24,14.31,14.1,14.29,1453075.0
2015-04-08,14.25,14.32,14.19,14.25,1127077.0,0.0,1.0,14.25,14.32,14.19,14.25,1127077.0
2015-04-07,14.29,14.39,14.23,14.24,964394.0,0.0,1.0,14.29,14.39,14.23,14.24,964394.0
2015-04-06,14.2,14.35,14.03,14.28,1825216.0,0.0,1.0,14.2,14.35,14.03,14.28,1825216.0
2015-04-02,14.27,14.4,14.24,14.36,1003599.0,0.0,1.0,14.27,14.4,14.24,14.36,1003599.0
2015-04-01,14.25,14.34,14.16,14.27,1551600.0,0.0,1.0,14.25,14.34,14.16,14.27,1551600.0
2015-03-31,14.29,14.33,14.19,14.29,1864598.0,0.0,1.0,14.29,14.33,14.19,14.29,1864598.0
2015-03-30,14.15,14.45,14.13,14.37,2082330.0,0.0,1.0,14.15,14.45,14.13,14.37,2082330.0
2015-03-27,13.85,14.06,13.7702,14.06,3018985.0,0.0,1.0,13.85,14.06,13.7702,14.06,3018985.0
2015-03-26,13.95,14.0,13.74,13.88,5641597.0,0.0,1.0,13.95,14.0,13.74,13.88,5641597.0
2015-03-25,14.22,14.25,13.95,13.98,1992170.0,0.0,1.0,14.22,14.25,13.95,13.98,1992170.0
2015-03-24,14.32,14.41,14.21,14.23,2531036.0,0.0,1.0,14.32,14.41,14.21,14.23,2531036.0
2015-03-23,14.46,14.5,14.32,14.34,1645766.0,0.0,1.0,14.46,14.5,14.32,14.34,1645766.0
2015-03-20,14.4,14.47,14.27,14.45,3453132.0,0.0,1.0,14.4,14.47,14.27,14.45,3453132.0
2015-03-19,14.47,14.48,14.2,14.26,4436031.0,0.0,1.0,14.47,14.48,14.2,14.26,4436031.0
