Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,34.46,34.59,34.23,34.47,288009.0,0.0,1.0,34.46,34.59,34.23,34.47,288009.0
2015-04-15,34.73,34.84,34.48,34.58,352575.0,0.0,1.0,34.73,34.84,34.48,34.58,352575.0
2015-04-14,34.64,34.8,34.19,34.55,327749.0,0.0,1.0,34.64,34.8,34.19,34.55,327749.0
2015-04-13,34.39,34.81,34.234,34.7,310170.0,0.0,1.0,34.39,34.81,34.234,34.7,310170.0
2015-04-10,34.61,34.77,34.22,34.4,319160.0,0.0,1.0,34.61,34.77,34.22,34.4,319160.0
2015-04-09,34.21,34.65,34.1,34.62,329444.0,0.0,1.0,34.21,34.65,34.1,34.62,329444.0
2015-04-08,34.19,34.29,34.0,34.26,431801.0,0.0,1.0,34.19,34.29,34.0,34.26,431801.0
2015-04-07,34.08,34.26,33.99,34.03,319162.0,0.0,1.0,34.08,34.26,33.99,34.03,319162.0
2015-04-06,33.52,34.05,33.255,34.01,684145.0,0.0,1.0,33.52,34.05,33.255,34.01,684145.0
2015-04-02,33.67,34.01,33.34,33.9,489957.0,0.0,1.0,33.67,34.01,33.34,33.9,489957.0
2015-04-01,33.96,33.97,33.23,33.75,1261483.0,0.0,1.0,33.96,33.97,33.23,33.75,1261483.0
2015-03-31,33.11,33.92,33.08,33.89,691656.0,0.0,1.0,33.11,33.92,33.08,33.89,691656.0
2015-03-30,33.25,33.58,33.06,33.3,460583.0,0.0,1.0,33.25,33.58,33.06,33.3,460583.0
2015-03-27,32.73,32.95,32.54,32.93,320337.0,0.0,1.0,32.73,32.95,32.54,32.93,320337.0
2015-03-26,32.41,32.97,32.23,32.73,309292.0,0.0,1.0,32.41,32.97,32.23,32.73,309292.0
2015-03-25,33.27,33.3933,32.5,32.5,308942.0,0.0,1.0,33.27,33.3933,32.5,32.5,308942.0
2015-03-24,33.71,33.79,33.03,33.18,432439.0,0.0,1.0,33.71,33.79,33.03,33.18,432439.0
2015-03-23,33.68,34.2,33.62,33.8,592274.0,0.0,1.0,33.68,34.2,33.62,33.8,592274.0
2015-03-20,32.97,33.79,32.84,33.61,1920415.0,0.0,1.0,32.97,33.79,32.84,33.61,1920415.0
2015-03-19,32.83,33.01,32.5,32.86,989091.0,0.0,1.0,32.83,33.01,32.5,32.86,989091.0
2015-03-18,33.65,33.88,32.74,32.83,1281934.0,0.0,1.0,33.65,33.88,32.74,32.83,1281934.0
2015-03-17,34.32,34.55,33.7,33.8,700973.0,0.0,1.0,34.32,34.55,33.7,33.8,700973.0
2015-03-16,33.99,34.74,33.82,34.62,481170.0,0.0,1.0,33.99,34.74,33.82,34.62,481170.0
2015-03-13,34.18,34.2,33.54,33.94,377275.0,0.0,1.0,34.18,34.2,33.54,33.94,377275.0
2015-03-12,34.3,34.67,33.94,34.33,400211.0,0.0,1.0,34.3,34.67,33.94,34.33,400211.0
2015-03-11,33.42,34.06,33.29,34.04,513315.0,0.0,1.0,33.42,34.06,33.29,34.04,513315.0
2015-03-10,33.76,33.77,33.075,33.38,622366.0,0.0,1.0,33.76,33.77,33.075,33.38,622366.0
2015-03-09,34.38,34.59,33.33,34.0,673854.0,0.0,1.0,34.38,34.59,33.33,34.0,673854.0
2015-03-06,34.0,34.76,33.74,34.35,859263.0,0.0,1.0,34.0,34.76,33.74,34.35,859263.0
2015-03-05,33.85,34.16,33.48,33.8,869815.0,0.0,1.0,33.85,34.16,33.48,33.8,869815.0
2015-03-04,33.27,33.76,33.27,33.73,591615.0,0.0,1.0,33.27,33.76,33.27,33.73,591615.0
2015-03-03,33.46,33.635,33.195,33.52,426854.0,0.0,1.0,33.46,33.635,33.195,33.52,426854.0
2015-03-02,33.06,33.68,32.99,33.65,719649.0,0.0,1.0,33.06,33.68,32.99,33.65,719649.0
2015-02-27,33.49,33.49,32.855,32.93,827314.0,0.0,1.0,33.49,33.49,32.855,32.93,827314.0
2015-02-26,33.71,33.81,33.34,33.43,843606.0,0.0,1.0,33.71,33.81,33.34,33.43,843606.0
2015-02-25,34.2,34.2,33.52,33.81,836108.0,0.0,1.0,34.2,34.2,33.52,33.81,836108.0
2015-02-24,34.65,34.8,34.01,34.2,1144362.0,0.0,1.0,34.65,34.8,34.01,34.2,1144362.0
2015-02-23,35.135,35.13,34.57,34.71,388421.0,0.0,1.0,35.135,35.13,34.57,34.71,388421.0
2015-02-20,35.05,35.6,34.73,35.32,397276.0,0.0,1.0,35.05,35.6,34.73,35.32,397276.0
2015-02-19,34.73,35.13,34.44,34.95,279950.0,0.0,1.0,34.73,35.13,34.44,34.95,279950.0
2015-02-18,35.06,35.44,34.46,34.79,512272.0,0.0,1.0,35.06,35.44,34.46,34.79,512272.0
2015-02-17,34.89,35.4,34.77,35.34,283741.0,0.0,1.0,34.89,35.4,34.77,35.34,283741.0
2015-02-13,34.71,35.2,34.57,35.09,346725.0,0.0,1.0,34.71,35.2,34.57,35.09,346725.0
2015-02-12,34.75,34.96,34.58,34.89,270775.0,0.0,1.0,34.75,34.96,34.58,34.89,270775.0
2015-02-11,34.4,34.825,34.26,34.64,263582.0,0.0,1.0,34.4,34.825,34.26,34.64,263582.0
2015-02-10,34.46,34.63,34.06,34.58,241978.0,0.0,1.0,34.46,34.63,34.06,34.58,241978.0
2015-02-09,34.195,34.41,33.98,34.14,356653.0,0.0,1.0,34.195,34.41,33.98,34.14,356653.0
2015-02-06,33.97,34.59,33.882,34.43,634828.0,0.0,1.0,33.97,34.59,33.882,34.43,634828.0
2015-02-05,33.32,33.9,33.26,33.62,400386.0,0.0,1.0,33.32,33.9,33.26,33.62,400386.0
2015-02-04,33.0,33.37,32.354,33.14,550187.0,0.0,1.0,33.0,33.37,32.354,33.14,550187.0
2015-02-03,32.27,32.92,32.27,32.9,347846.0,0.0,1.0,32.028385744235,32.67351901767,32.028385744235,32.653668763103,347846.0
2015-02-02,31.8,32.13,31.33,32.12,552390.0,0.0,1.0,31.561904761905,31.889433962264,31.095423779575,31.879508834981,552390.0
2015-01-30,31.83,32.22,31.6,31.61,352988.0,0.0,1.0,31.591680143756,31.978760107817,31.363402216232,31.373327343516,352988.0
2015-01-29,31.38,32.2,31.18,32.19,456723.0,0.0,1.0,31.145049415993,31.958909853249,30.94654687032,31.948984725966,456723.0
2015-01-28,32.25,32.51,31.24,31.36,372771.0,0.0,1.0,32.008535489668,32.266588799042,31.006097634022,31.125199161426,372771.0
2015-01-27,31.76,32.37,31.645,32.25,699206.0,0.0,1.0,31.52220425277,32.127637017071,31.408065289009,32.008535489668,699206.0
2015-01-26,31.87,32.38,31.4,32.37,721458.0,0.0,1.0,31.63138065289,32.137562144355,31.16489967056,32.127637017071,721458.0
2015-01-23,32.39,32.51,31.72,31.78,772823.0,0.0,1.0,32.147487271638,32.266588799042,31.482503743636,31.542054507338,772823.0
2015-01-22,31.71,32.5,31.12,32.36,554875.0,0.0,1.0,31.472578616352,32.256663671758,30.886996106619,32.117711889787,554875.0
2015-01-21,30.97,31.37,30.58,31.33,403753.0,0.0,1.0,30.738119197364,31.135124288709,30.351039233303,31.095423779575,403753.0
2015-01-20,30.96,31.08,30.39,30.97,531488.0,0.0,1.0,30.728194070081,30.847295597484,30.162461814915,30.738119197364,531488.0
2015-01-16,30.81,30.97,30.26,30.93,581577.0,0.0,1.0,30.579317160827,30.738119197364,30.033435160228,30.69841868823,581577.0
2015-01-15,31.38,31.52,30.57,30.65,613355.0,0.0,1.0,31.145049415993,31.284001197963,30.34111410602,30.420515124289,613355.0
2015-01-14,31.24,31.58,30.75,31.41,581527.0,0.0,1.0,31.006097634022,31.343551961665,30.519766397125,31.174824797844,581527.0
2015-01-13,32.15,32.48,31.32,31.81,453084.0,0.0,1.0,31.909284216831,32.236813417191,31.085498652291,31.571829889188,453084.0
2015-01-12,32.27,32.28,31.505,31.68,532788.0,0.0,1.0,32.028385744235,32.038310871518,31.269113507038,31.442803234501,532788.0
2015-01-09,32.83,32.98,31.97,32.19,494609.0,0.0,1.0,32.584192872117,32.733069781372,31.730631925726,31.948984725966,494609.0
2015-01-08,32.67,33.16,32.362,32.89,617302.0,0.0,1.0,32.42539083558,32.911722072477,32.119696915244,32.643743635819,617302.0
2015-01-07,31.88,32.29,31.55,32.27,453896.0,0.0,1.0,31.641305780174,32.048235998802,31.313776579814,32.028385744235,453896.0
2015-01-06,32.31,32.39,31.11,31.51,517036.0,0.0,1.0,32.068086253369,32.147487271638,30.877070979335,31.27407607068,517036.0
2015-01-05,32.63,32.784,32.08,32.27,458025.0,0.0,1.0,32.385690326445,32.538537286613,31.839808325846,32.028385744235,458025.0
2015-01-02,33.25,33.29,32.59,32.96,195037.0,0.0,1.0,33.001048218029,33.040748727164,32.345989817311,32.713219526804,195037.0
2014-12-31,33.24,33.59,32.93,32.93,357848.0,0.0,1.0,32.991123090746,33.338502545672,32.683444144954,32.683444144954,357848.0
2014-12-30,33.26,33.38,32.98,33.19,307394.0,0.0,1.0,33.010973345313,33.130074872716,32.733069781372,32.941497454328,307394.0
2014-12-29,33.41,33.87,33.01,33.25,592331.0,0.0,1.0,33.159850254567,33.616406109614,32.762845163223,33.001048218029,592331.0
