Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,61.2,61.248,59.9,60.12,1377921.0,0.0,1.0,61.2,61.248,59.9,60.12,1377921.0
2015-04-15,59.48,62.26,59.25,61.2,3017492.0,0.0,1.0,59.48,62.26,59.25,61.2,3017492.0
2015-04-14,58.45,59.19,58.23,59.02,947373.0,0.0,1.0,58.45,59.19,58.23,59.02,947373.0
2015-04-13,58.02,58.93,57.95,58.34,1064389.0,0.0,1.0,58.02,58.93,57.95,58.34,1064389.0
2015-04-10,59.18,59.58,58.95,59.13,945774.0,0.0,1.0,59.18,59.58,58.95,59.13,945774.0
2015-04-09,58.77,59.5,58.435,59.14,1251809.0,0.0,1.0,58.77,59.5,58.435,59.14,1251809.0
2015-04-08,59.01,59.44,58.33,58.91,1243321.0,0.0,1.0,59.01,59.44,58.33,58.91,1243321.0
2015-04-07,58.82,59.12,58.13,58.98,1460171.0,0.0,1.0,58.82,59.12,58.13,58.98,1460171.0
2015-04-06,57.49,59.21,57.41,58.9,1249722.0,0.0,1.0,57.49,59.21,57.41,58.9,1249722.0
2015-04-02,56.67,57.91,56.41,57.59,1018154.0,0.0,1.0,56.67,57.91,56.41,57.59,1018154.0
2015-04-01,56.43,57.12,56.22,56.77,1264241.0,0.0,1.0,56.43,57.12,56.22,56.77,1264241.0
2015-03-31,57.69,57.81,57.03,57.16,1425275.0,0.0,1.0,57.69,57.81,57.03,57.16,1425275.0
2015-03-30,57.1,58.23,56.95,57.89,993458.0,0.0,1.0,57.1,58.23,56.95,57.89,993458.0
2015-03-27,57.25,57.25,56.33,56.76,888174.0,0.0,1.0,57.25,57.25,56.33,56.76,888174.0
2015-03-26,57.48,58.43,57.35,57.47,674359.0,0.0,1.0,57.48,58.43,57.35,57.47,674359.0
2015-03-25,58.47,58.488,57.45,57.47,771108.0,0.0,1.0,58.47,58.488,57.45,57.47,771108.0
2015-03-24,57.93,58.36,57.35,58.25,1110142.0,0.0,1.0,57.93,58.36,57.35,58.25,1110142.0
2015-03-23,57.27,58.16,57.17,57.88,1027166.0,0.0,1.0,57.27,58.16,57.17,57.88,1027166.0
2015-03-20,57.17,57.57,57.04,57.29,1770143.0,0.0,1.0,57.17,57.57,57.04,57.29,1770143.0
