Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,59.5,59.59,59.07,59.18,882065.0,0.0,1.0,59.5,59.59,59.07,59.18,882065.0
2015-04-15,58.72,59.89,58.6,59.67,1270720.0,0.0,1.0,58.72,59.89,58.6,59.67,1270720.0
2015-04-14,58.29,58.79,57.95,58.52,1235984.0,0.0,1.0,58.29,58.79,57.95,58.52,1235984.0
2015-04-13,58.22,59.295,58.068,58.71,910591.0,0.0,1.0,58.22,59.295,58.068,58.71,910591.0
2015-04-10,57.56,58.38,57.31,58.38,2573090.0,0.0,1.0,57.56,58.38,57.31,58.38,2573090.0
2015-04-09,57.4,57.46,56.97,57.36,1691499.0,0.0,1.0,57.4,57.46,56.97,57.36,1691499.0
2015-04-08,57.51,57.6985,57.14,57.31,809059.0,0.0,1.0,57.51,57.6985,57.14,57.31,809059.0
2015-04-07,57.21,57.75,57.18,57.26,739449.0,0.0,1.0,57.21,57.75,57.18,57.26,739449.0
2015-04-06,56.54,57.35,56.54,57.17,1526801.0,0.0,1.0,56.54,57.35,56.54,57.17,1526801.0
2015-04-02,56.77,57.1,56.69,56.71,663092.0,0.0,1.0,56.77,57.1,56.69,56.71,663092.0
2015-04-01,57.31,57.39,56.41,57.02,1195458.0,0.0,1.0,57.31,57.39,56.41,57.02,1195458.0
2015-03-31,57.6,57.81,57.1,57.25,1487920.0,0.0,1.0,57.6,57.81,57.1,57.25,1487920.0
2015-03-30,57.24,57.91,57.12,57.8,963775.0,0.0,1.0,57.24,57.91,57.12,57.8,963775.0
2015-03-27,57.62,58.065,56.9,57.02,1331658.0,0.165,1.0,57.62,58.065,56.9,57.02,1331658.0
2015-03-26,57.9,58.34,57.6,58.16,1188916.0,0.0,1.0,57.732936958993,58.171667395296,57.433802570604,57.992186762263,1188916.0
2015-03-25,59.05,59.16,57.96,57.96,833304.0,0.0,1.0,58.879618781149,58.989301390225,57.79276383667,57.79276383667,833304.0
2015-03-24,59.69,59.69,58.9,59.03,849428.0,0.0,1.0,59.517772143045,59.517772143045,58.730051586955,58.85967648859,849428.0
2015-03-23,59.7,60.36,59.43,59.81,891915.0,0.0,1.0,59.527743289324,60.185838943779,59.258522339774,59.6374258984,891915.0
2015-03-20,59.26,59.74,58.7,59.63,1176291.0,0.0,1.0,59.089012853021,59.567627874443,58.530628661362,59.457945265367,1176291.0
2015-03-19,58.94,59.28,58.64,58.95,907759.0,0.0,1.0,58.769936172073,59.10895514558,58.470801783685,58.779907318353,907759.0
2015-03-18,59.03,59.64,58.12,59.2,1323914.0,0.0,1.0,58.85967648859,59.467916411646,57.952302177144,59.029185975343,1323914.0
2015-03-17,59.68,60.24,59.145,59.35,1025666.0,0.0,1.0,59.507800996765,60.066185188424,58.974344670805,59.178753169537,1025666.0
2015-03-16,60.2,60.441,59.64,60.09,942464.0,0.0,1.0,60.026300603305,60.266605228644,59.467916411646,59.916617994229,942464.0
2015-03-13,60.3,60.6,59.88,60.25,886482.0,0.0,1.0,60.126012066101,60.42514645449,59.707223922357,60.076156334703,886482.0
2015-03-12,60.46,60.65,60.03,60.62,643685.0,0.0,1.0,60.285550406575,60.475002185888,59.856791116552,60.445088747049,643685.0
2015-03-11,59.94,60.44,59.77,60.22,569658.0,0.0,1.0,59.767050800035,60.265608114016,59.597541313281,60.046242895864,569658.0
2015-03-10,60.7,61.02,59.83,59.94,1255954.0,0.0,1.0,60.524857917286,60.843934598234,59.657368190959,59.767050800035,1255954.0
2015-03-09,61.26,61.81,60.98,61.31,1048475.0,0.0,1.0,61.083242108945,61.631655154324,60.804050013115,61.133097840343,1048475.0
2015-03-06,61.84,61.99,60.95,61.21,1128297.0,0.0,1.0,61.661568593163,61.811135787357,60.774136574276,61.033386377547,1128297.0
2015-03-05,63.28,63.29,62.05,62.33,547207.0,0.0,1.0,63.097413657428,63.107384803707,61.870962665035,62.150154760864,547207.0
2015-03-04,63.54,63.71,63.04,63.26,637249.0,0.0,1.0,63.356663460698,63.526172947451,62.858106146717,63.077471364868,637249.0
2015-03-03,64.26,64.72,63.77,64.0,464796.0,0.0,1.0,64.07458599283,64.533258721693,63.585999825129,63.81533618956,464796.0
2015-03-02,63.5,64.6,62.9402,64.59,581063.0,0.0,1.0,63.316778875579,64.413604966337,62.758594106846,64.403633820058,581063.0
2015-02-27,63.62,63.72,63.24,63.41,674496.0,0.0,1.0,63.436432630935,63.536144093731,63.057529072309,63.227038559063,674496.0
2015-02-26,64.08,64.282,63.38,63.62,734403.0,0.0,1.0,63.895105359797,64.096522514645,63.197125120224,63.436432630935,734403.0
2015-02-25,63.98,64.44,63.6,64.26,701832.0,0.0,1.0,63.795393897001,64.254066625863,63.416490338375,64.07458599283,701832.0
2015-02-24,63.81,64.27,63.57,63.84,817452.0,0.0,1.0,63.625884410247,64.08455713911,63.386576899537,63.655797849086,817452.0
2015-02-23,63.65,63.95,63.55,63.74,577439.0,0.0,1.0,63.466346069774,63.765480458162,63.366634606977,63.55608638629,577439.0
2015-02-20,63.6,64.02,63.22,64.01,637026.0,0.0,1.0,63.416490338375,63.835278482119,63.03758677975,63.82530733584,637026.0
2015-02-19,63.52,63.98,63.31,63.73,956655.0,0.0,1.0,63.336721168139,63.795393897001,63.127327096267,63.54611524001,956655.0
2015-02-18,64.31,64.62,63.88,64.03,1272647.0,0.0,1.0,64.124441724228,64.433547258897,63.695682434205,63.845249628399,1272647.0
2015-02-17,63.24,64.56,63.1,64.43,1405558.0,0.0,1.0,63.057529072309,64.373720381219,62.917933024395,64.244095479584,1405558.0
2015-02-13,63.2,63.8,63.17,63.68,1094485.0,0.0,1.0,63.017644487191,63.615913263968,62.987731048352,63.496259508612,1094485.0
2015-02-12,62.39,63.45,62.07,63.24,1212233.0,0.0,1.0,62.209981638542,63.266923144181,61.890904957594,63.057529072309,1212233.0
2015-02-11,61.24,62.1125,61.2,61.9,887667.0,0.0,1.0,61.063299816385,61.933282329282,61.023415231267,61.72139547084,887667.0
2015-02-10,61.8,61.81,61.08,61.56,696203.0,0.0,1.0,61.621684008044,61.631655154324,60.903761475912,61.382376497333,696203.0
2015-02-09,61.61,62.23,61.39,61.66,1170132.0,0.0,1.0,61.432232228731,62.050443298068,61.21286701058,61.482087960129,1170132.0
2015-02-06,61.85,62.44,60.73,61.72,1703974.0,0.0,1.0,61.671539739442,62.25983736994,60.554771356125,61.541914837807,1703974.0
2015-02-05,57.1,62.95,55.75,62.06,3838240.0,0.0,1.0,56.935245256623,62.7683658302,55.589140508875,61.880933811314,3838240.0
2015-02-04,59.3,59.74,58.47,58.88,1292086.0,0.0,1.0,59.128897438139,59.567627874443,58.301292296931,58.710109294395,1292086.0
2015-02-03,58.0,59.64,57.96,59.46,1601171.0,0.0,1.0,57.832648421789,59.467916411646,57.79276383667,59.288435778613,1601171.0
2015-02-02,57.62,58.04,56.94,57.83,770221.0,0.0,1.0,57.453744863163,57.872533006907,56.775706916149,57.663138935035,770221.0
2015-01-30,56.57,58.118,56.41,57.5,1046170.0,0.0,1.0,56.406774503803,57.950307947888,56.24723616333,57.334091107808,1046170.0
2015-01-29,57.24,57.7,56.56,57.1,823748.0,0.0,1.0,57.074841304538,57.5335140334,56.396803357524,56.935245256623,823748.0
2015-01-28,58.79,58.83,57.04,57.15,565962.0,0.0,1.0,58.620368977879,58.660253562997,56.875418378946,56.985100988021,565962.0
