Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,7.22,7.24,7.11,7.145,6456969.0,0.0,1.0,7.22,7.24,7.11,7.145,6456969.0
2015-04-15,7.32,7.35,7.22,7.25,8021610.0,0.0,1.0,7.32,7.35,7.22,7.25,8021610.0
2015-04-14,7.3,7.37,7.28,7.31,4727165.0,0.0,1.0,7.3,7.37,7.28,7.31,4727165.0
2015-04-13,7.41,7.43,7.33,7.33,4309231.0,0.0,1.0,7.41,7.43,7.33,7.33,4309231.0
2015-04-10,7.28,7.5,7.28,7.43,10982860.0,0.0,1.0,7.28,7.5,7.28,7.43,10982860.0
2015-04-09,7.31,7.44,7.24,7.33,15529089.0,0.0,1.0,7.31,7.44,7.24,7.33,15529089.0
2015-04-08,7.34,7.39,7.24,7.265,8327253.0,0.0,1.0,7.34,7.39,7.24,7.265,8327253.0
2015-04-07,7.4,7.45,7.25,7.25,4911433.0,0.0,1.0,7.4,7.45,7.25,7.25,4911433.0
2015-04-06,7.31,7.35,7.26,7.33,7256496.0,0.0,1.0,7.31,7.35,7.26,7.33,7256496.0
2015-04-02,7.29,7.4,7.269,7.32,5912342.0,0.0,1.0,7.29,7.4,7.269,7.32,5912342.0
2015-04-01,7.11,7.3,6.92,7.29,11442485.0,0.0,1.0,7.11,7.3,6.92,7.29,11442485.0
2015-03-31,7.33,7.41,7.05,7.05,12230342.0,0.0,1.0,7.33,7.41,7.05,7.05,12230342.0
2015-03-30,7.32,7.38,7.27,7.32,4460767.0,0.0,1.0,7.32,7.38,7.27,7.32,4460767.0
2015-03-27,7.27,7.34,7.22,7.32,5465042.0,0.0,1.0,7.27,7.34,7.22,7.32,5465042.0
2015-03-26,7.29,7.38,7.28,7.28,6459089.0,0.0,1.0,7.29,7.38,7.28,7.28,6459089.0
2015-03-25,7.41,7.45,7.29,7.29,5805119.0,0.0,1.0,7.41,7.45,7.29,7.29,5805119.0
2015-03-24,7.4,7.44,7.37,7.39,5411357.0,0.0,1.0,7.4,7.44,7.37,7.39,5411357.0
2015-03-23,7.4,7.5,7.36,7.4,7397874.0,0.0,1.0,7.4,7.5,7.36,7.4,7397874.0
2015-03-20,7.4,7.47,7.39,7.39,13963472.0,0.0,1.0,7.4,7.47,7.39,7.39,13963472.0
2015-03-19,7.5,7.56,7.35,7.39,8159629.0,0.0,1.0,7.5,7.56,7.35,7.39,8159629.0
2015-03-18,7.33,7.6,7.32,7.52,10713363.0,0.0,1.0,7.33,7.6,7.32,7.52,10713363.0
2015-03-17,7.3,7.43,7.3,7.39,8553613.0,0.0,1.0,7.3,7.43,7.3,7.39,8553613.0
2015-03-16,7.29,7.36,7.27,7.36,10407469.0,0.0,1.0,7.29,7.36,7.27,7.36,10407469.0
2015-03-13,7.31,7.38,7.27,7.28,17217785.0,0.0,1.0,7.31,7.38,7.27,7.28,17217785.0
2015-03-12,7.42,7.47,7.33,7.36,9557521.0,0.0,1.0,7.42,7.47,7.33,7.36,9557521.0
2015-03-11,7.29,7.435,7.25,7.36,12106502.0,0.0,1.0,7.29,7.435,7.25,7.36,12106502.0
2015-03-10,7.38,7.39,7.27,7.29,13430931.0,0.0,1.0,7.38,7.39,7.27,7.29,13430931.0
2015-03-09,7.59,7.61,7.5,7.545,14179731.0,0.0,1.0,7.59,7.61,7.5,7.545,14179731.0
2015-03-06,7.72,7.76,7.49,7.57,13554920.0,0.0,1.0,7.72,7.76,7.49,7.57,13554920.0
2015-03-05,7.82,7.89,7.77,7.82,6801093.0,0.0,1.0,7.82,7.89,7.77,7.82,6801093.0
2015-03-04,7.97,7.97,7.74,7.77,8902139.0,0.0,1.0,7.97,7.97,7.74,7.77,8902139.0
2015-03-03,7.95,7.985,7.9,7.95,9477989.0,0.0,1.0,7.95,7.985,7.9,7.95,9477989.0
2015-03-02,7.94,8.02,7.9,7.95,8234892.0,0.0,1.0,7.94,8.02,7.9,7.95,8234892.0
2015-02-27,7.98,8.05,7.94,7.98,11877150.0,0.0,1.0,7.98,8.05,7.94,7.98,11877150.0
2015-02-26,7.95,8.07,7.88,8.0,6489814.0,0.0,1.0,7.95,8.07,7.88,8.0,6489814.0
2015-02-25,8.05,8.12,7.84,7.95,12053580.0,0.0,1.0,8.05,8.12,7.84,7.95,12053580.0
2015-02-24,8.1,8.21,7.97,8.02,13613050.0,0.0,1.0,8.1,8.21,7.97,8.02,13613050.0
2015-02-23,8.3,8.3099,8.1,8.16,9384921.0,0.0,1.0,8.3,8.3099,8.1,8.16,9384921.0
2015-02-20,8.16,8.36,8.09,8.3,16899263.0,0.0,1.0,8.16,8.36,8.09,8.3,16899263.0
