Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,103.95,104.72,103.11,103.34,6577558.0,0.0,1.0,103.95,104.72,103.11,103.34,6577558.0
2015-04-15,102.39,104.36,102.33,104.03,12759629.0,0.0,1.0,102.39,104.36,102.33,104.03,12759629.0
2015-04-14,102.34,102.66,101.47,102.21,7028908.0,0.0,1.0,102.34,102.66,101.47,102.21,7028908.0
2015-04-13,102.01,103.82,102.0,102.28,10524033.0,0.0,1.0,102.01,103.82,102.0,102.28,10524033.0
2015-04-10,101.75,102.45,101.06,101.77,9191359.0,0.0,1.0,101.75,102.45,101.06,101.77,9191359.0
2015-04-09,100.17,101.18,99.92,101.16,9008763.0,0.0,1.0,100.17,101.18,99.92,101.16,9008763.0
2015-04-08,98.7,100.9,98.56,99.8699,10892469.0,0.0,1.0,98.7,100.9,98.56,99.8699,10892469.0
2015-04-07,98.28,99.74,98.01,98.69,8020355.0,0.0,1.0,98.28,99.74,98.01,98.69,8020355.0
2015-04-06,97.92,98.7412,97.19,97.79,9612218.0,0.0,1.0,97.92,98.7412,97.19,97.79,9612218.0
2015-04-02,97.985,99.5,97.01,98.43,10649323.0,0.0,1.0,97.985,99.5,97.01,98.43,10649323.0
2015-04-01,98.16,98.16,95.38,97.72,14442328.0,0.0,1.0,98.16,98.16,95.38,97.72,14442328.0
2015-03-31,100.01,100.2,98.07,98.14,13232251.0,0.0,1.0,100.01,100.2,98.07,98.14,13232251.0
2015-03-30,101.12,101.66,99.57,100.69,9851844.0,0.0,1.0,101.12,101.66,99.57,100.69,9851844.0
2015-03-27,101.0,102.1,100.9,101.0,8654533.0,0.0,1.0,101.0,102.1,100.9,101.0,8654533.0
2015-03-26,99.13,101.8191,98.59,101.075,10849859.0,0.0,1.0,99.13,101.8191,98.59,101.075,10849859.0
2015-03-25,101.99,103.11,99.7801,99.86,15349417.0,0.0,1.0,101.99,103.11,99.7801,99.86,15349417.0
2015-03-24,100.49,102.85,100.07,101.41,11684384.0,0.0,1.0,100.49,102.85,100.07,101.41,11684384.0
2015-03-23,99.78,101.19,99.25,100.26,17135459.0,0.0,1.0,99.78,101.19,99.25,100.26,17135459.0
2015-03-20,102.01,102.71,101.7,102.29,14665239.0,0.0,1.0,102.01,102.71,101.7,102.29,14665239.0
2015-03-19,100.29,101.73,100.04,101.44,9092922.0,0.0,1.0,100.29,101.73,100.04,101.44,9092922.0
2015-03-18,100.28,100.59,98.54,100.28,12714326.0,0.0,1.0,100.28,100.59,98.54,100.28,12714326.0
2015-03-17,100.8001,101.75,99.61,100.44,9822172.0,0.0,1.0,100.8001,101.75,99.61,100.44,9822172.0
2015-03-16,100.0,101.6,99.77,101.26,10338822.0,0.0,1.0,100.0,101.6,99.77,101.26,10338822.0
2015-03-13,99.59,100.98,98.88,99.61,7565134.0,0.0,1.0,99.59,100.98,98.88,99.61,7565134.0
2015-03-12,99.63,100.55,98.88,99.93,8141414.0,0.0,1.0,99.63,100.55,98.88,99.93,8141414.0
2015-03-11,99.13,100.14,98.76,98.97,9006448.0,0.0,1.0,99.13,100.14,98.76,98.97,9006448.0
2015-03-10,99.87,100.55,98.7,98.83,12728946.0,0.0,1.0,99.87,100.55,98.7,98.83,12728946.0
2015-03-09,101.54,101.98,100.19,101.37,9335877.0,0.0,1.0,101.54,101.98,100.19,101.37,9335877.0
