Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,40.94,41.3,40.68,40.94,1445326.0,0.0,1.0,40.94,41.3,40.68,40.94,1445326.0
2015-04-15,40.58,40.96,39.96,40.89,2297124.0,0.0,1.0,40.58,40.96,39.96,40.89,2297124.0
2015-04-14,40.25,40.52,39.681,40.4,1496033.0,0.0,1.0,40.25,40.52,39.681,40.4,1496033.0
2015-04-13,40.4,40.8,39.46,40.42,1839029.0,0.0,1.0,40.4,40.8,39.46,40.42,1839029.0
2015-04-10,40.18,40.41,39.56,40.4,1267353.0,0.0,1.0,40.18,40.41,39.56,40.4,1267353.0
2015-04-09,38.76,40.0,38.35,39.99,1911564.0,0.0,1.0,38.76,40.0,38.35,39.99,1911564.0
2015-04-08,37.8,38.78,37.74,38.71,1649209.0,0.0,1.0,37.8,38.78,37.74,38.71,1649209.0
2015-04-07,38.37,38.5,37.915,37.98,1327262.0,0.0,1.0,38.37,38.5,37.915,37.98,1327262.0
2015-04-06,38.0,38.39,37.68,38.37,1466995.0,0.0,1.0,38.0,38.39,37.68,38.37,1466995.0
2015-04-02,38.06,38.81,37.88,38.2,1164172.0,0.0,1.0,38.06,38.81,37.88,38.2,1164172.0
2015-04-01,37.86,38.5,37.33,37.78,2420053.0,0.0,1.0,37.86,38.5,37.33,37.78,2420053.0
2015-03-31,37.38,38.55,37.22,37.96,2109607.0,0.0,1.0,37.38,38.55,37.22,37.96,2109607.0
2015-03-30,38.4,38.5,37.51,37.69,2984735.0,0.0,1.0,38.4,38.5,37.51,37.69,2984735.0
2015-03-27,37.67,38.79,37.14,38.36,5487078.0,0.0,1.0,37.67,38.79,37.14,38.36,5487078.0
2015-03-26,39.49,39.8032,38.58,38.79,4368635.0,0.0,1.0,39.49,39.8032,38.58,38.79,4368635.0
2015-03-25,40.91,41.21,39.8,39.81,2068325.0,0.0,1.0,40.91,41.21,39.8,39.81,2068325.0
2015-03-24,41.28,41.53,40.9,40.91,2572336.0,0.0,1.0,41.28,41.53,40.9,40.91,2572336.0
2015-03-23,41.07,41.73,40.75,41.34,1748706.0,0.0,1.0,41.07,41.73,40.75,41.34,1748706.0
2015-03-20,40.85,41.19,40.53,40.92,2343706.0,0.0,1.0,40.85,41.19,40.53,40.92,2343706.0
2015-03-19,41.08,41.17,40.61,40.79,889171.0,0.0,1.0,41.08,41.17,40.61,40.79,889171.0
2015-03-18,40.76,41.35,40.16,41.12,1115090.0,0.0,1.0,40.76,41.35,40.16,41.12,1115090.0
2015-03-17,41.16,41.3,40.51,40.91,869139.0,0.0,1.0,41.16,41.3,40.51,40.91,869139.0
2015-03-16,40.73,41.28,40.65,41.09,1042006.0,0.0,1.0,40.73,41.28,40.65,41.09,1042006.0
2015-03-13,40.24,40.8899,39.96,40.7,1786637.0,0.36,1.0,40.24,40.8899,39.96,40.7,1786637.0
2015-03-12,39.95,40.2128,39.06,39.68,1103947.0,0.0,1.0,39.599732099367,39.860227959084,38.717535314174,39.33209936678,1103947.0
2015-03-11,41.3,42.67,39.12,39.48,1908668.0,0.0,1.0,40.937895762299,42.29588407209,38.777009254749,39.133852898198,1908668.0
2015-03-10,40.53,41.16,40.11,40.65,1493123.0,0.0,1.0,40.174646858256,40.799123234291,39.758329274233,40.293594739406,1493123.0
2015-03-09,40.12,41.47,39.81,40.83,1538087.0,0.0,1.0,39.768241597662,41.106405260594,39.460959571359,40.47201656113,1538087.0
2015-03-06,39.82,40.5778,39.82,40.16,1185517.0,0.0,1.0,39.470871894788,40.222027764247,39.470871894788,39.807890891378,1185517.0
2015-03-05,39.98,40.559,39.53,40.0,1214255.0,0.0,1.0,39.629469069654,40.203392596201,39.183414515343,39.649293716512,1214255.0
2015-03-04,39.18,40.45,38.72,40.03,2094772.0,0.0,1.0,38.836483195324,40.095348270823,38.380516317584,39.6790306868,2094772.0
