Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,529.9,535.59,529.61,533.8,1284328.0,0.0,1.0,529.9,535.59,529.61,533.8,1284328.0
2015-04-15,528.7,534.73,523.22,532.53,2294929.0,0.0,1.0,528.7,534.73,523.22,532.53,2294929.0
2015-04-14,536.25,537.5699,528.0925,530.39,2586769.0,0.0,1.0,536.25,537.5699,528.0925,530.39,2586769.0
2015-04-13,538.41,544.06,537.31,539.17,1620688.0,0.0,1.0,538.41,544.06,537.31,539.17,1620688.0
2015-04-10,542.29,542.29,537.31,540.01,1389400.0,0.0,1.0,542.29,542.29,537.31,540.01,1389400.0
2015-04-09,541.03,541.95,535.49,540.78,1543473.0,0.0,1.0,541.03,541.95,535.49,540.78,1543473.0
2015-04-08,538.38,543.85,538.38,541.61,1160770.0,0.0,1.0,538.38,543.85,538.38,541.61,1160770.0
2015-04-07,538.08,542.69,536.0,537.02,1294475.0,0.0,1.0,538.08,542.69,536.0,537.02,1294475.0
2015-04-06,532.22,538.41,529.57,536.765,1314080.0,0.0,1.0,532.22,538.41,529.57,536.765,1314080.0
2015-04-02,540.85,540.85,533.8467,535.53,1700795.0,0.0,1.0,540.85,540.85,533.8467,535.53,1700795.0
2015-04-01,548.6,551.14,539.5,542.56,1940781.0,0.0,1.0,548.6,551.14,539.5,542.56,1940781.0
2015-03-31,550.0,554.71,546.72,548.0,1548848.0,0.0,1.0,550.0,554.71,546.72,548.0,1548848.0
2015-03-30,551.62,553.47,548.17,552.03,1270621.0,0.0,1.0,551.62,553.47,548.17,552.03,1270621.0
2015-03-27,553.0,555.28,548.13,548.34,1879717.0,0.0,1.0,553.0,555.28,548.13,548.34,1879717.0
2015-03-26,557.59,558.9,550.65,555.17,1555534.0,0.0,1.0,557.59,558.9,550.65,555.17,1555534.0
2015-03-25,570.5,572.26,558.74,558.785,2106090.0,0.0,1.0,570.5,572.26,558.74,558.785,2106090.0
2015-03-24,562.56,574.59,561.21,570.19,2564170.0,0.0,1.0,562.56,574.59,561.21,570.19,2564170.0
2015-03-23,560.43,562.36,555.83,558.845,1620561.0,0.0,1.0,560.43,562.36,555.83,558.845,1620561.0
2015-03-20,561.65,561.72,559.05,560.36,2404909.0,0.0,1.0,561.65,561.72,559.05,560.36,2404909.0
2015-03-19,559.39,560.8,556.145,557.99,1154053.0,0.0,1.0,559.39,560.8,556.145,557.99,1154053.0
2015-03-18,552.5,559.78,547.0001,559.5,2112760.0,0.0,1.0,552.5,559.78,547.0001,559.5,2112760.0
2015-03-17,551.71,553.8,548.0,550.84,1792122.0,0.0,1.0,551.71,553.8,548.0,550.84,1792122.0
2015-03-16,550.95,556.85,546.0,554.51,1605551.0,0.0,1.0,550.95,556.85,546.0,554.51,1605551.0
2015-03-13,553.5,558.4,544.22,547.32,1673751.0,0.0,1.0,553.5,558.4,544.22,547.32,1673751.0
2015-03-12,553.51,556.37,550.46,555.51,1358126.0,0.0,1.0,553.51,556.37,550.46,555.51,1358126.0
2015-03-11,555.14,558.14,550.68,551.18,1815763.0,0.0,1.0,555.14,558.14,550.68,551.18,1815763.0
2015-03-10,564.25,564.85,554.73,555.01,1787357.0,0.0,1.0,564.25,564.85,554.73,555.01,1787357.0
2015-03-09,566.86,570.27,563.535,568.85,1059336.0,0.0,1.0,566.86,570.27,563.535,568.85,1059336.0
2015-03-06,574.88,576.6799,566.76,567.685,1654561.0,0.0,1.0,574.88,576.6799,566.76,567.685,1654561.0
2015-03-05,575.02,577.91,573.41,575.33,1385818.0,0.0,1.0,575.02,577.91,573.41,575.33,1385818.0
2015-03-04,571.87,577.11,568.01,573.37,1869830.0,0.0,1.0,571.87,577.11,568.01,573.37,1869830.0
2015-03-03,570.45,575.39,566.52,573.64,1696631.0,0.0,1.0,570.45,575.39,566.52,573.64,1696631.0
2015-03-02,560.53,572.15,558.75,571.34,2121542.0,0.0,1.0,560.53,572.15,558.75,571.34,2121542.0
2015-02-27,554.24,564.71,552.9,558.4,2402191.0,0.0,1.0,554.24,564.71,552.9,558.4,2402191.0
2015-02-26,543.21,556.14,541.5,555.48,2303785.0,0.0,1.0,543.21,556.14,541.5,555.48,2303785.0
2015-02-25,535.9,546.22,535.445,543.87,1820199.0,0.0,1.0,535.9,546.22,535.445,543.87,1820199.0
2015-02-24,530.0,536.79,528.25,536.09,1002313.0,0.0,1.0,530.0,536.79,528.25,536.09,1002313.0
2015-02-23,536.05,536.439,529.41,531.91,1449000.0,0.0,1.0,536.05,536.439,529.41,531.91,1449000.0
2015-02-20,543.13,543.75,535.8,538.95,1439763.0,0.0,1.0,543.13,543.75,535.8,538.95,1439763.0
2015-02-19,538.04,543.11,538.01,542.87,986611.0,0.0,1.0,538.04,543.11,538.01,542.87,986611.0
2015-02-18,541.4,545.49,537.51,539.7,1447122.0,0.0,1.0,541.4,545.49,537.51,539.7,1447122.0
2015-02-17,547.76,550.0,541.09,542.84,1608446.0,0.0,1.0,547.76,550.0,541.09,542.84,1608446.0
2015-02-13,543.35,549.91,543.13,549.01,1874722.0,0.0,1.0,543.35,549.91,543.13,549.01,1874722.0
2015-02-12,537.25,544.82,534.673,542.93,1610554.0,0.0,1.0,537.25,544.82,534.673,542.93,1610554.0
2015-02-11,535.42,538.45,533.3775,535.97,1366743.0,0.0,1.0,535.42,538.45,533.3775,535.97,1366743.0
2015-02-10,529.3,537.7,526.92,536.94,1742922.0,0.0,1.0,529.3,537.7,526.92,536.94,1742922.0
2015-02-09,527.49,532.0,526.02,527.83,1261878.0,0.0,1.0,527.49,532.0,526.02,527.83,1261878.0
2015-02-06,527.64,537.2,526.41,531.0,1758422.0,0.0,1.0,527.64,537.2,526.41,531.0,1758422.0
2015-02-05,523.79,528.5,522.09,527.58,1843714.0,0.0,1.0,523.79,528.5,522.09,527.58,1843714.0
2015-02-04,529.24,532.6715,521.27,522.76,1657900.0,0.0,1.0,529.24,532.6715,521.27,522.76,1657900.0
2015-02-03,528.0,533.4,523.26,529.24,2029459.0,0.0,1.0,528.0,533.4,523.26,529.24,2029459.0
2015-02-02,531.44,533.0,518.55,528.48,2823885.0,0.0,1.0,531.44,533.0,518.55,528.48,2823885.0
2015-01-30,515.65,539.87,515.52,534.52,5580217.0,0.0,1.0,515.65,539.87,515.52,534.52,5580217.0
2015-01-29,511.0,511.09,501.2,510.66,3914527.0,0.0,1.0,511.0,511.09,501.2,510.66,3914527.0
2015-01-28,522.78,522.99,510.0,510.0,1673976.0,0.0,1.0,522.78,522.99,510.0,510.0,1673976.0
2015-01-26,538.53,539.0,529.67,535.21,1538786.0,0.0,1.0,538.53,539.0,529.67,535.21,1538786.0
2015-01-23,535.59,542.17,533.0,539.95,2272098.0,0.0,1.0,535.59,542.17,533.0,539.95,2272098.0
2015-01-22,521.48,536.33,519.7,534.39,2662154.0,0.0,1.0,521.48,536.33,519.7,534.39,2662154.0
2015-01-21,507.25,519.28,506.2,518.04,2245594.0,0.0,1.0,507.25,519.28,506.2,518.04,2245594.0
2015-01-20,510.62,512.5,506.016,506.9,2221783.0,0.0,1.0,510.62,512.5,506.016,506.9,2221783.0
2015-01-15,505.57,505.68,497.76,501.79,2707763.0,0.0,1.0,505.57,505.68,497.76,501.79,2707763.0
2015-01-14,494.65,503.23,493.0,500.87,2207198.0,0.0,1.0,494.65,503.23,493.0,500.87,2207198.0
2015-01-13,498.9,502.98,492.39,496.18,2362493.0,0.0,1.0,498.9,502.98,492.39,496.18,2362493.0
2015-01-12,494.94,495.976,487.56,492.55,2314624.0,0.0,1.0,494.94,495.976,487.56,492.55,2314624.0
2015-01-08,498.3,503.48,491.0,502.68,3340321.0,0.0,1.0,498.3,503.48,491.0,502.68,3340321.0
2015-01-06,515.0,516.175,501.05,501.96,2879847.0,0.0,1.0,515.0,516.175,501.05,501.96,2879847.0
2015-01-05,523.26,524.33,513.06,513.87,2032052.0,0.0,1.0,523.26,524.33,513.06,513.87,2032052.0
2015-01-02,529.01,531.27,524.1,524.81,1443471.0,0.0,1.0,529.01,531.27,524.1,524.81,1443471.0
2014-12-31,531.25,532.6,525.8,526.4,1364928.0,0.0,1.0,531.25,532.6,525.8,526.4,1364928.0
2014-12-30,528.09,531.15,527.13,530.42,873351.0,0.0,1.0,528.09,531.15,527.13,530.42,873351.0
2014-12-26,528.77,534.25,527.31,534.03,1033543.0,0.0,1.0,528.77,534.25,527.31,534.03,1033543.0
2014-12-24,530.51,531.759,527.02,528.77,704031.0,0.0,1.0,530.51,531.759,527.02,528.77,704031.0
2014-12-23,527.0,534.56,526.29,530.59,2187916.0,0.0,1.0,527.0,534.56,526.29,530.59,2187916.0
2014-12-22,516.08,526.46,516.08,524.87,2716328.0,0.0,1.0,516.08,526.46,516.08,524.87,2716328.0
2014-12-19,511.51,517.72,506.9106,516.35,3593052.0,0.0,1.0,511.51,517.72,506.9106,516.35,3593052.0
2014-12-18,512.6,513.87,504.7,511.1,2908367.0,0.0,1.0,512.6,513.87,504.7,511.1,2908367.0
2014-12-17,498.0,507.0,496.81,504.89,2872964.0,0.0,1.0,498.0,507.0,496.81,504.89,2872964.0
2014-12-16,511.56,513.05,489.0,495.39,3942290.0,0.0,1.0,511.56,513.05,489.0,495.39,3942290.0
2014-12-15,522.76,523.1,513.27,513.8,2802596.0,0.0,1.0,522.76,523.1,513.27,513.8,2802596.0
2014-12-11,527.83,533.92,527.1,528.34,1543583.0,0.0,1.0,527.83,533.92,527.1,528.34,1543583.0
2014-12-10,533.08,536.33,525.56,526.06,1707379.0,0.0,1.0,533.08,536.33,525.56,526.06,1707379.0
2014-12-09,522.12,534.19,520.5,533.37,1865692.0,0.0,1.0,522.12,534.19,520.5,533.37,1865692.0
2014-12-05,530.6,532.89,524.28,525.26,2554487.0,0.0,1.0,530.6,532.89,524.28,525.26,2554487.0
2014-12-04,531.16,537.34,528.59,537.31,1388008.0,0.0,1.0,531.16,537.34,528.59,537.31,1388008.0
2014-12-02,533.51,535.5,529.8,533.75,1521570.0,0.0,1.0,533.51,535.5,529.8,533.75,1521570.0
2014-12-01,538.9,541.41,531.86,533.8,2100106.0,0.0,1.0,538.9,541.41,531.86,533.8,2100106.0
2014-11-28,540.01,542.0,536.6,541.83,1145170.0,0.0,1.0,540.01,542.0,536.6,541.83,1145170.0
2014-11-26,541.47,541.55,537.042,540.37,1517646.0,0.0,1.0,541.47,541.55,537.042,540.37,1517646.0
2014-11-25,539.0,543.98,538.602,541.08,1784967.0,0.0,1.0,539.0,543.98,538.602,541.08,1784967.0
2014-11-24,537.65,542.7,535.62,539.27,1699629.0,0.0,1.0,537.65,542.7,535.62,539.27,1699629.0
2014-11-21,541.61,542.14,536.56,537.5,2217252.0,0.0,1.0,541.61,542.14,536.56,537.5,2217252.0
2014-11-20,531.25,535.11,531.08,534.83,1556880.0,0.0,1.0,531.25,535.11,531.08,534.83,1556880.0
2014-11-19,535.0,538.24,530.08,536.99,1381926.0,0.0,1.0,535.0,538.24,530.08,536.99,1381926.0
2014-11-18,537.5,541.94,534.17,535.03,1949605.0,0.0,1.0,537.5,541.94,534.17,535.03,1949605.0
2014-11-17,543.58,543.79,534.061,536.51,1720123.0,0.0,1.0,543.58,543.79,534.061,536.51,1720123.0
2014-11-14,546.68,546.68,542.15,544.4,1284981.0,0.0,1.0,546.68,546.68,542.15,544.4,1284981.0
2014-11-13,549.8,549.8,543.48,545.38,1334367.0,0.0,1.0,549.8,549.8,543.48,545.38,1334367.0
2014-11-12,550.39,550.46,545.17,547.31,1124171.0,0.0,1.0,550.39,550.46,545.17,547.31,1124171.0
2014-11-11,548.49,551.9399,546.3,550.29,961011.0,0.0,1.0,548.49,551.9399,546.3,550.29,961011.0
2014-11-10,541.46,549.59,541.02,547.49,1129377.0,0.0,1.0,541.46,549.59,541.02,547.49,1129377.0
2014-11-07,546.21,546.21,538.67,541.01,1626675.0,0.0,1.0,546.21,546.21,538.67,541.01,1626675.0
2014-11-06,545.67,546.885,540.97,542.04,1325658.0,0.0,1.0,545.67,546.885,540.97,542.04,1325658.0
2014-11-04,553.0,555.5,549.3,554.11,1235838.0,0.0,1.0,553.0,555.5,549.3,554.11,1235838.0
2014-11-03,553.87,557.9,553.23,555.22,1366953.0,0.0,1.0,553.87,557.9,553.23,555.22,1366953.0
2014-10-31,559.57,559.57,554.75,559.08,2024442.0,0.0,1.0,559.57,559.57,554.75,559.08,2024442.0
2014-10-30,548.95,552.8,543.51,550.31,1451521.0,0.0,1.0,548.95,552.8,543.51,550.31,1451521.0
2014-10-29,550.0,554.19,546.98,549.33,1759310.0,0.0,1.0,550.0,554.19,546.98,549.33,1759310.0
2014-10-28,543.0,548.98,541.62,548.9,1245545.0,0.0,1.0,543.0,548.98,541.62,548.9,1245545.0
2014-10-27,537.03,544.41,537.03,540.77,1180275.0,0.0,1.0,537.03,544.41,537.03,540.77,1180275.0
2014-10-24,544.05,544.88,535.79,539.78,1964626.0,0.0,1.0,544.05,544.88,535.79,539.78,1964626.0
2014-10-23,539.32,547.22,535.85,543.98,2336044.0,0.0,1.0,539.32,547.22,535.85,543.98,2336044.0
2014-10-22,529.89,539.8,528.8,532.71,2911235.0,0.0,1.0,529.89,539.8,528.8,532.71,2911235.0
2014-10-21,525.19,526.79,519.11,526.54,2329510.0,0.0,1.0,525.19,526.79,519.11,526.54,2329510.0
2014-10-20,508.63,521.76,508.1,520.84,2593431.0,0.0,1.0,508.63,521.76,508.1,520.84,2593431.0
2014-10-17,526.53,530.98,508.53,511.17,5512913.0,0.0,1.0,526.53,530.98,508.53,511.17,5512913.0
2014-10-16,519.0,529.43,515.0,524.51,3557099.0,0.0,1.0,519.0,529.43,515.0,524.51,3557099.0
2014-10-15,530.45,532.8,518.3,530.03,3686245.0,0.0,1.0,530.45,532.8,518.3,530.03,3686245.0
