Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,202.7,202.87,198.7,200.21,5952163.0,0.0,1.0,202.7,202.87,198.7,200.21,5952163.0
2015-04-15,198.21,202.14,197.39,201.1,4967211.0,0.0,1.0,198.21,202.14,197.39,201.1,4967211.0
2015-04-14,196.98,198.49,195.71,197.72,3261767.0,0.0,1.0,196.98,198.49,195.71,197.72,3261767.0
2015-04-13,195.32,197.38,194.77,195.58,2173451.0,0.0,1.0,195.32,197.38,194.77,195.58,2173451.0
2015-04-10,194.65,195.86,194.09,195.64,1753647.0,0.0,1.0,194.65,195.86,194.09,195.64,1753647.0
2015-04-09,192.86,195.09,192.41,194.89,1967378.0,0.0,1.0,192.86,195.09,192.41,194.89,1967378.0
2015-04-08,193.04,193.85,192.2,192.56,1978505.0,0.0,1.0,193.04,193.85,192.2,192.56,1978505.0
2015-04-07,192.52,193.64,192.24,192.39,1765438.0,0.0,1.0,192.52,193.64,192.24,192.39,1765438.0
2015-04-06,190.18,192.64,188.95,192.05,1978704.0,0.0,1.0,190.18,192.64,188.95,192.05,1978704.0
2015-04-02,191.73,192.73,190.85,191.55,2264179.0,0.0,1.0,191.73,192.73,190.85,191.55,2264179.0
2015-04-01,187.94,192.33,186.96,192.23,4022536.0,0.0,1.0,187.94,192.33,186.96,192.23,4022536.0
2015-03-31,190.34,190.55,187.97,187.97,2132310.0,0.0,1.0,190.34,190.55,187.97,187.97,2132310.0
2015-03-30,189.24,192.0,189.19,191.02,2378853.0,0.0,1.0,189.24,192.0,189.19,191.02,2378853.0
2015-03-27,187.19,188.48,186.27,188.06,1530317.0,0.0,1.0,187.19,188.48,186.27,188.06,1530317.0
2015-03-26,186.52,187.97,185.02,187.24,2362812.0,0.0,1.0,186.52,187.97,185.02,187.24,2362812.0
2015-03-25,191.08,191.23,187.35,187.35,2515086.0,0.0,1.0,191.08,191.23,187.35,187.35,2515086.0
2015-03-24,191.94,192.51,191.16,191.28,1774998.0,0.0,1.0,191.94,192.51,191.16,191.28,1774998.0
2015-03-23,193.27,194.25,191.96,191.96,1580103.0,0.0,1.0,193.27,194.25,191.96,191.96,1580103.0
2015-03-20,190.47,193.918,189.9,193.13,3423796.0,0.0,1.0,190.47,193.918,189.9,193.13,3423796.0
2015-03-19,191.76,191.76,189.09,189.97,2072633.0,0.0,1.0,191.76,191.76,189.09,189.97,2072633.0
2015-03-18,189.67,193.04,189.2,192.32,2787965.0,0.0,1.0,189.67,193.04,189.2,192.32,2787965.0
