Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,27.17,27.33,26.99,27.06,2201452.0,0.0,1.0,27.17,27.33,26.99,27.06,2201452.0
2015-04-15,27.23,27.43,27.13,27.26,2089614.0,0.0,1.0,27.23,27.43,27.13,27.26,2089614.0
2015-04-14,27.42,27.4214,26.92,27.16,2647851.0,0.0,1.0,27.42,27.4214,26.92,27.16,2647851.0
2015-04-13,27.58,27.71,27.37,27.43,1966370.0,0.0,1.0,27.58,27.71,27.37,27.43,1966370.0
2015-04-10,27.63,27.75,27.39,27.71,1707041.0,0.0,1.0,27.63,27.75,27.39,27.71,1707041.0
2015-04-09,27.28,27.72,27.28,27.62,2498866.0,0.0,1.0,27.28,27.72,27.28,27.62,2498866.0
2015-04-08,27.08,27.635,26.99,27.43,3010404.0,0.0,1.0,27.08,27.635,26.99,27.43,3010404.0
2015-04-07,27.32,27.33,26.89,27.0,2067487.0,0.0,1.0,27.32,27.33,26.89,27.0,2067487.0
2015-04-06,26.73,27.48,26.61,27.31,2424574.0,0.0,1.0,26.73,27.48,26.61,27.31,2424574.0
2015-04-02,26.78,27.07,26.69,26.82,1462413.0,0.0,1.0,26.78,27.07,26.69,26.82,1462413.0
2015-04-01,26.86,26.89,26.38,26.75,3169741.0,0.0,1.0,26.86,26.89,26.38,26.75,3169741.0
2015-03-31,26.53,27.13,26.36,27.08,2642651.0,0.0,1.0,26.53,27.13,26.36,27.08,2642651.0
2015-03-30,26.5,26.87,26.34,26.79,2080636.0,0.0,1.0,26.5,26.87,26.34,26.79,2080636.0
2015-03-27,25.46,26.37,25.46,26.29,1986352.0,0.0,1.0,25.46,26.37,25.46,26.29,1986352.0
2015-03-26,25.76,26.245,25.6,26.15,2527312.0,0.0,1.0,25.76,26.245,25.6,26.15,2527312.0
2015-03-25,26.6,26.6,25.86,25.989,2857253.0,0.0,1.0,26.6,26.6,25.86,25.989,2857253.0
2015-03-24,26.2,26.37,25.91,26.37,2065927.0,0.0,1.0,26.2,26.37,25.91,26.37,2065927.0
2015-03-23,25.68,26.37,25.6,26.125,3376276.0,0.0,1.0,25.68,26.37,25.6,26.125,3376276.0
2015-03-20,25.34,25.76,25.34,25.66,3586078.0,0.0,1.0,25.34,25.76,25.34,25.66,3586078.0
2015-03-19,25.87,25.87,25.15,25.18,3189929.0,0.0,1.0,25.87,25.87,25.15,25.18,3189929.0
2015-03-18,25.13,26.23,24.9,26.06,4728490.0,0.0,1.0,25.13,26.23,24.9,26.06,4728490.0
2015-03-17,25.1,25.23,24.95,25.06,1937151.0,0.0,1.0,25.1,25.23,24.95,25.06,1937151.0
2015-03-16,25.43,25.565,25.19,25.31,1570566.0,0.0,1.0,25.43,25.565,25.19,25.31,1570566.0
2015-03-13,25.34,25.62,25.02,25.22,2261695.0,0.0,1.0,25.34,25.62,25.02,25.22,2261695.0
2015-03-12,25.16,25.74,25.11,25.47,2387712.0,0.0,1.0,25.16,25.74,25.11,25.47,2387712.0
2015-03-11,25.21,25.4,24.92,25.07,2700729.0,0.0,1.0,25.21,25.4,24.92,25.07,2700729.0
2015-03-10,25.73,25.82,25.315,25.37,2587930.0,0.0,1.0,25.73,25.82,25.315,25.37,2587930.0
2015-03-09,26.0,26.07,25.8,25.97,2274656.0,0.0,1.0,26.0,26.07,25.8,25.97,2274656.0
2015-03-06,26.0,26.12,25.78,25.88,2636797.0,0.0,1.0,26.0,26.12,25.78,25.88,2636797.0
2015-03-05,26.64,26.67,26.0301,26.205,2785751.0,0.0,1.0,26.64,26.67,26.0301,26.205,2785751.0
2015-03-04,26.99,27.02,26.415,26.57,2852216.0,0.0,1.0,26.99,27.02,26.415,26.57,2852216.0
2015-03-03,27.14,27.32,26.75,27.07,3279990.0,0.0,1.0,27.14,27.32,26.75,27.07,3279990.0
2015-03-02,26.75,27.41,26.75,27.2,4026592.0,0.0,1.0,26.75,27.41,26.75,27.2,4026592.0
2015-02-27,27.35,27.44,26.7,26.73,3930733.0,0.0,1.0,27.35,27.44,26.7,26.73,3930733.0
2015-02-26,27.16,27.57,27.1301,27.345,2265716.0,0.0,1.0,27.16,27.57,27.1301,27.345,2265716.0
2015-02-25,27.14,27.28,26.96,27.13,2302287.0,0.0,1.0,27.14,27.28,26.96,27.13,2302287.0
2015-02-24,26.98,27.47,26.88,27.13,3769723.0,0.0,1.0,26.98,27.47,26.88,27.13,3769723.0
2015-02-23,27.58,27.75,27.06,27.155,3395769.0,0.0,1.0,27.58,27.75,27.06,27.155,3395769.0
2015-02-20,27.23,27.77,26.8,27.69,3667863.0,0.0,1.0,27.23,27.77,26.8,27.69,3667863.0
2015-02-19,27.3,27.65,27.25,27.34,2792827.0,0.0,1.0,27.3,27.65,27.25,27.34,2792827.0
2015-02-18,26.64,27.42,26.56,27.39,5028423.0,0.0,1.0,26.64,27.42,26.56,27.39,5028423.0
2015-02-17,26.8,27.218,26.15,26.62,9160322.0,0.0,1.0,26.8,27.218,26.15,26.62,9160322.0
2015-02-13,26.25,26.3725,25.88,25.91,4353182.0,0.0,1.0,26.25,26.3725,25.88,25.91,4353182.0
2015-02-12,26.12,26.33,26.03,26.21,2682628.0,0.0,1.0,26.12,26.33,26.03,26.21,2682628.0
