Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,250.1,252.87,241.47,241.87,1883071.0,0.0,1.0,250.1,252.87,241.47,241.87,1883071.0
2015-04-15,238.39,242.29,237.69,241.83,842145.0,0.0,1.0,238.39,242.29,237.69,241.83,842145.0
2015-04-14,236.66,238.69,235.15,238.15,627376.0,0.0,1.0,236.66,238.69,235.15,238.15,627376.0
2015-04-13,235.46,237.4,234.75,234.96,524533.0,0.0,1.0,235.46,237.4,234.75,234.96,524533.0
2015-04-10,235.32,235.97,233.59,234.71,340299.0,0.0,1.0,235.32,235.97,233.59,234.71,340299.0
2015-04-09,233.0,235.63,231.31,234.85,530854.0,0.0,1.0,233.0,235.63,231.31,234.85,530854.0
2015-04-08,232.33,235.55,232.33,234.31,497174.0,0.0,1.0,232.33,235.55,232.33,234.31,497174.0
2015-04-07,233.81,234.94,232.24,232.86,513097.0,0.0,1.0,233.81,234.94,232.24,232.86,513097.0
2015-04-06,228.8,236.29,228.05,235.15,560647.0,0.0,1.0,228.8,236.29,228.05,235.15,560647.0
2015-04-02,231.88,233.55,229.85,230.42,607842.0,0.0,1.0,231.88,233.55,229.85,230.42,607842.0
2015-04-01,234.88,235.7799,231.31,231.88,781885.0,0.0,1.0,234.88,235.7799,231.31,231.88,781885.0
2015-03-31,236.8,237.0,234.77,235.81,500061.0,0.0,1.0,236.8,237.0,234.77,235.81,500061.0
2015-03-30,235.65,238.19,234.95,237.49,394910.0,0.0,1.0,235.65,238.19,234.95,237.49,394910.0
2015-03-27,234.13,235.18,233.18,234.6,381095.0,0.0,1.0,234.13,235.18,233.18,234.6,381095.0
2015-03-26,234.44,235.296,233.35,234.33,503972.0,0.0,1.0,234.44,235.296,233.35,234.33,503972.0
2015-03-25,235.71,236.555,234.21,234.83,606263.0,0.0,1.0,235.71,236.555,234.21,234.83,606263.0
2015-03-24,233.53,236.26,233.53,234.21,531982.0,0.0,1.0,233.53,236.26,233.53,234.21,531982.0
2015-03-23,234.26,234.41,232.19,233.57,645633.0,0.0,1.0,234.26,234.41,232.19,233.57,645633.0
2015-03-20,238.07,238.38,235.83,236.15,846182.0,0.0,1.0,238.07,238.38,235.83,236.15,846182.0
2015-03-19,237.07,237.99,234.78,237.06,529613.0,0.0,1.0,237.07,237.99,234.78,237.06,529613.0
2015-03-18,233.99,239.345,232.18,238.41,703879.0,0.0,1.0,233.99,239.345,232.18,238.41,703879.0
2015-03-17,232.09,235.03,230.98,234.48,507141.0,0.0,1.0,232.09,235.03,230.98,234.48,507141.0
2015-03-16,231.91,234.17,230.7903,234.01,442761.0,0.0,1.0,231.91,234.17,230.7903,234.01,442761.0
2015-03-13,230.82,232.19,229.39,230.72,664459.0,0.0,1.0,230.82,232.19,229.39,230.72,664459.0
2015-03-12,233.01,234.044,230.15,231.71,601800.0,0.0,1.0,233.01,234.044,230.15,231.71,601800.0
2015-03-11,230.0,232.49,228.15,232.17,974172.0,0.0,1.0,230.0,232.49,228.15,232.17,974172.0
2015-03-10,233.56,234.705,230.2,230.27,946841.0,0.0,1.0,233.56,234.705,230.2,230.27,946841.0
2015-03-09,235.55,237.38,234.71,235.83,521935.0,0.0,1.0,235.55,237.38,234.71,235.83,521935.0
2015-03-06,236.2,236.54,234.67,235.27,483505.0,0.0,1.0,236.2,236.54,234.67,235.27,483505.0
2015-03-05,236.72,239.15,235.46,238.04,540162.0,0.0,1.0,236.72,239.15,235.46,238.04,540162.0
2015-03-04,238.44,238.73,233.11,236.0,1158810.0,0.0,1.0,238.44,238.73,233.11,236.0,1158810.0
2015-03-03,238.5,241.47,237.46,241.29,695147.0,0.0,1.0,238.5,241.47,237.46,241.29,695147.0
2015-03-02,236.65,239.395,236.0,239.2,546526.0,0.0,1.0,236.65,239.395,236.0,239.2,546526.0
2015-02-27,240.14,240.96,236.91,236.91,762440.0,0.0,1.0,240.14,240.96,236.91,236.91,762440.0
2015-02-26,239.55,240.69,238.42,240.38,559266.0,0.0,1.0,239.55,240.69,238.42,240.38,559266.0
