Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,47.97,48.74,47.47,47.83,15452635.0,0.0,1.0,47.97,48.74,47.47,47.83,15452635.0
2015-04-15,46.75,48.54,46.25,48.26,24130543.0,0.0,1.0,46.75,48.54,46.25,48.26,24130543.0
2015-04-14,45.69,46.31,45.64,46.2,12820468.0,0.0,1.0,45.69,46.31,45.64,46.2,12820468.0
2015-04-13,46.45,46.59,45.3,45.44,11766117.0,0.0,1.0,46.45,46.59,45.3,45.44,11766117.0
2015-04-10,45.99,46.52,45.72,46.26,10164567.0,0.0,1.0,45.99,46.52,45.72,46.26,10164567.0
2015-04-09,44.49,46.27,44.43,46.04,17784848.0,0.0,1.0,44.49,46.27,44.43,46.04,17784848.0
2015-04-08,44.65,45.0,44.015,44.22,14167306.0,0.0,1.0,44.65,45.0,44.015,44.22,14167306.0
2015-04-07,45.79,46.13,44.18,44.52,22178974.0,0.0,1.0,45.79,46.13,44.18,44.52,22178974.0
2015-04-06,44.2,46.3572,44.14,45.88,23497173.0,0.0,1.0,44.2,46.3572,44.14,45.88,23497173.0
2015-04-02,43.7,44.32,43.49,43.96,11124276.0,0.0,1.0,43.7,44.32,43.49,43.96,11124276.0
2015-04-01,44.29,44.38,43.575,43.82,14211089.0,0.0,1.0,44.29,44.38,43.575,43.82,14211089.0
2015-03-31,43.47,44.16,43.29,43.88,8345014.0,0.0,1.0,43.47,44.16,43.29,43.88,8345014.0
2015-03-30,43.47,44.09,43.47,43.82,8589671.0,0.0,1.0,43.47,44.09,43.47,43.82,8589671.0
2015-03-27,42.92,43.33,42.68,43.26,10929405.0,0.0,1.0,42.92,43.33,42.68,43.26,10929405.0
2015-03-26,44.03,44.43,43.13,43.18,17421531.0,0.0,1.0,44.03,44.43,43.13,43.18,17421531.0
2015-03-25,42.87,44.27,42.81,43.46,16770751.0,0.0,1.0,42.87,44.27,42.81,43.46,16770751.0
2015-03-24,42.56,42.89,42.28,42.53,8276187.0,0.0,1.0,42.56,42.89,42.28,42.53,8276187.0
2015-03-23,42.82,43.48,42.4,42.4,10607647.0,0.0,1.0,42.82,43.48,42.4,42.4,10607647.0
2015-03-20,42.25,43.02,42.06,42.82,20655296.0,0.0,1.0,42.25,43.02,42.06,42.82,20655296.0
2015-03-19,40.97,41.57,40.75,41.55,11551335.0,0.0,1.0,40.97,41.57,40.75,41.55,11551335.0
2015-03-18,40.06,41.68,39.9,41.59,15984639.0,0.0,1.0,40.06,41.68,39.9,41.59,15984639.0
2015-03-17,40.3,40.5,39.87,40.28,13254553.0,0.0,1.0,40.3,40.5,39.87,40.28,13254553.0
2015-03-16,39.61,40.56,39.27,40.52,15313289.0,0.0,1.0,39.61,40.56,39.27,40.52,15313289.0
2015-03-13,40.49,40.59,39.88,40.18,17684897.0,0.0,1.0,40.49,40.59,39.88,40.18,17684897.0
2015-03-12,41.67,41.67,40.91,40.99,10977010.0,0.0,1.0,41.67,41.67,40.91,40.99,10977010.0
2015-03-11,41.05,41.83,40.99,41.31,12910616.0,0.0,1.0,41.05,41.83,40.99,41.31,12910616.0
2015-03-10,41.3,42.15,41.21,41.31,15280123.0,0.0,1.0,41.3,42.15,41.21,41.31,15280123.0
2015-03-09,42.11,42.76,41.81,42.04,13436349.0,0.0,1.0,42.11,42.76,41.81,42.04,13436349.0
2015-03-06,42.65,42.92,42.1,42.38,12938984.0,0.0,1.0,42.65,42.92,42.1,42.38,12938984.0
2015-03-05,42.55,43.02,42.51,42.94,7833752.0,0.0,1.0,42.55,43.02,42.51,42.94,7833752.0
2015-03-04,43.08,43.2001,42.44,43.07,11924330.0,0.0,1.0,43.08,43.2001,42.44,43.07,11924330.0
2015-03-03,43.05,43.32,42.6,43.11,10637830.0,0.0,1.0,43.05,43.32,42.6,43.11,10637830.0
2015-03-02,42.56,43.05,41.955,42.99,13016260.0,0.0,1.0,42.56,43.05,41.955,42.99,13016260.0
2015-02-27,42.96,43.225,42.72,42.94,12292080.0,0.0,1.0,42.96,43.225,42.72,42.94,12292080.0
2015-02-26,43.25,43.31,42.53,42.7,15484500.0,0.0,1.0,43.25,43.31,42.53,42.7,15484500.0
2015-02-25,43.05,43.71,42.8,43.68,11810580.0,0.0,1.0,42.691334587259,43.345835884067,42.443417429377,43.316085825121,11810580.0
2015-02-24,43.77,43.9099,41.85,43.12,19210170.0,0.0,1.0,43.405336001959,43.544070443509,41.501332229426,42.760751391466,19210170.0
2015-02-23,42.96,43.59,42.62,43.22,12519240.0,0.0,1.0,42.602084410421,43.226835648284,42.264917075702,42.859918254618,12519240.0
2015-02-20,44.04,44.34,43.28,43.36,17436544.0,0.0,1.0,43.673086532471,43.970587121929,42.91941837251,42.998751863032,17436544.0
2015-02-19,43.13,44.64,43.08,44.24,12787047.0,0.0,1.0,42.770668077781,44.268087711387,42.721084646205,43.871420258776,12787047.0
2015-02-18,44.35,44.82,44.01,44.39,12135255.0,0.0,1.0,43.980503808244,44.446588065062,43.643336473525,44.020170553506,12135255.0
2015-02-17,44.35,44.92,43.56,44.87,15422844.0,0.0,1.0,43.980503808244,44.545754928215,43.197085589338,44.496171496639,15422844.0
2015-02-13,43.5,44.2,43.31,44.19,17292400.0,0.0,1.0,43.137585471446,43.831753513515,42.949168431456,43.8218368272,17292400.0
2015-02-12,42.65,43.35,42.5,42.77,12944051.0,0.0,1.0,42.294667134648,42.988835176717,42.145916839919,42.413667370431,12944051.0
2015-02-11,41.93,42.32,41.6129,42.15,15818841.0,0.0,1.0,41.580665719948,41.967416486244,41.266207596891,41.798832818884,15818841.0
2015-02-10,43.41,43.44,42.05,42.6,21725938.0,0.0,1.0,43.048335294609,43.078085353554,41.699665955731,42.245083703071,21725938.0
2015-02-09,43.65,44.35,43.41,43.51,15949190.0,0.0,1.0,43.286335766175,43.980503808244,43.048335294609,43.147502157761,15949190.0
2015-02-04,42.47,43.12,42.04,42.39,18832835.0,0.0,1.0,42.116166780973,42.760751391466,41.689749269416,42.036833290451,18832835.0
2015-02-03,42.55,43.72,42.5,43.32,24072051.0,0.0,1.0,42.195500271495,43.355752570382,42.145916839919,42.959085117771,24072051.0
2015-02-02,40.88,41.53,40.28,41.51,18079132.0,0.0,1.0,40.539413656844,41.183998267337,39.944412477928,41.164164894706,18079132.0
2015-01-30,39.2,40.74,39.01,39.99,19462589.0,0.0,1.0,38.873410355878,40.40058004843,38.684993315888,39.656828574785,19462589.0
2015-01-29,39.79,39.87,38.32,39.57,14774893.0,0.0,1.0,39.458494848479,39.537828339001,38.000741960134,39.240327749543,14774893.0
2015-01-28,41.29,41.39,39.36,39.47,20633208.0,0.0,1.0,40.94599779577,41.045164658923,39.032077336922,39.14116088639,20633208.0
2015-01-26,41.1,41.49,40.55,41.46,15738940.0,0.0,1.0,40.75758075578,41.144331522076,40.21216300844,41.11458146313,15738940.0
2015-01-23,41.06,42.05,40.61,40.99,17691250.0,0.0,1.0,40.717914010519,41.699665955731,40.271663126332,40.648497206312,17691250.0
2015-01-22,40.9,41.16,40.39,40.82,17978310.0,0.0,1.0,40.559247029475,40.817080873672,40.053496027396,40.479913538952,17978310.0
2015-01-21,40.17,40.88,39.67,40.69,17543483.0,0.0,1.0,39.83532892846,40.539413656844,39.339494612696,40.350996616854,17543483.0
2015-01-20,39.51,40.0,38.12,39.83,25079829.0,0.0,1.0,39.180827631651,39.6667452611,37.802408233828,39.49816159374,25079829.0
2015-01-15,38.85,39.13,37.27,37.33,19479417.0,0.0,1.0,38.526326334843,38.803993551671,36.95948989703,37.018990014921,19479417.0
2015-01-14,37.94,38.43,37.36,38.34,27951984.0,0.0,1.0,37.623907880153,38.109825509602,37.048740073867,38.020575332764,27951984.0
2015-01-13,38.63,39.45,38.25,38.29,22195533.0,0.0,1.0,38.308159235907,39.12132751376,37.931325155927,37.970991901188,22195533.0
