Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,11.26,11.32,11.16,11.27,5076386.0,0.0,1.0,11.26,11.32,11.16,11.27,5076386.0
2015-04-15,11.15,11.32,11.145,11.27,9630900.0,0.0,1.0,11.15,11.32,11.145,11.27,9630900.0
2015-04-14,11.27,11.29,11.11,11.15,10559402.0,0.0,1.0,11.27,11.29,11.11,11.15,10559402.0
2015-04-13,11.05,11.3,11.05,11.28,8075982.0,0.0,1.0,11.05,11.3,11.05,11.28,8075982.0
2015-04-10,11.13,11.15,11.005,11.05,8487903.0,0.0,1.0,11.13,11.15,11.005,11.05,8487903.0
2015-04-09,11.09,11.13,10.98,11.09,10228127.0,0.0,1.0,11.09,11.13,10.98,11.09,10228127.0
2015-04-08,11.14,11.18,11.0345,11.06,10054071.0,0.0,1.0,11.14,11.18,11.0345,11.06,10054071.0
2015-04-07,11.07,11.18,11.035,11.1,6574089.0,0.0,1.0,11.07,11.18,11.035,11.1,6574089.0
2015-04-06,10.91,11.12,10.84,11.06,6546581.0,0.0,1.0,10.91,11.12,10.84,11.06,6546581.0
2015-04-02,11.0,11.08,10.97,11.04,5544739.0,0.0,1.0,11.0,11.08,10.97,11.04,5544739.0
2015-04-01,11.03,11.055,10.9,10.995,7293724.0,0.0,1.0,11.03,11.055,10.9,10.995,7293724.0
2015-03-31,10.92,11.115,10.89,11.05,8676042.0,0.0,1.0,10.92,11.115,10.89,11.05,8676042.0
2015-03-30,10.92,11.02,10.89,11.01,4313380.0,0.0,1.0,10.92,11.02,10.89,11.01,4313380.0
2015-03-27,10.85,10.88,10.76,10.83,4470709.0,0.0,1.0,10.85,10.88,10.76,10.83,4470709.0
2015-03-26,10.82,10.91,10.68,10.88,8481859.0,0.0,1.0,10.82,10.91,10.68,10.88,8481859.0
2015-03-25,11.03,11.09,10.82,10.82,7800606.0,0.0,1.0,11.03,11.09,10.82,10.82,7800606.0
2015-03-24,11.11,11.11,10.99,11.02,10291142.0,0.0,1.0,11.11,11.11,10.99,11.02,10291142.0
2015-03-23,11.27,11.3,11.15,11.15,4870507.0,0.0,1.0,11.27,11.3,11.15,11.15,4870507.0
2015-03-20,11.2,11.3,11.07,11.27,9463000.0,0.0,1.0,11.2,11.3,11.07,11.27,9463000.0
2015-03-19,11.16,11.22,10.985,11.1,8368012.0,0.0,1.0,11.16,11.22,10.985,11.1,8368012.0
2015-03-18,11.2,11.3,11.05,11.165,8896069.0,0.0,1.0,11.2,11.3,11.05,11.165,8896069.0
2015-03-17,11.12,11.24,10.98,11.22,9038796.0,0.0,1.0,11.12,11.24,10.98,11.22,9038796.0
2015-03-16,11.12,11.17,11.05,11.14,6287752.0,0.06,1.0,11.12,11.17,11.05,11.14,6287752.0
2015-03-13,11.17,11.18,11.015,11.12,10154873.0,0.0,1.0,11.110160714286,11.120107142857,10.955991071429,11.060428571429,10154873.0
2015-03-12,10.97,11.21,10.96,11.2,8372586.0,0.0,1.0,10.911232142857,11.149946428571,10.901285714286,11.14,8372586.0
