Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,75.2,76.04,74.92,75.63,1205410.0,0.0,1.0,75.2,76.04,74.92,75.63,1205410.0
2015-04-15,76.13,76.58,75.38,75.43,1628825.0,0.0,1.0,76.13,76.58,75.38,75.43,1628825.0
2015-04-14,75.84,76.64,75.84,76.18,1189902.0,0.0,1.0,75.84,76.64,75.84,76.18,1189902.0
2015-04-13,76.06,76.32,75.49,75.49,1799024.0,0.0,1.0,76.06,76.32,75.49,75.49,1799024.0
2015-04-10,76.9,77.35,75.86,76.19,1454181.0,0.0,1.0,76.9,77.35,75.86,76.19,1454181.0
2015-04-09,78.19,78.34,76.525,76.69,1686514.0,0.0,1.0,78.19,78.34,76.525,76.69,1686514.0
2015-04-08,78.35,78.631,77.97,78.24,1621926.0,0.0,1.0,78.35,78.631,77.97,78.24,1621926.0
2015-04-07,79.2,79.2,78.04,78.12,2360598.0,0.0,1.0,79.2,79.2,78.04,78.12,2360598.0
2015-04-06,78.12,79.6,78.11,79.44,2557029.0,0.0,1.0,78.12,79.6,78.11,79.44,2557029.0
2015-04-02,77.15,78.09,76.96,77.83,1796903.0,0.0,1.0,77.15,78.09,76.96,77.83,1796903.0
2015-04-01,77.46,77.46,76.78,77.2,2038569.0,0.0,1.0,77.46,77.46,76.78,77.2,2038569.0
2015-03-31,78.43,78.6485,77.3,77.36,3128140.0,0.0,1.0,78.43,78.6485,77.3,77.36,3128140.0
2015-03-30,78.03,78.77,77.59,78.71,1647336.0,0.0,1.0,78.03,78.77,77.59,78.71,1647336.0
2015-03-27,77.59,78.26,77.27,77.78,1798514.0,0.0,1.0,77.59,78.26,77.27,77.78,1798514.0
2015-03-26,77.46,78.0,77.17,77.4,1946138.0,0.0,1.0,77.46,78.0,77.17,77.4,1946138.0
2015-03-25,79.19,79.6,77.78,77.93,1872880.0,0.0,1.0,79.19,79.6,77.78,77.93,1872880.0
2015-03-24,79.19,79.65,78.79,79.09,2436843.0,0.0,1.0,79.19,79.65,78.79,79.09,2436843.0
2015-03-23,78.93,80.35,78.76,79.4,2298885.0,0.0,1.0,78.93,80.35,78.76,79.4,2298885.0
2015-03-20,76.55,79.13,76.55,79.13,6743138.0,0.0,1.0,76.55,79.13,76.55,79.13,6743138.0
2015-03-19,77.05,77.64,76.61,76.78,2515066.0,0.0,1.0,77.05,77.64,76.61,76.78,2515066.0
2015-03-18,74.67,77.29,74.3,76.97,3247867.0,0.0,1.0,74.67,77.29,74.3,76.97,3247867.0
2015-03-17,75.2,75.64,74.58,74.66,2507991.0,0.0,1.0,75.2,75.64,74.58,74.66,2507991.0
2015-03-16,75.26,76.22,75.03,75.2,2636241.0,0.0,1.0,75.26,76.22,75.03,75.2,2636241.0
