Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,42.65,42.81,42.37,42.66,1637313.0,0.0,1.0,42.65,42.81,42.37,42.66,1637313.0
2015-04-15,42.64,42.91,42.54,42.69,3051348.0,0.0,1.0,42.64,42.91,42.54,42.69,3051348.0
2015-04-14,42.75,42.95,42.45,42.63,1567523.0,0.0,1.0,42.75,42.95,42.45,42.63,1567523.0
2015-04-13,42.45,42.95,42.34,42.86,1850243.0,0.0,1.0,42.45,42.95,42.34,42.86,1850243.0
2015-04-10,42.41,42.59,42.21,42.56,1721075.0,0.0,1.0,42.41,42.59,42.21,42.56,1721075.0
2015-04-09,42.22,42.49,42.08,42.45,2315289.0,0.0,1.0,42.22,42.49,42.08,42.45,2315289.0
2015-04-08,42.02,42.43,41.9,42.4,1765477.0,0.0,1.0,42.02,42.43,41.9,42.4,1765477.0
2015-04-07,42.33,42.55,42.01,42.02,1395934.0,0.0,1.0,42.33,42.55,42.01,42.02,1395934.0
2015-04-06,41.72,42.58,41.56,42.33,2432283.0,0.0,1.0,41.72,42.58,41.56,42.33,2432283.0
2015-04-02,41.8,42.19,41.68,42.13,1421028.0,0.0,1.0,41.8,42.19,41.68,42.13,1421028.0
2015-04-01,41.7,41.96,41.52,41.79,2138297.0,0.0,1.0,41.7,41.96,41.52,41.79,2138297.0
2015-03-31,42.08,42.145,41.7,41.82,3507916.0,0.0,1.0,42.08,42.145,41.7,41.82,3507916.0
2015-03-30,42.1,42.48,42.02,42.37,1834815.0,0.0,1.0,42.1,42.48,42.02,42.37,1834815.0
2015-03-27,42.04,42.12,41.77,41.95,2267991.0,0.0,1.0,42.04,42.12,41.77,41.95,2267991.0
2015-03-26,42.11,42.27,41.9,42.12,2388646.0,0.0,1.0,42.11,42.27,41.9,42.12,2388646.0
2015-03-25,42.81,42.96,42.21,42.21,2308380.0,0.0,1.0,42.81,42.96,42.21,42.21,2308380.0
2015-03-24,43.0,43.21,42.79,42.81,2551077.0,0.0,1.0,43.0,43.21,42.79,42.81,2551077.0
2015-03-23,43.1,43.42,42.99,42.99,2479047.0,0.0,1.0,43.1,43.42,42.99,42.99,2479047.0
2015-03-20,42.63,43.13,42.61,43.1,4116262.0,0.0,1.0,42.63,43.13,42.61,43.1,4116262.0
2015-03-19,42.71,42.77,42.37,42.57,2429507.0,0.0,1.0,42.71,42.77,42.37,42.57,2429507.0
2015-03-18,42.5,43.12,42.37,42.87,3460104.0,0.0,1.0,42.5,43.12,42.37,42.87,3460104.0
2015-03-17,42.48,42.72,42.27,42.52,3254291.0,0.0,1.0,42.48,42.72,42.27,42.52,3254291.0
2015-03-16,42.2,42.81,42.13,42.69,3814840.0,0.0,1.0,42.2,42.81,42.13,42.69,3814840.0
2015-03-13,42.14,42.62,41.745,42.05,5510513.0,0.0,1.0,42.14,42.62,41.745,42.05,5510513.0
2015-03-12,41.51,42.26,41.51,42.26,2509183.0,0.0,1.0,41.51,42.26,41.51,42.26,2509183.0
2015-03-11,40.97,41.54,40.9,41.31,3662662.0,0.0,1.0,40.97,41.54,40.9,41.31,3662662.0
2015-03-10,41.0,41.06,40.42,40.69,5442690.0,0.0,1.0,41.0,41.06,40.42,40.69,5442690.0
2015-03-09,40.99,41.43,40.86,41.38,2152040.0,0.0,1.0,40.99,41.43,40.86,41.38,2152040.0
2015-03-06,40.97,41.84,40.8,41.01,3257672.0,0.0,1.0,40.97,41.84,40.8,41.01,3257672.0
2015-03-05,40.66,41.1,40.6,40.99,2446868.0,0.0,1.0,40.66,41.1,40.6,40.99,2446868.0
2015-03-04,40.78,40.85,40.5,40.7,3589177.0,0.0,1.0,40.78,40.85,40.5,40.7,3589177.0
2015-03-03,41.03,41.285,41.01,41.25,1696822.0,0.0,1.0,41.03,41.285,41.01,41.25,1696822.0
2015-03-02,40.88,41.295,40.76,41.26,2844554.0,0.0,1.0,40.88,41.295,40.76,41.26,2844554.0
2015-02-27,41.0,41.12,40.7,40.96,3730008.0,0.0,1.0,41.0,41.12,40.7,40.96,3730008.0
2015-02-26,40.95,41.16,40.795,40.99,2858293.0,0.0,1.0,40.95,41.16,40.795,40.99,2858293.0
2015-02-25,41.21,41.39,40.99,41.01,2496911.0,0.0,1.0,41.21,41.39,40.99,41.01,2496911.0
2015-02-24,41.12,41.41,41.1,41.32,2326210.0,0.0,1.0,41.12,41.41,41.1,41.32,2326210.0
2015-02-23,41.44,41.46,40.99,41.16,1625505.0,0.0,1.0,41.44,41.46,40.99,41.16,1625505.0
2015-02-20,41.23,41.56,40.865,41.47,4037855.0,0.0,1.0,41.23,41.56,40.865,41.47,4037855.0
2015-02-19,41.04,41.5,41.01,41.43,2005174.0,0.0,1.0,41.04,41.5,41.01,41.43,2005174.0
2015-02-18,41.42,41.5,41.08,41.19,2290856.0,0.0,1.0,41.42,41.5,41.08,41.19,2290856.0
2015-02-17,41.21,41.77,41.1,41.53,2114781.0,0.0,1.0,41.21,41.77,41.1,41.53,2114781.0
2015-02-13,41.04,41.345,40.95,41.27,2109246.0,0.0,1.0,41.04,41.345,40.95,41.27,2109246.0
2015-02-12,40.71,41.11,40.61,41.08,1994880.0,0.0,1.0,40.71,41.11,40.61,41.08,1994880.0
2015-02-11,40.58,40.67,40.24,40.55,1952652.0,0.0,1.0,40.58,40.67,40.24,40.55,1952652.0
2015-02-10,40.72,40.84,40.22,40.59,1896055.0,0.0,1.0,40.72,40.84,40.22,40.59,1896055.0
2015-02-09,40.04,40.47,40.0,40.37,2158651.0,0.0,1.0,40.04,40.47,40.0,40.37,2158651.0
2015-02-06,40.31,40.7501,40.19,40.28,3763602.0,0.0,1.0,40.31,40.7501,40.19,40.28,3763602.0
2015-02-05,39.69,40.185,39.52,40.01,4024010.0,0.0,1.0,39.69,40.185,39.52,40.01,4024010.0
2015-02-04,39.64,40.335,39.54,39.75,4703742.0,0.0,1.0,39.64,40.335,39.54,39.75,4703742.0
2015-02-03,39.68,39.95,38.89,39.63,11829064.0,0.0,1.0,39.68,39.95,38.89,39.63,11829064.0
2015-02-02,38.99,39.71,38.65,39.56,5171967.0,0.0,1.0,38.99,39.71,38.65,39.56,5171967.0
2015-01-30,39.075,39.785,38.88,38.9,4329539.0,0.0,1.0,39.075,39.785,38.88,38.9,4329539.0
2015-01-29,39.42,39.73,39.16,39.57,3014607.0,0.0,1.0,39.42,39.73,39.16,39.57,3014607.0
2015-01-28,40.18,40.26,39.27,39.28,3847559.0,0.0,1.0,40.18,40.26,39.27,39.28,3847559.0
2015-01-26,39.97,40.15,39.88,40.05,3097268.0,0.0,1.0,39.97,40.15,39.88,40.05,3097268.0
2015-01-23,40.62,40.77,40.111,40.14,2097456.0,0.0,1.0,40.62,40.77,40.111,40.14,2097456.0
2015-01-22,39.97,40.735,39.64,40.63,4223040.0,0.0,1.0,39.97,40.735,39.64,40.63,4223040.0
2015-01-21,39.61,40.01,39.33,39.7,3145268.0,0.0,1.0,39.61,40.01,39.33,39.7,3145268.0
2015-01-20,40.2,40.33,39.56,39.71,3276106.0,0.0,1.0,40.2,40.33,39.56,39.71,3276106.0
2015-01-15,39.83,40.295,39.53,39.58,3825456.0,0.0,1.0,39.83,40.295,39.53,39.58,3825456.0
2015-01-14,39.79,39.95,39.22,39.79,3559078.0,0.0,1.0,39.79,39.95,39.22,39.79,3559078.0
2015-01-13,40.62,40.9701,40.02,40.41,3402803.0,0.0,1.0,40.62,40.9701,40.02,40.41,3402803.0
2015-01-12,40.74,40.77,39.8935,40.31,2828716.0,0.0,1.0,40.74,40.77,39.8935,40.31,2828716.0
2015-01-08,41.08,41.37,40.96,41.06,2834362.0,0.0,1.0,41.08,41.37,40.96,41.06,2834362.0
2015-01-06,40.91,40.99,40.06,40.24,3260587.0,0.0,1.0,40.91,40.99,40.06,40.24,3260587.0
2015-01-05,41.55,41.6,40.72,40.91,2718555.0,0.0,1.0,41.55,41.6,40.72,40.91,2718555.0
2015-01-02,42.0,42.19,41.5419,41.79,1846321.0,0.0,1.0,42.0,42.19,41.5419,41.79,1846321.0
2014-12-31,42.38,42.4,41.685,41.69,1528871.0,0.0,1.0,42.38,42.4,41.685,41.69,1528871.0
2014-12-30,42.14,42.43,41.94,42.27,1411382.0,0.0,1.0,42.14,42.43,41.94,42.27,1411382.0
2014-12-26,42.18,42.27,42.0,42.04,1051558.0,0.0,1.0,42.18,42.27,42.0,42.04,1051558.0
2014-12-24,42.34,42.41,42.01,42.13,672268.0,0.0,1.0,42.34,42.41,42.01,42.13,672268.0
2014-12-23,41.99,42.42,41.84,42.25,2611841.0,0.0,1.0,41.99,42.42,41.84,42.25,2611841.0
2014-12-22,42.02,42.15,41.53,41.81,4709417.0,0.0,1.0,42.02,42.15,41.53,41.81,4709417.0
2014-12-19,41.81,42.01,41.48,41.96,6826517.0,0.0,1.0,41.81,42.01,41.48,41.96,6826517.0
2014-12-18,41.49,41.94,41.31,41.94,3798925.0,0.0,1.0,41.49,41.94,41.31,41.94,3798925.0
2014-12-17,40.1,41.11,40.0,40.96,4590036.0,0.0,1.0,40.1,41.11,40.0,40.96,4590036.0
2014-12-16,40.1,40.82,39.86,39.9,2863914.0,0.0,1.0,40.1,40.82,39.86,39.9,2863914.0
2014-12-15,40.87,40.89,40.0,40.33,3683513.0,0.0,1.0,40.87,40.89,40.0,40.33,3683513.0
2014-12-11,41.3,41.59,41.1,41.17,2364004.0,0.0,1.0,41.3,41.59,41.1,41.17,2364004.0
2014-12-10,41.48,41.76,41.02,41.08,3538992.0,0.0,1.0,41.48,41.76,41.02,41.08,3538992.0
2014-12-09,41.64,41.7225,41.3,41.55,3389079.0,0.0,1.0,41.64,41.7225,41.3,41.55,3389079.0
2014-12-05,41.63,42.08,41.42,41.6,2769462.0,0.0,1.0,41.63,42.08,41.42,41.6,2769462.0
2014-12-04,41.34,41.57,41.17,41.31,3252877.0,0.0,1.0,41.34,41.57,41.17,41.31,3252877.0
2014-12-02,41.04,41.38,40.95,41.34,2864877.0,0.0,1.0,41.04,41.38,40.95,41.34,2864877.0
2014-12-01,41.18,41.21,40.72,41.01,3116862.0,0.0,1.0,41.18,41.21,40.72,41.01,3116862.0
2014-11-28,41.18,41.58,41.12,41.3,1716510.0,0.0,1.0,41.18,41.58,41.12,41.3,1716510.0
2014-11-26,41.26,41.28,40.97,41.13,2024934.0,0.18,1.0,41.26,41.28,40.97,41.13,2024934.0
2014-11-25,41.56,41.69,41.2,41.45,2300888.0,0.0,1.0,41.378910675381,41.50834422658,41.020479302832,41.269389978214,2300888.0
2014-11-24,41.5,41.64,41.36,41.59,2180630.0,0.0,1.0,41.31917211329,41.458562091503,41.179782135076,41.408779956427,2180630.0
2014-11-21,41.37,41.39,41.13,41.34,4016754.0,0.0,1.0,41.189738562092,41.209651416122,40.950784313725,41.159869281046,4016754.0
2014-11-20,40.44,41.0201,40.311,40.89,2149677.0,0.0,1.0,40.263790849673,40.841363180828,40.135352941176,40.711830065359,2149677.0
2014-11-19,40.43,40.99,40.28,40.8,3473252.0,0.0,1.0,40.253834422658,40.811394335512,40.104488017429,40.622222222222,3473252.0
2014-11-18,40.12,40.6,40.08,40.54,2553116.0,0.0,1.0,39.945185185185,40.423093681917,39.905359477124,40.363355119826,2553116.0
2014-11-17,39.82,40.12,39.75,40.08,2435378.0,0.0,1.0,39.646492374728,39.945185185185,39.576797385621,39.905359477124,2435378.0
2014-11-14,39.9,40.06,39.79,39.9,1989523.0,0.0,1.0,39.72614379085,39.885446623094,39.616623093682,39.72614379085,1989523.0
2014-11-13,40.04,40.12,39.65,39.89,3433634.0,0.0,1.0,39.865533769063,39.945185185185,39.477233115468,39.716187363834,3433634.0
2014-11-12,39.94,40.3,39.85,39.96,2881558.0,0.0,1.0,39.765969498911,40.12440087146,39.676361655773,39.785882352941,2881558.0
2014-11-11,40.13,40.44,40.06,40.16,1934808.0,0.0,1.0,39.9551416122,40.263790849673,39.885446623094,39.985010893246,1934808.0
2014-11-10,40.3,40.33,39.86,40.09,3067502.0,0.0,1.0,40.12440087146,40.154270152505,39.686318082789,39.915315904139,3067502.0
2014-11-07,39.77,40.21,39.56,40.2,3361588.0,0.0,1.0,39.596710239651,40.034793028322,39.387625272331,40.024836601307,3361588.0
2014-11-06,39.78,39.92,39.46,39.91,3033439.0,0.0,1.0,39.606666666667,39.74605664488,39.288061002179,39.736100217865,3033439.0
2014-11-04,39.62,39.83,39.21,39.67,3954301.0,0.0,1.0,39.447363834423,39.656448801743,39.039150326797,39.497145969499,3954301.0
2014-11-03,39.785,39.83,39.41,39.64,2996342.0,0.0,1.0,39.611644880174,39.656448801743,39.238278867102,39.467276688453,2996342.0
2014-10-31,39.63,39.82,39.375,39.58,4292889.0,0.0,1.0,39.457320261438,39.646492374728,39.203431372549,39.407538126362,4292889.0
2014-10-30,38.92,39.245,38.67,39.1,4012690.0,0.0,1.0,38.750413943355,39.073997821351,38.501503267974,38.92962962963,4012690.0
2014-10-29,38.97,39.2,38.5,38.87,4019828.0,0.0,1.0,38.800196078431,39.029193899782,38.332244008715,38.700631808279,4019828.0
2014-10-28,38.16,38.9,38.16,38.8,4934696.0,0.0,1.0,37.993725490196,38.730501089325,37.993725490196,38.630936819172,4934696.0
2014-10-27,37.37,37.86,37.31,37.69,4577572.0,0.0,1.0,37.207167755991,37.695032679739,37.1474291939,37.525773420479,4577572.0
2014-10-24,37.21,37.6,37.05,37.55,2629552.0,0.0,1.0,37.047864923747,37.436165577342,36.888562091503,37.386383442266,2629552.0
2014-10-23,37.35,37.48,37.05,37.11,3020257.0,0.0,1.0,37.187254901961,37.316688453159,36.888562091503,36.948300653595,3020257.0
2014-10-22,37.07,37.4,36.875,36.92,2795493.0,0.0,1.0,36.908474945534,37.237037037037,36.714324618736,36.759128540305,2795493.0
2014-10-21,36.65,37.07,36.59,36.99,3674282.0,0.0,1.0,36.490305010893,36.908474945534,36.430566448802,36.828823529412,3674282.0
2014-10-20,35.97,36.6501,35.87,36.45,5477011.0,0.0,1.0,35.813267973856,36.490404575163,35.713703703704,36.291176470588,5477011.0
2014-10-17,35.97,36.15,35.7,36.09,4698218.0,0.0,1.0,35.813267973856,35.992483660131,35.544444444444,35.932745098039,4698218.0
