Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,61.64,61.93,61.14,61.71,2256471.0,0.0,1.0,61.64,61.93,61.14,61.71,2256471.0
2015-04-15,62.18,62.26,61.57,61.7,2007134.0,0.0,1.0,62.18,62.26,61.57,61.7,2007134.0
2015-04-14,62.06,62.366,61.19,62.17,1379357.0,0.0,1.0,62.06,62.366,61.19,62.17,1379357.0
2015-04-13,62.62,62.92,62.31,62.44,1402849.0,0.0,1.0,62.62,62.92,62.31,62.44,1402849.0
2015-04-10,62.65,62.96,62.27,62.51,1661696.0,0.0,1.0,62.65,62.96,62.27,62.51,1661696.0
2015-04-09,62.04,62.66,61.98,62.59,1782355.0,0.0,1.0,62.04,62.66,61.98,62.59,1782355.0
2015-04-08,61.78,62.53,61.78,62.33,2771931.0,0.0,1.0,61.78,62.53,61.78,62.33,2771931.0
2015-04-07,61.37,61.9,61.1603,61.4,2129981.0,0.0,1.0,61.37,61.9,61.1603,61.4,2129981.0
2015-04-06,60.77,61.95,60.5502,61.61,2701563.0,0.0,1.0,60.77,61.95,60.5502,61.61,2701563.0
2015-04-02,60.2,61.2,60.0,61.05,1443861.0,0.0,1.0,60.2,61.2,60.0,61.05,1443861.0
2015-04-01,60.7,61.1,59.99,60.28,1731473.0,0.0,1.0,60.7,61.1,59.99,60.28,1731473.0
2015-03-31,60.44,60.89,60.42,60.74,1591137.0,0.0,1.0,60.44,60.89,60.42,60.74,1591137.0
2015-03-30,59.97,60.965,59.84,60.75,1879246.0,0.0,1.0,59.97,60.965,59.84,60.75,1879246.0
2015-03-27,59.8,60.24,59.32,59.46,1927740.0,0.0,1.0,59.8,60.24,59.32,59.46,1927740.0
2015-03-26,59.8,60.25,59.78,59.98,1194755.0,0.0,1.0,59.8,60.25,59.78,59.98,1194755.0
2015-03-25,61.83,62.15,60.27,60.27,1369154.0,0.0,1.0,61.83,62.15,60.27,60.27,1369154.0
2015-03-24,61.55,61.7,60.92,60.92,1002142.0,0.0,1.0,61.55,61.7,60.92,60.92,1002142.0
2015-03-23,61.81,62.38,61.58,61.74,2243289.0,0.0,1.0,61.81,62.38,61.58,61.74,2243289.0
2015-03-20,61.43,62.09,61.26,61.94,2996228.0,0.0,1.0,61.43,62.09,61.26,61.94,2996228.0
2015-03-19,60.72,61.43,60.72,61.18,1415730.0,0.0,1.0,60.72,61.43,60.72,61.18,1415730.0
2015-03-18,59.75,61.36,59.01,60.9,2457026.0,0.0,1.0,59.75,61.36,59.01,60.9,2457026.0
2015-03-17,59.03,59.99,59.03,59.75,2484035.0,0.0,1.0,59.03,59.99,59.03,59.75,2484035.0
2015-03-16,58.99,59.3,58.75,59.24,2243511.0,0.0,1.0,58.99,59.3,58.75,59.24,2243511.0
2015-03-13,60.21,60.23,58.24,58.8,6391421.0,0.0,1.0,60.21,60.23,58.24,58.8,6391421.0
2015-03-12,62.48,62.75,60.26,60.85,4459862.0,0.0,1.0,62.48,62.75,60.26,60.85,4459862.0
2015-03-11,62.4,62.72,62.16,62.16,1947354.0,0.0,1.0,62.4,62.72,62.16,62.16,1947354.0
2015-03-10,62.34,62.71,61.98,62.21,1422539.0,0.0,1.0,62.34,62.71,61.98,62.21,1422539.0
2015-03-09,62.02,63.03,61.28,62.88,2044808.0,0.0,1.0,62.02,63.03,61.28,62.88,2044808.0
2015-03-06,62.75,63.26,61.96,62.06,2634348.0,0.0,1.0,62.75,63.26,61.96,62.06,2634348.0
2015-03-05,62.94,63.34,62.71,63.0,1051050.0,0.0,1.0,62.94,63.34,62.71,63.0,1051050.0
2015-03-04,63.8,63.96,62.51,62.84,1159546.0,0.0,1.0,63.8,63.96,62.51,62.84,1159546.0
2015-03-03,64.95,64.95,63.85,64.15,1267518.0,0.0,1.0,64.95,64.95,63.85,64.15,1267518.0
2015-03-02,63.56,65.2,63.5,65.07,2274315.0,0.0,1.0,63.56,65.2,63.5,65.07,2274315.0
2015-02-27,64.06,64.4296,63.51,63.57,1405080.0,0.0,1.0,64.06,64.4296,63.51,63.57,1405080.0
2015-02-26,63.42,64.0,63.35,63.84,1838967.0,0.0,1.0,63.42,64.0,63.35,63.84,1838967.0
2015-02-25,62.1,63.4,62.08,63.36,1690416.0,0.0,1.0,62.1,63.4,62.08,63.36,1690416.0
2015-02-24,62.39,62.47,61.87,62.28,2278395.0,0.0,1.0,62.39,62.47,61.87,62.28,2278395.0
2015-02-23,63.24,63.38,62.25,62.39,1855189.0,0.0,1.0,63.24,63.38,62.25,62.39,1855189.0
2015-02-20,62.97,63.8,62.5,63.48,1461907.0,0.0,1.0,62.97,63.8,62.5,63.48,1461907.0
2015-02-19,63.36,63.65,62.98,63.37,761571.0,0.0,1.0,63.36,63.65,62.98,63.37,761571.0
2015-02-18,63.9,64.15,63.18,63.26,1483889.0,0.0,1.0,63.9,64.15,63.18,63.26,1483889.0
2015-02-17,63.95,64.62,63.64,64.32,1027502.0,0.0,1.0,63.95,64.62,63.64,64.32,1027502.0
2015-02-13,62.94,63.95,62.89,63.9,1181118.0,0.31,1.0,62.94,63.95,62.89,63.9,1181118.0
2015-02-12,62.87,63.11,62.38,63.08,1720605.0,0.0,1.0,62.56646939729,62.805310699268,62.078835072419,62.775455536521,1720605.0
2015-02-11,63.72,63.98,62.6,62.76,1824109.0,0.0,1.0,63.412365675128,63.671110418938,62.297772932565,62.457000467217,1824109.0
2015-02-10,64.24,64.36,63.01,63.81,1230067.0,0.0,1.0,63.929855162747,64.049275813736,62.705793490111,63.50193116337,1230067.0
2015-02-09,63.85,64.59,63.73,63.79,1332927.0,0.0,1.0,63.541738047033,64.278165394798,63.422317396044,63.482027721539,1332927.0
2015-02-06,63.14,64.36,63.274,64.21,1561755.0,0.0,1.0,62.835165862015,64.049275813736,62.968518922286,63.9,1561755.0
2015-02-04,63.12,63.45,62.65,62.76,1270955.0,0.0,1.0,62.815262420184,63.143669210403,62.347531537144,62.457000467217,1270955.0
2015-02-03,62.24,63.53,62.2,63.49,1378137.0,0.0,1.0,61.939510979598,63.223282977729,61.899704095935,63.183476094066,1378137.0
2015-02-02,61.68,62.06,60.775,61.68,2166516.0,0.0,1.0,61.382214608316,61.760380003115,60.481583865442,61.382214608316,2166516.0
2015-01-30,63.54,63.65,61.62,61.7,3559768.0,0.0,1.0,63.233234698645,63.342703628718,61.322504282822,61.402118050148,3559768.0
2015-01-29,63.17,65.28,62.67,64.6,3470575.0,0.0,1.0,62.865021024762,64.964834137985,62.367434978975,64.288117115714,3470575.0
2015-01-28,62.66,63.0,61.21,62.29,4250039.0,0.0,1.0,62.357483258059,62.695841769195,60.914483725276,61.989269584177,4250039.0
2015-01-26,64.82,65.4,64.67,64.85,1988731.0,0.0,1.0,64.50705497586,65.084254788974,64.357779162124,64.536910138608,1988731.0
2015-01-23,66.12,66.28,64.99,65.0,2068191.0,0.0,1.0,65.800778694907,65.960006229559,64.676234231428,64.686185952344,2068191.0
2015-01-22,64.4,65.83,64.18,65.62,1674474.0,0.0,1.0,64.089082697399,65.512178788351,63.870144837253,65.30319264912,1674474.0
2015-01-21,62.97,64.14,62.73,64.01,1390784.0,0.0,1.0,62.665986606448,63.83033795359,62.42714530447,63.700965581685,1390784.0
2015-01-20,62.93,63.57,62.56,63.36,1258780.0,0.0,1.0,62.626179722785,63.263089861392,62.257966048902,63.054103722162,1258780.0
