Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,103.23,104.1675,103.05,103.92,3324312.0,0.0,1.0,103.23,104.1675,103.05,103.92,3324312.0
2015-04-15,103.75,104.235,103.49,103.79,2222776.0,0.0,1.0,103.75,104.235,103.49,103.79,2222776.0
2015-04-14,102.97,103.5469,102.48,103.25,2183422.0,0.0,1.0,102.97,103.5469,102.48,103.25,2183422.0
2015-04-13,104.31,104.65,103.28,103.28,2766562.0,0.0,1.0,104.31,104.65,103.28,103.28,2766562.0
2015-04-10,104.77,104.9,103.97,104.7,2106853.0,0.0,1.0,104.77,104.9,103.97,104.7,2106853.0
2015-04-09,103.86,104.63,103.45,104.39,1950906.0,0.0,1.0,103.86,104.63,103.45,104.39,1950906.0
2015-04-08,103.99,104.74,103.49,103.85,2085246.0,0.0,1.0,103.99,104.74,103.49,103.85,2085246.0
2015-04-07,104.36,104.85,104.13,104.13,1827892.0,0.0,1.0,104.36,104.85,104.13,104.13,1827892.0
2015-04-06,102.82,105.06,102.74,104.49,2198044.0,0.0,1.0,102.82,105.06,102.74,104.49,2198044.0
2015-04-02,103.37,104.01,102.81,103.51,2032860.0,0.0,1.0,103.37,104.01,102.81,103.51,2032860.0
2015-04-01,104.05,104.1,102.62,103.24,2644118.0,0.0,1.0,104.05,104.1,102.62,103.24,2644118.0
2015-03-31,104.25,104.815,103.79,104.31,2747440.0,0.0,1.0,104.25,104.815,103.79,104.31,2747440.0
2015-03-30,103.71,105.1,103.58,104.91,2574808.0,0.0,1.0,103.71,105.1,103.58,104.91,2574808.0
2015-03-27,102.11,103.05,102.01,102.96,3187735.0,0.0,1.0,102.11,103.05,102.01,102.96,3187735.0
2015-03-26,101.38,102.61,100.877,102.17,2773320.0,0.0,1.0,101.38,102.61,100.877,102.17,2773320.0
2015-03-25,104.41,104.41,101.92,101.93,2464824.0,0.0,1.0,104.41,104.41,101.92,101.93,2464824.0
2015-03-24,104.1,104.83,103.7201,104.06,2389239.0,0.0,1.0,104.1,104.83,103.7201,104.06,2389239.0
2015-03-23,105.39,105.39,103.92,104.3,4016326.0,0.0,1.0,105.39,105.39,103.92,104.3,4016326.0
2015-03-20,103.71,106.15,103.6,105.4,9904987.0,0.0,1.0,103.71,106.15,103.6,105.4,9904987.0
2015-03-19,103.27,103.59,102.47,103.02,2229568.0,0.0,1.0,103.27,103.59,102.47,103.02,2229568.0
2015-03-18,101.98,104.26,101.19,103.84,2951855.0,0.0,1.0,101.98,104.26,101.19,103.84,2951855.0
2015-03-17,102.03,102.51,101.84,102.21,1846652.0,0.0,1.0,102.03,102.51,101.84,102.21,1846652.0
