Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,83.0,83.225,82.25,82.47,2151531.0,0.0,1.0,83.0,83.225,82.25,82.47,2151531.0
2015-04-15,83.66,84.0,83.05,83.12,2008977.0,0.0,1.0,83.66,84.0,83.05,83.12,2008977.0
2015-04-14,83.74,83.83,82.93,83.2,1973882.0,0.0,1.0,83.74,83.83,82.93,83.2,1973882.0
2015-04-13,84.1,84.31,83.535,83.62,1496394.0,0.0,1.0,84.1,84.31,83.535,83.62,1496394.0
2015-04-10,84.41,85.01,84.05,84.35,1752598.0,0.0,1.0,84.41,85.01,84.05,84.35,1752598.0
2015-04-09,84.62,84.75,83.9,84.24,5519809.0,0.0,1.0,84.62,84.75,83.9,84.24,5519809.0
2015-04-08,85.1,85.88,84.41,84.69,3161832.0,0.0,1.0,85.1,85.88,84.41,84.69,3161832.0
2015-04-07,85.04,85.24,84.14,84.39,4938050.0,0.0,1.0,85.04,85.24,84.14,84.39,4938050.0
2015-04-06,83.34,85.1,82.96,84.89,2471260.0,0.0,1.0,83.34,85.1,82.96,84.89,2471260.0
2015-04-02,84.04,84.41,83.62,84.09,1203083.0,0.0,1.0,84.04,84.41,83.62,84.09,1203083.0
2015-04-01,83.37,83.97,82.68,83.96,1352953.0,0.0,1.0,83.37,83.97,82.68,83.96,1352953.0
2015-03-31,84.0,84.47,83.43,83.5,2143071.0,0.0,1.0,84.0,84.47,83.43,83.5,2143071.0
2015-03-30,85.76,85.83,84.31,84.33,1695100.0,0.0,1.0,85.76,85.83,84.31,84.33,1695100.0
2015-03-27,84.7,85.57,84.16,85.23,4824049.0,0.0,1.0,84.7,85.57,84.16,85.23,4824049.0
2015-03-26,81.03,86.76,80.724,84.78,11623119.0,0.0,1.0,81.03,86.76,80.724,84.78,11623119.0
2015-03-25,82.23,82.67,81.63,81.64,2898025.0,0.0,1.0,82.23,82.67,81.63,81.64,2898025.0
2015-03-24,84.68,84.68,82.95,82.97,3098423.0,0.0,1.0,84.68,84.68,82.95,82.97,3098423.0
2015-03-23,84.16,85.2,83.67,84.91,2231232.0,0.0,1.0,84.16,85.2,83.67,84.91,2231232.0
2015-03-20,84.07,84.56,83.47,84.39,3738767.0,0.0,1.0,84.07,84.56,83.47,84.39,3738767.0
2015-03-19,82.89,83.93,82.06,83.5,5265081.0,0.0,1.0,82.89,83.93,82.06,83.5,5265081.0
2015-03-18,82.0,83.22,81.03,83.15,4684688.0,0.0,1.0,82.0,83.22,81.03,83.15,4684688.0
2015-03-17,81.47,82.29,81.001,82.0,4522755.0,0.0,1.0,81.47,82.29,81.001,82.0,4522755.0
2015-03-16,81.32,81.64,80.77,81.51,4157475.0,0.0,1.0,81.32,81.64,80.77,81.51,4157475.0
2015-03-13,80.9,80.94,80.12,80.77,2630246.0,0.0,1.0,80.9,80.94,80.12,80.77,2630246.0
2015-03-12,80.68,82.06,80.64,81.2,1936854.0,0.0,1.0,80.68,82.06,80.64,81.2,1936854.0
2015-03-11,79.62,80.45,79.43,80.29,3022507.0,0.0,1.0,79.62,80.45,79.43,80.29,3022507.0
2015-03-10,79.69,79.98,79.09,79.31,3038163.0,0.0,1.0,79.69,79.98,79.09,79.31,3038163.0
2015-03-09,80.62,80.9,80.33,80.63,2769574.0,0.0,1.0,80.62,80.9,80.33,80.63,2769574.0
2015-03-06,80.04,80.8304,79.94,80.69,3600600.0,0.0,1.0,80.04,80.8304,79.94,80.69,3600600.0
2015-03-05,81.33,81.62,80.54,80.75,1870946.0,0.0,1.0,81.33,81.62,80.54,80.75,1870946.0
2015-03-04,81.74,82.0,80.71,80.94,2138638.0,0.0,1.0,81.74,82.0,80.71,80.94,2138638.0
2015-03-03,82.07,83.21,81.65,82.33,3033405.0,0.0,1.0,82.07,83.21,81.65,82.33,3033405.0
2015-03-02,80.37,83.3,79.74,82.86,3797450.0,0.0,1.0,80.37,83.3,79.74,82.86,3797450.0
2015-02-27,80.0,80.59,79.87,80.33,3088302.0,0.0,1.0,80.0,80.59,79.87,80.33,3088302.0
2015-02-26,80.0,80.09,79.54,80.0,2055883.0,0.0,1.0,80.0,80.09,79.54,80.0,2055883.0
2015-02-25,79.91,80.63,79.61,80.22,1503188.0,0.0,1.0,79.538694009045,80.255348491419,79.240087974723,79.847253577845,1503188.0
2015-02-24,79.49,79.97,78.83,79.81,1343683.0,0.0,1.0,79.120645560994,79.59841521591,78.463712285484,79.439158664271,1343683.0
2015-02-23,80.15,80.33,79.28,79.45,1825803.0,0.0,1.0,79.777578836503,79.956742457097,78.911621336968,79.080831423084,1825803.0
2015-02-20,79.4,80.44,78.6,80.26,2517414.0,0.0,1.0,79.031063750697,80.066231336348,78.234780992504,79.887067715755,2517414.0
2015-02-19,79.88,80.299,79.36,79.46,2096222.0,0.0,1.0,79.508833405613,79.925886500217,78.991249612787,79.090784957561,2096222.0
2015-02-18,80.04,80.39,78.845,79.56,3597234.0,0.0,1.0,79.668089957252,80.016463663961,78.4786425872,79.190320302336,3597234.0
2015-02-17,81.02,82.42,80.53,80.64,6573342.0,0.0,1.0,80.643536336039,82.037031162877,80.155813146645,80.265302025897,6573342.0
2015-02-13,78.29,78.78,77.6515,78.55,2200622.0,0.0,1.0,77.926221423704,78.413944613097,77.29068824732,78.185013320116,2200622.0
2015-02-12,76.64,77.98,76.37,77.88,2226332.0,0.0,1.0,76.28388823493,77.617661854904,76.015142804039,77.518126510129,2226332.0
2015-02-11,76.2,77.3,75.94,76.26,2807447.0,0.0,1.0,75.845932717923,76.940821510439,75.58714082151,75.905653924788,2807447.0
2015-02-10,76.79,78.15,74.7601,75.93,8732053.0,0.0,1.0,76.433191252091,77.78687194102,74.41272328852,75.577187287033,8732053.0
2015-02-09,71.53,71.75,70.71,71.23,4301502.0,0.0,1.0,71.197632116969,71.416609875472,70.381442289821,70.899026082647,4301502.0
2015-02-06,74.3,74.3,71.44,71.66,7741814.0,0.0,1.0,73.954761167214,73.954761167214,71.108050306672,71.327028065176,7741814.0
2015-02-04,73.58,74.68,73.39,73.69,1797327.0,0.0,1.0,73.23810668484,74.332995477356,73.048989529769,73.347595564091,1797327.0
2015-02-03,72.26,74.33,72.175,74.27,2072336.0,0.0,1.0,71.924240133821,73.984621770646,71.839635090763,73.924900563782,2072336.0
2015-02-02,72.05,72.145,70.66,71.98,2317418.0,0.0,1.0,71.715215909795,71.80977448733,70.331674617434,71.645541168453,2317418.0
2015-01-30,72.48,73.1337,71.89,71.97,2418026.0,0.0,1.0,72.143217892324,72.793880441113,71.555959358156,71.635587633976,2418026.0
2015-01-29,72.98,73.73,72.06,73.58,1821547.0,0.0,1.0,72.640894616195,73.387409702001,71.725169444272,73.23810668484,1821547.0
2015-01-28,74.37,74.5,72.55,72.62,1919534.0,0.0,1.0,74.024435908556,74.153831856762,72.212892633666,72.282567375008,1919534.0
2015-01-26,74.7,75.62,74.66,75.31,1561612.0,0.0,1.0,74.352902546311,75.268627718233,74.313088408401,74.960068149433,1561612.0
2015-01-23,75.45,75.62,74.35,74.63,1253552.0,0.0,1.0,75.099417632117,75.268627718233,74.004528839601,74.283227804969,1253552.0
2015-01-22,74.0,76.03,73.36,75.36,1748890.0,0.0,1.0,73.656155132891,75.676722631807,73.019128926337,75.00983582182,1748890.0
2015-01-21,72.52,74.46,72.263,73.52,2275430.0,0.0,1.0,72.183032030234,74.114017718853,71.927226194164,73.178385477975,2275430.0
2015-01-20,72.74,73.22,71.71,72.78,2320025.0,0.0,1.0,72.402009788737,72.879779443653,71.376795737563,72.441823926646,2320025.0
2015-01-15,74.3,74.86,73.06,73.14,1559880.0,0.0,1.0,73.954761167214,74.512159097949,72.720522892014,72.800151167833,1559880.0
2015-01-14,73.8,74.25,72.57,73.88,2158690.0,0.0,1.0,73.457084443343,73.904993494827,72.232799702621,73.536712719162,2158690.0
2015-01-13,75.13,75.64,73.94,74.03,2672339.0,0.0,1.0,74.78090452884,75.288534787188,73.596433926027,73.686015736324,2672339.0
2015-01-12,74.81,75.0,74.06,74.18,3467626.0,0.0,1.0,74.462391425562,74.651508580633,73.715876339756,73.835318753485,3467626.0
2015-01-08,77.73,78.39,77.34,77.82,2085826.0,0.0,1.0,77.368823492968,78.025756768478,76.980635648349,77.458405303265,2085826.0
2015-01-06,76.87,76.93,75.02,76.03,2954636.0,0.0,1.0,76.51281952791,76.572540734775,74.671415649588,75.676722631807,2954636.0
2015-01-05,79.83,80.06,76.04,76.6,3991582.0,0.0,1.0,79.459065733226,79.687997026207,75.686676166285,76.24407409702,3991582.0
2015-01-02,81.33,81.67,79.66,80.68,1430128.0,0.0,1.0,80.952095904839,81.290516077071,79.28985564711,80.305116163806,1430128.0
2014-12-31,81.38,81.85,81.04,81.07,1677543.0,0.0,1.0,81.001863577226,81.469679697664,80.663443404994,80.693304008426,1677543.0
2014-12-30,81.36,81.89,81.1,81.27,1281574.0,0.0,1.0,80.981956508271,81.509493835574,80.723164611858,80.892374697974,1281574.0
2014-12-26,80.96,81.55,80.74,81.23,833055.0,0.0,1.0,80.583815129174,81.171073663342,80.364837370671,80.852560560064,833055.0
2014-12-24,80.52,81.19,80.32,80.9,1003557.0,0.0,1.0,80.145859612168,80.812746422155,79.946788922619,80.52409392231,1003557.0
2014-12-23,79.84,80.53,79.28,80.38,1984538.0,0.0,1.0,79.469019267703,80.155813146645,78.911621336968,80.006510129484,1984538.0
2014-12-22,79.85,80.31,79.73,80.12,1147101.0,0.0,1.0,79.478972802181,79.936835388142,79.359530388452,79.747718233071,1147101.0
2014-12-19,79.16,80.085,79.06,79.63,2842116.0,0.0,1.0,78.792178923239,79.7128808624,78.692643578465,79.259995043678,2842116.0
2014-12-18,78.39,78.95,77.41,78.93,3115209.0,0.0,1.0,78.025756768478,78.583154699213,77.050310389691,78.563247630258,3115209.0
2014-12-17,76.37,77.155,75.18,76.94,2461298.0,0.0,1.0,76.015142804039,76.796495260517,74.830672201227,76.582494269252,2461298.0
2014-12-16,78.0,78.04,76.13,76.17,3632546.0,0.0,1.0,77.637568923858,77.677383061768,75.776257976581,75.816072114491,3632546.0
2014-12-15,79.65,80.31,77.75,78.34,1883179.0,0.0,1.0,79.279902112632,79.936835388142,77.388730561923,77.975989096091,1883179.0
2014-12-11,79.97,81.1,79.72,80.13,1851925.0,0.0,1.0,79.59841521591,80.723164611858,79.349576853974,79.757671767548,1851925.0
2014-12-10,81.16,81.27,79.61,79.94,1565608.0,0.0,1.0,80.782885818723,80.892374697974,79.240087974723,79.568554612478,1565608.0
2014-12-09,80.6,81.74,80.37,81.39,1557193.0,0.0,1.0,80.225487887987,81.360190818413,79.996556595007,81.011817111703,1557193.0
2014-12-05,79.93,82.16,79.8801,81.56,3404293.0,0.0,1.0,79.558601078,81.778239266464,79.508932940958,81.181027197819,3404293.0
2014-12-04,78.62,80.01,78.26,79.82,3355358.0,0.35,1.0,78.254688061458,79.638229353819,77.896360820271,79.449112198749,3355358.0
2014-12-02,77.85,78.2,77.3,77.74,2146562.0,0.0,1.0,77.149973614476,77.496826418138,76.604919208722,77.040962733326,2146562.0
2014-12-01,78.58,78.93,77.4,77.4,1635983.0,0.0,1.0,77.873409462114,78.220262265776,76.704020009768,76.704020009768,1635983.0
2014-11-28,78.37,79.6,78.21,79.0,918209.0,0.0,1.0,77.665297779917,78.884237632785,77.506736498243,78.289632826508,918209.0
2014-11-26,77.49,78.4,77.21,77.86,1471686.0,0.0,1.0,76.79321073071,77.695028020231,76.515728487781,77.159883694581,1471686.0
2014-11-25,78.35,78.55,77.18,77.58,2857714.0,0.0,1.0,77.645477619707,77.8436792218,76.485998247467,76.882401451652,2857714.0
2014-11-24,77.37,78.51,77.12,78.32,2423841.0,0.0,1.0,76.674289769455,77.804038901381,76.426537766839,77.615747379394,2423841.0
2014-11-21,76.09,77.19,75.92,76.94,3501158.0,0.0,1.0,75.405799516063,76.495908327571,75.237328154285,76.248156324956,3501158.0
2014-11-20,76.32,76.39,74.43,74.79,3800874.0,0.0,1.0,75.633731358469,75.703101919202,73.760726218696,74.117489102462,3800874.0
2014-11-19,77.28,77.65,76.41,76.43,2223853.0,0.0,1.0,76.585099048513,76.951772012384,75.722922079411,75.74274223962,2223853.0
2014-11-18,76.86,78.26,76.71,77.68,1249437.0,0.0,1.0,76.168875684119,77.556286898766,76.02022448255,76.981502252698,1249437.0
2014-11-17,77.02,77.55,76.5201,76.85,2905122.0,0.0,1.0,76.327436965793,76.852671211338,75.832032061363,76.158965604014,2905122.0
2014-11-14,78.68,78.76,78.18,78.5,1195029.0,0.0,1.0,77.97251026316,78.051790903997,77.477006257929,77.794128821277,1195029.0
2014-11-13,78.22,78.89,78.0,78.66,1847345.0,0.0,1.0,77.516646578347,78.180621945357,77.298624816046,77.952690102951,1847345.0
