Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,77.28,77.92,75.46,75.78,2146611.0,0.0,1.0,77.28,77.92,75.46,75.78,2146611.0
2015-04-15,76.0,78.25,75.1,77.65,2598571.0,0.0,1.0,76.0,78.25,75.1,77.65,2598571.0
2015-04-14,72.5,75.8,72.5,75.69,3168674.0,0.0,1.0,72.5,75.8,72.5,75.69,3168674.0
2015-04-13,73.1,73.62,71.835,72.01,2117684.0,0.0,1.0,73.1,73.62,71.835,72.01,2117684.0
2015-04-10,74.13,74.13,72.5,73.08,1654284.0,0.0,1.0,74.13,74.13,72.5,73.08,1654284.0
2015-04-09,71.7,74.26,71.7,73.93,2121323.0,0.0,1.0,71.7,74.26,71.7,73.93,2121323.0
2015-04-08,73.19,74.03,71.17,71.28,1887597.0,0.0,1.0,73.19,74.03,71.17,71.28,1887597.0
2015-04-07,72.94,74.325,71.94,73.02,2049429.0,0.0,1.0,72.94,74.325,71.94,73.02,2049429.0
2015-04-06,69.9,73.29,69.42,72.85,2856723.0,0.0,1.0,69.9,73.29,69.42,72.85,2856723.0
2015-04-02,67.78,70.04,67.6,69.22,2362848.0,0.0,1.0,67.78,70.04,67.6,69.22,2362848.0
2015-04-01,68.44,69.05,67.72,68.21,2517134.0,0.0,1.0,68.44,69.05,67.72,68.21,2517134.0
2015-03-31,68.12,68.84,67.43,68.07,1781055.0,0.0,1.0,68.12,68.84,67.43,68.07,1781055.0
2015-03-30,68.62,69.33,67.43,68.73,2591119.0,0.0,1.0,68.62,69.33,67.43,68.73,2591119.0
2015-03-27,68.53,68.54,67.33,68.0,1637450.0,0.0,1.0,68.53,68.54,67.33,68.0,1637450.0
2015-03-26,70.2,70.56,68.36,69.11,2083615.0,0.0,1.0,70.2,70.56,68.36,69.11,2083615.0
2015-03-25,68.57,69.74,67.85,69.07,2055463.0,0.0,1.0,68.57,69.74,67.85,69.07,2055463.0
2015-03-24,68.58,68.95,66.72,68.13,2404969.0,0.0,1.0,68.58,68.95,66.72,68.13,2404969.0
2015-03-23,68.16,69.68,68.0,68.51,2190842.0,0.0,1.0,68.16,69.68,68.0,68.51,2190842.0
2015-03-20,67.26,68.17,66.79,68.16,7523123.0,0.0,1.0,67.26,68.17,66.79,68.16,7523123.0
2015-03-19,65.77,66.17,64.84,66.05,1843278.0,0.0,1.0,65.77,66.17,64.84,66.05,1843278.0
2015-03-18,63.65,67.56,62.98,66.94,2064983.0,0.0,1.0,63.65,67.56,62.98,66.94,2064983.0
2015-03-17,63.35,64.31,63.06,64.03,1605180.0,0.0,1.0,63.35,64.31,63.06,64.03,1605180.0
2015-03-16,61.96,64.16,60.97,64.11,3532370.0,0.0,1.0,61.96,64.16,60.97,64.11,3532370.0
2015-03-13,62.61,62.72,60.99,62.49,2298355.0,0.0,1.0,62.61,62.72,60.99,62.49,2298355.0
2015-03-12,65.14,65.14,62.93,63.27,2038658.0,0.0,1.0,65.14,65.14,62.93,63.27,2038658.0
2015-03-11,64.56,64.63,63.37,64.5,2340053.0,0.0,1.0,64.56,64.63,63.37,64.5,2340053.0
2015-03-10,64.69,65.58,64.27,64.33,2124928.0,0.0,1.0,64.69,65.58,64.27,64.33,2124928.0
2015-03-09,66.79,67.36,65.15,65.76,1960657.0,0.0,1.0,66.79,67.36,65.15,65.76,1960657.0
2015-03-06,67.55,68.59,67.05,67.18,1952509.0,0.0,1.0,67.55,68.59,67.05,67.18,1952509.0
2015-03-05,66.28,68.23,65.14,68.12,1647091.0,0.0,1.0,66.28,68.23,65.14,68.12,1647091.0
2015-03-04,67.13,67.21,65.1,66.63,2139903.0,0.0,1.0,67.13,67.21,65.1,66.63,2139903.0
2015-03-03,65.78,67.68,65.29,67.33,1835139.0,0.0,1.0,65.78,67.68,65.29,67.33,1835139.0
2015-03-02,66.73,66.76,64.92,65.71,2310471.0,0.0,1.0,66.73,66.76,64.92,65.71,2310471.0
2015-02-27,66.46,67.49,66.44,67.06,1931333.0,0.0,1.0,66.46,67.49,66.44,67.06,1931333.0
2015-02-26,67.23,67.7,65.91,66.2,2264941.0,0.0,1.0,67.23,67.7,65.91,66.2,2264941.0
