Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,32.95,33.17,32.8,32.81,7516683.0,0.0,1.0,32.95,33.17,32.8,32.81,7516683.0
2015-04-15,32.73,33.27,32.63,33.04,10768332.0,0.0,1.0,32.73,33.27,32.63,33.04,10768332.0
2015-04-14,32.69,32.7,32.03,32.52,11303564.0,0.0,1.0,32.69,32.7,32.03,32.52,11303564.0
2015-04-13,32.11,32.85,31.9,32.7,19594248.0,0.0,1.0,32.11,32.85,31.9,32.7,19594248.0
2015-04-10,31.66,32.21,31.32,32.11,15428398.0,0.0,1.0,31.66,32.21,31.32,32.11,15428398.0
2015-04-09,31.55,31.765,31.365,31.55,7506749.0,0.0,1.0,31.55,31.765,31.365,31.55,7506749.0
2015-04-08,31.5,31.97,31.12,31.52,11627874.0,0.0,1.0,31.5,31.97,31.12,31.52,11627874.0
2015-04-07,31.73,31.807,31.42,31.42,8426356.0,0.0,1.0,31.73,31.807,31.42,31.42,8426356.0
2015-04-06,31.07,31.88,31.0,31.83,9229440.0,0.0,1.0,31.07,31.88,31.0,31.83,9229440.0
2015-04-02,31.3,31.75,31.22,31.4,8506973.0,0.0,1.0,31.3,31.75,31.22,31.4,8506973.0
2015-04-01,31.85,31.86,31.22,31.29,15453648.0,0.0,1.0,31.85,31.86,31.22,31.29,15453648.0
2015-03-31,31.29,31.45,31.04,31.16,13608394.0,0.0,1.0,31.29,31.45,31.04,31.16,13608394.0
2015-03-30,31.88,31.98,31.48,31.57,10988559.0,0.0,1.0,31.88,31.98,31.48,31.57,10988559.0
2015-03-27,32.21,32.33,31.03,31.49,19399844.0,0.0,1.0,32.21,32.33,31.03,31.49,19399844.0
2015-03-26,31.91,32.6,31.57,32.01,13632276.0,0.0,1.0,31.91,32.6,31.57,32.01,13632276.0
2015-03-25,33.42,33.5,32.2,32.2,11103302.0,0.0,1.0,33.42,33.5,32.2,32.2,11103302.0
2015-03-24,33.42,33.5,33.11,33.31,11060276.0,0.0,1.0,33.42,33.5,33.11,33.31,11060276.0
2015-03-23,33.3,33.74,33.24,33.45,12703242.0,0.0,1.0,33.3,33.74,33.24,33.45,12703242.0
2015-03-20,32.86,33.585,32.86,33.28,23637951.0,0.0,1.0,32.86,33.585,32.86,33.28,23637951.0
2015-03-19,32.94,33.04,32.63,32.84,11767209.0,0.0,1.0,32.94,33.04,32.63,32.84,11767209.0
2015-03-18,32.36,33.16,32.16,33.03,13789341.0,0.0,1.0,32.36,33.16,32.16,33.03,13789341.0
2015-03-17,32.28,32.47,32.2005,32.43,10316749.0,0.0,1.0,32.28,32.47,32.2005,32.43,10316749.0
2015-03-16,32.4,32.71,32.19,32.38,12381347.0,0.0,1.0,32.4,32.71,32.19,32.38,12381347.0
2015-03-13,32.59,32.59,32.0,32.43,14684869.0,0.0,1.0,32.59,32.59,32.0,32.43,14684869.0
2015-03-12,31.63,32.8,31.51,32.72,26220153.0,0.0,1.0,31.63,32.8,31.51,32.72,26220153.0
2015-03-11,32.98,32.98,32.41,32.61,13762613.0,0.0,1.0,32.98,32.98,32.41,32.61,13762613.0
2015-03-10,33.21,33.21,32.49,32.67,16633674.0,0.0,1.0,33.21,33.21,32.49,32.67,16633674.0
2015-03-09,33.03,33.09,32.62,32.95,14137598.0,0.0,1.0,33.03,33.09,32.62,32.95,14137598.0
2015-03-06,33.8,33.95,33.11,33.18,17412969.0,0.0,1.0,33.8,33.95,33.11,33.18,17412969.0
2015-03-05,34.28,34.33,33.84,34.0,18224703.0,0.0,1.0,34.28,34.33,33.84,34.0,18224703.0
2015-03-04,34.44,34.49,34.01,34.19,15491670.0,0.0,1.0,34.44,34.49,34.01,34.19,15491670.0
2015-03-03,34.92,35.04,34.45,34.57,13657460.0,0.0,1.0,34.92,35.04,34.45,34.57,13657460.0
2015-03-02,34.9,35.13,34.5,34.92,15717080.0,0.0,1.0,34.9,35.13,34.5,34.92,15717080.0
2015-02-27,33.98,34.99,33.92,34.84,29499580.0,0.0,1.0,33.98,34.99,33.92,34.84,29499580.0
2015-02-26,34.5,34.65,33.69,34.01,32501750.0,0.0,1.0,34.5,34.65,33.69,34.01,32501750.0
2015-02-25,35.36,35.69,34.4199,34.67,62841570.0,0.0,1.0,35.36,35.69,34.4199,34.67,62841570.0
2015-02-24,38.24,38.705,38.01,38.49,15849370.0,0.0,1.0,38.24,38.705,38.01,38.49,15849370.0
2015-02-23,38.48,38.5,37.92,38.19,9943919.0,0.0,1.0,38.48,38.5,37.92,38.19,9943919.0
2015-02-20,38.33,38.49,37.83,38.39,7511320.0,0.0,1.0,38.33,38.49,37.83,38.39,7511320.0
2015-02-19,38.07,38.4039,37.845,38.38,5731241.0,0.0,1.0,38.07,38.4039,37.845,38.38,5731241.0
2015-02-18,38.57,38.58,37.91,38.15,8137352.0,0.0,1.0,38.57,38.58,37.91,38.15,8137352.0
2015-02-17,38.57,38.86,38.3,38.53,7561766.0,0.0,1.0,38.57,38.86,38.3,38.53,7561766.0
2015-02-13,38.29,38.58,38.14,38.56,6617605.0,0.0,1.0,38.29,38.58,38.14,38.56,6617605.0
2015-02-12,38.42,38.85,38.23,38.37,9183987.0,0.0,1.0,38.42,38.85,38.23,38.37,9183987.0
2015-02-11,37.88,38.44,37.88,38.18,7923727.0,0.0,1.0,37.88,38.44,37.88,38.18,7923727.0
2015-02-10,37.89,38.31,37.66,37.89,7781249.0,0.0,1.0,37.89,38.31,37.66,37.89,7781249.0
2015-02-09,37.8,37.835,37.31,37.64,7955407.0,0.0,1.0,37.8,37.835,37.31,37.64,7955407.0
2015-02-05,37.99,38.18,37.8,37.95,6285219.0,0.0,1.0,37.99,38.18,37.8,37.95,6285219.0
2015-02-04,37.61,38.29,37.61,37.9,10446257.0,0.0,1.0,37.61,38.29,37.61,37.9,10446257.0
2015-02-03,36.75,37.8,36.7,37.77,14580632.0,0.0,1.0,36.75,37.8,36.7,37.77,14580632.0
2015-02-02,36.26,36.56,35.44,36.47,15424279.0,0.0,1.0,36.26,36.56,35.44,36.47,15424279.0
2015-01-30,37.42,37.48,36.06,36.13,17437833.0,0.0,1.0,37.42,37.48,36.06,36.13,17437833.0
2015-01-29,37.26,37.89,36.75,37.74,10136452.0,0.0,1.0,37.26,37.89,36.75,37.74,10136452.0
2015-01-28,37.81,38.107,37.11,37.16,10637208.0,0.0,1.0,37.81,38.107,37.11,37.16,10637208.0
2015-01-26,39.74,39.74,38.685,38.84,11258740.0,0.0,1.0,39.74,39.74,38.685,38.84,11258740.0
2015-01-23,39.96,40.25,39.76,40.08,7120921.0,0.0,1.0,39.96,40.25,39.76,40.08,7120921.0
2015-01-22,38.92,40.09,38.58,40.06,11645520.0,0.0,1.0,38.92,40.09,38.58,40.06,11645520.0
2015-01-21,38.42,38.97,38.3,38.57,8385031.0,0.0,1.0,38.42,38.97,38.3,38.57,8385031.0
2015-01-20,38.43,38.9,38.111,38.62,10217609.0,0.0,1.0,38.43,38.9,38.111,38.62,10217609.0
2015-01-15,39.58,39.6399,38.17,38.19,13736621.0,0.0,1.0,39.58,39.6399,38.17,38.19,13736621.0
2015-01-14,39.49,39.5299,38.79,39.46,10369021.0,0.0,1.0,39.49,39.5299,38.79,39.46,10369021.0
2015-01-13,39.97,40.67,39.45,39.81,11527753.0,0.0,1.0,39.97,40.67,39.45,39.81,11527753.0
2015-01-12,40.68,40.8,39.77,39.92,8923582.0,0.0,1.0,40.68,40.8,39.77,39.92,8923582.0
2015-01-08,40.18,40.89,40.08,40.68,9803319.0,0.0,1.0,40.18,40.89,40.08,40.68,9803319.0
2015-01-06,39.87,40.22,38.92,39.27,11951515.0,0.0,1.0,39.87,40.22,38.92,39.27,11951515.0
2015-01-05,39.8,40.09,39.27,39.57,10819018.0,0.0,1.0,39.8,40.09,39.27,39.57,10819018.0
2015-01-02,40.02,40.48,39.58,40.24,9805824.0,0.0,1.0,40.02,40.48,39.58,40.24,9805824.0
2014-12-31,40.79,40.82,40.1,40.13,7167191.0,0.0,1.0,40.79,40.82,40.1,40.13,7167191.0
2014-12-30,40.57,40.87,40.55,40.72,5759468.0,0.0,1.0,40.57,40.87,40.55,40.72,5759468.0
2014-12-26,40.54,40.95,40.5,40.7,4887293.0,0.0,1.0,40.54,40.95,40.5,40.7,4887293.0
2014-12-24,40.47,40.83,40.44,40.54,5533193.0,0.0,1.0,40.47,40.83,40.44,40.54,5533193.0
2014-12-23,39.94,40.6,39.93,40.36,9656555.0,0.0,1.0,39.94,40.6,39.93,40.36,9656555.0
2014-12-22,40.04,40.41,39.52,39.8,10752693.0,0.0,1.0,40.04,40.41,39.52,39.8,10752693.0
2014-12-19,39.78,40.26,39.68,39.9,17205132.0,0.0,1.0,39.78,40.26,39.68,39.9,17205132.0
2014-12-18,39.09,39.84,38.96,39.82,12380990.0,0.0,1.0,39.09,39.84,38.96,39.82,12380990.0
2014-12-17,37.91,38.76,37.91,38.65,11524062.0,0.0,1.0,37.91,38.76,37.91,38.65,11524062.0
2014-12-16,37.2,38.31,37.11,37.32,11383416.0,0.0,1.0,37.2,38.31,37.11,37.32,11383416.0
2014-12-15,38.09,38.24,37.41,37.61,12372872.0,0.0,1.0,38.09,38.24,37.41,37.61,12372872.0
2014-12-11,37.35,38.8975,37.3,38.47,12310004.0,0.0,1.0,37.35,38.8975,37.3,38.47,12310004.0
2014-12-10,37.53,38.19,37.28,37.36,13717551.0,0.0,1.0,37.53,38.19,37.28,37.36,13717551.0
2014-12-09,37.63,38.37,37.34,38.2,10546905.0,0.0,1.0,37.63,38.37,37.34,38.2,10546905.0
2014-12-05,39.12,39.65,39.02,39.55,8927797.0,0.0,1.0,39.12,39.65,39.02,39.55,8927797.0
2014-12-04,39.08,39.25,38.68,39.07,7465283.0,0.0,1.0,39.08,39.25,38.68,39.07,7465283.0
2014-12-02,38.38,39.325,38.09,38.95,9658147.0,0.0,1.0,38.38,39.325,38.09,38.95,9658147.0
2014-12-01,38.53,39.17,38.44,38.56,14064996.0,0.0,1.0,38.53,39.17,38.44,38.56,14064996.0
2014-11-28,38.62,39.5756,38.65,39.06,7701533.0,0.0,1.0,38.62,39.5756,38.65,39.06,7701533.0
2014-11-26,37.4,39.28,37.25,39.16,25799354.0,0.0,1.0,37.4,39.28,37.25,39.16,25799354.0
2014-11-25,37.52,38.25,37.5,37.63,19029750.0,0.0,1.0,37.52,38.25,37.5,37.63,19029750.0
