Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,80.99,81.1,80.09,80.35,717022.0,0.0,1.0,80.99,81.1,80.09,80.35,717022.0
2015-04-15,80.59,81.35,80.48,81.11,884861.0,0.0,1.0,80.59,81.35,80.48,81.11,884861.0
2015-04-14,80.31,80.92,80.14,80.5,722954.0,0.0,1.0,80.31,80.92,80.14,80.5,722954.0
2015-04-13,81.13,81.89,80.33,80.35,755524.0,0.0,1.0,81.13,81.89,80.33,80.35,755524.0
2015-04-10,80.54,81.11,80.21,81.0,672645.0,0.0,1.0,80.54,81.11,80.21,81.0,672645.0
2015-04-09,79.93,80.75,79.54,80.68,710347.0,0.0,1.0,79.93,80.75,79.54,80.68,710347.0
2015-04-08,79.66,80.4799,79.395,80.13,963676.0,0.0,1.0,79.66,80.4799,79.395,80.13,963676.0
2015-04-07,80.09,80.58,79.281,79.78,1232701.0,0.0,1.0,80.09,80.58,79.281,79.78,1232701.0
2015-04-06,79.02,81.43,78.351,80.71,1710849.0,0.0,1.0,79.02,81.43,78.351,80.71,1710849.0
2015-04-02,78.5,79.52,78.37,78.7,1577001.0,0.0,1.0,78.5,79.52,78.37,78.7,1577001.0
2015-04-01,78.5,78.6,77.77,78.59,1579083.0,0.0,1.0,78.5,78.6,77.77,78.59,1579083.0
2015-03-31,78.11,79.35,77.78,78.76,2662106.0,0.0,1.0,78.11,79.35,77.78,78.76,2662106.0
2015-03-30,77.08,78.21,76.665,77.63,2275369.0,0.0,1.0,77.08,78.21,76.665,77.63,2275369.0
2015-03-27,73.22,77.1,73.09,76.75,4088450.0,0.0,1.0,73.22,77.1,73.09,76.75,4088450.0
2015-03-26,70.45,73.32,69.84,73.28,2863246.0,0.0,1.0,70.45,73.32,69.84,73.28,2863246.0
2015-03-25,71.91,72.11,70.61,70.64,1054190.0,0.0,1.0,71.91,72.11,70.61,70.64,1054190.0
2015-03-24,72.74,72.97,71.66,71.87,1431503.0,0.0,1.0,72.74,72.97,71.66,71.87,1431503.0
2015-03-23,72.88,73.95,72.812,72.89,1153091.0,0.0,1.0,72.88,73.95,72.812,72.89,1153091.0
2015-03-20,72.19,73.12,71.64,72.75,1663043.0,0.0,1.0,72.19,73.12,71.64,72.75,1663043.0
2015-03-19,72.16,72.78,71.86,72.18,1003604.0,0.0,1.0,72.16,72.78,71.86,72.18,1003604.0
