Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,19.95,20.29,19.83,20.24,9507189.0,0.0,1.0,19.95,20.29,19.83,20.24,9507189.0
2015-04-15,20.0,20.07,19.82,19.93,7380905.0,0.0,1.0,20.0,20.07,19.82,19.93,7380905.0
2015-04-14,20.23,20.37,19.93,19.96,6555584.0,0.0,1.0,20.23,20.37,19.93,19.96,6555584.0
2015-04-13,20.12,20.385,20.03,20.23,7587536.0,0.0,1.0,20.12,20.385,20.03,20.23,7587536.0
2015-04-10,20.0,20.08,19.84,19.93,6129175.0,0.0,1.0,20.0,20.08,19.84,19.93,6129175.0
2015-04-09,20.13,20.13,19.73,19.92,6851939.0,0.0,1.0,20.13,20.13,19.73,19.92,6851939.0
2015-04-08,20.02,20.24,19.98,20.19,7030274.0,0.0,1.0,20.02,20.24,19.98,20.19,7030274.0
2015-04-07,20.28,20.29,19.93,20.0,6656755.0,0.0,1.0,20.28,20.29,19.93,20.0,6656755.0
2015-04-06,20.46,20.6,20.285,20.34,7164073.0,0.0,1.0,20.46,20.6,20.285,20.34,7164073.0
2015-04-02,20.27,20.58,20.21,20.49,5696847.0,0.0,1.0,20.27,20.58,20.21,20.49,5696847.0
2015-04-01,20.17,20.33,19.93,20.26,6786566.0,0.0,1.0,20.17,20.33,19.93,20.26,6786566.0
2015-03-31,20.25,20.45,20.18,20.18,6397827.0,0.0,1.0,20.25,20.45,20.18,20.18,6397827.0
2015-03-30,20.15,20.41,20.11,20.35,4596433.0,0.0,1.0,20.15,20.41,20.11,20.35,4596433.0
2015-03-27,20.13,20.285,20.0,20.04,5962899.0,0.2,1.0,20.13,20.285,20.0,20.04,5962899.0
2015-03-26,20.4,20.48,20.05,20.28,11148449.0,0.0,1.0,20.198418972332,20.277628458498,19.851877470356,20.079604743083,11148449.0
2015-03-25,20.93,21.06,20.48,20.51,11700932.0,0.0,1.0,20.723181818182,20.851897233202,20.277628458498,20.30733201581,11700932.0
2015-03-24,21.44,21.51,21.1,21.15,9139567.0,0.0,1.0,21.22814229249,21.297450592885,20.891501976285,20.941007905138,9139567.0
2015-03-23,21.77,21.91,21.5,21.52,8363847.0,0.0,1.0,21.554881422925,21.693498023715,21.287549407115,21.307351778656,8363847.0
2015-03-20,21.32,21.77,21.3,21.72,8614353.0,0.0,1.0,21.109328063241,21.554881422925,21.0895256917,21.505375494071,8614353.0
2015-03-19,21.28,21.41,21.21,21.23,8181155.0,0.0,1.0,21.069723320158,21.198438735178,21.000415019763,21.020217391304,8181155.0
2015-03-18,20.97,21.44,20.78,21.38,9235058.0,0.0,1.0,20.762786561265,21.22814229249,20.574664031621,21.168735177866,9235058.0
2015-03-17,20.92,21.15,20.84,21.06,5983148.0,0.0,1.0,20.713280632411,20.941007905138,20.634071146245,20.851897233202,5983148.0
2015-03-16,20.87,21.13,20.84,21.03,7248137.0,0.0,1.0,20.663774703557,20.921205533597,20.634071146245,20.822193675889,7248137.0
2015-03-13,20.61,20.86,20.57,20.8,12385868.0,0.0,1.0,20.406343873518,20.653873517787,20.366739130435,20.594466403162,12385868.0
2015-03-12,20.45,20.88,20.38,20.85,9430589.0,0.0,1.0,20.247924901186,20.673675889328,20.178616600791,20.643972332016,9430589.0
2015-03-11,20.25,20.41,20.18,20.39,8521269.0,0.0,1.0,20.049901185771,20.208320158103,19.980592885375,20.188517786561,8521269.0
2015-03-10,20.24,20.37,20.12,20.26,9405968.0,0.0,1.0,20.04,20.16871541502,19.921185770751,20.059802371542,9405968.0
2015-03-09,20.32,20.465,20.28,20.43,12544906.0,0.0,1.0,20.119209486166,20.262776679842,20.079604743083,20.228122529644,12544906.0
2015-03-06,20.07,20.4,19.92,20.28,13958509.0,0.0,1.0,19.871679841897,20.198418972332,19.723162055336,20.079604743083,13958509.0
2015-03-05,21.0,21.11,20.66,20.66,5888991.0,0.0,1.0,20.792490118577,20.901403162055,20.455849802372,20.455849802372,5888991.0
2015-03-04,21.25,21.29,20.79,20.9,5717779.0,0.0,1.0,21.040019762846,21.079624505929,20.584565217391,20.69347826087,5717779.0
2015-03-03,21.31,21.41,21.11,21.34,5836306.0,0.0,1.0,21.09942687747,21.198438735178,20.901403162055,21.129130434783,5836306.0
2015-03-02,21.05,21.52,21.01,21.43,8138299.0,0.0,1.0,20.841996047431,21.307351778656,20.802391304348,21.218241106719,8138299.0
2015-02-27,21.04,21.14,20.88,21.0,9077767.0,0.0,1.0,20.83209486166,20.931106719368,20.673675889328,20.792490118577,9077767.0
2015-02-26,21.2,21.285,20.93,21.12,8726800.0,0.0,1.0,20.990513833992,21.074673913043,20.723181818182,20.911304347826,8726800.0
2015-02-25,21.41,21.52,21.17,21.25,8105020.0,0.0,1.0,21.198438735178,21.307351778656,20.96081027668,21.040019762846,8105020.0
2015-02-24,21.59,21.66,21.14,21.32,12281180.0,0.0,1.0,21.376660079051,21.445968379447,20.931106719368,21.109328063241,12281180.0
2015-02-23,21.77,21.91,21.38,21.61,11579388.0,0.0,1.0,21.554881422925,21.693498023715,21.168735177866,21.396462450593,11579388.0
2015-02-20,21.82,21.955,21.63,21.77,12461870.0,0.0,1.0,21.604387351779,21.738053359684,21.416264822134,21.554881422925,12461870.0
2015-02-19,21.89,22.64,21.78,21.87,16785890.0,0.0,1.0,21.673695652174,22.41628458498,21.564782608696,21.653893280632,16785890.0
2015-02-18,23.5,23.61,23.155,23.54,8062322.0,0.0,1.0,23.267786561265,23.376699604743,22.926195652174,23.307391304348,8062322.0
2015-02-17,23.56,23.805,23.46,23.56,6552400.0,0.0,1.0,23.327193675889,23.569772727273,23.228181818182,23.327193675889,6552400.0
2015-02-13,23.65,23.75,23.46,23.62,6210528.0,0.0,1.0,23.416304347826,23.515316205534,23.228181818182,23.386600790514,6210528.0
2015-02-12,23.35,23.7,23.19,23.7,5302843.0,0.0,1.0,23.119268774704,23.46581027668,22.960849802372,23.46581027668,5302843.0
2015-02-11,23.18,23.34,23.01,23.2,5094129.0,0.0,1.0,22.950948616601,23.109367588933,22.782628458498,22.970750988142,5094129.0
2015-02-10,22.98,23.19,22.85,23.14,6248829.0,0.0,1.0,22.752924901186,22.960849802372,22.624209486166,22.911343873518,6248829.0
2015-02-09,23.16,23.29,22.89,22.94,5161109.0,0.0,1.0,22.931146245059,23.059861660079,22.663814229249,22.713320158103,5161109.0
2015-02-06,23.41,23.44,23.09,23.16,8569634.0,0.0,1.0,23.178675889328,23.20837944664,22.861837944664,22.931146245059,8569634.0
