Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,100.92,101.97,100.48,101.42,649719.0,0.0,1.0,100.92,101.97,100.48,101.42,649719.0
2015-04-15,101.37,101.86,100.56,100.65,1136382.0,0.0,1.0,101.37,101.86,100.56,100.65,1136382.0
2015-04-14,99.37,101.36,99.34,101.0,905103.0,0.0,1.0,99.37,101.36,99.34,101.0,905103.0
2015-04-13,100.2,100.59,99.23,99.46,1140438.0,0.0,1.0,100.2,100.59,99.23,99.46,1140438.0
2015-04-10,100.74,101.16,100.01,100.09,853573.0,0.0,1.0,100.74,101.16,100.01,100.09,853573.0
2015-04-09,100.45,100.98,99.9,100.74,692546.0,0.0,1.0,100.45,100.98,99.9,100.74,692546.0
2015-04-08,101.71,101.94,100.09,100.56,831727.0,0.0,1.0,101.71,101.94,100.09,100.56,831727.0
2015-04-07,101.66,102.56,101.61,101.74,637805.0,0.0,1.0,101.66,102.56,101.61,101.74,637805.0
2015-04-06,100.66,102.1,100.59,101.5,1149873.0,0.0,1.0,100.66,102.1,100.59,101.5,1149873.0
2015-04-02,100.6,101.39,100.03,100.75,638738.0,0.0,1.0,100.6,101.39,100.03,100.75,638738.0
2015-04-01,100.14,100.89,99.38,100.89,1015360.0,0.0,1.0,100.14,100.89,99.38,100.89,1015360.0
2015-03-31,102.25,102.72,100.91,100.91,840554.0,0.0,1.0,102.25,102.72,100.91,100.91,840554.0
2015-03-30,102.17,102.665,101.35,102.43,584405.0,0.0,1.0,102.17,102.665,101.35,102.43,584405.0
2015-03-27,100.95,102.04,100.83,101.89,646504.0,0.0,1.0,100.95,102.04,100.83,101.89,646504.0
2015-03-26,101.62,102.15,100.85,101.01,890275.0,0.0,1.0,101.62,102.15,100.85,101.01,890275.0
2015-03-25,101.19,102.99,100.76,101.69,1843929.0,0.0,1.0,101.19,102.99,100.76,101.69,1843929.0
