Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,180.0,180.57,176.1,177.68,1508619.0,0.0,1.0,180.0,180.57,176.1,177.68,1508619.0
2015-04-15,179.99,180.68,175.49,176.73,1390848.0,0.0,1.0,179.99,180.68,175.49,176.73,1390848.0
2015-04-14,178.39,180.0,178.09,179.55,752770.0,0.0,1.0,178.39,180.0,178.09,179.55,752770.0
2015-04-13,178.83,181.05,178.52,178.58,554231.0,0.0,1.0,178.83,181.05,178.52,178.58,554231.0
2015-04-10,177.64,178.56,176.94,178.48,646618.0,0.0,1.0,177.64,178.56,176.94,178.48,646618.0
2015-04-09,178.13,179.14,176.34,177.73,1382212.0,0.0,1.0,178.13,179.14,176.34,177.73,1382212.0
2015-04-08,178.71,179.58,177.84,178.73,767177.0,0.0,1.0,178.71,179.58,177.84,178.73,767177.0
2015-04-07,182.0,182.0,176.97,178.1,964009.0,0.0,1.0,182.0,182.0,176.97,178.1,964009.0
2015-04-06,177.19,178.93,176.6,178.26,514644.0,0.0,1.0,177.19,178.93,176.6,178.26,514644.0
2015-04-02,177.84,180.14,177.07,177.98,676707.0,0.0,1.0,177.84,180.14,177.07,177.98,676707.0
2015-04-01,177.83,178.34,174.7,177.64,762957.0,0.0,1.0,177.83,178.34,174.7,177.64,762957.0
2015-03-31,180.03,181.37,178.02,178.02,1303494.0,0.0,1.0,180.03,181.37,178.02,178.02,1303494.0
2015-03-30,179.98,181.38,179.49,181.18,1364496.0,0.0,1.0,179.98,181.38,179.49,181.18,1364496.0
2015-03-27,175.76,177.77,175.4,177.52,1489093.0,0.28,1.0,175.76,177.77,175.4,177.52,1489093.0
2015-03-26,176.8,177.5499,174.81,175.72,1473045.0,0.0,1.0,176.52157480315,177.27029385827,174.53470866142,175.44327559055,1473045.0
2015-03-25,181.48,182.825,177.17,177.33,1284370.0,0.0,1.0,181.19420472441,182.53708661417,176.89099212598,177.05074015748,1284370.0
2015-03-24,182.04,182.98,180.41,180.41,965801.0,0.0,1.0,181.75332283465,182.69184251969,180.12588976378,180.12588976378,965801.0
2015-03-23,182.79,183.05,181.37,182.1,973206.0,0.0,1.0,182.50214173228,182.76173228346,181.08437795276,181.81322834646,973206.0
2015-03-20,182.31,183.01,180.08,182.79,2166249.0,0.0,1.0,182.0228976378,182.72179527559,179.79640944882,182.50214173228,2166249.0
2015-03-19,178.58,182.97,178.28,180.96,1702887.0,0.0,1.0,178.29877165354,182.68185826772,177.99924409449,180.67502362205,1702887.0
2015-03-18,174.35,179.56,173.7,178.63,1840991.0,0.0,1.0,174.07543307087,179.27722834646,173.42645669291,178.34869291339,1840991.0
2015-03-17,172.65,174.97,172.635,174.0,1646942.0,0.0,1.0,172.37811023622,174.69445669291,172.36313385827,173.72598425197,1646942.0
