Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,163.31,163.98,162.54,163.13,3107502.0,0.0,1.0,163.31,163.98,162.54,163.13,3107502.0
2015-04-15,162.63,164.96,162.5,164.13,3478821.0,0.0,1.0,162.63,164.96,162.5,164.13,3478821.0
2015-04-14,162.42,162.7352,160.79,162.3,2706902.0,0.0,1.0,162.42,162.7352,160.79,162.3,2706902.0
2015-04-13,162.37,164.0,162.36,162.38,3820556.0,0.0,1.0,162.37,164.0,162.36,162.38,3820556.0
2015-04-10,162.34,163.33,161.25,162.86,2509367.0,0.0,1.0,162.34,163.33,161.25,162.86,2509367.0
2015-04-09,161.7,162.47,160.72,162.34,2256809.0,0.0,1.0,161.7,162.47,160.72,162.34,2256809.0
2015-04-08,161.72,163.55,161.01,161.85,2514544.0,0.0,1.0,161.72,163.55,161.01,161.85,2514544.0
2015-04-07,161.67,163.84,161.62,162.07,3141404.0,0.0,1.0,161.67,163.84,161.62,162.07,3141404.0
2015-04-06,159.69,162.8,158.702,162.04,3457188.0,0.0,1.0,159.69,162.8,158.702,162.04,3457188.0
2015-04-02,159.52,162.54,158.89,160.45,4646586.0,0.0,1.0,159.52,162.54,158.89,160.45,4646586.0
2015-04-01,160.23,160.62,158.39,159.18,3680174.0,0.0,1.0,160.23,160.62,158.39,159.18,3680174.0
2015-03-31,161.08,162.33,160.4,160.5,4217308.0,0.0,1.0,161.08,162.33,160.4,160.5,4217308.0
2015-03-30,161.31,163.6,161.25,162.67,4088260.0,0.0,1.0,161.31,163.6,161.25,162.67,4088260.0
2015-03-27,160.79,160.9,159.23,160.4,3439771.0,0.0,1.0,160.79,160.9,159.23,160.4,3439771.0
2015-03-26,159.27,161.25,158.91,160.59,4382599.0,0.0,1.0,159.27,161.25,158.91,160.59,4382599.0
2015-03-25,163.08,163.08,159.2,159.2,5336827.0,0.0,1.0,163.08,163.08,159.2,159.2,5336827.0
2015-03-24,164.79,164.89,162.9,163.0,4290267.0,0.0,1.0,164.79,164.89,162.9,163.0,4290267.0
2015-03-23,162.77,165.35,162.73,164.63,5919306.0,0.0,1.0,162.77,165.35,162.73,164.63,5919306.0
2015-03-20,160.95,163.0,160.35,162.88,8926732.0,0.0,1.0,160.95,163.0,160.35,162.88,8926732.0
2015-03-19,159.7,160.92,158.81,159.81,3860600.0,0.0,1.0,159.7,160.92,158.81,159.81,3860600.0
