Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,118.34,119.33,118.01,118.66,254811.0,0.0,1.0,118.34,119.33,118.01,118.66,254811.0
2015-04-15,119.73,120.14,118.52,118.67,222938.0,0.0,1.0,119.73,120.14,118.52,118.67,222938.0
2015-04-14,118.89,119.45,118.06,118.91,277198.0,0.0,1.0,118.89,119.45,118.06,118.91,277198.0
2015-04-13,119.13,120.42,118.75,118.77,293347.0,0.0,1.0,119.13,120.42,118.75,118.77,293347.0
2015-04-10,118.54,119.03,118.2054,118.97,296259.0,0.0,1.0,118.54,119.03,118.2054,118.97,296259.0
2015-04-09,118.14,118.5,117.335,118.26,297329.0,0.0,1.0,118.14,118.5,117.335,118.26,297329.0
2015-04-08,118.56,118.96,117.41,118.21,375630.0,0.0,1.0,118.56,118.96,117.41,118.21,375630.0
2015-04-07,118.38,119.545,118.16,118.19,518871.0,0.0,1.0,118.38,119.545,118.16,118.19,518871.0
2015-04-06,116.76,118.96,116.76,118.62,316237.0,0.0,1.0,116.76,118.96,116.76,118.62,316237.0
2015-04-02,116.96,118.81,116.74,117.39,333158.0,0.0,1.0,116.96,118.81,116.74,117.39,333158.0
2015-04-01,117.1,118.105,116.08,116.97,461330.0,0.0,1.0,117.1,118.105,116.08,116.97,461330.0
2015-03-31,118.29,118.5,117.0,117.4,471831.0,0.0,1.0,118.29,118.5,117.0,117.4,471831.0
2015-03-30,117.84,119.27,117.24,118.5,294565.0,0.0,1.0,117.84,119.27,117.24,118.5,294565.0
2015-03-27,117.06,117.79,116.55,117.18,352308.0,0.0,1.0,117.06,117.79,116.55,117.18,352308.0
2015-03-26,116.84,117.345,116.01,116.7,526280.0,0.0,1.0,116.84,117.345,116.01,116.7,526280.0
2015-03-25,119.43,120.96,117.08,117.08,476157.0,0.47,1.0,119.43,120.96,117.08,117.08,476157.0
2015-03-24,119.41,120.56,119.07,119.51,423408.0,0.0,1.0,118.93256316461,120.07796512123,118.59392258613,119.03216333475,423408.0
2015-03-23,119.67,120.6199,119.35,119.69,488305.0,0.0,1.0,119.19152360698,120.13762562314,118.87280306253,119.211443641,488305.0
2015-03-20,118.82,120.4,118.66,119.92,629464.0,0.0,1.0,118.34492216078,119.918604849,118.18556188856,119.44052403233,629464.0
2015-03-19,118.07,120.08,117.1,118.49,507134.0,0.0,1.0,117.59792088473,119.59988430455,116.63179923437,118.01624159932,507134.0
2015-03-18,117.38,118.96,115.26,118.15,600885.0,0.0,1.0,116.91067971076,118.48436239898,114.79915610379,117.67760102084,600885.0
2015-03-17,118.34,118.77,116.74,117.9,460504.0,0.0,1.0,117.86684134411,118.29512207571,116.27323862186,117.42860059549,460504.0
2015-03-16,118.49,119.15,118.2,118.99,291532.0,0.0,1.0,118.01624159932,118.67360272225,117.72740110591,118.51424245002,291532.0
2015-03-13,119.43,119.66,117.03,118.04,462781.0,0.0,1.0,118.95248319864,119.18156358996,116.56207911527,117.56804083369,462781.0
2015-03-12,118.03,120.01,117.74,119.5,451334.0,0.0,1.0,117.55808081667,119.53016418545,117.26924032327,119.02220331774,451334.0
2015-03-11,117.6,118.54,116.695,117.18,760573.0,0.0,1.0,117.12980008507,118.06604168439,116.2284185453,116.71147937048,760573.0
2015-03-10,119.71,119.91,117.6,117.6,744139.0,0.0,1.0,119.23136367503,119.43056401531,117.12980008507,117.12980008507,744139.0
2015-03-09,119.55,121.36,119.43,120.69,468581.0,0.0,1.0,119.07200340281,120.87476648235,118.95248319864,120.20744534241,468581.0
2015-03-06,120.59,120.71,118.52,119.01,396128.0,0.0,1.0,120.10784517227,120.22736537644,118.04612165036,118.53416248405,396128.0
2015-03-05,121.25,121.54,120.23,120.88,358861.0,0.0,1.0,120.76520629519,121.0540467886,119.74928455976,120.39668566567,358861.0
2015-03-04,121.52,121.96,120.3,121.22,346337.0,0.0,1.0,121.03412675457,121.47236750319,119.81900467886,120.73532624415,346337.0
2015-03-03,122.31,122.64,120.77,121.69,280725.0,0.0,1.0,121.82096809868,122.14964866014,120.28712547852,121.20344704381,280725.0
2015-03-02,120.0,122.84,117.32,122.77,401366.0,0.0,1.0,119.52020416844,122.34884900043,116.85091960868,122.27912888133,401366.0
2015-02-27,121.95,122.51,121.12,121.93,371089.0,0.0,1.0,121.46240748618,122.02016843896,120.63572607401,121.44248745215,371089.0
2015-02-26,122.0,122.4,121.28,121.84,470833.0,0.0,1.0,121.51220757125,121.91060825181,120.79508634624,121.35284729902,470833.0
2015-02-25,122.96,123.08,121.43,121.87,472908.0,0.0,1.0,122.46836920459,122.58788940876,120.94448660145,121.38272735006,472908.0
2015-02-24,120.99,122.85,120.59,122.63,452999.0,0.0,1.0,120.50624585283,122.35880901744,120.10784517227,122.13968864313,452999.0
2015-02-23,120.65,122.0,120.49,121.24,429122.0,0.0,1.0,120.16760527435,121.51220757125,120.00824500213,120.75524627818,429122.0
2015-02-20,119.78,121.54,119.31,121.4,412760.0,0.0,1.0,119.30108379413,121.0540467886,118.83296299447,120.9146065504,412760.0
2015-02-19,117.55,120.42,117.57,120.1,524629.0,0.0,1.0,117.08,119.93852488303,117.09992003403,119.61980433858,524629.0
2015-02-18,116.99,118.37,116.82,118.27,332112.0,0.0,1.0,116.52223904721,117.89672139515,116.35291875798,117.79712122501,332112.0
2015-02-17,117.16,117.6,115.8,117.2,492411.0,0.0,1.0,116.69155933645,117.12980008507,115.33699702254,116.73139940451,492411.0
2015-02-13,115.81,118.58,114.83,116.96,751926.0,0.0,1.0,115.34695703956,118.10588175245,114.37087537218,116.49235899617,751926.0
