Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,20.24,20.28,18.73,19.18,6701431.0,0.0,1.0,20.24,20.28,18.73,19.18,6701431.0
2015-04-15,20.55,20.55,20.1,20.32,3999018.0,0.0,1.0,20.55,20.55,20.1,20.32,3999018.0
2015-04-14,20.34,20.625,19.96,20.55,6385212.0,0.0,1.0,20.34,20.625,19.96,20.55,6385212.0
2015-04-13,20.25,20.71,20.17,20.4,3588107.0,0.0,1.0,20.25,20.71,20.17,20.4,3588107.0
2015-04-10,20.5,20.945,20.25,20.25,5971731.0,0.0,1.0,20.5,20.945,20.25,20.25,5971731.0
2015-04-09,19.94,20.5,19.555,20.48,4995093.0,0.0,1.0,19.94,20.5,19.555,20.48,4995093.0
2015-04-08,20.18,20.24,19.49,19.89,5695995.0,0.0,1.0,20.18,20.24,19.49,19.89,5695995.0
2015-04-07,18.95,20.33,18.87,20.08,7173073.0,0.0,1.0,18.95,20.33,18.87,20.08,7173073.0
2015-04-06,17.78,17.82,17.62,17.68,61520375.0,0.0,1.0,17.78,17.82,17.62,17.68,61520375.0
2015-04-02,17.8,17.93,17.73,17.77,13506946.0,0.0,1.0,17.8,17.93,17.73,17.77,13506946.0
2015-04-01,17.46,17.64,17.46,17.55,7772797.0,0.0,1.0,17.46,17.64,17.46,17.55,7772797.0
2015-03-31,17.68,17.69,17.41,17.41,19609900.0,0.0,1.0,17.68,17.69,17.41,17.41,19609900.0
2015-03-30,17.8,17.8,17.65,17.73,4876593.0,0.0,1.0,17.8,17.8,17.65,17.73,4876593.0
2015-03-27,17.71,17.79,17.71,17.78,2237676.0,0.0,1.0,17.71,17.79,17.71,17.78,2237676.0
2015-03-26,17.84,17.84,17.73,17.74,2581930.0,0.0,1.0,17.84,17.84,17.73,17.74,2581930.0
2015-03-25,17.91,17.93,17.85,17.87,3082719.0,0.0,1.0,17.91,17.93,17.85,17.87,3082719.0
