Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,32.85,32.99,32.695,32.87,28690002.0,0.0,1.0,32.85,32.99,32.695,32.87,28690002.0
2015-04-15,32.26,32.99,32.065,32.83,60151115.0,0.0,1.0,32.26,32.99,32.065,32.83,60151115.0
2015-04-14,31.68,31.94,31.27,31.49,34259139.0,0.0,1.0,31.68,31.94,31.27,31.49,34259139.0
2015-04-13,31.81,32.05,31.71,31.73,23038023.0,0.0,1.0,31.81,32.05,31.71,31.73,23038023.0
2015-04-10,31.33,31.94,31.33,31.93,27774303.0,0.0,1.0,31.33,31.94,31.33,31.93,27774303.0
2015-04-09,30.68,31.62,30.57,31.24,34024208.0,0.0,1.0,30.68,31.62,30.57,31.24,34024208.0
2015-04-08,31.23,31.56,31.06,31.31,17980789.0,0.0,1.0,31.23,31.56,31.06,31.31,17980789.0
2015-04-07,31.07,31.585,31.0,31.2499,22472127.0,0.0,1.0,31.07,31.585,31.0,31.2499,22472127.0
2015-04-06,30.81,31.245,30.45,31.04,21385920.0,0.0,1.0,30.81,31.245,30.45,31.04,21385920.0
2015-04-02,30.8,31.23,30.67,30.81,20584247.0,0.0,1.0,30.8,31.23,30.67,30.81,20584247.0
2015-04-01,31.13,31.315,30.655,30.8,31147477.0,0.0,1.0,31.13,31.315,30.655,30.8,31147477.0
2015-03-31,31.43,31.93,31.2,31.27,31228356.0,0.0,1.0,31.43,31.93,31.2,31.27,31228356.0
2015-03-30,31.66,32.1,31.3,31.46,51045406.0,0.0,1.0,31.66,32.1,31.3,31.46,51045406.0
2015-03-27,30.01,33.0,29.85,32.0,71810167.0,0.0,1.0,30.01,33.0,29.85,32.0,71810167.0
2015-03-26,29.5,30.4,29.31,30.08,45211457.0,0.0,1.0,29.5,30.4,29.31,30.08,45211457.0
2015-03-25,30.81,30.885,29.86,29.89,37019099.0,0.0,1.0,30.81,30.885,29.86,29.89,37019099.0
2015-03-24,31.16,31.32,30.74,30.79,27313153.0,0.0,1.0,31.16,31.32,30.74,30.79,27313153.0
2015-03-23,31.29,31.79,31.2,31.2,29369866.0,0.0,1.0,31.29,31.79,31.2,31.2,29369866.0
2015-03-20,30.99,31.62,30.93,31.31,57042770.0,0.0,1.0,30.99,31.62,30.93,31.31,57042770.0
2015-03-19,30.78,31.1,30.69,30.75,27218302.0,0.0,1.0,30.78,31.1,30.69,30.75,27218302.0
2015-03-18,30.41,31.2,30.3,30.8948,39628117.0,0.0,1.0,30.41,31.2,30.3,30.8948,39628117.0
2015-03-17,30.58,30.73,30.41,30.5947,28874673.0,0.0,1.0,30.58,30.73,30.41,30.5947,28874673.0
2015-03-16,30.93,31.11,30.65,30.83,32550371.0,0.0,1.0,30.93,31.11,30.65,30.83,32550371.0
2015-03-13,30.63,30.98,30.36,30.93,47119926.0,0.0,1.0,30.63,30.98,30.36,30.93,47119926.0
2015-03-12,31.01,31.6,30.58,30.8,106027281.0,0.0,1.0,31.01,31.6,30.58,30.8,106027281.0
2015-03-11,31.97,32.96,31.95,32.33,49683649.0,0.0,1.0,31.97,32.96,31.95,32.33,49683649.0
2015-03-10,32.24,32.41,31.5,31.7,50278887.0,0.0,1.0,32.24,32.41,31.5,31.7,50278887.0
2015-03-09,33.2,33.27,32.48,32.72,33058791.0,0.0,1.0,33.2,33.27,32.48,32.72,33058791.0
2015-03-06,33.54,33.68,33.08,33.19,32373136.0,0.0,1.0,33.54,33.68,33.08,33.19,32373136.0
