Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,54.72,55.16,54.53,54.67,3150480.0,0.0,1.0,54.72,55.16,54.53,54.67,3150480.0
2015-04-15,55.0,55.26,54.64,54.73,2706826.0,0.0,1.0,55.0,55.26,54.64,54.73,2706826.0
2015-04-14,55.58,55.9,54.93,55.0,2566334.0,0.0,1.0,55.58,55.9,54.93,55.0,2566334.0
2015-04-13,56.3,56.48,55.46,55.62,4500739.0,0.0,1.0,56.3,56.48,55.46,55.62,4500739.0
2015-04-10,54.75,56.49,54.67,56.28,4948156.0,0.0,1.0,54.75,56.49,54.67,56.28,4948156.0
2015-04-09,54.5,54.83,54.37,54.49,2041570.0,0.0,1.0,54.5,54.83,54.37,54.49,2041570.0
2015-04-08,53.95,54.61,53.81,54.49,2078896.0,0.0,1.0,53.95,54.61,53.81,54.49,2078896.0
2015-04-07,54.3,54.7,53.96,53.97,1719814.0,0.0,1.0,54.3,54.7,53.96,53.97,1719814.0
2015-04-06,54.28,54.52,54.2,54.31,2011428.0,0.0,1.0,54.28,54.52,54.2,54.31,2011428.0
2015-04-02,54.86,55.0907,54.46,54.67,1458429.0,0.0,1.0,54.86,55.0907,54.46,54.67,1458429.0
2015-04-01,55.2,55.25,54.32,54.9,2393583.0,0.0,1.0,55.2,55.25,54.32,54.9,2393583.0
2015-03-31,55.11,56.05,55.02,55.49,2995181.0,0.0,1.0,55.11,56.05,55.02,55.49,2995181.0
2015-03-30,54.63,55.39,54.53,55.21,1709833.0,0.0,1.0,54.63,55.39,54.53,55.21,1709833.0
2015-03-27,54.17,54.61,54.09,54.42,2025921.0,0.0,1.0,54.17,54.61,54.09,54.42,2025921.0
2015-03-26,53.78,54.305,53.68,54.21,2072600.0,0.0,1.0,53.78,54.305,53.68,54.21,2072600.0
2015-03-25,54.56,54.58,53.86,53.9,2501348.0,0.0,1.0,54.56,54.58,53.86,53.9,2501348.0
2015-03-24,54.5,54.8,54.25,54.6,1670775.0,0.0,1.0,54.5,54.8,54.25,54.6,1670775.0
2015-03-23,55.18,55.38,54.57,54.66,2142724.0,0.0,1.0,55.18,55.38,54.57,54.66,2142724.0
2015-03-20,54.52,55.47,54.33,55.34,4177482.0,0.0,1.0,54.52,55.47,54.33,55.34,4177482.0
2015-03-19,55.03,55.09,54.21,54.25,1937985.0,0.0,1.0,55.03,55.09,54.21,54.25,1937985.0
2015-03-18,54.58,55.38,53.82,55.13,2932242.0,0.0,1.0,54.58,55.38,53.82,55.13,2932242.0
2015-03-17,54.54,55.05,54.19,54.73,2369781.0,0.0,1.0,54.54,55.05,54.19,54.73,2369781.0
2015-03-16,54.85,55.16,54.77,54.83,1909058.0,0.0,1.0,54.85,55.16,54.77,54.83,1909058.0
2015-03-13,54.77,54.94,54.25,54.69,2937379.0,0.0,1.0,54.77,54.94,54.25,54.69,2937379.0
2015-03-12,54.35,54.92,53.94,54.86,2835313.0,0.0,1.0,54.35,54.92,53.94,54.86,2835313.0
2015-03-11,54.35,54.79,53.97,54.04,2822896.0,0.0,1.0,54.35,54.79,53.97,54.04,2822896.0
2015-03-10,54.44,54.82,54.25,54.29,2707882.0,0.0,1.0,54.44,54.82,54.25,54.29,2707882.0
