Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,36.36,36.91,36.1625,36.88,1020716.0,0.0,1.0,36.36,36.91,36.1625,36.88,1020716.0
2015-04-15,37.08,37.14,36.37,36.41,1219678.0,0.0,1.0,37.08,37.14,36.37,36.41,1219678.0
2015-04-14,36.9,37.16,36.61,36.88,1003242.0,0.0,1.0,36.9,37.16,36.61,36.88,1003242.0
2015-04-13,37.21,37.47,36.89,36.93,762256.0,0.0,1.0,37.21,37.47,36.89,36.93,762256.0
2015-04-10,37.49,37.91,36.98,37.17,870454.0,0.0,1.0,37.49,37.91,36.98,37.17,870454.0
2015-04-09,37.49,37.64,37.09,37.37,947876.0,0.0,1.0,37.49,37.64,37.09,37.37,947876.0
2015-04-08,36.89,37.63,36.77,37.57,1580019.0,0.0,1.0,36.89,37.63,36.77,37.57,1580019.0
2015-04-07,37.78,37.85,36.78,36.79,1207950.0,0.0,1.0,37.78,37.85,36.78,36.79,1207950.0
2015-04-06,37.1,37.82,37.03,37.75,1264682.0,0.0,1.0,37.1,37.82,37.03,37.75,1264682.0
2015-04-02,36.3,37.25,36.27,37.15,1149843.0,0.0,1.0,36.3,37.25,36.27,37.15,1149843.0
2015-04-01,36.5,36.59,35.93,36.29,1507394.0,0.0,1.0,36.5,36.59,35.93,36.29,1507394.0
2015-03-31,36.8,36.84,36.41,36.48,1008043.0,0.0,1.0,36.8,36.84,36.41,36.48,1008043.0
2015-03-30,36.79,36.94,36.55,36.75,751698.0,0.0,1.0,36.79,36.94,36.55,36.75,751698.0
2015-03-27,36.37,36.758,36.34,36.64,581038.0,0.0,1.0,36.37,36.758,36.34,36.64,581038.0
2015-03-26,36.35,36.6,36.11,36.37,1687260.0,0.0,1.0,36.35,36.6,36.11,36.37,1687260.0
2015-03-25,37.89,37.89,36.41,36.43,1033050.0,0.0,1.0,37.89,37.89,36.41,36.43,1033050.0
2015-03-24,38.3,38.3,37.62,37.82,1078984.0,0.0,1.0,38.3,38.3,37.62,37.82,1078984.0
2015-03-23,38.64,38.7223,38.15,38.33,1315375.0,0.0,1.0,38.64,38.7223,38.15,38.33,1315375.0
2015-03-20,38.49,38.91,38.41,38.65,3691049.0,0.0,1.0,38.49,38.91,38.41,38.65,3691049.0
2015-03-19,38.56,38.76,38.2,38.27,2033248.0,0.0,1.0,38.56,38.76,38.2,38.27,2033248.0
2015-03-18,37.71,38.74,37.62,38.57,1760308.0,0.0,1.0,37.71,38.74,37.62,38.57,1760308.0
2015-03-17,37.54,38.12,37.4,37.74,2204239.0,0.0,1.0,37.54,38.12,37.4,37.74,2204239.0
2015-03-16,37.06,37.7,37.06,37.6,1287062.0,0.0,1.0,37.06,37.7,37.06,37.6,1287062.0
2015-03-13,36.7,37.08,36.27,36.87,1675091.0,0.0,1.0,36.7,37.08,36.27,36.87,1675091.0
2015-03-12,36.01,36.77,35.98,36.7,1038371.0,0.0,1.0,36.01,36.77,35.98,36.7,1038371.0
2015-03-11,36.3,36.3,35.8,35.97,1653631.0,0.0,1.0,36.3,36.3,35.8,35.97,1653631.0
2015-03-10,36.31,36.39,35.6,36.25,2319579.0,0.0,1.0,36.31,36.39,35.6,36.25,2319579.0
2015-03-09,36.34,36.59,36.25,36.56,1148414.0,0.0,1.0,36.34,36.59,36.25,36.56,1148414.0
2015-03-06,36.31,36.6,36.08,36.28,1678081.0,0.0,1.0,36.31,36.6,36.08,36.28,1678081.0
2015-03-05,36.51,36.6798,36.44,36.59,1082300.0,0.0,1.0,36.51,36.6798,36.44,36.59,1082300.0
2015-03-04,36.77,37.126,36.41,36.49,2038739.0,0.0,1.0,36.77,37.126,36.41,36.49,2038739.0
2015-03-03,37.4,37.5,37.04,37.39,1864223.0,0.0,1.0,37.4,37.5,37.04,37.39,1864223.0
2015-03-02,36.67,37.5499,36.63,37.49,1934521.0,0.0,1.0,36.67,37.5499,36.63,37.49,1934521.0
2015-02-27,36.8,36.85,36.335,36.75,2199024.0,0.0,1.0,36.8,36.85,36.335,36.75,2199024.0
2015-02-26,36.42,36.88,36.2499,36.85,1955891.0,0.0,1.0,36.42,36.88,36.2499,36.85,1955891.0
2015-02-25,36.46,36.69,36.09,36.48,1584398.0,0.0,1.0,35.994761584956,36.221826729349,35.629482874412,36.014506380121,1584398.0
2015-02-24,36.22,36.63,35.84,36.58,1579324.0,0.0,1.0,35.757824042982,36.162592343855,35.382672934856,36.113230355944,1579324.0
2015-02-23,36.72,36.81,35.98,36.29,1648466.0,0.0,1.0,36.251443922095,36.340295500336,35.520886501007,35.826930826058,1648466.0
2015-02-20,38.1,38.37,36.1,36.71,3470399.0,0.0,1.0,37.613834788449,37.88038952317,35.639355271995,36.241571524513,3470399.0
2015-02-19,39.49,39.51,38.8,38.83,1162498.0,0.0,1.0,38.986098052384,39.005842847549,38.304902619208,38.334519811954,1162498.0
