Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,98.59,98.83,98.02,98.24,1420626.0,0.0,1.0,98.59,98.83,98.02,98.24,1420626.0
2015-04-15,99.9,99.92,98.945,99.04,2328865.0,0.0,1.0,99.9,99.92,98.945,99.04,2328865.0
2015-04-14,97.83,99.56,97.58,99.49,2238493.0,0.0,1.0,97.83,99.56,97.58,99.49,2238493.0
2015-04-13,97.17,98.18,96.99,98.04,1535212.0,0.0,1.0,97.17,98.18,96.99,98.04,1535212.0
2015-04-10,97.44,97.87,97.09,97.54,1386013.0,0.0,1.0,97.44,97.87,97.09,97.54,1386013.0
2015-04-09,97.07,97.74,96.77,97.28,953309.0,0.0,1.0,97.07,97.74,96.77,97.28,953309.0
2015-04-08,97.77,98.24,96.8176,97.26,1405479.0,0.0,1.0,97.77,98.24,96.8176,97.26,1405479.0
2015-04-07,97.84,98.76,97.56,97.94,1592204.0,0.0,1.0,97.84,98.76,97.56,97.94,1592204.0
2015-04-06,96.14,98.25,96.0,97.76,1094657.0,0.0,1.0,96.14,98.25,96.0,97.76,1094657.0
2015-04-02,96.31,97.3,96.26,96.61,1072941.0,0.0,1.0,96.31,97.3,96.26,96.61,1072941.0
2015-04-01,97.0,97.15,96.1,96.52,1477226.0,0.0,1.0,97.0,97.15,96.1,96.52,1477226.0
2015-03-31,97.34,97.58,96.82,97.14,1739932.0,0.0,1.0,97.34,97.58,96.82,97.14,1739932.0
2015-03-30,97.2,98.22,97.15,97.89,1967385.0,0.0,1.0,97.2,98.22,97.15,97.89,1967385.0
2015-03-27,96.49,96.99,96.05,96.74,1856282.0,0.485,1.0,96.49,96.99,96.05,96.74,1856282.0
2015-03-26,96.08,96.93,95.78,96.53,1684779.0,0.0,1.0,95.600711751093,96.446471586526,95.302208279763,96.048466958087,1684779.0
2015-03-25,97.79,97.96,96.49,96.5,1705062.0,0.0,1.0,97.30218153767,97.471333504757,96.008666495243,96.018616610954,1705062.0
