Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,40.46,40.69,40.165,40.5,2034073.0,0.0,1.0,40.46,40.69,40.165,40.5,2034073.0
2015-04-15,40.52,40.68,40.3,40.57,1973395.0,0.0,1.0,40.52,40.68,40.3,40.57,1973395.0
2015-04-14,40.26,40.57,40.04,40.3,2586120.0,0.0,1.0,40.26,40.57,40.04,40.3,2586120.0
2015-04-13,39.99,40.47,39.92,40.27,2460438.0,0.0,1.0,39.99,40.47,39.92,40.27,2460438.0
2015-04-10,40.25,40.25,39.78,40.0,2775772.0,0.0,1.0,40.25,40.25,39.78,40.0,2775772.0
2015-04-09,39.93,40.3,39.72,40.2,2604235.0,0.0,1.0,39.93,40.3,39.72,40.2,2604235.0
2015-04-08,39.82,40.15,39.73,40.04,2100582.0,0.0,1.0,39.82,40.15,39.73,40.04,2100582.0
2015-04-07,40.19,40.34,39.75,39.76,3076232.0,0.0,1.0,40.19,40.34,39.75,39.76,3076232.0
2015-04-06,39.45,40.28,39.34,40.14,2430882.0,0.0,1.0,39.45,40.28,39.34,40.14,2430882.0
2015-04-02,39.7,39.92,39.52,39.87,2323534.0,0.0,1.0,39.7,39.92,39.52,39.87,2323534.0
2015-04-01,39.68,39.92,39.35,39.78,2999013.0,0.0,1.0,39.68,39.92,39.35,39.78,2999013.0
2015-03-31,39.79,40.01,39.635,39.69,2317058.0,0.0,1.0,39.79,40.01,39.635,39.69,2317058.0
2015-03-30,39.85,40.18,39.85,40.0,3856460.0,0.0,1.0,39.85,40.18,39.85,40.0,3856460.0
2015-03-27,39.83,40.03,39.64,39.68,2299853.0,0.0,1.0,39.83,40.03,39.64,39.68,2299853.0
2015-03-26,39.84,40.26,39.69,39.91,2470757.0,0.0,1.0,39.84,40.26,39.69,39.91,2470757.0
2015-03-25,40.97,41.05,40.08,40.08,2652810.0,0.0,1.0,40.97,41.05,40.08,40.08,2652810.0
2015-03-24,41.27,41.42,40.92,40.93,2598094.0,0.0,1.0,41.27,41.42,40.92,40.93,2598094.0
2015-03-23,41.85,41.9675,41.38,41.38,2326488.0,0.0,1.0,41.85,41.9675,41.38,41.38,2326488.0
2015-03-20,40.86,41.98,40.86,41.85,5508943.0,0.0,1.0,40.86,41.98,40.86,41.85,5508943.0
2015-03-19,41.59,41.75,40.95,41.09,3487176.0,0.0,1.0,41.59,41.75,40.95,41.09,3487176.0
2015-03-18,40.99,41.93,40.84,41.78,3171848.0,0.0,1.0,40.99,41.93,40.84,41.78,3171848.0
2015-03-17,41.06,41.215,40.84,41.03,2332351.0,0.0,1.0,41.06,41.215,40.84,41.03,2332351.0
2015-03-16,40.68,41.52,40.68,41.37,3613826.0,0.0,1.0,40.68,41.52,40.68,41.37,3613826.0
2015-03-13,40.52,40.58,39.82,40.37,3276596.0,0.0,1.0,40.52,40.58,39.82,40.37,3276596.0
