Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,49.94,50.46,49.8,50.26,3599587.0,0.0,1.0,49.94,50.46,49.8,50.26,3599587.0
2015-04-15,50.16,50.49,49.77,50.0,10801715.0,0.0,1.0,50.16,50.49,49.77,50.0,10801715.0
2015-04-14,49.62,50.03,49.52,49.78,2678345.0,0.0,1.0,49.62,50.03,49.52,49.78,2678345.0
2015-04-13,50.04,50.16,49.59,49.6,3371142.0,0.0,1.0,50.04,50.16,49.59,49.6,3371142.0
2015-04-10,50.8,50.8,50.09,50.09,3821142.0,0.0,1.0,50.8,50.8,50.09,50.09,3821142.0
2015-04-09,50.5,50.96,50.48,50.55,2743318.0,0.0,1.0,50.5,50.96,50.48,50.55,2743318.0
2015-04-08,50.31,50.68,49.96,50.63,1870811.0,0.0,1.0,50.31,50.68,49.96,50.63,1870811.0
2015-04-07,50.36,50.54,49.981,50.21,1830024.0,0.0,1.0,50.36,50.54,49.981,50.21,1830024.0
2015-04-06,50.04,50.6,49.78,50.49,4481519.0,0.0,1.0,50.04,50.6,49.78,50.49,4481519.0
2015-04-02,49.51,50.29,49.3,50.16,2748626.0,0.0,1.0,49.51,50.29,49.3,50.16,2748626.0
2015-04-01,50.4,50.4,49.22,49.57,2931890.0,0.0,1.0,50.4,50.4,49.22,49.57,2931890.0
2015-03-31,50.04,51.0,49.96,50.44,3844051.0,0.0,1.0,50.04,51.0,49.96,50.44,3844051.0
2015-03-30,49.57,50.18,49.43,49.83,1759815.0,0.0,1.0,49.57,50.18,49.43,49.83,1759815.0
2015-03-27,49.09,49.32,48.93,49.08,1749642.0,0.0,1.0,49.09,49.32,48.93,49.08,1749642.0
2015-03-26,48.64,49.29,48.42,49.19,2457809.0,0.0,1.0,48.64,49.29,48.42,49.19,2457809.0
2015-03-25,49.91,50.14,48.82,48.82,2804334.0,0.0,1.0,49.91,50.14,48.82,48.82,2804334.0
2015-03-24,50.43,50.61,49.84,49.85,2509653.0,0.0,1.0,50.43,50.61,49.84,49.85,2509653.0
2015-03-23,50.49,50.85,50.48,50.59,2250891.0,0.0,1.0,50.49,50.85,50.48,50.59,2250891.0
2015-03-20,50.06,50.5325,49.94,50.4,4209913.0,0.0,1.0,50.06,50.5325,49.94,50.4,4209913.0
2015-03-19,50.17,50.17,49.5,49.76,1471442.0,0.0,1.0,50.17,50.17,49.5,49.76,1471442.0
2015-03-18,49.23,50.49,48.93,50.28,2380117.0,0.0,1.0,49.23,50.49,48.93,50.28,2380117.0
2015-03-17,49.34,49.64,49.33,49.47,2078084.0,0.0,1.0,49.34,49.64,49.33,49.47,2078084.0
2015-03-16,49.15,49.834,49.03,49.73,3073910.0,0.0,1.0,49.15,49.834,49.03,49.73,3073910.0
2015-03-13,49.1,49.148,48.27,48.82,2253976.0,0.0,1.0,49.1,49.148,48.27,48.82,2253976.0
2015-03-12,48.7,49.3,48.65,49.13,2226636.0,0.0,1.0,48.7,49.3,48.65,49.13,2226636.0
2015-03-11,49.01,49.1,48.13,48.42,5888836.0,0.0,1.0,49.01,49.1,48.13,48.42,5888836.0
2015-03-10,49.33,49.49,49.06,49.19,2677294.0,0.0,1.0,49.33,49.49,49.06,49.19,2677294.0
2015-03-09,50.0,50.34,49.84,49.96,2899537.0,0.0,1.0,50.0,50.34,49.84,49.96,2899537.0
2015-03-06,50.1,50.85,49.585,49.86,3815465.0,0.0,1.0,50.1,50.85,49.585,49.86,3815465.0
2015-03-05,50.83,51.04,50.36,50.58,3895082.0,0.0,1.0,50.83,51.04,50.36,50.58,3895082.0
2015-03-04,50.8,51.064,50.37,50.7,4147071.0,0.0,1.0,50.8,51.064,50.37,50.7,4147071.0
2015-03-03,51.6,51.87,51.14,51.45,2243051.0,0.0,1.0,51.6,51.87,51.14,51.45,2243051.0
2015-03-02,50.98,52.0,50.81,51.9,4465576.0,0.0,1.0,50.98,52.0,50.81,51.9,4465576.0
2015-02-27,50.56,50.94,50.45,50.81,2757957.0,0.0,1.0,50.56,50.94,50.45,50.81,2757957.0
2015-02-26,51.23,51.28,50.68,50.96,2451028.0,0.0,1.0,51.23,51.28,50.68,50.96,2451028.0
2015-02-25,50.75,51.39,50.66,51.34,4080216.0,0.0,1.0,50.491629136479,51.128370863521,50.402087331114,51.078625416096,4080216.0
2015-02-24,50.2,50.99,50.1,50.79,3369494.0,0.0,1.0,49.944429214803,50.73040728412,49.844938319953,50.531425494419,3369494.0
2015-02-23,50.34,50.54,49.99,50.23,2930649.0,0.0,1.0,50.083716467594,50.282698257294,49.735498335618,49.974276483258,2930649.0
2015-02-20,49.68,50.61,49.1745,50.58,4350590.0,0.0,1.0,49.427076561582,50.352341883689,48.924150088114,50.322494615234,4350590.0
2015-02-19,49.71,50.38,49.6,49.9,4427762.0,0.0,1.0,49.456923830037,50.123512825534,49.347483845702,49.645956530253,4427762.0
2015-02-18,48.77,49.89,48.7,49.81,5185651.0,0.0,1.0,48.521709418445,49.636007440768,48.45206579205,49.556414724887,5185651.0
2015-02-17,48.71,48.939,48.35,48.85,3020708.0,0.0,1.0,48.462014881535,48.689849030742,48.103847660074,48.601302134325,3020708.0
2015-02-13,48.11,48.525,47.86,48.5,2465775.0,0.0,1.0,47.865069512434,48.277956726062,47.616342275308,48.25308400235,2465775.0
2015-02-12,48.01,48.22,47.8,48.0,3744468.0,0.0,1.0,47.765578617584,47.974509496769,47.556647738398,47.755629528099,3744468.0
2015-02-11,48.21,48.26,47.5,47.84,2304544.0,0.0,1.0,47.964560407284,48.014305854709,47.258175053848,47.596444096338,2304544.0
2015-02-10,48.65,48.69,47.84,48.22,4040954.0,0.0,1.0,48.402320344625,48.442116702565,47.596444096338,47.974509496769,4040954.0
2015-02-09,48.42,48.75,48.12,48.19,2328541.0,0.0,1.0,48.17349128647,48.501811239475,47.875018601919,47.944662228314,2328541.0
2015-02-06,48.4,49.081,48.4,48.63,2946338.0,0.0,1.0,48.1535931075,48.831126101429,48.1535931075,48.382422165655,2946338.0
2015-02-05,48.22,48.5,48.02,48.37,2679263.0,0.0,1.0,47.974509496769,48.25308400235,47.775527707069,48.123745839044,2679263.0
2015-02-04,48.58,48.64,47.98,48.11,3518532.0,0.0,1.0,48.33267671823,48.39237125514,47.735731349129,47.865069512434,3518532.0
2015-02-03,47.66,48.55,47.59,48.49,4403805.0,0.0,1.0,47.417360485608,48.302829449775,47.347716859213,48.243134912865,4403805.0
2015-02-02,46.53,47.58,46.28,47.44,2904109.0,0.0,1.0,46.293113373801,47.337767769728,46.044386136675,47.198480516938,2904109.0
2015-01-30,46.53,47.01,46.31,46.47,4221914.0,0.0,1.0,46.293113373801,46.770669669082,46.07423340513,46.233418836891,4221914.0
2015-01-29,46.22,47.09,45.96,47.02,2588543.0,0.0,1.0,45.984691599765,46.850262384962,45.726015273154,46.780618758567,2588543.0
2015-01-28,46.81,46.83,45.98,46.05,2900465.0,0.0,1.0,46.571687879381,46.591586058351,45.745913452125,45.81555707852,2900465.0
2015-01-26,47.43,47.66,47.04,47.4,3493661.0,0.0,1.0,47.188531427453,47.417360485608,46.800516937537,47.158684158997,3493661.0
2015-01-23,47.94,48.2,47.1545,47.6,4469011.0,0.0,1.0,47.695934991189,47.954611317799,46.91443401214,47.357665948698,4469011.0
2015-01-22,47.25,48.29,46.88,48.03,5341990.0,0.0,1.0,47.009447816722,48.044153123164,46.641331505776,47.785476796554,5341990.0
2015-01-21,45.06,46.06,44.97,45.85,4868293.0,0.0,1.0,44.830597219503,45.825506168005,44.741055414137,45.616575288819,4868293.0
2015-01-20,45.4,45.49,44.68,45.24,4441070.0,0.0,1.0,45.168866261993,45.258408067359,44.452531819072,45.009680830233,4441070.0
2015-01-15,45.44,45.612,44.89,44.95,3338841.0,0.0,1.0,45.208662619933,45.379786959076,44.661462698257,44.721157235167,3338841.0
2015-01-14,45.28,45.44,44.32,45.22,3591164.0,0.0,1.0,45.049477188173,45.208662619933,44.094364597611,44.989782651263,3591164.0
