Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,65.1,65.355,64.8,65.05,1243799.0,0.0,1.0,65.1,65.355,64.8,65.05,1243799.0
2015-04-15,65.7,66.04,65.11,65.17,1387182.0,0.0,1.0,65.7,66.04,65.11,65.17,1387182.0
2015-04-14,65.43,65.87,65.26,65.58,1690158.0,0.0,1.0,65.43,65.87,65.26,65.58,1690158.0
2015-04-13,65.75,65.84,65.41,65.46,956248.0,0.0,1.0,65.75,65.84,65.41,65.46,956248.0
2015-04-10,65.66,65.98,65.38,65.73,1544047.0,0.0,1.0,65.66,65.98,65.38,65.73,1544047.0
2015-04-09,65.51,65.645,65.25,65.49,1627629.0,0.0,1.0,65.51,65.645,65.25,65.49,1627629.0
2015-04-08,65.84,65.84,65.23,65.59,1945116.0,0.0,1.0,65.84,65.84,65.23,65.59,1945116.0
2015-04-07,65.95,66.18,65.62,65.74,1602907.0,0.0,1.0,65.95,66.18,65.62,65.74,1602907.0
2015-04-06,66.55,67.0,66.03,66.03,3970014.0,0.0,1.0,66.55,67.0,66.03,66.03,3970014.0
2015-04-02,65.91,66.64,65.81,66.38,2440902.0,0.0,1.0,65.91,66.64,65.81,66.38,2440902.0
2015-04-01,65.69,66.25,64.99,66.18,3597007.0,0.0,1.0,65.69,66.25,64.99,66.18,3597007.0
2015-03-31,65.14,66.38,65.04,65.95,3928230.0,0.0,1.0,65.14,66.38,65.04,65.95,3928230.0
2015-03-30,63.9,65.5,63.66,65.5,3581648.0,0.0,1.0,63.9,65.5,63.66,65.5,3581648.0
2015-03-27,63.11,63.87,63.0,63.84,1836871.0,0.0,1.0,63.11,63.87,63.0,63.84,1836871.0
2015-03-26,63.45,63.52,62.46,63.0,2513644.0,0.0,1.0,63.45,63.52,62.46,63.0,2513644.0
2015-03-25,63.53,63.98,62.6301,63.15,5473903.0,0.0,1.0,63.53,63.98,62.6301,63.15,5473903.0
2015-03-24,64.0,64.1,62.93,62.94,1754853.0,0.0,1.0,64.0,64.1,62.93,62.94,1754853.0
2015-03-23,63.92,64.28,63.78,63.95,1587383.0,0.0,1.0,63.92,64.28,63.78,63.95,1587383.0
2015-03-20,62.98,64.08,62.98,64.08,4387118.0,0.0,1.0,62.98,64.08,62.98,64.08,4387118.0
2015-03-19,62.8,63.26,62.62,62.81,1954486.0,0.0,1.0,62.8,63.26,62.62,62.81,1954486.0
2015-03-18,62.2,63.2,61.53,63.06,2014114.0,0.0,1.0,62.2,63.2,61.53,63.06,2014114.0
2015-03-17,62.33,62.53,62.0,62.25,1785137.0,0.0,1.0,62.33,62.53,62.0,62.25,1785137.0
2015-03-16,62.31,62.85,62.13,62.84,2030252.0,0.0,1.0,62.31,62.85,62.13,62.84,2030252.0
2015-03-13,62.17,62.35,61.71,62.15,1455938.0,0.0,1.0,62.17,62.35,61.71,62.15,1455938.0
2015-03-12,61.98,62.391,61.98,62.31,1575470.0,0.0,1.0,61.98,62.391,61.98,62.31,1575470.0
2015-03-11,62.6,62.62,61.77,61.97,1824644.0,0.0,1.0,62.6,62.62,61.77,61.97,1824644.0
2015-03-10,62.33,62.77,61.95,62.61,2486121.0,0.0,1.0,62.33,62.77,61.95,62.61,2486121.0
2015-03-09,62.55,62.87,62.38,62.6,1616990.0,0.0,1.0,62.55,62.87,62.38,62.6,1616990.0
2015-03-06,63.64,63.77,62.26,62.47,2811128.0,0.0,1.0,63.64,63.77,62.26,62.47,2811128.0
2015-03-05,64.72,64.93,63.81,64.05,2686788.0,0.0,1.0,64.72,64.93,63.81,64.05,2686788.0
2015-03-04,64.45,64.9,64.27,64.72,5147320.0,0.0,1.0,64.45,64.9,64.27,64.72,5147320.0
