Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,14.06,14.53,13.9,14.4,21452579.0,0.0,1.0,14.06,14.53,13.9,14.4,21452579.0
2015-04-15,14.07,14.29,14.06,14.19,10828175.0,0.0,1.0,14.07,14.29,14.06,14.19,10828175.0
2015-04-14,14.24,14.3,14.06,14.1,14267352.0,0.0,1.0,14.24,14.3,14.06,14.1,14267352.0
2015-04-13,14.05,14.26,14.03,14.25,15154705.0,0.0,1.0,14.05,14.26,14.03,14.25,15154705.0
2015-04-10,14.18,14.21,14.01,14.06,9370022.0,0.0,1.0,14.18,14.21,14.01,14.06,9370022.0
2015-04-09,14.18,14.25,14.07,14.19,6741802.0,0.0,1.0,14.18,14.25,14.07,14.19,6741802.0
2015-04-08,14.23,14.36,14.15,14.19,6566124.0,0.0,1.0,14.23,14.36,14.15,14.19,6566124.0
2015-04-07,14.21,14.34,14.115,14.25,8516115.0,0.0,1.0,14.21,14.34,14.115,14.25,8516115.0
2015-04-06,14.09,14.2,13.93,14.16,7254873.0,0.0,1.0,14.09,14.2,13.93,14.16,7254873.0
2015-04-02,14.1,14.28,14.1,14.25,7977563.0,0.0,1.0,14.1,14.28,14.1,14.25,7977563.0
2015-04-01,14.09,14.18,13.99,14.16,17678361.0,0.0,1.0,14.09,14.18,13.99,14.16,17678361.0
2015-03-31,14.02,14.18,14.01,14.16,8096050.0,0.0,1.0,14.02,14.18,14.01,14.16,8096050.0
2015-03-30,14.14,14.28,14.095,14.2,4977221.0,0.0,1.0,14.14,14.28,14.095,14.2,4977221.0
2015-03-27,14.12,14.12,13.92,14.0,7237354.0,0.0,1.0,14.12,14.12,13.92,14.0,7237354.0
2015-03-26,14.0,14.195,13.9,14.15,10576540.0,0.0,1.0,14.0,14.195,13.9,14.15,10576540.0
2015-03-25,14.3,14.31,13.98,14.03,11241638.0,0.0,1.0,14.3,14.31,13.98,14.03,11241638.0
2015-03-24,14.5,14.5,14.31,14.31,10154973.0,0.0,1.0,14.5,14.5,14.31,14.31,10154973.0
2015-03-23,14.67,14.68,14.51,14.55,8392941.0,0.0,1.0,14.67,14.68,14.51,14.55,8392941.0
2015-03-20,14.49,14.68,14.46,14.65,12403002.0,0.0,1.0,14.49,14.68,14.46,14.65,12403002.0
2015-03-19,14.46,14.48,14.29,14.43,13222602.0,0.0,1.0,14.46,14.48,14.29,14.43,13222602.0
2015-03-18,14.58,14.74,14.31,14.47,13404942.0,0.0,1.0,14.58,14.74,14.31,14.47,13404942.0
2015-03-17,14.48,14.61,14.41,14.61,7200512.0,0.0,1.0,14.48,14.61,14.41,14.61,7200512.0
2015-03-16,14.58,14.63,14.42,14.59,8343807.0,0.0,1.0,14.58,14.63,14.42,14.59,8343807.0
2015-03-13,14.59,14.69,14.39,14.51,10731127.0,0.0,1.0,14.59,14.69,14.39,14.51,10731127.0
2015-03-12,14.47,14.63,14.39,14.61,16044592.0,0.0,1.0,14.47,14.63,14.39,14.61,16044592.0
2015-03-11,14.0,14.27,13.955,14.23,11370045.0,0.0,1.0,14.0,14.27,13.955,14.23,11370045.0
2015-03-10,14.16,14.17,13.94,13.97,11961494.0,0.0,1.0,14.16,14.17,13.94,13.97,11961494.0
2015-03-09,14.27,14.36,14.21,14.33,9682973.0,0.0,1.0,14.27,14.36,14.21,14.33,9682973.0
2015-03-06,14.12,14.5,14.09,14.31,13553816.0,0.0,1.0,14.12,14.5,14.09,14.31,13553816.0
2015-03-05,13.93,14.08,13.74,14.08,11170214.0,0.0,1.0,13.93,14.08,13.74,14.08,11170214.0
2015-03-04,13.9,13.945,13.79,13.9,11159120.0,0.0,1.0,13.9,13.945,13.79,13.9,11159120.0
2015-03-03,13.94,14.055,13.88,14.0,6771337.0,0.0,1.0,13.94,14.055,13.88,14.0,6771337.0
2015-03-02,13.95,14.07,13.89,14.02,5770734.0,0.0,1.0,13.95,14.07,13.89,14.02,5770734.0
2015-02-27,13.99,14.085,13.91,13.93,6735901.0,0.0,1.0,13.99,14.085,13.91,13.93,6735901.0
2015-02-26,14.1,14.17,14.0,14.11,8619554.0,0.0,1.0,14.1,14.17,14.0,14.11,8619554.0
2015-02-25,14.08,14.2,14.02,14.15,8383991.0,0.0,1.0,14.08,14.2,14.02,14.15,8383991.0
2015-02-24,13.96,14.09,13.92,14.08,7335302.0,0.0,1.0,13.895162558056,14.02455877099,13.855348338692,14.014605216149,7335302.0
2015-02-23,13.97,13.99,13.83,13.91,4633777.0,0.0,1.0,13.905116112897,13.925023222579,13.765766345123,13.845394783851,4633777.0
2015-02-20,13.84,14.02,13.67,14.02,7598795.0,0.0,1.0,13.775719899964,13.954883887103,13.606509467667,13.954883887103,7598795.0
2015-02-19,13.9,13.93,13.71,13.9,6636392.0,0.0,1.0,13.83544122901,13.865301893533,13.646323687031,13.83544122901,6636392.0
2015-02-18,14.13,14.14,13.895,13.94,6778046.0,0.0,1.0,14.064372990354,14.074326545195,13.83046445159,13.875255448374,6778046.0
2015-02-17,14.08,14.17,13.9234,14.15,7614362.0,0.0,1.0,14.014605216149,14.104187209718,13.858732547338,14.084280100036,7614362.0
2015-02-13,14.18,14.29,14.02,14.11,8842509.0,0.0,1.0,14.114140764559,14.22362986781,13.954883887103,14.044465880672,8842509.0
2015-02-12,14.01,14.225,13.95,14.19,9700196.0,0.0,1.0,13.944930332262,14.158931761343,13.885209003215,14.1240943194,9700196.0
2015-02-11,13.94,13.95,13.785,13.92,12496314.0,0.0,1.0,13.875255448374,13.885209003215,13.720975348339,13.855348338692,12496314.0
2015-02-10,13.97,14.0,13.83,13.98,7223156.0,0.0,1.0,13.905116112897,13.934976777421,13.765766345123,13.915069667738,7223156.0
2015-02-09,14.0,14.025,13.86,13.88,10575635.0,0.0,1.0,13.934976777421,13.959860664523,13.795627009646,13.815534119328,10575635.0
2015-02-06,14.03,14.3,13.98,14.16,19184630.0,0.0,1.0,13.964837441944,14.233583422651,13.915069667738,14.094233654877,19184630.0
2015-02-05,13.77,13.835,13.68,13.8,12072450.0,0.0,1.0,13.706045016077,13.770743122544,13.616463022508,13.7359056806,12072450.0
2015-02-04,13.56,13.68,13.52,13.55,6867921.0,0.0,1.0,13.497020364416,13.616463022508,13.457206145052,13.487066809575,6867921.0
2015-02-03,13.32,13.59,13.34,13.58,12896074.0,0.0,1.0,13.258135048232,13.526881028939,13.278042157914,13.516927474098,12896074.0
2015-02-02,13.09,13.32,12.97,13.27,11835214.0,0.0,1.0,13.029203286888,13.258135048232,12.909760628796,13.208367274026,11835214.0
2015-01-30,12.98,13.2,12.94,12.99,10466162.0,0.0,1.0,12.919714183637,13.138692390139,12.879899964273,12.929667738478,10466162.0
2015-01-29,12.97,13.23,12.9025,13.2,10495167.0,0.0,1.0,12.909760628796,13.168553054662,12.842574133619,13.138692390139,10495167.0
2015-01-28,13.4,13.42,12.93,12.94,12452347.0,0.0,1.0,13.33776348696,13.357670596642,12.869946409432,12.879899964273,12452347.0
2015-01-26,13.29,13.5,13.21,13.48,10233870.0,0.0,1.0,13.228274383708,13.43729903537,13.14864594498,13.417391925688,10233870.0
2015-01-23,13.28,13.45,13.17,13.27,13642220.0,0.0,1.0,13.218320828867,13.387531261165,13.108831725616,13.208367274026,13642220.0
2015-01-22,12.6,13.36,12.59,13.27,30295440.0,0.0,1.0,12.541479099678,13.297949267596,12.531525544837,13.208367274026,30295440.0
2015-01-21,12.24,12.4,12.16,12.33,17096196.0,0.0,1.0,12.183151125402,12.342408002858,12.103522686674,12.272733118971,17096196.0
2015-01-20,12.39,12.43,12.21,12.26,12996538.0,0.0,1.0,12.332454448017,12.372268667381,12.153290460879,12.203058235084,12996538.0
2015-01-15,12.36,12.47,12.042,12.16,12882938.0,0.0,1.0,12.302593783494,12.412082886745,11.98607073955,12.103522686674,12882938.0
2015-01-14,12.52,12.53,12.24,12.42,17083010.0,0.0,1.0,12.46185066095,12.471804215791,12.183151125402,12.36231511254,17083010.0
2015-01-13,12.97,13.08,12.575,12.7,11613864.0,0.0,1.0,12.909760628796,13.019249732047,12.516595212576,12.641014648089,11613864.0
2015-01-12,13.01,13.05,12.78,12.86,7642610.0,0.0,1.0,12.94957484816,12.989389067524,12.720643086817,12.800271525545,7642610.0
2015-01-08,13.27,13.435,13.2001,13.4,9173542.0,0.0,1.0,13.208367274026,13.372600928903,13.138791925688,13.33776348696,9173542.0
2015-01-06,13.47,13.48,12.98,13.03,13210919.0,0.0,1.0,13.407438370847,13.417391925688,12.919714183637,12.969481957842,13210919.0
2015-01-05,13.79,13.79,13.43,13.44,7400047.0,0.0,1.0,13.725952125759,13.725952125759,13.367624151483,13.377577706324,7400047.0
2015-01-02,13.91,14.05,13.66,13.86,6200173.0,0.0,1.0,13.845394783851,13.984744551626,13.596555912826,13.795627009646,6200173.0
2014-12-31,14.14,14.14,13.89,13.9,5073672.0,0.0,1.0,14.074326545195,14.074326545195,13.825487674169,13.83544122901,5073672.0
2014-12-30,14.01,14.18,13.91,14.1,4650349.0,0.0,1.0,13.944930332262,14.114140764559,13.845394783851,14.034512325831,4650349.0
2014-12-26,14.04,14.09,13.98,14.0,2502420.0,0.0,1.0,13.974790996785,14.02455877099,13.915069667738,13.934976777421,2502420.0
2014-12-24,14.06,14.1,13.95,14.01,2391810.0,0.0,1.0,13.994698106467,14.034512325831,13.885209003215,13.944930332262,2391810.0
2014-12-23,13.89,14.1,13.84,14.06,5103259.0,0.0,1.0,13.825487674169,14.034512325831,13.775719899964,13.994698106467,5103259.0
2014-12-22,13.81,13.86,13.74,13.84,6749512.0,0.0,1.0,13.745859235441,13.795627009646,13.676184351554,13.775719899964,6749512.0
2014-12-19,13.81,13.92,13.79,13.8,13936222.0,0.0,1.0,13.745859235441,13.855348338692,13.725952125759,13.7359056806,13936222.0
2014-12-18,13.61,13.81,13.575,13.81,9225415.0,0.0,1.0,13.546788138621,13.745859235441,13.511950696677,13.745859235441,9225415.0
2014-12-17,13.18,13.48,13.11,13.43,13780104.0,0.0,1.0,13.118785280457,13.417391925688,13.04911039657,13.367624151483,13780104.0
2014-12-16,13.04,13.31,13.0,13.11,15700671.0,0.0,1.0,12.979435512683,13.24818149339,12.939621293319,13.04911039657,15700671.0
2014-12-15,13.42,13.44,13.1,13.11,14172557.0,0.0,1.0,13.357670596642,13.377577706324,13.039156841729,13.04911039657,14172557.0
2014-12-11,13.54,13.68,13.48,13.53,7504856.0,0.0,1.0,13.477113254734,13.616463022508,13.417391925688,13.467159699893,7504856.0
2014-12-10,13.79,13.89,13.46,13.48,10941678.0,0.0,1.0,13.725952125759,13.825487674169,13.397484816006,13.417391925688,10941678.0
2014-12-09,13.68,13.83,13.56,13.82,8359459.0,0.0,1.0,13.616463022508,13.765766345123,13.497020364416,13.755812790282,8359459.0
2014-12-05,13.59,13.92,13.59,13.78,12664107.0,0.0,1.0,13.526881028939,13.855348338692,13.526881028939,13.715998570918,12664107.0
2014-12-04,13.34,13.5,13.295,13.49,11940146.0,0.0,1.0,13.278042157914,13.43729903537,13.233251161129,13.427345480529,11940146.0
2014-12-02,13.18,13.4,13.16,13.2,11575558.0,0.0,1.0,13.118785280457,13.33776348696,13.098878170775,13.138692390139,11575558.0
2014-12-01,13.44,13.46,13.04,13.18,17273031.0,0.0,1.0,13.377577706324,13.397484816006,12.979435512683,13.118785280457,17273031.0
2014-11-28,13.64,13.66,13.47,13.5,5158860.0,0.065,1.0,13.576648803144,13.596555912826,13.407438370847,13.43729903537,5158860.0
2014-11-26,13.55,13.63,13.52,13.62,6521048.0,0.0,1.0,13.42244024543,13.501687125108,13.392722665551,13.491781265148,6521048.0
2014-11-25,13.57,13.58,13.47,13.54,11646387.0,0.0,1.0,13.44225196535,13.452157825309,13.343193365752,13.41253438547,11646387.0
2014-11-24,13.32,13.56,13.32,13.53,13012510.0,0.0,1.0,13.194605466356,13.43234610539,13.194605466356,13.402628525511,13012510.0
2014-11-21,13.38,13.51,13.23,13.24,8790990.0,0.0,1.0,13.254040626115,13.382816805591,13.105452726719,13.115358586679,8790990.0
2014-11-20,13.17,13.35,13.16,13.35,6732989.0,0.0,1.0,13.046017566961,13.224323046236,13.036111707001,13.224323046236,6732989.0
2014-11-19,13.32,13.32,13.169,13.29,9203942.0,0.0,1.0,13.194605466356,13.194605466356,13.045026980965,13.164887886477,9203942.0
2014-11-18,13.26,13.3379,13.19,13.31,11590119.0,0.0,1.0,13.135170306598,13.212336955684,13.06582928688,13.184699606397,11590119.0
2014-11-17,13.3,13.33,13.2,13.24,8665635.0,0.0,1.0,13.174793746437,13.204511326316,13.07573514684,13.115358586679,8665635.0
2014-11-14,13.41,13.5,13.31,13.35,7740902.0,0.0,1.0,13.283758205994,13.372910945632,13.184699606397,13.224323046236,7740902.0
2014-11-13,13.46,13.53,13.355,13.45,9893578.0,0.0,1.0,13.333287505793,13.402628525511,13.229275976216,13.323381645833,9893578.0
2014-11-12,13.39,13.52,13.385,13.48,8028194.0,0.0,1.0,13.263946486075,13.392722665551,13.258993556095,13.353099225712,8028194.0
2014-11-11,13.47,13.54,13.42,13.48,5476771.0,0.0,1.0,13.343193365752,13.41253438547,13.293664065954,13.353099225712,5476771.0
2014-11-10,13.36,13.51,13.35,13.48,5060901.0,0.0,1.0,13.234228906195,13.382816805591,13.224323046236,13.353099225712,5060901.0
2014-11-07,13.42,13.495,13.32,13.39,7198073.0,0.0,1.0,13.293664065954,13.367958015652,13.194605466356,13.263946486075,7198073.0
2014-11-06,13.38,13.5,13.29,13.48,7549047.0,0.0,1.0,13.254040626115,13.372910945632,13.164887886477,13.353099225712,7549047.0
2014-11-04,13.23,13.28,13.1,13.25,7627756.0,0.0,1.0,13.105452726719,13.154982026518,12.976676547242,13.125264446638,7627756.0
2014-11-03,13.2,13.31,13.15,13.22,11754468.0,0.0,1.0,13.07573514684,13.184699606397,13.026205847041,13.095546866759,11754468.0
2014-10-31,13.25,13.2825,13.12,13.2,15534103.0,0.0,1.0,13.125264446638,13.157458491507,12.996488267162,13.07573514684,15534103.0
2014-10-30,13.08,13.15,12.95,13.04,14149746.0,0.0,1.0,12.956864827323,13.026205847041,12.828088647847,12.917241387484,14149746.0
2014-10-29,12.96,13.16,12.91,13.11,8059078.0,0.0,1.0,12.837994507806,13.036111707001,12.788465208008,12.986582407202,8059078.0
2014-10-28,12.82,13.03,12.81,13.0,7567319.0,0.0,1.0,12.69931246837,12.907335527524,12.68940660841,12.877617947645,7567319.0
2014-10-27,12.76,12.8,12.71,12.79,6262348.0,0.0,1.0,12.639877308612,12.679500748451,12.590348008813,12.669594888491,6262348.0
2014-10-24,12.72,12.79,12.68,12.79,7314309.0,0.0,1.0,12.600253868773,12.669594888491,12.560630428934,12.669594888491,7314309.0
2014-10-23,12.73,12.83,12.67,12.7,10402305.0,0.0,1.0,12.610159728733,12.70921832833,12.550724568974,12.580442148853,10402305.0
2014-10-22,12.69,12.76,12.52,12.58,16548030.0,0.0,1.0,12.570536288894,12.639877308612,12.402136669578,12.461571829337,16548030.0
2014-10-21,12.59,12.72,12.55,12.63,14156880.0,0.0,1.0,12.471477689296,12.600253868773,12.431854249457,12.511101129135,14156880.0
2014-10-20,12.4,12.52,12.37,12.5,11978738.0,0.0,1.0,12.283266350062,12.402136669578,12.253548770182,12.382324949659,11978738.0
2014-10-17,12.3,12.41,12.14,12.35,20004119.0,0.0,1.0,12.184207750464,12.293172210021,12.025713991109,12.233737050263,20004119.0
2014-10-16,11.79,12.28,11.72,12.19,21238850.0,0.0,1.0,11.679008892518,12.164396030545,11.6096678728,12.075243290907,21238850.0
2014-10-15,11.62,12.36,11.55,12.14,45688765.0,0.0,1.0,11.510609273203,12.243642910223,11.441268253485,12.025713991109,45688765.0
2014-10-14,12.81,13.02,12.71,12.89,16144885.0,0.0,1.0,12.68940660841,12.897429667565,12.590348008813,12.768653488088,16144885.0
2014-10-13,12.93,12.995,12.75,12.77,7898834.0,0.0,1.0,12.808276927927,12.872665017665,12.629971448652,12.649783168571,7898834.0
2014-10-10,13.06,13.229,12.88,12.88,13068113.0,0.0,1.0,12.937053107404,13.104462140723,12.758747628128,12.758747628128,13068113.0
2014-10-09,13.43,13.48,13.09,13.09,10226799.0,0.0,1.0,13.303569925913,13.353099225712,12.966770687283,12.966770687283,10226799.0
2014-10-08,13.18,13.54,13.17,13.5,15398584.0,0.0,1.0,13.05592342692,13.41253438547,13.046017566961,13.372910945632,15398584.0
2014-10-07,13.35,13.42,13.14,13.14,13068554.0,0.0,1.0,13.224323046236,13.293664065954,13.016299987081,13.016299987081,13068554.0
2014-10-06,13.59,13.63,13.4,13.4,11470266.0,0.0,1.0,13.462063685269,13.501687125108,13.273852346034,13.273852346034,11470266.0
2014-10-03,13.25,13.58,13.27,13.52,13336417.0,0.0,1.0,13.125264446638,13.452157825309,13.145076166558,13.392722665551,13336417.0
2014-10-01,13.34,13.415,13.15,13.18,7777095.0,0.0,1.0,13.214417186276,13.288711135974,13.026205847041,13.05592342692,7777095.0
2014-09-30,13.41,13.5,13.3,13.33,10735695.0,0.0,1.0,13.283758205994,13.372910945632,13.174793746437,13.204511326316,10735695.0
2014-09-29,13.33,13.51,13.31,13.43,7348820.0,0.0,1.0,13.204511326316,13.382816805591,13.184699606397,13.303569925913,7348820.0
2014-09-26,13.44,13.515,13.38,13.49,5266644.0,0.0,1.0,13.313475785873,13.387769735571,13.254040626115,13.363005085672,5266644.0
2014-09-25,13.54,13.55,13.38,13.41,6881347.0,0.0,1.0,13.41253438547,13.42244024543,13.254040626115,13.283758205994,6881347.0
2014-09-24,13.59,13.65,13.47,13.56,10372333.0,0.0,1.0,13.462063685269,13.521498845027,13.343193365752,13.43234610539,10372333.0
2014-09-23,13.75,13.8,13.56,13.59,9424451.0,0.0,1.0,13.620557444625,13.670086744423,13.43234610539,13.462063685269,9424451.0
2014-09-22,13.93,13.98,13.75,13.76,7489940.0,0.0,1.0,13.7988629239,13.848392223698,13.620557444625,13.630463304584,7489940.0
2014-09-19,14.2,14.21,13.93,13.96,10451654.0,0.0,1.0,14.066321142812,14.076227002772,13.7988629239,13.828580503779,10451654.0
2014-09-18,13.96,14.18,13.96,14.13,10222571.0,0.0,1.0,13.828580503779,14.046509422893,13.828580503779,13.996980123094,10222571.0
2014-09-17,13.85,14.06,13.78,13.96,10095651.0,0.0,1.0,13.719616044222,13.927639103376,13.650275024504,13.828580503779,10095651.0
2014-09-16,13.79,13.96,13.76,13.82,5501463.0,0.0,1.0,13.660180884464,13.828580503779,13.630463304584,13.689898464343,5501463.0
2014-09-15,13.97,13.96,13.77,13.81,7345525.0,0.0,1.0,13.838486363739,13.828580503779,13.640369164544,13.679992604383,7345525.0
2014-09-12,13.86,14.03,13.82,13.93,11749128.0,0.0,1.0,13.729521904182,13.897921523497,13.689898464343,13.7988629239,11749128.0
2014-09-11,13.84,13.9,13.76,13.84,6990801.0,0.0,1.0,13.709710184262,13.769145344021,13.630463304584,13.709710184262,6990801.0
2014-09-10,13.62,13.938,13.62,13.89,8811807.0,0.0,1.0,13.491781265148,13.806787611868,13.491781265148,13.759239484061,8811807.0
2014-09-09,13.69,13.71,13.565,13.6,8695951.0,0.0,1.0,13.561122284866,13.580934004786,13.43729903537,13.471969545229,8695951.0
2014-09-08,13.73,13.79,13.615,13.77,6424092.0,0.0,1.0,13.600745724705,13.660180884464,13.486828335168,13.640369164544,6424092.0
2014-09-05,13.65,13.75,13.565,13.735,6047512.0,0.0,1.0,13.521498845027,13.620557444625,13.43729903537,13.605698654685,6047512.0
2014-09-04,13.68,13.86,13.64,13.72,7321854.0,0.0,1.0,13.551216424907,13.729521904182,13.511592985068,13.590839864746,7321854.0
2014-09-03,13.74,13.78,13.58,13.65,5890089.0,0.0,1.0,13.610651584665,13.650275024504,13.452157825309,13.521498845027,5890089.0
2014-09-02,13.65,13.76,13.6,13.71,6741791.0,0.0,1.0,13.521498845027,13.630463304584,13.471969545229,13.580934004786,6741791.0
2014-08-29,13.51,13.62,13.47,13.61,4479787.0,0.0,1.0,13.382816805591,13.491781265148,13.343193365752,13.481875405189,4479787.0
2014-08-28,13.51,13.58,13.42,13.51,5107960.0,0.065,1.0,13.382816805591,13.452157825309,13.293664065954,13.382816805591,5107960.0
2014-08-27,13.74,13.78,13.58,13.62,5868068.0,0.0,1.0,13.545480877261,13.584914591606,13.387746019884,13.427179734229,5868068.0
2014-08-26,13.69,13.78,13.69,13.74,5649848.0,0.0,1.0,13.496188734331,13.584914591606,13.496188734331,13.545480877261,5649848.0
2014-08-25,13.68,13.78,13.63,13.71,6257207.0,0.0,1.0,13.486330305745,13.584914591606,13.437038162815,13.515905591503,6257207.0
2014-08-22,13.58,13.74,13.5,13.55,7976050.0,0.0,1.0,13.387746019884,13.545480877261,13.308878591196,13.358170734126,7976050.0
2014-08-21,13.42,13.64,13.4,13.57,8855295.0,0.0,1.0,13.230011162507,13.446896591401,13.210294305335,13.377887591298,8855295.0
2014-08-20,13.26,13.47,13.24,13.44,7858223.0,0.0,1.0,13.07227630513,13.279303305438,13.052559447958,13.249728019679,7858223.0
2014-08-19,13.34,13.48,13.26,13.27,8327346.0,0.0,1.0,13.151143733819,13.289161734024,13.07227630513,13.082134733716,8327346.0
2014-08-18,13.27,13.5,13.25,13.33,8494250.0,0.0,1.0,13.082134733716,13.308878591196,13.062417876544,13.141285305233,8494250.0
2014-08-15,13.18,13.31,13.05,13.19,8709761.0,0.0,1.0,12.993408876441,13.12156844806,12.865249304823,13.003267305028,8709761.0
