Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,59.41,60.09,58.92,59.33,2112861.0,0.0,1.0,59.41,60.09,58.92,59.33,2112861.0
2015-04-15,59.28,60.58,59.23,60.04,1707272.0,0.0,1.0,59.28,60.58,59.23,60.04,1707272.0
2015-04-14,58.85,59.6,58.48,59.36,1456459.0,0.0,1.0,58.85,59.6,58.48,59.36,1456459.0
2015-04-13,59.07,59.67,58.78,59.0,1171168.0,0.0,1.0,59.07,59.67,58.78,59.0,1171168.0
2015-04-10,58.8,59.13,58.36,59.12,1156868.0,0.0,1.0,58.8,59.13,58.36,59.12,1156868.0
2015-04-09,58.13,59.05,57.73,58.94,1584787.0,0.0,1.0,58.13,59.05,57.73,58.94,1584787.0
2015-04-08,57.63,58.25,57.63,58.05,930285.0,0.0,1.0,57.63,58.25,57.63,58.05,930285.0
2015-04-07,58.17,58.43,57.75,57.76,764870.0,0.0,1.0,58.17,58.43,57.75,57.76,764870.0
2015-04-06,57.64,58.52,57.21,58.14,1209672.0,0.0,1.0,57.64,58.52,57.21,58.14,1209672.0
2015-04-02,58.08,58.54,57.1,58.09,1103044.0,0.0,1.0,58.08,58.54,57.1,58.09,1103044.0
2015-04-01,58.27,58.35,57.21,57.75,1827184.0,0.0,1.0,58.27,58.35,57.21,57.75,1827184.0
2015-03-31,59.03,59.03,58.19,58.29,1846294.0,0.0,1.0,59.03,59.03,58.19,58.29,1846294.0
2015-03-30,59.6,59.86,59.07,59.405,1121875.0,0.0,1.0,59.6,59.86,59.07,59.405,1121875.0
2015-03-27,58.52,59.62,57.95,59.0,2152989.0,0.0,1.0,58.52,59.62,57.95,59.0,2152989.0
2015-03-26,58.28,59.02,57.49,58.43,1750513.0,0.0,1.0,58.28,59.02,57.49,58.43,1750513.0
2015-03-25,62.94,62.94,59.19,59.37,2106035.0,0.0,1.0,62.94,62.94,59.19,59.37,2106035.0
2015-03-24,63.11,63.61,62.94,62.97,908828.0,0.0,1.0,63.11,63.61,62.94,62.97,908828.0
2015-03-23,63.36,63.83,63.25,63.27,1059911.0,0.0,1.0,63.36,63.83,63.25,63.27,1059911.0
2015-03-20,62.66,63.69,62.39,63.54,1773809.0,0.0,1.0,62.66,63.69,62.39,63.54,1773809.0
2015-03-19,61.89,62.53,61.86,62.23,992293.0,0.0,1.0,61.89,62.53,61.86,62.23,992293.0
2015-03-18,61.25,62.2,60.58,61.79,1443110.0,0.0,1.0,61.25,62.2,60.58,61.79,1443110.0
2015-03-17,61.43,61.67,61.09,61.375,804074.0,0.0,1.0,61.43,61.67,61.09,61.375,804074.0
2015-03-16,61.0,62.03,60.86,61.92,1045777.0,0.0,1.0,61.0,62.03,60.86,61.92,1045777.0
2015-03-13,60.37,61.0599,60.09,60.71,1059771.0,0.0,1.0,60.37,61.0599,60.09,60.71,1059771.0
2015-03-12,60.08,60.47,59.55,60.41,1132523.0,0.0,1.0,60.08,60.47,59.55,60.41,1132523.0
2015-03-11,60.54,61.02,60.16,60.28,812992.0,0.0,1.0,60.54,61.02,60.16,60.28,812992.0
2015-03-10,60.68,61.055,60.09,60.15,1545469.0,0.0,1.0,60.68,61.055,60.09,60.15,1545469.0
2015-03-09,61.01,61.66,61.01,61.37,1178154.0,0.0,1.0,61.01,61.66,61.01,61.37,1178154.0
2015-03-06,61.93,62.365,60.96,61.06,1478421.0,0.0,1.0,61.93,62.365,60.96,61.06,1478421.0
2015-03-05,63.14,63.41,62.15,62.23,2591739.0,0.0,1.0,63.14,63.41,62.15,62.23,2591739.0
2015-03-04,63.5,63.9,62.83,63.15,1052755.0,0.0,1.0,63.5,63.9,62.83,63.15,1052755.0
2015-03-03,65.3,65.59,63.85,63.895,1288259.0,0.0,1.0,65.3,65.59,63.85,63.895,1288259.0
2015-03-02,65.19,66.2399,65.19,65.7,1370508.0,0.0,1.0,65.19,66.2399,65.19,65.7,1370508.0
2015-02-27,65.46,65.59,64.85,64.955,941081.0,0.0,1.0,65.46,65.59,64.85,64.955,941081.0
2015-02-26,65.9,66.12,65.13,65.51,775343.0,0.0,1.0,65.9,66.12,65.13,65.51,775343.0
2015-02-25,66.13,66.66,65.73,65.88,922135.0,0.0,1.0,66.13,66.66,65.73,65.88,922135.0
2015-02-24,64.68,66.36,64.48,66.28,1104696.0,0.0,1.0,64.68,66.36,64.48,66.28,1104696.0
2015-02-23,64.83,64.93,64.36,64.475,942086.0,0.0,1.0,64.83,64.93,64.36,64.475,942086.0
2015-02-20,64.55,65.19,64.2,64.97,994159.0,0.0,1.0,64.55,65.19,64.2,64.97,994159.0
2015-02-19,63.96,64.99,63.82,64.66,636875.0,0.0,1.0,63.96,64.99,63.82,64.66,636875.0
2015-02-18,63.71,64.67,63.63,64.29,1013830.0,0.0,1.0,63.71,64.67,63.63,64.29,1013830.0
2015-02-17,63.67,64.15,63.5,63.93,1059351.0,0.0,1.0,63.67,64.15,63.5,63.93,1059351.0
2015-02-13,64.14,64.26,63.55,63.64,1418630.0,0.0,1.0,64.14,64.26,63.55,63.64,1418630.0
2015-02-12,63.6,63.94,63.04,63.87,869881.0,0.5,1.0,63.6,63.94,63.04,63.87,869881.0
2015-02-11,63.95,64.34,63.46,63.96,889538.0,0.0,1.0,63.453262389312,63.840233027808,62.967068510176,63.463184713376,889538.0
2015-02-10,62.75,63.88,62.23,63.81,1268419.0,0.0,1.0,62.262583501631,63.383806120864,61.746622650303,63.314349852416,1268419.0
2015-02-09,62.01,62.495,61.53,62.21,1787362.0,0.0,1.0,61.528331520895,62.009564237999,61.052059965823,61.726778002175,1787362.0
2015-02-06,63.56,63.96,62.39,62.61,1654601.0,0.0,1.0,63.066291750816,63.463184713376,61.905379835327,62.123670964735,1654601.0
2015-02-04,63.41,63.85,62.75,63.155,1506597.0,0.0,1.0,62.917456889856,63.354039148672,62.262583501631,62.664437626223,1506597.0
2015-02-03,62.03,63.54,61.92,63.47,1481190.0,0.0,1.0,61.548176169023,63.046447102688,61.439030604319,62.97699083424,1481190.0
2015-02-02,61.42,62.1,60.21,61.865,1427886.0,0.0,1.0,60.942914401119,61.617632437471,59.742313189374,61.384457821967,1427886.0
2015-01-30,62.41,63.4,61.34,61.47,1626475.0,0.0,1.0,61.925224483455,62.907534565792,60.863535808606,60.992526021439,1626475.0
2015-01-29,62.53,63.57,62.11,63.39,1278329.0,0.0,1.0,62.044292372223,63.07621407488,61.627554761535,62.897612241728,1278329.0
2015-01-28,64.01,64.44,62.74,62.76,1699196.0,0.0,1.0,63.512796333696,63.939456268448,62.252661177567,62.272505825695,1699196.0
2015-01-26,64.88,65.7,64.18,65.44,3084662.0,0.0,1.0,64.376038527264,65.189669100513,63.681475842784,64.931688674849,3084662.0
2015-01-23,66.58,67.5,65.12,65.24,5466770.0,0.0,1.0,66.062833618145,66.975687432034,64.6141743048,64.733242193568,5466770.0
2015-01-22,69.49,71.13,68.675,70.95,2263813.0,0.0,1.0,68.950229920771,70.577491067267,68.141560509554,70.398889234115,2263813.0
2015-01-21,68.48,69.93,68.48,69.41,1250391.0,0.0,1.0,67.948075190306,69.386812179587,67.948075190306,68.870851328258,1250391.0
2015-01-20,68.25,69.06,67.53,68.91,1514560.0,0.0,1.0,67.719861736834,68.523569986018,67.005454404226,68.374735125058,1514560.0
2015-01-15,66.77,69.09,66.36,66.87,3296937.0,0.0,1.0,66.251357775361,68.55333695821,65.844542488737,66.350581016001,3296937.0
2015-01-14,65.21,66.24,64.91,65.55,1780664.0,0.0,1.0,64.703475221376,65.725474599969,64.405805499456,65.040834239553,1780664.0
2015-01-13,67.82,68.49,65.31,65.99,1472923.0,0.0,1.0,67.293201802082,67.95799751437,64.802698462016,65.477416498369,1472923.0
2015-01-12,69.14,69.32,66.67,67.09,1529804.0,0.0,1.0,68.60294857853,68.781550411682,66.152134534721,66.568872145409,1529804.0
2015-01-08,68.38,69.44,68.18,68.93,1275619.0,0.0,1.0,67.848851949666,68.900618300451,67.650405468386,68.394579773186,1275619.0
2015-01-06,68.56,68.81,66.51,66.69,1949904.0,0.0,1.0,68.027453782818,68.275511884418,65.993377349697,66.171979182849,1949904.0
2015-01-05,69.77,70.05,68.68,68.72,1068168.0,0.0,1.0,69.228054994563,69.505880068355,68.146521671586,68.186210967842,1068168.0
2015-01-02,70.62,71.2565,69.81,70.29,820915.0,0.0,1.0,70.071452540003,70.703008466677,69.267744290819,69.744015845891,820915.0
2014-12-31,71.61,71.88,70.29,70.32,991423.0,0.0,1.0,71.05376262234,71.321665372068,69.744015845891,69.773782818083,991423.0
2014-12-30,71.28,71.7597,71.0,71.19,768575.0,0.0,1.0,70.726325928227,71.202299813578,70.448500854435,70.637025011651,768575.0
2014-12-26,72.03,72.36,71.76,71.85,552021.0,0.0,1.0,71.470500233028,71.79793692714,71.2025974833,71.291898399876,552021.0
2014-12-24,72.63,72.89,71.97,72.02,478188.0,0.0,1.0,72.065839676868,72.323820102532,71.410966288644,71.460577908964,478188.0
2014-12-23,72.52,73.12,72.3,72.63,1748747.0,0.0,1.0,71.956694112164,72.552033556004,71.738402982756,72.065839676868,1748747.0
2014-12-22,70.83,72.35,70.3,72.16,1637716.0,0.0,1.0,70.279821345347,71.788014603076,69.753938169955,71.59949044586,1637716.0
2014-12-19,69.52,70.01,69.065,69.72,2882465.0,0.0,1.0,68.979996892963,69.466190772099,68.52853114805,69.178443374243,2882465.0
2014-12-18,68.67,69.58,68.07,69.58,1103226.0,0.0,1.0,68.136599347522,69.039530837347,67.541259903682,69.039530837347,1103226.0
2014-12-17,67.02,67.94,66.2185,67.75,1197492.0,0.0,1.0,66.499415876961,67.41226969085,65.704141603231,67.223745533634,1197492.0
2014-12-16,67.47,68.2,66.68,66.72,1663255.0,0.0,1.0,66.945920459842,67.670250116514,66.162056858785,66.201746155041,1663255.0
2014-12-15,68.61,69.52,67.29,67.36,2163063.0,0.0,1.0,68.077065403138,68.979996892963,66.767318626689,66.836774895137,2163063.0
2014-12-11,69.49,70.34,69.02,69.15,1359057.0,0.0,1.0,68.950229920771,69.793627466211,68.483880689762,68.612870902594,1359057.0
2014-12-10,69.82,70.37,69.04,69.13,1894661.0,0.0,1.0,69.277666614883,69.823394438403,68.50372533789,68.593026254466,1894661.0
2014-12-09,69.27,70.14,68.75,69.88,1243553.0,0.0,1.0,68.731938791362,69.595180984931,68.215977940034,69.337200559267,1243553.0
2014-12-05,70.33,71.09,70.33,70.66,1413535.0,0.0,1.0,69.783705142147,70.537801771011,69.783705142147,70.111141836259,1413535.0
2014-12-04,71.14,71.71,69.97,70.33,1851625.0,0.0,1.0,70.587413391331,71.15298586298,69.426501475843,69.783705142147,1851625.0
2014-12-02,68.94,69.1,68.18,68.84,1924735.0,0.0,1.0,68.40450209725,68.563259282274,67.650405468386,68.30527885661,1924735.0
2014-12-01,69.07,69.77,68.21,68.86,2100284.0,0.0,1.0,68.533492310082,69.228054994563,67.680172440578,68.325123504738,2100284.0
2014-11-28,67.68,69.62,67.5,69.44,1944093.0,0.0,1.0,67.154289265186,69.079220133603,66.975687432034,68.900618300451,1944093.0
2014-11-26,67.43,67.89,66.74,67.335,2723101.0,0.0,1.0,66.906231163586,67.36265807053,66.221590803169,66.811969084977,2723101.0
2014-11-25,83.99,84.21,83.26,84.18,2532045.0,0.0,1.0,83.337599813578,83.555890942986,82.613270156905,83.526123970794,2532045.0
2014-11-24,82.1,83.92,81.8,83.71,2461051.0,0.0,1.0,81.462280565481,83.26814354513,81.164610843561,83.059774739786,2461051.0
2014-11-21,81.78,81.78,80.545,81.515,2434859.0,0.0,1.0,81.144766195433,81.144766195433,79.919359173528,80.881824607737,2434859.0
2014-11-20,80.88,81.36,80.25,80.695,2561495.0,0.0,1.0,80.251757029672,80.728028584744,79.62665061364,80.068194034488,2561495.0
2014-11-19,80.65,81.22,80.23,81.01,1906951.0,0.0,1.0,80.0235435762,80.589116047848,79.606805965512,80.380747242504,1906951.0
2014-11-18,78.99,80.91,78.99,80.71,1303927.0,0.0,1.0,78.376437781575,80.281524001864,78.376437781575,80.083077520584,1303927.0
2014-11-17,79.4,79.79,78.64,79.02,1288099.0,0.0,1.0,78.783253068199,79.170223706696,78.029156439335,78.406204753767,1288099.0
2014-11-14,79.57,80.52,78.98,80.33,945253.0,0.0,1.0,78.951932577288,79.894553363368,78.366515457511,79.706029206152,945253.0
2014-11-13,79.57,80.27,79.23,79.44,1022243.0,0.0,1.0,78.951932577288,79.646495261768,78.614573559111,78.822942364455,1022243.0
2014-11-12,80.12,80.28,79.3,79.73,945842.0,0.0,1.0,79.497660400808,79.656417585832,78.684029827559,79.110689762312,945842.0
2014-11-11,80.63,80.85,80.0,80.19,798613.0,0.0,1.0,80.003698928072,80.22199005748,79.37859251204,79.567116669256,798613.0
2014-11-10,80.12,80.85,79.94,80.51,1019360.0,0.0,1.0,79.497660400808,80.22199005748,79.319058567656,79.884631039304,1019360.0
2014-11-07,81.15,81.16,79.26,80.0,1506697.0,0.0,1.0,80.5196597794,80.529582103464,78.644340531303,79.37859251204,1506697.0
2014-11-06,81.46,82.03,80.6,80.83,1399281.0,0.0,1.0,80.827251825384,81.392824297033,79.97393195588,80.202145409352,1399281.0
2014-11-04,79.63,80.705,79.12,80.03,2122021.0,0.0,1.0,79.011466521672,80.078116358552,78.505427994407,79.408359484232,2122021.0
2014-11-03,79.04,80.52,79.015,79.95,1889921.0,0.0,1.0,78.426049401895,79.894553363368,78.401243591735,79.32898089172,1889921.0
2014-10-31,78.37,79.88,77.99,79.15,1915650.0,0.0,1.0,77.761253689607,79.259524623272,77.384205375175,78.535194966599,1915650.0
2014-10-30,75.98,76.41,75.15,76.36,1815423.0,0.0,1.0,75.38981823831,75.816478173062,74.566265340997,75.766866552742,1815423.0
2014-10-29,75.02,76.69,75.02,76.3,2081126.0,0.0,1.0,74.437275128165,76.094303246854,74.437275128165,75.707332608358,2081126.0
2014-10-28,75.25,76.11,74.97,76.1,2180470.0,0.0,1.0,74.665488581637,75.518808451142,74.387663507845,75.508886127078,2180470.0
2014-10-27,75.93,76.28,74.3,75.06,2687589.0,0.0,1.0,75.34020661799,75.68748796023,73.722867795557,74.476964424421,2687589.0
2014-10-24,76.17,78.63,73.29,75.9,8181318.0,0.0,1.0,75.578342395526,78.019234115271,72.720713065092,75.310439645798,8181318.0
2014-10-23,70.74,71.7,70.08,71.0,3385427.0,0.0,1.0,70.190520428771,71.143063538916,69.535647040547,70.448500854435,3385427.0
2014-10-22,71.79,71.99,70.24,70.3,1258136.0,0.0,1.0,71.232364455492,71.430810936772,69.694404225571,69.753938169955,1258136.0
2014-10-21,69.73,71.4,66.47,71.38,1088177.0,0.0,1.0,69.188365698307,70.845393816995,65.953688053441,70.825549168867,1088177.0
2014-10-20,68.27,69.59,67.84,69.56,942782.0,0.0,1.0,67.739706384962,69.049453161411,67.31304645021,69.019686189219,942782.0
2014-10-17,68.93,69.62,68.3,68.44,1235587.0,0.0,1.0,68.394579773186,69.079220133603,67.769473357154,67.90838589405,1235587.0
2014-10-16,66.33,68.95,66.18,68.23,1677200.0,0.0,1.0,65.814775516545,68.414424421314,65.665940655585,67.700017088706,1677200.0
2014-10-15,65.29,67.84,65.25,67.46,2500529.0,0.0,1.0,64.782853813888,67.31304645021,64.743164517632,66.935998135778,2500529.0
2014-10-14,66.52,67.5,65.51,66.42,2419276.0,0.0,1.0,66.003299673761,66.975687432034,65.001144943297,65.904076433121,2419276.0
