Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,43.32,44.09,43.025,43.68,15110855.0,0.0,1.0,43.32,44.09,43.025,43.68,15110855.0
2015-04-15,43.04,43.51,43.04,43.43,11885490.0,0.0,1.0,43.04,43.51,43.04,43.43,11885490.0
2015-04-14,42.97,43.1,42.84,43.01,8751612.0,0.0,1.0,42.97,43.1,42.84,43.01,8751612.0
2015-04-13,42.92,43.105,42.84,42.98,10081624.0,0.0,1.0,42.92,43.105,42.84,42.98,10081624.0
2015-04-10,42.36,42.95,42.25,42.93,12202771.0,0.0,1.0,42.36,42.95,42.25,42.93,12202771.0
2015-04-09,41.96,42.35,41.92,42.34,7723564.0,0.0,1.0,41.96,42.35,41.92,42.34,7723564.0
2015-04-08,41.81,42.38,41.755,42.05,7598969.0,0.0,1.0,41.81,42.38,41.755,42.05,7598969.0
2015-04-07,41.98,42.21,41.886,41.99,6905549.0,0.0,1.0,41.98,42.21,41.886,41.99,6905549.0
2015-04-06,41.71,42.15,41.59,41.97,5476013.0,0.0,1.0,41.71,42.15,41.59,41.97,5476013.0
2015-04-02,41.81,42.0,41.5633,41.72,6185137.0,0.0,1.0,41.81,42.0,41.5633,41.72,6185137.0
2015-04-01,42.45,42.45,41.86,41.92,8279813.0,0.0,1.0,42.45,42.45,41.86,41.92,8279813.0
2015-03-31,41.88,42.285,41.72,42.06,10689253.0,0.0,1.0,41.88,42.285,41.72,42.06,10689253.0
2015-03-30,41.96,42.21,41.765,42.07,11407716.0,0.0,1.0,41.96,42.21,41.765,42.07,11407716.0
2015-03-27,41.21,41.58,41.12,41.27,7024077.0,0.0,1.0,41.21,41.58,41.12,41.27,7024077.0
2015-03-26,41.5,41.59,41.1,41.28,6560259.0,0.0,1.0,41.5,41.59,41.1,41.28,6560259.0
2015-03-25,41.5,41.68,41.12,41.13,9159884.0,0.0,1.0,41.5,41.68,41.12,41.13,9159884.0
2015-03-24,42.21,42.25,41.2,41.22,9395547.0,0.0,1.0,42.21,42.25,41.2,41.22,9395547.0
2015-03-23,42.02,42.3,41.75,42.15,8845908.0,0.0,1.0,42.02,42.3,41.75,42.15,8845908.0
2015-03-20,41.52,42.12,41.49,42.12,19815945.0,0.0,1.0,41.52,42.12,41.49,42.12,19815945.0
2015-03-19,41.48,41.66,41.2647,41.53,8079256.0,0.0,1.0,41.48,41.66,41.2647,41.53,8079256.0
