Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,76.17,76.81,75.51,76.31,1858428.0,0.0,1.0,76.17,76.81,75.51,76.31,1858428.0
2015-04-15,76.87,77.44,76.16,76.2,2261882.0,0.0,1.0,76.87,77.44,76.16,76.2,2261882.0
2015-04-14,77.49,77.7,76.42,76.58,1938622.0,0.0,1.0,77.49,77.7,76.42,76.58,1938622.0
2015-04-13,78.22,78.94,77.73,77.73,1500782.0,0.0,1.0,78.22,78.94,77.73,77.73,1500782.0
2015-04-10,78.34,78.67,77.58,78.4,2626462.0,0.0,1.0,78.34,78.67,77.58,78.4,2626462.0
2015-04-09,78.33,78.7,77.45,77.67,2525661.0,0.0,1.0,78.33,78.7,77.45,77.67,2525661.0
2015-04-08,78.28,78.84,77.25,77.75,2947128.0,0.0,1.0,78.28,78.84,77.25,77.75,2947128.0
2015-04-07,78.98,79.42,78.31,78.36,1702079.0,0.0,1.0,78.98,79.42,78.31,78.36,1702079.0
2015-04-06,78.72,79.6,78.54,78.81,1815349.0,0.0,1.0,78.72,79.6,78.54,78.81,1815349.0
2015-04-02,78.14,79.53,78.14,79.07,2233897.0,0.0,1.0,78.14,79.53,78.14,79.07,2233897.0
2015-04-01,77.86,78.66,77.53,78.16,3152253.0,0.0,1.0,77.86,78.66,77.53,78.16,3152253.0
2015-03-31,76.67,79.3,76.61,78.25,4846713.0,0.0,1.0,76.67,79.3,76.61,78.25,4846713.0
2015-03-30,74.96,77.04,74.66,76.62,1741206.0,0.0,1.0,74.96,77.04,74.66,76.62,1741206.0
2015-03-27,75.29,75.66,74.87,75.31,2431377.0,0.0,1.0,75.29,75.66,74.87,75.31,2431377.0
2015-03-26,74.52,75.23,73.89,74.99,2203085.0,0.0,1.0,74.52,75.23,73.89,74.99,2203085.0
2015-03-25,75.15,75.62,74.665,74.69,3491025.0,0.0,1.0,75.15,75.62,74.665,74.69,3491025.0
2015-03-24,75.38,75.86,74.91,75.01,2479321.0,0.0,1.0,75.38,75.86,74.91,75.01,2479321.0
2015-03-23,75.99,76.54,75.58,75.6,2645996.0,0.0,1.0,75.99,76.54,75.58,75.6,2645996.0
2015-03-20,75.37,76.44,75.37,75.64,2545941.0,0.0,1.0,75.37,76.44,75.37,75.64,2545941.0
2015-03-19,74.94,75.84,74.58,75.61,1874997.0,0.0,1.0,74.94,75.84,74.58,75.61,1874997.0
2015-03-18,74.33,75.36,73.57,74.95,2576043.0,0.0,1.0,74.33,75.36,73.57,74.95,2576043.0
2015-03-17,73.77,74.55,73.745,74.33,2686053.0,0.0,1.0,73.77,74.55,73.745,74.33,2686053.0
2015-03-16,74.4,74.99,73.79,74.2,2852141.0,0.0,1.0,74.4,74.99,73.79,74.2,2852141.0
2015-03-13,74.26,74.9,73.69,74.1,2572301.0,0.0,1.0,74.26,74.9,73.69,74.1,2572301.0
2015-03-12,73.86,74.66,73.86,74.41,1463952.0,0.0,1.0,73.86,74.66,73.86,74.41,1463952.0
2015-03-11,73.85,74.37,73.335,73.85,1821880.0,0.0,1.0,73.85,74.37,73.335,73.85,1821880.0
2015-03-10,73.43,74.04,73.09,73.91,2803663.0,0.0,1.0,73.43,74.04,73.09,73.91,2803663.0
2015-03-09,73.26,74.02,73.0,73.71,2016017.0,0.0,1.0,73.26,74.02,73.0,73.71,2016017.0
2015-03-06,73.61,74.09,73.15,73.36,2211843.0,0.0,1.0,73.61,74.09,73.15,73.36,2211843.0
2015-03-05,74.59,74.7197,73.6,73.6,2723088.0,0.0,1.0,74.59,74.7197,73.6,73.6,2723088.0
2015-03-04,74.45,74.7,73.94,74.3,2411878.0,0.0,1.0,74.45,74.7,73.94,74.3,2411878.0
2015-03-03,74.44,74.94,73.58,74.5,3070454.0,0.0,1.0,74.44,74.94,73.58,74.5,3070454.0
2015-03-02,73.4,74.41,72.9,74.26,4168310.0,0.0,1.0,73.4,74.41,72.9,74.26,4168310.0
2015-02-27,72.16,74.66,71.98,73.8,6150440.0,0.0,1.0,72.16,74.66,71.98,73.8,6150440.0
2015-02-26,70.73,73.2,69.4,71.69,5530591.0,0.0,1.0,70.73,73.2,69.4,71.69,5530591.0
2015-02-25,70.0,71.4325,69.63,70.9,4372381.0,0.0,1.0,70.0,71.4325,69.63,70.9,4372381.0
2015-02-24,70.0,70.44,69.13,69.97,3246885.0,0.0,1.0,70.0,70.44,69.13,69.97,3246885.0
2015-02-23,69.48,70.16,69.15,70.0,4022655.0,0.0,1.0,69.48,70.16,69.15,70.0,4022655.0
2015-02-20,68.22,69.58,67.83,69.5,2330017.0,0.0,1.0,68.22,69.58,67.83,69.5,2330017.0
2015-02-19,68.55,69.03,68.23,68.37,2176026.0,0.0,1.0,68.55,69.03,68.23,68.37,2176026.0
2015-02-18,68.48,68.87,68.21,68.75,2618416.0,0.0,1.0,68.48,68.87,68.21,68.75,2618416.0
2015-02-17,67.95,68.97,67.43,68.85,2577500.0,0.0,1.0,67.95,68.97,67.43,68.85,2577500.0
2015-02-13,68.74,68.99,67.84,68.25,2848969.0,0.0,1.0,68.74,68.99,67.84,68.25,2848969.0
2015-02-12,70.07,70.2,68.76,68.83,3537522.0,0.0,1.0,70.07,70.2,68.76,68.83,3537522.0
2015-02-11,69.64,70.25,69.1667,69.47,2974929.0,0.0,1.0,69.64,70.25,69.1667,69.47,2974929.0
2015-02-10,69.61,69.89,69.15,69.58,3175392.0,0.0,1.0,69.61,69.89,69.15,69.58,3175392.0
2015-02-09,69.06,70.4,68.66,69.62,4919053.0,0.0,1.0,69.06,70.4,68.66,69.62,4919053.0
2015-02-06,67.74,69.47,67.35,69.3,6736263.0,0.0,1.0,67.74,69.47,67.35,69.3,6736263.0
2015-02-05,66.87,67.89,66.24,67.74,4893366.0,0.0,1.0,66.87,67.89,66.24,67.74,4893366.0
2015-02-04,65.61,67.15,64.28,66.87,11151890.0,0.0,1.0,65.61,67.15,64.28,66.87,11151890.0
2015-02-03,61.48,62.99,61.09,62.88,3374470.0,0.0,1.0,61.48,62.99,61.09,62.88,3374470.0
2015-02-02,59.99,61.515,59.61,61.44,2963815.0,0.0,1.0,59.99,61.515,59.61,61.44,2963815.0
2015-01-30,60.23,60.811,59.63,59.72,2398826.0,0.0,1.0,60.23,60.811,59.63,59.72,2398826.0
2015-01-29,61.03,61.41,59.96,60.75,2150196.0,0.0,1.0,61.03,61.41,59.96,60.75,2150196.0
2015-01-28,61.65,62.2,60.7688,60.8,1686682.0,0.0,1.0,61.65,62.2,60.7688,60.8,1686682.0
2015-01-26,59.95,61.65,59.63,61.43,3165085.0,0.0,1.0,59.95,61.65,59.63,61.43,3165085.0
2015-01-23,60.18,60.73,59.85,60.18,2235509.0,0.0,1.0,60.18,60.73,59.85,60.18,2235509.0
2015-01-22,59.02,60.25,58.73,60.19,2315222.0,0.0,1.0,59.02,60.25,58.73,60.19,2315222.0
2015-01-21,58.29,58.931,58.29,58.66,1560714.0,0.0,1.0,58.29,58.931,58.29,58.66,1560714.0
2015-01-20,59.4,59.74,58.0,58.36,2409566.0,0.0,1.0,59.4,59.74,58.0,58.36,2409566.0
2015-01-15,60.16,60.36,58.5,58.55,1984366.0,0.0,1.0,60.16,60.36,58.5,58.55,1984366.0
2015-01-14,59.84,60.59,59.14,59.92,1906437.0,0.0,1.0,59.84,60.59,59.14,59.92,1906437.0
2015-01-13,61.06,62.2,60.405,60.64,2100314.0,0.0,1.0,61.06,62.2,60.405,60.64,2100314.0
2015-01-12,60.35,60.95,59.65,60.63,2014147.0,0.0,1.0,60.35,60.95,59.65,60.63,2014147.0
2015-01-08,61.87,62.05,61.44,61.52,2573574.0,0.0,1.0,61.87,62.05,61.44,61.52,2573574.0
2015-01-06,59.32,60.11,58.38,59.15,3502377.0,0.0,1.0,59.32,60.11,58.38,59.15,3502377.0
