Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,42.28,42.41,41.95,42.24,1034815.0,0.0,1.0,42.28,42.41,41.95,42.24,1034815.0
2015-04-15,41.71,42.59,41.67,42.4,1169141.0,0.0,1.0,41.71,42.59,41.67,42.4,1169141.0
2015-04-14,41.44,41.77,41.39,41.65,1133329.0,0.0,1.0,41.44,41.77,41.39,41.65,1133329.0
2015-04-13,41.12,41.57,41.12,41.51,621826.0,0.0,1.0,41.12,41.57,41.12,41.51,621826.0
2015-04-10,41.43,41.55,41.05,41.17,556462.0,0.0,1.0,41.43,41.55,41.05,41.17,556462.0
2015-04-09,41.4,41.49,41.09,41.44,791361.0,0.0,1.0,41.4,41.49,41.09,41.44,791361.0
2015-04-08,41.45,41.83,41.34,41.52,795115.0,0.0,1.0,41.45,41.83,41.34,41.52,795115.0
2015-04-07,41.51,41.56,41.31,41.34,798754.0,0.0,1.0,41.51,41.56,41.31,41.34,798754.0
2015-04-06,40.86,41.71,40.8,41.53,998300.0,0.0,1.0,40.86,41.71,40.8,41.53,998300.0
2015-04-02,40.34,41.31,40.34,41.15,1082124.0,0.0,1.0,40.34,41.31,40.34,41.15,1082124.0
2015-04-01,40.83,40.83,40.27,40.43,1334590.0,0.0,1.0,40.83,40.83,40.27,40.43,1334590.0
2015-03-31,40.54,40.96,40.4,40.83,1116122.0,0.0,1.0,40.54,40.96,40.4,40.83,1116122.0
2015-03-30,40.36,40.89,40.33,40.76,530827.0,0.0,1.0,40.36,40.89,40.33,40.76,530827.0
2015-03-27,40.29,40.425,40.0,40.19,842062.0,0.0,1.0,40.29,40.425,40.0,40.19,842062.0
2015-03-26,40.2,40.51,40.12,40.4,1210734.0,0.0,1.0,40.2,40.51,40.12,40.4,1210734.0
2015-03-25,40.63,40.75,40.26,40.26,809091.0,0.0,1.0,40.63,40.75,40.26,40.26,809091.0
2015-03-24,40.93,41.05,40.61,40.61,740920.0,0.0,1.0,40.93,41.05,40.61,40.61,740920.0
2015-03-23,41.07,41.5,40.98,41.0,701432.0,0.0,1.0,41.07,41.5,40.98,41.0,701432.0
2015-03-20,41.04,41.27,40.95,41.05,1242784.0,0.0,1.0,41.04,41.27,40.95,41.05,1242784.0
2015-03-19,40.98,41.07,40.6,40.85,1278368.0,0.0,1.0,40.98,41.07,40.6,40.85,1278368.0
2015-03-18,40.5,41.28,40.28,41.03,859471.0,0.0,1.0,40.5,41.28,40.28,41.03,859471.0
2015-03-17,40.2,40.74,40.18,40.55,930181.0,0.0,1.0,40.2,40.74,40.18,40.55,930181.0
2015-03-16,40.08,40.515,39.97,40.43,1269729.0,0.0,1.0,40.08,40.515,39.97,40.43,1269729.0
2015-03-13,40.35,40.37,39.65,39.93,803690.0,0.0,1.0,40.35,40.37,39.65,39.93,803690.0
2015-03-12,39.95,40.53,39.92,40.48,758193.0,0.0,1.0,39.95,40.53,39.92,40.48,758193.0
2015-03-11,39.47,39.91,39.35,39.69,2173965.0,0.0,1.0,39.47,39.91,39.35,39.69,2173965.0
