Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,44.95,44.99,44.33,44.41,663372.0,0.0,1.0,44.95,44.99,44.33,44.41,663372.0
2015-04-15,45.3,45.62,45.15,45.15,624298.0,0.0,1.0,45.3,45.62,45.15,45.15,624298.0
2015-04-14,44.83,45.25,44.52,45.23,644828.0,0.0,1.0,44.83,45.25,44.52,45.23,644828.0
2015-04-13,45.17,45.31,44.86,44.89,761518.0,0.0,1.0,45.17,45.31,44.86,44.89,761518.0
2015-04-10,45.68,45.68,45.17,45.27,709371.0,0.0,1.0,45.68,45.68,45.17,45.27,709371.0
2015-04-09,45.93,46.11,45.47,45.6,862539.0,0.0,1.0,45.93,46.11,45.47,45.6,862539.0
2015-04-08,45.7,46.05,45.52,45.97,771985.0,0.0,1.0,45.7,46.05,45.52,45.97,771985.0
2015-04-07,45.82,46.05,45.66,45.7,647698.0,0.0,1.0,45.82,46.05,45.66,45.7,647698.0
2015-04-06,45.7,46.07,45.64,45.81,1009244.0,0.0,1.0,45.7,46.07,45.64,45.81,1009244.0
2015-04-02,45.69,45.99,45.59,45.93,584375.0,0.0,1.0,45.69,45.99,45.59,45.93,584375.0
2015-04-01,46.0,46.14,45.47,45.62,802416.0,0.0,1.0,46.0,46.14,45.47,45.62,802416.0
2015-03-31,45.87,46.49,45.75,46.09,740332.0,0.0,1.0,45.87,46.49,45.75,46.09,740332.0
2015-03-30,45.73,46.18,45.57,45.99,633288.0,0.0,1.0,45.73,46.18,45.57,45.99,633288.0
2015-03-27,44.96,45.515,44.86,45.36,511333.0,0.0,1.0,44.96,45.515,44.86,45.36,511333.0
2015-03-26,45.32,45.41,44.83,44.96,577548.0,0.0,1.0,45.32,45.41,44.83,44.96,577548.0
2015-03-25,46.25,46.5,45.6,45.61,931617.0,0.0,1.0,46.25,46.5,45.6,45.61,931617.0
2015-03-24,46.25,46.71,46.04,46.28,940802.0,0.0,1.0,46.25,46.71,46.04,46.28,940802.0
2015-03-23,46.38,46.95,46.27,46.3,901560.0,0.0,1.0,46.38,46.95,46.27,46.3,901560.0
2015-03-20,46.11,46.6539,45.75,46.42,3762793.0,0.0,1.0,46.11,46.6539,45.75,46.42,3762793.0
2015-03-19,46.16,46.4622,45.95,46.1,874011.0,0.0,1.0,46.16,46.4622,45.95,46.1,874011.0
2015-03-18,45.54,46.28,45.28,46.1,838565.0,0.0,1.0,45.54,46.28,45.28,46.1,838565.0
2015-03-17,45.7,45.85,45.53,45.68,801303.0,0.0,1.0,45.7,45.85,45.53,45.68,801303.0
2015-03-16,45.58,46.27,45.53,45.82,1112808.0,0.0,1.0,45.58,46.27,45.53,45.82,1112808.0
2015-03-13,44.25,45.75,43.94,45.47,2203149.0,0.0,1.0,44.25,45.75,43.94,45.47,2203149.0
2015-03-12,44.01,44.25,43.95,44.06,2239486.0,0.0,1.0,44.01,44.25,43.95,44.06,2239486.0
2015-03-11,44.2,44.34,43.96,44.03,619576.0,0.0,1.0,44.2,44.34,43.96,44.03,619576.0
2015-03-10,44.64,44.8129,44.4,44.47,838248.0,0.0,1.0,44.64,44.8129,44.4,44.47,838248.0
2015-03-09,44.9,45.18,44.65,45.06,1320029.0,0.0,1.0,44.9,45.18,44.65,45.06,1320029.0
2015-03-06,45.45,45.66,44.865,44.93,844397.0,0.0,1.0,45.45,45.66,44.865,44.93,844397.0
2015-03-05,45.42,45.85,45.21,45.74,792564.0,0.0,1.0,45.42,45.85,45.21,45.74,792564.0
2015-03-04,45.49,45.49,44.76,45.37,997409.0,0.0,1.0,45.49,45.49,44.76,45.37,997409.0
2015-03-03,45.81,45.9,45.3,45.75,1154439.0,0.0,1.0,45.81,45.9,45.3,45.75,1154439.0
2015-03-02,45.5,45.92,45.38,45.82,951302.0,0.0,1.0,45.5,45.92,45.38,45.82,951302.0
2015-02-27,45.18,45.458,44.95,45.05,901029.0,0.0,1.0,45.18,45.458,44.95,45.05,901029.0
2015-02-26,45.19,45.34,44.99,45.08,569260.0,0.0,1.0,45.19,45.34,44.99,45.08,569260.0
2015-02-25,45.32,45.7,45.1,45.21,612379.0,0.0,1.0,45.32,45.7,45.1,45.21,612379.0
2015-02-24,45.1,45.42,45.0,45.3,764411.0,0.0,1.0,45.1,45.42,45.0,45.3,764411.0
2015-02-23,44.82,45.08,44.57,45.05,723756.0,0.0,1.0,44.82,45.08,44.57,45.05,723756.0
2015-02-20,44.35,44.78,44.13,44.78,589482.0,0.0,1.0,44.35,44.78,44.13,44.78,589482.0
2015-02-19,44.51,44.62,44.295,44.33,869164.0,0.0,1.0,44.51,44.62,44.295,44.33,869164.0
2015-02-18,44.39,44.745,44.341,44.65,832730.0,0.0,1.0,44.39,44.745,44.341,44.65,832730.0
2015-02-17,44.72,44.9,44.33,44.66,1137921.0,0.0,1.0,44.72,44.9,44.33,44.66,1137921.0
2015-02-13,44.72,45.0,44.34,44.9,554749.0,0.0,1.0,44.72,45.0,44.34,44.9,554749.0
2015-02-12,43.9,44.83,43.89,44.73,1002381.0,0.0,1.0,43.9,44.83,43.89,44.73,1002381.0
2015-02-11,44.09,44.29,43.5,43.82,844521.0,0.0,1.0,44.09,44.29,43.5,43.82,844521.0
2015-02-10,43.99,44.33,43.69,43.95,880372.0,0.0,1.0,43.99,44.33,43.69,43.95,880372.0
2015-02-09,43.5,43.83,43.33,43.6,980991.0,0.0,1.0,43.5,43.83,43.33,43.6,980991.0
2015-02-06,43.46,43.66,43.17,43.56,1359775.0,0.0,1.0,43.46,43.66,43.17,43.56,1359775.0
2015-02-05,43.9,44.024,43.62,43.66,863939.0,0.0,1.0,43.9,44.024,43.62,43.66,863939.0
2015-02-04,43.48,44.165,43.48,43.8,1138032.0,0.0,1.0,43.48,44.165,43.48,43.8,1138032.0
