Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,51.13,51.24,49.94,50.15,3202161.0,0.0,1.0,51.13,51.24,49.94,50.15,3202161.0
2015-04-15,51.12,51.77,50.95,51.44,2339394.0,0.0,1.0,51.12,51.77,50.95,51.44,2339394.0
2015-04-14,50.43,51.02,49.88,50.97,2256438.0,0.0,1.0,50.43,51.02,49.88,50.97,2256438.0
2015-04-13,50.52,50.78,49.995,50.41,1706266.0,0.0,1.0,50.52,50.78,49.995,50.41,1706266.0
2015-04-10,50.75,50.75,50.0156,50.5,1380739.0,0.0,1.0,50.75,50.75,50.0156,50.5,1380739.0
2015-04-09,51.12,51.16,49.7,50.49,2532773.0,0.0,1.0,51.12,51.16,49.7,50.49,2532773.0
2015-04-08,50.73,51.32,50.64,51.26,2006192.0,0.0,1.0,50.73,51.32,50.64,51.26,2006192.0
2015-04-07,52.0,52.0,50.69,50.74,2818886.0,0.0,1.0,52.0,52.0,50.69,50.74,2818886.0
2015-04-06,52.93,53.67,51.91,52.06,4744595.0,0.0,1.0,52.93,53.67,51.91,52.06,4744595.0
2015-04-02,51.87,53.26,51.73,53.19,3560663.0,0.0,1.0,51.87,53.26,51.73,53.19,3560663.0
2015-04-01,51.88,51.965,51.22,51.85,2672485.0,0.0,1.0,51.88,51.965,51.22,51.85,2672485.0
2015-03-31,51.36,52.17,51.11,51.81,3243360.0,0.0,1.0,51.36,52.17,51.11,51.81,3243360.0
2015-03-30,50.69,51.91,50.52,51.49,3747542.0,0.0,1.0,50.69,51.91,50.52,51.49,3747542.0
2015-03-27,49.44,50.58,49.37,50.43,1769876.0,0.0,1.0,49.44,50.58,49.37,50.43,1769876.0
2015-03-26,49.54,50.03,49.3,49.42,2079925.0,0.0,1.0,49.54,50.03,49.3,49.42,2079925.0
2015-03-25,50.56,50.81,49.58,49.68,2170518.0,0.0,1.0,50.56,50.81,49.58,49.68,2170518.0
2015-03-24,49.45,50.97,49.15,50.44,2827356.0,0.0,1.0,49.45,50.97,49.15,50.44,2827356.0
2015-03-23,50.19,50.83,49.5,49.54,3278805.0,0.0,1.0,50.19,50.83,49.5,49.54,3278805.0
2015-03-20,50.05,51.91,49.95,50.26,7847669.0,0.0,1.0,50.05,51.91,49.95,50.26,7847669.0
2015-03-19,51.0,51.2,48.54,49.65,7790176.0,0.0,1.0,51.0,51.2,48.54,49.65,7790176.0
2015-03-18,49.07,50.01,48.35,49.72,4945064.0,0.0,1.0,49.07,50.01,48.35,49.72,4945064.0
2015-03-17,49.25,49.41,48.64,48.86,4102216.0,0.0,1.0,49.25,49.41,48.64,48.86,4102216.0
2015-03-16,49.51,49.8,49.14,49.31,1933426.0,0.0,1.0,49.51,49.8,49.14,49.31,1933426.0
2015-03-13,49.32,49.74,48.57,49.2,1914307.0,0.0,1.0,49.32,49.74,48.57,49.2,1914307.0
2015-03-12,48.5,49.66,48.39,49.56,2093173.0,0.0,1.0,48.5,49.66,48.39,49.56,2093173.0
2015-03-11,48.53,48.73,48.07,48.2,3641635.0,0.0,1.0,48.53,48.73,48.07,48.2,3641635.0
2015-03-10,48.32,48.76,48.22,48.28,1697371.0,0.0,1.0,48.32,48.76,48.22,48.28,1697371.0
2015-03-09,48.28,48.995,48.28,48.72,2464335.0,0.0,1.0,48.28,48.995,48.28,48.72,2464335.0
2015-03-06,49.61,49.85,48.51,48.62,3346896.0,0.0,1.0,49.61,49.85,48.51,48.62,3346896.0
2015-03-05,50.01,50.49,49.867,50.12,2402978.0,0.0,1.0,50.01,50.49,49.867,50.12,2402978.0
2015-03-04,49.45,50.14,49.11,50.05,1815514.0,0.0,1.0,49.45,50.14,49.11,50.05,1815514.0
2015-03-03,49.77,49.85,49.01,49.45,1881458.0,0.0,1.0,49.77,49.85,49.01,49.45,1881458.0
2015-03-02,50.27,50.54,49.78,50.04,3071493.0,0.0,1.0,50.27,50.54,49.78,50.04,3071493.0
2015-02-27,50.2,50.54,49.855,50.21,1966405.0,0.0,1.0,50.2,50.54,49.855,50.21,1966405.0
2015-02-26,50.5,50.54,49.685,50.09,2315749.0,0.0,1.0,50.5,50.54,49.685,50.09,2315749.0
2015-02-25,51.31,51.51,50.44,50.68,2253117.0,0.0,1.0,51.31,51.51,50.44,50.68,2253117.0
2015-02-24,50.62,51.38,50.48,51.21,2981509.0,0.0,1.0,50.62,51.38,50.48,51.21,2981509.0
2015-02-23,50.25,50.59,49.26,49.8,2522352.0,0.0,1.0,50.25,50.59,49.26,49.8,2522352.0
2015-02-20,50.08,50.33,49.5,50.32,2860667.0,0.0,1.0,50.08,50.33,49.5,50.32,2860667.0
2015-02-19,50.0,50.73,49.9,50.24,2237295.0,0.0,1.0,50.0,50.73,49.9,50.24,2237295.0
2015-02-18,50.25,50.39,49.5,50.14,3362707.0,0.0,1.0,50.25,50.39,49.5,50.14,3362707.0
2015-02-17,49.8,50.41,49.31,50.41,2336766.0,0.0,1.0,49.8,50.41,49.31,50.41,2336766.0
2015-02-13,50.3,50.4,49.56,49.98,3206471.0,0.0,1.0,50.3,50.4,49.56,49.98,3206471.0
2015-02-12,49.35,50.35,48.95,50.26,2989094.0,0.0,1.0,49.35,50.35,48.95,50.26,2989094.0
2015-02-11,49.64,50.16,48.69,49.17,2949668.0,0.0,1.0,49.64,50.16,48.69,49.17,2949668.0
2015-02-10,48.7,49.6,48.21,49.38,3310406.0,0.0,1.0,48.7,49.6,48.21,49.38,3310406.0
2015-02-09,48.0,48.89,47.8,48.44,3256227.0,0.0,1.0,48.0,48.89,47.8,48.44,3256227.0
2015-02-06,46.5,48.12,46.45,48.02,6049270.0,0.0,1.0,46.5,48.12,46.45,48.02,6049270.0
2015-02-05,46.36,46.75,45.57,46.45,4445425.0,0.0,1.0,46.36,46.75,45.57,46.45,4445425.0
2015-02-04,45.22,46.94,45.11,46.47,5252039.0,0.0,1.0,45.22,46.94,45.11,46.47,5252039.0
2015-02-03,44.75,45.465,44.22,45.43,3105178.0,0.0,1.0,44.75,45.465,44.22,45.43,3105178.0
2015-02-02,45.06,45.42,43.89,44.64,4694703.0,0.0,1.0,45.06,45.42,43.89,44.64,4694703.0
2015-01-30,45.7,45.95,44.79,44.91,3783543.0,0.0,1.0,45.7,45.95,44.79,44.91,3783543.0
2015-01-29,44.84,46.31,44.71,46.21,4667088.0,0.0,1.0,44.84,46.31,44.71,46.21,4667088.0
2015-01-28,45.22,45.49,44.32,44.66,4372003.0,0.0,1.0,45.22,45.49,44.32,44.66,4372003.0
2015-01-26,44.3,45.1,44.21,44.89,3414969.0,0.0,1.0,44.3,45.1,44.21,44.89,3414969.0
2015-01-23,43.89,44.39,43.575,43.73,4042414.0,0.0,1.0,43.89,44.39,43.575,43.73,4042414.0
2015-01-22,43.51,43.96,43.0,43.83,4180001.0,0.0,1.0,43.51,43.96,43.0,43.83,4180001.0
2015-01-21,42.32,43.64,42.32,43.27,3784441.0,0.0,1.0,42.32,43.64,42.32,43.27,3784441.0
