Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,46.18,46.71,46.14,46.64,3341124.0,0.0,1.0,46.18,46.71,46.14,46.64,3341124.0
2015-04-15,46.3,46.69,45.4465,46.17,4938026.0,0.0,1.0,46.3,46.69,45.4465,46.17,4938026.0
2015-04-14,45.8,46.12,45.25,45.425,3481955.0,0.0,1.0,45.8,46.12,45.25,45.425,3481955.0
2015-04-13,46.51,46.61,46.0,46.01,1396989.0,0.0,1.0,46.51,46.61,46.0,46.01,1396989.0
2015-04-10,46.44,46.57,46.2,46.495,1582575.0,0.0,1.0,46.44,46.57,46.2,46.495,1582575.0
2015-04-09,46.13,46.44,45.89,46.35,1726369.0,0.0,1.0,46.13,46.44,45.89,46.35,1726369.0
2015-04-08,46.07,46.44,45.8914,46.18,1251481.0,0.0,1.0,46.07,46.44,45.8914,46.18,1251481.0
2015-04-07,46.08,46.56,45.96,46.08,1536668.0,0.0,1.0,46.08,46.56,45.96,46.08,1536668.0
2015-04-06,45.82,46.39,45.41,46.24,2601068.0,0.0,1.0,45.82,46.39,45.41,46.24,2601068.0
2015-04-02,46.45,46.69,45.92,46.12,3177678.0,0.0,1.0,46.45,46.69,45.92,46.12,3177678.0
2015-04-01,46.62,46.69,45.67,46.125,2410131.0,0.0,1.0,46.62,46.69,45.67,46.125,2410131.0
2015-03-31,47.41,47.53,46.64,46.8,2315764.0,0.0,1.0,47.41,47.53,46.64,46.8,2315764.0
2015-03-30,46.89,47.77,46.54,47.59,2774820.0,0.0,1.0,46.89,47.77,46.54,47.59,2774820.0
2015-03-27,45.4,47.0,45.33,46.68,2286386.0,0.0,1.0,45.4,47.0,45.33,46.68,2286386.0
2015-03-26,44.66,45.82,44.44,45.605,3516928.0,0.0,1.0,44.66,45.82,44.44,45.605,3516928.0
2015-03-25,47.69,47.82,45.45,45.47,2816289.0,0.0,1.0,47.69,47.82,45.45,45.47,2816289.0
2015-03-24,48.23,48.44,47.66,47.7,1941128.0,0.0,1.0,48.23,48.44,47.66,47.7,1941128.0
2015-03-23,48.67,48.67,48.25,48.26,1739812.0,0.0,1.0,48.67,48.67,48.25,48.26,1739812.0
2015-03-20,47.9,48.74,47.66,48.53,2533607.0,0.0,1.0,47.9,48.74,47.66,48.53,2533607.0
2015-03-19,47.47,47.79,47.29,47.59,1011291.0,0.0,1.0,47.47,47.79,47.29,47.59,1011291.0
2015-03-18,47.23,47.76,46.42,47.56,1923922.0,0.0,1.0,47.23,47.76,46.42,47.56,1923922.0
2015-03-17,47.33,47.34,46.9,47.23,1021334.0,0.0,1.0,47.33,47.34,46.9,47.23,1021334.0
2015-03-16,47.17,47.62,47.04,47.565,1470587.0,0.0,1.0,47.17,47.62,47.04,47.565,1470587.0
2015-03-13,46.81,47.03,46.35,46.8,1357801.0,0.0,1.0,46.81,47.03,46.35,46.8,1357801.0
2015-03-12,46.84,46.96,46.34,46.81,1943904.0,0.0,1.0,46.84,46.96,46.34,46.81,1943904.0
2015-03-11,47.0,47.45,46.72,47.1,2585822.0,0.0,1.0,47.0,47.45,46.72,47.1,2585822.0
