Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,54.25,54.48,53.5,54.19,982044.0,0.0,1.0,54.25,54.48,53.5,54.19,982044.0
2015-04-15,54.59,54.78,53.95,54.31,1013661.0,0.0,1.0,54.59,54.78,53.95,54.31,1013661.0
2015-04-14,54.65,54.84,53.73,54.31,1280692.0,0.0,1.0,54.65,54.84,53.73,54.31,1280692.0
2015-04-13,54.48,55.08,54.43,54.75,817448.0,0.0,1.0,54.48,55.08,54.43,54.75,817448.0
2015-04-10,54.91,54.94,54.13,54.43,545901.0,0.0,1.0,54.91,54.94,54.13,54.43,545901.0
2015-04-09,54.35,54.96,54.12,54.91,873381.0,0.0,1.0,54.35,54.96,54.12,54.91,873381.0
2015-04-08,54.24,54.53,54.14,54.49,540820.0,0.0,1.0,54.24,54.53,54.14,54.49,540820.0
2015-04-07,54.98,55.23,54.29,54.34,645870.0,0.0,1.0,54.98,55.23,54.29,54.34,645870.0
2015-04-06,54.94,55.43,54.76,54.88,920849.0,0.0,1.0,54.94,55.43,54.76,54.88,920849.0
2015-04-02,55.35,55.77,55.125,55.58,1118701.0,0.0,1.0,55.35,55.77,55.125,55.58,1118701.0
2015-04-01,54.96,55.62,54.73,55.18,747121.0,0.0,1.0,54.96,55.62,54.73,55.18,747121.0
2015-03-31,55.64,55.73,55.1,55.2,773334.0,0.0,1.0,55.64,55.73,55.1,55.2,773334.0
2015-03-30,55.95,56.37,55.81,55.98,561318.0,0.0,1.0,55.95,56.37,55.81,55.98,561318.0
2015-03-27,55.7,55.8,55.2,55.51,486506.0,0.0,1.0,55.7,55.8,55.2,55.51,486506.0
2015-03-26,55.06,56.04,54.85,55.73,756966.0,0.0,1.0,55.06,56.04,54.85,55.73,756966.0
2015-03-25,56.95,56.95,55.25,55.33,1289218.0,0.0,1.0,56.95,56.95,55.25,55.33,1289218.0
2015-03-24,57.79,57.81,56.95,57.04,460985.0,0.0,1.0,57.79,57.81,56.95,57.04,460985.0
2015-03-23,58.45,58.79,58.04,58.08,593799.0,0.0,1.0,58.45,58.79,58.04,58.08,593799.0
2015-03-20,57.3,58.53,56.84,58.27,1472898.0,0.0,1.0,57.3,58.53,56.84,58.27,1472898.0
2015-03-19,57.5,57.52,56.53,56.91,505049.0,0.0,1.0,57.5,57.52,56.53,56.91,505049.0
2015-03-18,56.86,57.95,56.67,57.78,925029.0,0.0,1.0,56.86,57.95,56.67,57.78,925029.0
2015-03-17,57.2,57.32,56.77,56.96,553771.0,0.0,1.0,57.2,57.32,56.77,56.96,553771.0
2015-03-16,56.42,57.51,56.25,57.47,777578.0,0.0,1.0,56.42,57.51,56.25,57.47,777578.0
2015-03-13,56.08,56.44,55.624,55.98,548223.0,0.0,1.0,56.08,56.44,55.624,55.98,548223.0
2015-03-12,55.22,56.33,55.22,56.33,549118.0,0.0,1.0,55.22,56.33,55.22,56.33,549118.0
2015-03-11,54.69,55.26,54.69,55.03,872749.0,0.0,1.0,54.69,55.26,54.69,55.03,872749.0
2015-03-10,56.16,56.36,54.66,54.69,1342339.0,0.0,1.0,56.16,56.36,54.66,54.69,1342339.0
2015-03-09,56.66,57.0199,56.5,56.55,972312.0,0.0,1.0,56.66,57.0199,56.5,56.55,972312.0
2015-03-06,57.27,58.11,56.44,56.65,907744.0,0.0,1.0,57.27,58.11,56.44,56.65,907744.0
2015-03-05,57.24,57.76,57.008,57.25,775737.0,0.0,1.0,57.24,57.76,57.008,57.25,775737.0
2015-03-04,57.76,57.76,56.77,57.0,1011576.0,0.0,1.0,57.76,57.76,56.77,57.0,1011576.0
2015-03-03,58.0,58.23,57.64,57.92,381196.0,0.0,1.0,58.0,58.23,57.64,57.92,381196.0
2015-03-02,57.33,58.18,57.23,58.08,687883.0,0.0,1.0,57.33,58.18,57.23,58.08,687883.0
2015-02-27,58.22,58.53,57.2375,57.27,810462.0,0.0,1.0,58.22,58.53,57.2375,57.27,810462.0
2015-02-26,58.64,58.78,58.08,58.3,335959.0,0.0,1.0,58.64,58.78,58.08,58.3,335959.0
2015-02-25,58.42,58.87,58.22,58.68,725584.0,0.0,1.0,58.42,58.87,58.22,58.68,725584.0
2015-02-24,58.64,59.18,58.29,58.49,825392.0,0.0,1.0,58.64,59.18,58.29,58.49,825392.0
2015-02-23,58.75,58.8,58.43,58.64,354593.0,0.0,1.0,58.75,58.8,58.43,58.64,354593.0
2015-02-20,58.19,58.96,57.92,58.92,679749.0,0.0,1.0,58.19,58.96,57.92,58.92,679749.0
2015-02-19,58.29,58.76,58.13,58.44,536603.0,0.0,1.0,58.29,58.76,58.13,58.44,536603.0
