Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,196.58,198.04,195.67,197.12,1060923.0,0.0,1.0,196.58,198.04,195.67,197.12,1060923.0
2015-04-15,198.27,199.46,197.04,197.21,1154282.0,0.0,1.0,198.27,199.46,197.04,197.21,1154282.0
2015-04-14,196.89,197.77,196.35,197.34,1570801.0,0.0,1.0,196.89,197.77,196.35,197.34,1570801.0
2015-04-13,200.03,201.1299,196.82,197.05,2119054.0,0.0,1.0,200.03,201.1299,196.82,197.05,2119054.0
2015-04-10,201.37,202.19,200.28,200.4,1278988.0,0.0,1.0,201.37,202.19,200.28,200.4,1278988.0
2015-04-09,200.52,201.91,200.29,201.44,826079.0,0.0,1.0,200.52,201.91,200.29,201.44,826079.0
2015-04-08,200.45,201.89,199.6258,200.81,939837.0,0.0,1.0,200.45,201.89,199.6258,200.81,939837.0
2015-04-07,201.0,202.55,199.9,200.15,1081920.0,0.0,1.0,201.0,202.55,199.9,200.15,1081920.0
2015-04-06,199.33,201.1192,197.85,200.53,1364132.0,0.0,1.0,199.33,201.1192,197.85,200.53,1364132.0
2015-04-02,199.37,199.56,197.67,198.72,1369140.0,0.0,1.0,199.37,199.56,197.67,198.72,1369140.0
2015-04-01,202.1,202.47,197.43,198.76,1892186.0,0.0,1.0,202.1,202.47,197.43,198.76,1892186.0
2015-03-31,203.46,205.165,202.96,202.96,1261459.0,0.0,1.0,203.46,205.165,202.96,202.96,1261459.0
2015-03-30,203.5,206.19,203.0,204.89,1046287.0,0.0,1.0,203.5,206.19,203.0,204.89,1046287.0
2015-03-27,200.56,202.87,200.24,202.23,1256366.0,0.0,1.0,200.56,202.87,200.24,202.23,1256366.0
2015-03-26,197.57,201.12,196.26,200.56,1473749.0,0.0,1.0,197.57,201.12,196.26,200.56,1473749.0
2015-03-25,203.34,204.0,199.0,199.02,1319380.0,0.0,1.0,203.34,204.0,199.0,199.02,1319380.0
2015-03-24,202.34,204.365,200.9483,203.3,1247492.0,0.0,1.0,202.34,204.365,200.9483,203.3,1247492.0
2015-03-23,203.33,204.59,202.92,202.92,1020840.0,0.0,1.0,203.33,204.59,202.92,202.92,1020840.0
2015-03-20,203.05,204.04,201.67,203.77,3906580.0,0.0,1.0,203.05,204.04,201.67,203.77,3906580.0
2015-03-19,202.5,203.36,201.04,202.19,1171688.0,0.0,1.0,202.5,203.36,201.04,202.19,1171688.0
2015-03-18,200.77,203.49,198.355,202.6,869024.0,0.0,1.0,200.77,203.49,198.355,202.6,869024.0
2015-03-17,201.48,202.0,200.03,200.67,933458.0,0.0,1.0,201.48,202.0,200.03,200.67,933458.0
2015-03-16,198.22,202.3,198.1,202.11,1182670.0,0.0,1.0,198.22,202.3,198.1,202.11,1182670.0
2015-03-13,197.97,199.01,195.601,197.11,1152732.0,0.0,1.0,197.97,199.01,195.601,197.11,1152732.0
2015-03-12,197.54,198.95,197.54,198.78,1045676.0,0.0,1.0,197.54,198.95,197.54,198.78,1045676.0
2015-03-11,197.94,198.405,196.91,197.21,952856.0,0.0,1.0,197.94,198.405,196.91,197.21,952856.0
2015-03-10,198.41,198.98,197.31,197.58,1087980.0,0.0,1.0,198.41,198.98,197.31,197.58,1087980.0
2015-03-09,197.42,200.49,197.21,199.74,887636.0,0.0,1.0,197.42,200.49,197.21,199.74,887636.0
2015-03-06,198.38,198.64,196.71,197.66,1221043.0,0.0,1.0,198.38,198.64,196.71,197.66,1221043.0
2015-03-05,199.37,200.03,198.75,199.1,872333.0,0.0,1.0,199.37,200.03,198.75,199.1,872333.0
2015-03-04,199.7,200.08,198.78,198.97,851444.0,0.0,1.0,199.7,200.08,198.78,198.97,851444.0
2015-03-03,202.45,202.45,199.43,199.93,1311979.0,0.0,1.0,202.45,202.45,199.43,199.93,1311979.0
2015-03-02,200.67,203.13,200.288,203.02,1037378.0,0.0,1.0,200.67,203.13,200.288,203.02,1037378.0
2015-02-27,201.0,201.94,200.0,200.05,1311256.0,0.0,1.0,201.0,201.94,200.0,200.05,1311256.0
2015-02-26,203.25,203.84,200.53,201.33,1349560.0,0.0,1.0,203.25,203.84,200.53,201.33,1349560.0
2015-02-25,207.05,207.06,204.5,204.86,2759798.0,0.0,1.0,207.05,207.06,204.5,204.86,2759798.0
2015-02-24,205.51,206.93,204.82,206.62,1168595.0,0.0,1.0,205.51,206.93,204.82,206.62,1168595.0
2015-02-23,203.99,205.66,203.2,205.59,1440457.0,0.0,1.0,202.48142138737,204.13907114332,201.69726371838,204.06958881822,1440457.0
2015-02-20,200.9,204.0,200.28,203.99,1301048.0,0.0,1.0,199.41427303653,202.49134743381,198.79885815708,202.48142138737,1301048.0
2015-02-19,198.125,201.74,197.97,201.71,1775478.0,0.0,1.0,196.65979514865,200.24806093773,196.50594142878,200.2182827984,1775478.0
2015-02-18,197.55,198.58,196.95,198.57,900629.0,0.0,1.0,196.08904747818,197.1114302618,195.49348469161,197.10150421535,900629.0
2015-02-17,196.57,198.3,195.77,197.57,1022900.0,0.0,1.0,195.11629492679,196.8335009614,194.32221121136,196.10889957107,1022900.0
2015-02-13,197.22,198.39,196.19,196.95,1253577.0,0.0,1.0,195.76148794557,196.92283537938,194.73910516196,195.49348469161,1253577.0
2015-02-12,196.51,198.23,196.39,197.48,1217732.0,0.0,1.0,195.05673864813,196.7640186363,194.93762609081,196.01956515308,1217732.0
2015-02-11,195.64,197.18,195.0,196.31,1435925.0,0.0,1.0,194.1931726076,195.7217837598,193.55790563526,194.85821771927,1435925.0
2015-02-10,195.1,195.98,193.88,195.67,1280237.0,0.0,1.0,193.65716609969,194.53065818666,192.44618843366,194.22295074693,1280237.0
2015-02-09,194.35,194.99,192.703,193.02,1207417.0,0.0,1.0,192.91271261648,193.54797958882,191.27789276734,191.59254843958,1207417.0
2015-02-06,194.29,196.95,192.9,195.24,1127065.0,0.0,1.0,192.85315633782,195.49348469161,191.47343588227,193.79613074989,1127065.0
2015-02-05,193.08,194.47,191.58,194.06,1063892.0,0.0,1.0,191.65210471824,193.03182517379,190.16319775181,192.62485726963,1063892.0
2015-02-04,191.34,193.53,190.62,192.28,1230783.0,0.0,1.0,189.92497263718,192.09877680816,189.2102972933,190.85802100281,1230783.0
2015-02-03,190.12,192.3,189.59,192.0,1614442.0,0.0,1.0,188.71399497116,190.8778730957,188.18791450969,190.58009170241,1614442.0
2015-02-02,188.56,189.76,186.01,189.33,1549444.0,0.0,1.0,187.16553172608,188.35665729922,184.63438988315,187.92983730217,1549444.0
2015-01-30,189.86,190.9599,188.28,188.37,2287465.0,0.0,1.0,188.45591776364,189.54768361189,186.88760242568,186.97693684366,2287465.0
2015-01-29,189.01,192.53,187.1,192.5,2014619.0,0.0,1.0,187.612203816,191.10617216388,185.71632894542,191.07639402455,2014619.0
2015-01-28,191.84,194.8,189.0,189.25,1568332.0,0.0,1.0,190.42127495933,193.3593847064,187.60227776956,187.85042893063,1568332.0
2015-01-26,196.25,196.92,193.03,195.68,1339423.0,0.0,1.0,194.79866144062,195.46370655229,191.60247448602,194.23287679337,1339423.0
2015-01-23,197.99,198.88,196.95,197.44,1313698.0,0.0,1.0,196.52579352167,197.40921165508,195.49348469161,195.97986096731,1313698.0
2015-01-22,197.0,198.56,195.28,198.09,1307675.0,0.0,1.0,195.54311492383,197.09157816891,193.83583493566,196.6250539861,1307675.0
2015-01-21,195.01,196.75,194.11,195.5,965482.0,0.0,1.0,193.5678316817,195.29496376276,192.67448750185,194.0542079574,965482.0
