Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,73.77,74.735,73.64,74.08,3827322.0,0.0,1.0,73.77,74.735,73.64,74.08,3827322.0
2015-04-15,74.06,74.63,73.38,73.41,3085531.0,0.0,1.0,74.06,74.63,73.38,73.41,3085531.0
2015-04-14,73.79,74.31,73.011,73.98,3606330.0,0.0,1.0,73.79,74.31,73.011,73.98,3606330.0
2015-04-13,75.0,75.24,73.77,73.81,3403029.0,0.0,1.0,75.0,75.24,73.77,73.81,3403029.0
2015-04-10,74.5,74.94,74.05,74.9,3133246.0,0.0,1.0,74.5,74.94,74.05,74.9,3133246.0
2015-04-09,74.61,75.16,73.29,74.25,4456898.0,0.0,1.0,74.61,75.16,73.29,74.25,4456898.0
2015-04-08,74.19,74.95,74.1,74.81,3425024.0,0.0,1.0,74.19,74.95,74.1,74.81,3425024.0
2015-04-07,75.0,75.5,74.05,74.11,3114912.0,0.0,1.0,75.0,75.5,74.05,74.11,3114912.0
2015-04-06,74.23,75.64,74.21,75.06,4710471.0,0.0,1.0,74.23,75.64,74.21,75.06,4710471.0
2015-04-02,74.25,75.065,74.17,74.84,3363169.0,0.0,1.0,74.25,75.065,74.17,74.84,3363169.0
2015-04-01,74.32,74.85,73.7,74.39,5891321.0,0.0,1.0,74.32,74.85,73.7,74.39,5891321.0
2015-03-31,74.51,75.37,74.27,74.39,4502935.0,0.0,1.0,74.51,75.37,74.27,74.39,4502935.0
2015-03-30,73.85,74.99,73.82,74.8,3948649.0,0.0,1.0,73.85,74.99,73.82,74.8,3948649.0
2015-03-27,72.76,73.75,72.76,73.67,3612266.0,0.0,1.0,72.76,73.75,72.76,73.67,3612266.0
2015-03-26,73.56,73.69,72.48,72.86,7671205.0,0.0,1.0,73.56,73.69,72.48,72.86,7671205.0
2015-03-25,75.69,75.825,74.2,74.26,4001989.0,0.0,1.0,75.69,75.825,74.2,74.26,4001989.0
2015-03-24,75.46,76.25,75.23,75.61,4887025.0,0.0,1.0,75.46,76.25,75.23,75.61,4887025.0
2015-03-23,75.55,76.17,75.14,75.37,5928455.0,0.0,1.0,75.55,76.17,75.14,75.37,5928455.0
2015-03-20,74.64,75.595,74.25,75.23,7967486.0,0.0,1.0,74.64,75.595,74.25,75.23,7967486.0
2015-03-19,74.69,74.98,74.155,74.56,3777369.0,0.0,1.0,74.69,74.98,74.155,74.56,3777369.0
2015-03-18,74.47,74.72,72.625,74.52,6984410.0,0.0,1.0,74.47,74.72,72.625,74.52,6984410.0
2015-03-17,74.98,75.17,74.56,74.57,3895869.0,0.0,1.0,74.98,75.17,74.56,74.57,3895869.0
2015-03-16,74.69,75.55,74.69,75.44,4109228.0,0.0,1.0,74.69,75.55,74.69,75.44,4109228.0
2015-03-13,74.94,75.15,73.74,74.16,4118093.0,0.0,1.0,74.94,75.15,73.74,74.16,4118093.0
2015-03-12,73.5,74.98,73.5,74.94,3560731.0,0.0,1.0,73.5,74.98,73.5,74.94,3560731.0
2015-03-11,73.17,73.59,73.05,73.07,3526726.0,0.0,1.0,73.17,73.59,73.05,73.07,3526726.0
2015-03-10,73.76,74.15,73.06,73.06,3844623.0,0.0,1.0,73.76,74.15,73.06,73.06,3844623.0
2015-03-09,73.53,74.415,73.4201,74.26,3292103.0,0.0,1.0,73.53,74.415,73.4201,74.26,3292103.0
2015-03-06,73.96,74.375,73.33,73.51,5833155.0,0.0,1.0,73.96,74.375,73.33,73.51,5833155.0
2015-03-05,74.38,74.99,74.38,74.56,3516830.0,0.0,1.0,74.38,74.99,74.38,74.56,3516830.0
2015-03-04,74.86,74.94,73.91,74.02,4988271.0,0.0,1.0,74.86,74.94,73.91,74.02,4988271.0
2015-03-03,74.9,75.19,74.22,75.01,3590714.0,0.0,1.0,74.9,75.19,74.22,75.01,3590714.0
2015-03-02,73.52,75.205,73.52,75.09,5186835.0,0.0,1.0,73.52,75.205,73.52,75.09,5186835.0
2015-02-27,73.86,74.77,73.65,74.09,4913497.0,0.0,1.0,73.86,74.77,73.65,74.09,4913497.0
2015-02-26,74.51,75.03,73.56,74.1,7551060.0,0.0,1.0,74.51,75.03,73.56,74.1,7551060.0
2015-02-25,75.9,75.98,73.25,74.43,9315384.0,0.0,1.0,75.9,75.98,73.25,74.43,9315384.0
2015-02-24,75.61,75.82,73.93,74.65,9747180.0,0.0,1.0,75.61,75.82,73.93,74.65,9747180.0
2015-02-23,73.9,74.34,73.27,73.73,4894327.0,0.0,1.0,73.9,74.34,73.27,73.73,4894327.0
2015-02-20,72.08,73.57,71.75,73.56,4277448.0,0.0,1.0,72.08,73.57,71.75,73.56,4277448.0
2015-02-19,72.63,72.85,72.09,72.29,3021993.0,0.0,1.0,72.63,72.85,72.09,72.29,3021993.0
2015-02-18,72.23,72.75,72.12,72.52,3720852.0,0.0,1.0,72.23,72.75,72.12,72.52,3720852.0
2015-02-17,71.8,72.5899,71.495,72.47,3689938.0,0.0,1.0,71.8,72.5899,71.495,72.47,3689938.0
2015-02-13,72.06,72.33,71.84,72.05,2557085.0,0.0,1.0,72.06,72.33,71.84,72.05,2557085.0
2015-02-12,71.65,72.24,71.44,72.19,3435951.0,0.0,1.0,71.65,72.24,71.44,72.19,3435951.0
2015-02-11,71.82,71.87,71.12,71.43,3038393.0,0.0,1.0,71.82,71.87,71.12,71.43,3038393.0
2015-02-10,71.19,71.89,71.04,71.76,4087485.0,0.0,1.0,71.19,71.89,71.04,71.76,4087485.0
2015-02-09,71.38,71.83,70.765,70.95,2797492.0,0.0,1.0,71.38,71.83,70.765,70.95,2797492.0
2015-02-06,71.53,72.25,71.27,71.9,4836284.0,0.0,1.0,71.53,72.25,71.27,71.9,4836284.0
2015-02-05,70.81,71.5,70.73,71.47,4924508.0,0.0,1.0,70.81,71.5,70.73,71.47,4924508.0
2015-02-04,69.51,71.32,69.43,70.67,6143380.0,0.0,1.0,69.51,71.32,69.43,70.67,6143380.0
2015-02-03,69.08,69.66,68.35,69.63,5094509.0,0.0,1.0,69.08,69.66,68.35,69.63,5094509.0
2015-02-02,67.66,68.49,66.165,68.41,5678644.0,0.0,1.0,67.66,68.49,66.165,68.41,5678644.0
2015-01-30,69.48,69.6169,67.67,67.76,8946119.0,0.0,1.0,69.48,69.6169,67.67,67.76,8946119.0
2015-01-29,69.48,70.24,68.85,69.93,6398278.0,0.0,1.0,69.48,70.24,68.85,69.93,6398278.0
2015-01-28,69.34,71.11,69.153,69.22,5364533.0,0.0,1.0,69.34,71.11,69.153,69.22,5364533.0
2015-01-26,69.69,70.5,69.42,70.44,5064043.0,0.0,1.0,69.69,70.5,69.42,70.44,5064043.0
2015-01-23,69.52,70.14,69.13,69.71,4865336.0,0.0,1.0,69.52,70.14,69.13,69.71,4865336.0
2015-01-22,67.68,69.63,67.4,69.55,7069077.0,0.0,1.0,67.68,69.63,67.4,69.55,7069077.0
2015-01-21,67.25,67.87,66.75,67.32,5173958.0,0.0,1.0,67.25,67.87,66.75,67.32,5173958.0
2015-01-20,68.1,68.38,66.25,66.52,5917848.0,0.0,1.0,68.1,68.38,66.25,66.52,5917848.0
2015-01-15,68.03,68.21,66.2202,66.35,5288250.0,0.0,1.0,68.03,68.21,66.2202,66.35,5288250.0
