Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,71.76,72.23,71.24,71.79,2427783.0,0.0,1.0,71.76,72.23,71.24,71.79,2427783.0
2015-04-15,72.09,73.06,71.87,72.42,2473269.0,0.0,1.0,72.09,73.06,71.87,72.42,2473269.0
2015-04-14,72.72,72.7284,71.69,72.0,2010241.0,0.0,1.0,72.72,72.7284,71.69,72.0,2010241.0
2015-04-13,73.08,73.98,72.455,72.7,1225736.0,0.0,1.0,73.08,73.98,72.455,72.7,1225736.0
2015-04-10,73.28,73.28,72.59,73.1,1175239.0,0.0,1.0,73.28,73.28,72.59,73.1,1175239.0
2015-04-09,72.47,73.27,72.32,73.155,1378615.0,0.0,1.0,72.47,73.27,72.32,73.155,1378615.0
2015-04-08,71.25,73.1,71.17,72.83,2038920.0,0.0,1.0,71.25,73.1,71.17,72.83,2038920.0
2015-04-07,72.44,73.1,71.16,71.17,3531346.0,0.0,1.0,72.44,73.1,71.16,71.17,3531346.0
2015-04-06,69.9,72.48,69.56,72.35,2773228.0,0.0,1.0,69.9,72.48,69.56,72.35,2773228.0
2015-04-02,70.3,71.15,69.89,70.76,2150757.0,0.0,1.0,70.3,71.15,69.89,70.76,2150757.0
2015-04-01,70.59,70.86,69.88,70.26,2605843.0,0.0,1.0,70.59,70.86,69.88,70.26,2605843.0
2015-03-31,71.7,71.98,69.0707,70.235,4177912.0,0.0,1.0,71.7,71.98,69.0707,70.235,4177912.0
2015-03-30,72.68,72.75,71.55,72.19,2041013.0,0.0,1.0,72.68,72.75,71.55,72.19,2041013.0
2015-03-27,71.36,72.47,70.88,72.04,3335013.0,0.0,1.0,71.36,72.47,70.88,72.04,3335013.0
2015-03-26,72.01,72.09,69.92,71.15,5122462.0,0.0,1.0,72.01,72.09,69.92,71.15,5122462.0
2015-03-25,78.54,78.555,72.7,72.75,4273923.0,0.0,1.0,78.54,78.555,72.7,72.75,4273923.0
2015-03-24,78.5,79.51,78.3,78.76,1672711.0,0.0,1.0,78.5,79.51,78.3,78.76,1672711.0
2015-03-23,78.97,79.28,78.26,78.43,1313907.0,0.0,1.0,78.97,79.28,78.26,78.43,1313907.0
2015-03-20,79.43,79.63,78.25,79.23,2516004.0,0.0,1.0,79.43,79.63,78.25,79.23,2516004.0
2015-03-19,77.49,78.99,76.73,78.95,2381954.0,0.0,1.0,77.49,78.99,76.73,78.95,2381954.0
2015-03-18,78.42,78.74,74.923,77.485,4749473.0,0.0,1.0,78.42,78.74,74.923,77.485,4749473.0
2015-03-17,79.5,79.59,78.51,78.98,937986.0,0.0,1.0,79.5,79.59,78.51,78.98,937986.0
2015-03-16,79.24,79.96,79.0,79.89,978562.0,0.0,1.0,79.24,79.96,79.0,79.89,978562.0
2015-03-13,77.55,78.86,77.12,78.71,1811439.0,0.0,1.0,77.55,78.86,77.12,78.71,1811439.0
2015-03-12,77.78,78.14,77.07,77.72,2091022.0,0.0,1.0,77.78,78.14,77.07,77.72,2091022.0
2015-03-11,78.24,79.05,78.09,78.27,1395809.0,0.0,1.0,78.24,79.05,78.09,78.27,1395809.0
2015-03-10,80.05,80.57,77.955,77.96,2088861.0,0.0,1.0,80.05,80.57,77.955,77.96,2088861.0
2015-03-09,79.95,80.92,79.78,80.78,1318369.0,0.0,1.0,79.95,80.92,79.78,80.78,1318369.0
2015-03-06,80.25,80.84,79.73,80.17,1390853.0,0.0,1.0,80.25,80.84,79.73,80.17,1390853.0
