Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,96.48,96.7,95.5,95.91,3128145.0,0.0,1.0,96.48,96.7,95.5,95.91,3128145.0
2015-04-15,93.92,97.0,93.85,96.52,5080448.0,0.0,1.0,93.92,97.0,93.85,96.52,5080448.0
2015-04-14,91.72,93.65,91.64,93.3,3127518.0,0.0,1.0,91.72,93.65,91.64,93.3,3127518.0
2015-04-13,91.72,91.95,90.96,91.1,1787859.0,0.0,1.0,91.72,91.95,90.96,91.1,1787859.0
2015-04-10,91.28,91.495,90.46,91.41,2509216.0,0.0,1.0,91.28,91.495,90.46,91.41,2509216.0
2015-04-09,91.59,92.62,90.44,90.74,4361001.0,0.0,1.0,91.59,92.62,90.44,90.74,4361001.0
2015-04-08,92.05,92.64,91.16,91.26,4687835.0,0.0,1.0,92.05,92.64,91.16,91.26,4687835.0
2015-04-07,90.52,91.93,90.14,91.83,5231635.0,0.0,1.0,90.52,91.93,90.14,91.83,5231635.0
2015-04-06,88.3,91.76,88.08,90.95,4429311.0,0.0,1.0,88.3,91.76,88.08,90.95,4429311.0
2015-04-02,88.32,89.48,87.97,87.98,3913427.0,0.0,1.0,88.32,89.48,87.97,87.98,3913427.0
2015-04-01,88.33,88.79,87.03,88.63,3552852.0,0.0,1.0,88.33,88.79,87.03,88.63,3552852.0
2015-03-31,87.04,88.18,86.31,87.8,2760039.0,0.0,1.0,87.04,88.18,86.31,87.8,2760039.0
2015-03-30,87.28,88.25,87.26,87.77,2916934.0,0.0,1.0,87.28,88.25,87.26,87.77,2916934.0
2015-03-27,88.46,88.57,85.7,86.56,4323555.0,0.0,1.0,88.46,88.57,85.7,86.56,4323555.0
2015-03-26,86.0,88.5897,86.0,87.86,4979661.0,0.0,1.0,86.0,88.5897,86.0,87.86,4979661.0
2015-03-25,86.47,87.32,85.34,85.4,2269155.0,0.0,1.0,86.47,87.32,85.34,85.4,2269155.0
2015-03-24,86.71,86.85,85.62,86.04,1870664.0,0.0,1.0,86.71,86.85,85.62,86.04,1870664.0
2015-03-23,86.13,87.68,86.01,86.38,2709909.0,0.0,1.0,86.13,87.68,86.01,86.38,2709909.0
2015-03-20,85.57,86.21,85.31,85.53,6720827.0,0.0,1.0,85.57,86.21,85.31,85.53,6720827.0
2015-03-19,85.9,86.29,84.71,85.02,2800738.0,0.0,1.0,85.9,86.29,84.71,85.02,2800738.0
2015-03-18,82.4,87.0,81.76,86.81,4926897.0,0.0,1.0,82.4,87.0,81.76,86.81,4926897.0
2015-03-17,84.25,84.71,81.77,82.66,6023494.0,0.0,1.0,84.25,84.71,81.77,82.66,6023494.0
2015-03-16,83.93,85.36,82.35,85.27,3198036.0,0.0,1.0,83.93,85.36,82.35,85.27,3198036.0
2015-03-13,85.29,85.46,83.21,83.72,3074114.0,0.0,1.0,85.29,85.46,83.21,83.72,3074114.0
2015-03-12,85.2,86.89,85.2,86.02,3006304.0,0.0,1.0,85.2,86.89,85.2,86.02,3006304.0
2015-03-11,84.64,85.47,83.81,85.11,2827039.0,0.0,1.0,84.64,85.47,83.81,85.11,2827039.0
2015-03-10,86.34,86.59,84.06,84.38,4496993.0,0.0,1.0,86.34,86.59,84.06,84.38,4496993.0
2015-03-09,87.5,88.5,87.49,87.6,2951740.0,0.0,1.0,87.5,88.5,87.49,87.6,2951740.0
2015-03-06,86.49,87.87,86.3605,87.4,5861671.0,0.0,1.0,86.49,87.87,86.3605,87.4,5861671.0
2015-03-05,87.08,88.14,86.45,87.98,4889929.0,0.0,1.0,87.08,88.14,86.45,87.98,4889929.0
2015-03-04,85.99,87.3999,85.5,87.24,3087948.0,0.0,1.0,85.99,87.3999,85.5,87.24,3087948.0
2015-03-03,85.64,86.83,85.4,86.49,3095069.0,0.0,1.0,85.64,86.83,85.4,86.49,3095069.0
2015-03-02,85.55,86.29,84.05,86.1,4474718.0,0.0,1.0,85.55,86.29,84.05,86.1,4474718.0
2015-02-27,86.88,88.01,85.86,85.91,3887433.0,0.0,1.0,86.88,88.01,85.86,85.91,3887433.0
2015-02-26,88.3,89.525,85.64,86.75,6008469.0,0.0,1.0,88.3,89.525,85.64,86.75,6008469.0
2015-02-25,91.53,91.75,89.5,89.59,3450409.0,0.0,1.0,91.53,91.75,89.5,89.59,3450409.0
2015-02-24,91.82,91.99,90.51,91.32,3167954.0,0.0,1.0,91.82,91.99,90.51,91.32,3167954.0
2015-02-23,89.95,91.79,89.54,91.55,3996143.0,0.0,1.0,89.229988564894,91.055260148656,88.823270440252,90.817181246427,3996143.0
2015-02-20,90.63,91.1414,89.37,90.47,4915537.0,0.0,1.0,89.904545454545,90.41185191538,88.654631217839,89.745826186392,4915537.0
2015-02-19,88.33,91.45,87.46,91.24,4935048.0,0.0,1.0,87.622955974843,90.717981703831,86.75991995426,90.50966266438,4935048.0
2015-02-18,88.85,89.53,87.81,89.49,2993253.0,0.0,1.0,88.138793596341,88.813350485992,87.107118353345,88.773670668954,2993253.0
2015-02-17,89.1,90.58,88.126,89.94,3966553.0,0.0,1.0,88.38679245283,89.854945683248,87.420588907947,89.220068610635,3966553.0
2015-02-13,89.66,90.35,89.21,89.99,5998281.0,0.0,1.0,88.942309891366,89.626786735277,88.495911949686,89.269668381933,5998281.0
2015-02-12,88.17,90.82,88.16,89.8,5459969.0,0.0,1.0,87.46423670669,90.093024585477,87.45431675243,89.081189251001,5459969.0
2015-02-11,87.84,88.14,86.38,87.18,4353373.0,0.0,1.0,87.136878216124,87.434476843911,85.688564894225,86.482161234991,4353373.0
2015-02-10,88.6,88.65,87.365,88.21,4866930.0,0.0,1.0,87.890794739851,87.940394511149,86.665680388794,87.503916523728,4866930.0
2015-02-09,88.18,89.29,87.28,88.34,5512465.0,0.0,1.0,87.474156660949,88.575271583762,86.581360777587,87.632875929102,5512465.0
2015-02-06,88.06,88.61,86.63,86.82,5235991.0,0.0,1.0,87.355117209834,87.900714694111,85.936563750715,86.125042881647,5235991.0
2015-02-05,86.45,90.2,86.28,87.65,6285355.0,0.0,1.0,85.758004574042,89.477987421384,85.589365351629,86.948399085192,6285355.0
2015-02-04,85.84,86.73,84.36,85.35,6207116.0,0.0,1.0,85.152887364208,86.03576329331,83.684734133791,84.666809605489,6207116.0
2015-02-03,83.05,87.14,83.38,86.9,8695944.0,0.0,1.0,82.385220125786,86.442481417953,82.712578616352,86.204402515723,8695944.0
2015-02-02,79.56,82.86,79.25,82.0,6805168.0,0.0,1.0,78.923156089194,82.196740994854,78.615637507147,81.343624928531,6805168.0
2015-01-30,76.79,81.09,76.47,79.09,5006412.0,0.0,1.0,76.175328759291,80.440909090909,75.857890222985,78.456918238994,5006412.0
2015-01-29,77.01,78.025,75.43,77.77,5484814.0,0.0,1.0,76.393567753002,77.400443110349,74.826214979989,77.14748427673,5484814.0
2015-01-28,78.98,79.21,76.12,76.46,4805935.0,0.0,1.0,78.347798742138,78.575957690109,75.510691823899,75.847970268725,4805935.0
2015-01-26,80.17,80.36,78.875,79.27,5172910.0,0.0,1.0,79.528273299028,79.71675242996,78.243639222413,78.635477415666,5172910.0
2015-01-23,80.94,81.73,80.36,80.8,4165557.0,0.0,1.0,80.292109777015,81.075786163522,79.71675242996,80.153230417381,4165557.0
2015-01-22,82.32,82.97,80.41,81.41,5269282.0,0.0,1.0,81.661063464837,82.30586049171,79.766352201258,80.758347627216,5269282.0
2015-01-21,78.33,81.72,77.4,81.38,5412007.0,0.0,1.0,77.703001715266,81.065866209262,76.780445969125,80.728587764437,5412007.0
2015-01-20,79.3,79.58,76.203,77.94,4807685.0,0.0,1.0,78.665237278445,78.942995997713,75.593027444254,77.316123499142,4807685.0
2015-01-15,75.08,76.84,74.325,75.27,5789858.0,0.0,1.0,74.479016580903,76.224928530589,73.730060034305,74.667495711835,5789858.0
2015-01-14,74.13,74.82,71.74,74.36,5998655.0,0.0,1.0,73.536620926244,74.221097770154,71.165751858205,73.764779874214,5998655.0
2015-01-13,76.72,77.3,74.51,75.3,6457041.0,0.0,1.0,76.105889079474,76.681246426529,73.913579188107,74.697255574614,6457041.0
2015-01-12,78.34,78.8,75.755,76.15,5447707.0,0.0,1.0,77.712921669525,78.169239565466,75.148613493425,75.540451686678,5447707.0
2015-01-08,76.25,78.56,75.86,78.22,6029781.0,0.0,1.0,75.639651229274,77.931160663236,75.25277301315,77.593882218411,6029781.0
2015-01-06,76.08,76.9,74.115,74.43,5036306.0,0.0,1.0,75.471012006861,76.284448256146,73.521740994854,73.834219554031,5036306.0
2015-01-05,78.79,78.99,75.23,76.04,5420391.0,0.0,1.0,78.159319611206,78.357718696398,74.627815894797,75.431332189823,5420391.0
2015-01-02,79.53,80.59,79.29,80.07,2863509.0,0.0,1.0,78.893396226415,79.94491137793,78.655317324185,79.429073756432,2863509.0
2014-12-31,80.14,80.58,78.95,79.39,3300781.0,0.0,1.0,79.498513436249,79.934991423671,78.31803887936,78.754516866781,3300781.0
2014-12-30,81.23,81.7,80.29,80.6,2985866.0,0.0,1.0,80.579788450543,81.046026300743,79.647312750143,79.95483133219,2985866.0
2014-12-26,82.03,81.98,80.54,80.98,2844271.0,0.0,1.0,81.373384791309,81.323785020011,79.895311606632,80.331789594054,2844271.0
2014-12-24,81.53,82.36,80.77,81.31,2367163.0,0.0,1.0,80.87738707833,81.700743281875,80.123470554603,80.65914808462,2367163.0
2014-12-23,81.34,82.82,80.39,82.2,4041239.0,0.0,1.0,80.688907947399,82.157061177816,79.746512292739,81.542024013722,4041239.0
2014-12-22,82.2,82.43,80.2,81.11,4709636.0,0.0,1.0,81.542024013722,81.770182961692,79.558033161807,80.460748999428,4709636.0
2014-12-19,80.46,82.31,79.71,82.0,8504539.0,0.0,1.0,79.815951972556,81.651143510577,79.071955403087,81.343624928531,8504539.0
2014-12-18,79.38,81.21,76.85,79.26,9704326.0,0.0,1.0,78.744596912521,80.559948542024,76.234848484848,78.625557461407,9704326.0
2014-12-17,72.01,77.11,72.0,75.6,8659051.0,0.0,1.0,71.433590623213,76.492767295597,71.423670668954,74.994854202401,8659051.0
2014-12-16,71.14,73.69,70.37,71.55,8805699.0,0.0,1.0,70.57055460263,73.100142938822,69.806718124643,70.977272727273,8805699.0
2014-12-15,71.67,72.19,70.06,70.67,6455402.0,0.0,1.0,71.096312178388,71.612149799886,69.499199542596,70.10431675243,6455402.0
