Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,67.84,68.27,67.53,67.67,2160295.0,0.0,1.0,67.84,68.27,67.53,67.67,2160295.0
2015-04-15,68.39,68.71,67.79,67.91,2981674.0,0.0,1.0,68.39,68.71,67.79,67.91,2981674.0
2015-04-14,68.81,69.05,67.17,68.0,4446021.0,0.0,1.0,68.81,69.05,67.17,68.0,4446021.0
2015-04-13,69.24,69.88,68.98,69.15,4543003.0,0.0,1.0,69.24,69.88,68.98,69.15,4543003.0
2015-04-10,68.73,69.78,68.71,69.16,7593206.0,0.0,1.0,68.73,69.78,68.71,69.16,7593206.0
2015-04-09,69.72,69.72,67.97,68.0,6336418.0,0.0,1.0,69.72,69.72,67.97,68.0,6336418.0
2015-04-08,67.92,69.98,67.77,69.8,5215584.0,0.0,1.0,67.92,69.98,67.77,69.8,5215584.0
2015-04-07,68.17,69.39,67.875,67.95,4157869.0,0.0,1.0,68.17,69.39,67.875,67.95,4157869.0
2015-04-06,67.34,68.18,67.0,68.13,5072959.0,0.0,1.0,67.34,68.18,67.0,68.13,5072959.0
2015-04-02,65.52,68.48,65.29,67.85,9862428.0,0.0,1.0,65.52,68.48,65.29,67.85,9862428.0
2015-04-01,64.52,66.07,64.4,65.45,6215904.0,0.0,1.0,64.52,66.07,64.4,65.45,6215904.0
2015-03-31,64.44,65.75,64.06,64.91,4670623.0,0.0,1.0,64.44,65.75,64.06,64.91,4670623.0
2015-03-30,64.07,64.665,63.95,64.44,2668394.0,0.0,1.0,64.07,64.665,63.95,64.44,2668394.0
2015-03-27,63.49,64.01,63.25,63.65,2364423.0,0.0,1.0,63.49,64.01,63.25,63.65,2364423.0
2015-03-26,64.14,64.215,63.23,63.26,4844442.0,0.0,1.0,64.14,64.215,63.23,63.26,4844442.0
2015-03-25,65.33,65.82,64.72,64.72,3513347.0,0.0,1.0,65.33,65.82,64.72,64.72,3513347.0
2015-03-24,65.32,65.77,65.14,65.33,2295344.0,0.0,1.0,65.32,65.77,65.14,65.33,2295344.0
2015-03-23,65.82,66.14,65.63,65.64,3418048.0,0.0,1.0,65.82,66.14,65.63,65.64,3418048.0
2015-03-20,65.17,66.135,65.0,65.98,5547657.0,0.0,1.0,65.17,66.135,65.0,65.98,5547657.0
2015-03-19,64.43,65.19,64.37,65.07,2800627.0,0.0,1.0,64.43,65.19,64.37,65.07,2800627.0
2015-03-18,64.06,64.99,63.5,64.61,3933777.0,0.0,1.0,64.06,64.99,63.5,64.61,3933777.0
2015-03-17,63.85,64.26,63.6,64.1,2787054.0,0.0,1.0,63.85,64.26,63.6,64.1,2787054.0
2015-03-16,63.63,64.15,63.61,64.13,3589235.0,0.0,1.0,63.63,64.15,63.61,64.13,3589235.0
2015-03-13,63.18,63.52,62.61,63.36,3125891.0,0.0,1.0,63.18,63.52,62.61,63.36,3125891.0
2015-03-12,62.65,63.25,62.54,63.19,3172872.0,0.0,1.0,62.65,63.25,62.54,63.19,3172872.0
2015-03-11,63.19,63.21,62.21,62.36,2856130.0,0.0,1.0,63.19,63.21,62.21,62.36,2856130.0
2015-03-10,62.02,63.38,61.85,63.3,4792526.0,0.0,1.0,62.02,63.38,61.85,63.3,4792526.0
2015-03-09,62.85,63.0,62.5,62.56,2703216.0,0.0,1.0,62.85,63.0,62.5,62.56,2703216.0
