Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,25.87,26.08,24.7,25.27,10339916.0,0.0,1.0,25.87,26.08,24.7,25.27,10339916.0
2015-04-15,24.64,25.53,24.61,25.37,9114177.0,0.0,1.0,24.64,25.53,24.61,25.37,9114177.0
2015-04-14,24.25,24.71,24.02,24.56,5522577.0,0.0,1.0,24.25,24.71,24.02,24.56,5522577.0
2015-04-13,24.29,24.58,24.09,24.31,3597741.0,0.0,1.0,24.29,24.58,24.09,24.31,3597741.0
2015-04-10,24.28,24.48,24.05,24.23,3778230.0,0.0,1.0,24.28,24.48,24.05,24.23,3778230.0
2015-04-09,23.96,24.31,23.87,24.27,4842203.0,0.0,1.0,23.96,24.31,23.87,24.27,4842203.0
2015-04-08,23.9,24.04,23.65,23.94,4099303.0,0.0,1.0,23.9,24.04,23.65,23.94,4099303.0
2015-04-07,23.92,24.09,23.53,23.9,10880722.0,0.0,1.0,23.92,24.09,23.53,23.9,10880722.0
2015-04-06,23.15,24.155,23.08,24.0,13339749.0,0.0,1.0,23.15,24.155,23.08,24.0,13339749.0
2015-04-02,23.02,23.23,22.32,22.65,6454533.0,0.0,1.0,23.02,23.23,22.32,22.65,6454533.0
2015-04-01,22.85,23.14,22.77,23.08,5009159.0,0.0,1.0,22.85,23.14,22.77,23.08,5009159.0
2015-03-31,22.71,23.06,22.54,22.85,6184482.0,0.0,1.0,22.71,23.06,22.54,22.85,6184482.0
2015-03-30,22.72,22.86,22.52,22.65,5141626.0,0.0,1.0,22.72,22.86,22.52,22.65,5141626.0
2015-03-27,22.7,22.94,22.44,22.61,7906821.0,0.0,1.0,22.7,22.94,22.44,22.61,7906821.0
2015-03-26,23.02,23.09,22.65,22.755,6814637.0,0.0,1.0,23.02,23.09,22.65,22.755,6814637.0
2015-03-25,23.29,23.39,22.89,23.105,8553927.0,0.0,1.0,23.29,23.39,22.89,23.105,8553927.0
