Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,96.37,97.44,95.505,95.63,5049991.0,0.0,1.0,96.37,97.44,95.505,95.63,5049991.0
2015-04-15,97.0,97.55,96.275,96.44,6574817.0,0.0,1.0,97.0,97.55,96.275,96.44,6574817.0
2015-04-14,97.16,97.74,96.97,97.58,4303895.0,0.0,1.0,97.16,97.74,96.97,97.58,4303895.0
2015-04-13,97.41,97.75,97.07,97.44,5131477.0,0.0,1.0,97.41,97.75,97.07,97.44,5131477.0
2015-04-10,96.9,97.95,96.56,97.8,5891771.0,0.0,1.0,96.9,97.95,96.56,97.8,5891771.0
2015-04-09,96.85,97.43,96.21,96.55,4725996.0,0.0,1.0,96.85,97.43,96.21,96.55,4725996.0
2015-04-08,96.73,97.5,95.98,96.85,4420086.0,0.0,1.0,96.73,97.5,95.98,96.85,4420086.0
2015-04-07,96.24,96.79,96.095,96.35,4395971.0,0.0,1.0,96.24,96.79,96.095,96.35,4395971.0
2015-04-06,95.75,96.82,95.45,96.28,4497309.0,0.0,1.0,95.75,96.82,95.45,96.28,4497309.0
2015-04-02,95.96,96.24,94.71,95.83,6519396.0,0.0,1.0,95.96,96.24,94.71,95.83,6519396.0
2015-04-01,96.81,97.02,96.0,96.29,7435317.0,0.0,1.0,96.81,97.02,96.0,96.29,7435317.0
2015-03-31,97.82,98.43,97.44,97.44,5553753.0,0.0,1.0,97.82,98.43,97.44,97.44,5553753.0
2015-03-30,97.43,98.32,97.37,97.88,4040063.0,0.0,1.0,97.43,98.32,97.37,97.88,4040063.0
2015-03-27,97.36,97.8499,96.77,96.96,4606146.0,0.0,1.0,97.36,97.8499,96.77,96.96,4606146.0
2015-03-26,97.6,97.97,96.195,97.64,10425790.0,0.0,1.0,97.6,97.97,96.195,97.64,10425790.0
2015-03-25,99.03,99.61,98.11,98.14,5978554.0,0.0,1.0,99.03,99.61,98.11,98.14,5978554.0
2015-03-24,98.46,99.84,98.07,99.36,7404991.0,0.0,1.0,98.46,99.84,98.07,99.36,7404991.0
2015-03-23,96.8,99.12,96.8,98.62,9204495.0,0.0,1.0,96.8,99.12,96.8,98.62,9204495.0
2015-03-20,96.32,97.72,96.12,97.05,9047008.0,0.0,1.0,96.32,97.72,96.12,97.05,9047008.0
2015-03-19,96.86,97.01,95.98,95.98,3588996.0,0.0,1.0,96.86,97.01,95.98,95.98,3588996.0
2015-03-18,96.01,97.24,95.33,97.0,5781620.0,0.0,1.0,96.01,97.24,95.33,97.0,5781620.0
