Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,49.73,50.37,49.66,50.26,1728657.0,0.0,1.0,49.73,50.37,49.66,50.26,1728657.0
2015-04-15,48.89,50.25,48.72,50.11,1818421.0,0.0,1.0,48.89,50.25,48.72,50.11,1818421.0
2015-04-14,49.31,49.434,48.73,48.8,1876013.0,0.0,1.0,49.31,49.434,48.73,48.8,1876013.0
2015-04-13,50.04,50.15,49.32,49.53,1978449.0,0.0,1.0,50.04,50.15,49.32,49.53,1978449.0
2015-04-10,49.6,50.105,49.34,50.0,1804806.0,0.0,1.0,49.6,50.105,49.34,50.0,1804806.0
2015-04-09,48.71,49.485,48.71,49.4,1363084.0,0.0,1.0,48.71,49.485,48.71,49.4,1363084.0
2015-04-08,48.71,49.04,48.48,48.915,1934845.0,0.0,1.0,48.71,49.04,48.48,48.915,1934845.0
2015-04-07,48.42,49.16,48.23,48.925,1664046.0,0.0,1.0,48.42,49.16,48.23,48.925,1664046.0
2015-04-06,47.87,48.5,47.18,48.32,1551912.0,0.0,1.0,47.87,48.5,47.18,48.32,1551912.0
2015-04-02,48.38,48.75,48.06,48.18,1295631.0,0.0,1.0,48.38,48.75,48.06,48.18,1295631.0
2015-04-01,48.8,48.87,47.86,48.31,2151411.0,0.0,1.0,48.8,48.87,47.86,48.31,2151411.0
2015-03-31,49.65,49.73,48.83,48.9,2921586.0,0.0,1.0,49.65,49.73,48.83,48.9,2921586.0
2015-03-30,49.31,50.17,49.1852,49.89,1798187.0,0.0,1.0,49.31,50.17,49.1852,49.89,1798187.0
2015-03-27,48.1,49.49,47.93,49.205,1696403.0,0.0,1.0,48.1,49.49,47.93,49.205,1696403.0
2015-03-26,47.66,48.47,46.89,48.21,2542811.0,0.0,1.0,47.66,48.47,46.89,48.21,2542811.0
2015-03-25,49.63,49.83,48.05,48.09,2769087.0,0.0,1.0,49.63,49.83,48.05,48.09,2769087.0
2015-03-24,50.44,50.72,49.59,49.62,4155336.0,0.0,1.0,50.44,50.72,49.59,49.62,4155336.0
2015-03-23,51.0,51.22,50.365,50.375,1761269.0,0.0,1.0,51.0,51.22,50.365,50.375,1761269.0
2015-03-20,50.65,51.23,50.34,50.87,4039961.0,0.0,1.0,50.65,51.23,50.34,50.87,4039961.0
2015-03-19,50.14,50.5499,49.76,50.3,2099899.0,0.0,1.0,50.14,50.5499,49.76,50.3,2099899.0
2015-03-18,49.57,50.33,48.79,50.21,2381525.0,0.0,1.0,49.57,50.33,48.79,50.21,2381525.0
2015-03-17,50.28,50.28,49.4,49.73,1914069.0,0.0,1.0,50.28,50.28,49.4,49.73,1914069.0
2015-03-16,49.95,50.53,49.7,50.43,2119411.0,0.0,1.0,49.95,50.53,49.7,50.43,2119411.0
2015-03-13,49.75,49.9,48.7675,49.52,3091716.0,0.0,1.0,49.75,49.9,48.7675,49.52,3091716.0
2015-03-12,48.59,49.77,48.58,49.69,3923932.0,0.0,1.0,48.59,49.77,48.58,49.69,3923932.0
