Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,105.66,105.97,104.9401,105.22,619880.0,0.0,1.0,105.66,105.97,104.9401,105.22,619880.0
2015-04-15,104.83,106.15,104.62,105.69,1015130.0,0.0,1.0,104.83,106.15,104.62,105.69,1015130.0
2015-04-14,105.41,105.49,104.14,104.91,466018.0,0.0,1.0,105.41,105.49,104.14,104.91,466018.0
2015-04-13,105.69,106.17,105.31,105.42,577866.0,0.0,1.0,105.69,106.17,105.31,105.42,577866.0
2015-04-10,105.78,105.99,104.7,105.73,470087.0,0.0,1.0,105.78,105.99,104.7,105.73,470087.0
2015-04-09,105.06,106.11,104.49,105.85,487357.0,0.0,1.0,105.06,106.11,104.49,105.85,487357.0
2015-04-08,104.93,105.84,104.53,105.32,584473.0,0.0,1.0,104.93,105.84,104.53,105.32,584473.0
2015-04-07,105.15,105.48,104.58,104.58,451361.0,0.0,1.0,105.15,105.48,104.58,104.58,451361.0
2015-04-06,103.67,105.48,103.42,104.91,604094.0,0.0,1.0,103.67,105.48,103.42,104.91,604094.0
2015-04-02,104.15,105.705,103.92,104.7,789838.0,0.0,1.0,104.15,105.705,103.92,104.7,789838.0
2015-04-01,102.91,104.65,102.44,104.43,965369.0,0.0,1.0,102.91,104.65,102.44,104.43,965369.0
2015-03-31,103.68,104.42,102.93,103.8,1319108.0,0.0,1.0,103.68,104.42,102.93,103.8,1319108.0
2015-03-30,103.36,104.36,102.83,104.12,774911.0,0.0,1.0,103.36,104.36,102.83,104.12,774911.0
2015-03-27,101.8,102.81,101.7,102.49,853979.0,0.0,1.0,101.8,102.81,101.7,102.49,853979.0
2015-03-26,101.7,102.4,101.155,102.09,1077068.0,0.0,1.0,101.7,102.4,101.155,102.09,1077068.0
2015-03-25,103.17,103.18,101.7,101.7,930197.0,0.0,1.0,103.17,103.18,101.7,101.7,930197.0
2015-03-24,103.19,103.96,103.1,103.29,826379.0,0.0,1.0,103.19,103.96,103.1,103.29,826379.0
2015-03-23,104.05,104.58,103.51,103.52,956248.0,0.0,1.0,104.05,104.58,103.51,103.52,956248.0
