Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,77.78,77.98,76.95,77.02,4183662.0,0.0,1.0,77.78,77.98,76.95,77.02,4183662.0
2015-04-15,78.0,78.285,77.719,77.91,3388671.0,0.0,1.0,78.0,78.285,77.719,77.91,3388671.0
2015-04-14,78.0,78.06,77.44,77.89,3916732.0,0.0,1.0,78.0,78.06,77.44,77.89,3916732.0
2015-04-13,77.6,78.66,77.37,78.08,5715805.0,0.0,1.0,77.6,78.66,77.37,78.08,5715805.0
2015-04-10,77.1,77.96,77.04,77.93,4519697.0,0.0,1.0,77.1,77.96,77.04,77.93,4519697.0
2015-04-09,76.34,77.2,76.0801,77.13,4879258.0,0.0,1.0,76.34,77.2,76.0801,77.13,4879258.0
2015-04-08,77.36,77.45,76.3,76.39,6277355.0,0.0,1.0,77.36,77.45,76.3,76.39,6277355.0
2015-04-07,77.57,77.773,77.15,77.18,3527107.0,0.0,1.0,77.57,77.773,77.15,77.18,3527107.0
2015-04-06,76.31,77.55,76.27,77.36,4370040.0,0.0,1.0,76.31,77.55,76.27,77.36,4370040.0
2015-04-02,76.01,77.12,75.83,76.87,5006932.0,0.0,1.0,76.01,77.12,75.83,76.87,5006932.0
2015-04-01,78.62,78.73,75.965,76.14,7849004.0,0.0,1.0,78.62,78.73,75.965,76.14,7849004.0
2015-03-31,78.49,78.84,77.87,77.99,5750928.0,0.0,1.0,78.49,78.84,77.87,77.99,5750928.0
2015-03-30,77.7,78.45,77.7,78.42,3739071.0,0.0,1.0,77.7,78.45,77.7,78.42,3739071.0
2015-03-27,76.54,77.6,76.5,77.38,4480328.0,0.0,1.0,76.54,77.6,76.5,77.38,4480328.0
2015-03-26,76.94,77.47,76.51,76.61,5590726.0,0.305,1.0,76.94,77.47,76.51,76.61,5590726.0
2015-03-25,78.84,79.5,77.55,77.6,7735244.0,0.0,1.0,78.52736657349,79.184749398687,77.242481960606,77.292283689787,7735244.0
2015-03-24,78.75,79.24,78.68,78.72,5835671.0,0.0,1.0,78.437723460963,78.925780406943,78.368001040109,78.407842423454,5835671.0
2015-03-23,78.0,78.87,77.93,78.67,5628867.0,0.0,1.0,77.69069752324,78.557247610999,77.620975102386,78.358040694273,5628867.0
2015-03-20,78.38,78.4499,77.6976,78.02,8611078.0,0.0,1.0,78.06919066502,78.138813482416,77.38949666515,77.710618214913,8611078.0
2015-03-19,78.27,78.27,77.27,77.66,4783873.0,0.0,1.0,77.95962686082,77.95962686082,76.963592277189,77.352045764805,4783873.0
2015-03-18,76.42,78.2,76.1,77.61,5821432.0,0.0,1.0,76.116962881103,77.889904439966,75.79823181434,77.302244035624,5821432.0
2015-03-17,77.42,77.5,76.412,76.72,4496745.0,0.0,1.0,77.112997464734,77.192680231424,76.108994604433,76.415773256192,4496745.0
2015-03-16,76.89,77.87,76.87,77.67,6439082.0,0.0,1.0,76.585099135409,77.561213027368,76.565178443737,77.362006110642,6439082.0
2015-03-13,76.65,76.68,75.88,76.47,5231485.0,0.0,1.0,76.346050835338,76.375931872847,75.579104205942,76.166764610284,5231485.0
2015-03-12,75.89,76.83,75.8,76.76,3990375.0,0.0,1.0,75.589064551778,76.525337060391,75.499421439251,76.455614639537,3990375.0
2015-03-11,76.0,77.0,75.84,76.05,6954560.0,0.0,1.0,75.698628355977,76.694662939609,75.539262822596,75.748430085159,6954560.0
2015-03-10,76.51,76.66,75.84,75.87,5252717.0,0.0,1.0,76.206605993629,76.356011181174,75.539262822596,75.569143860105,5252717.0
2015-03-09,76.57,77.12,76.19,76.9,6134437.0,0.0,1.0,76.266368068647,76.814187089644,75.887874926867,76.595059481246,6134437.0
2015-03-06,78.0,78.32,76.43,76.48,7052352.0,0.0,1.0,77.69069752324,78.009428590002,76.126923226939,76.17672495612,7052352.0
2015-03-05,78.38,78.96,78.0401,78.5,5780484.0,0.0,1.0,78.06919066502,78.646890723526,77.730638510044,78.188714815056,5780484.0
