Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,50.84,51.26,50.52,51.0,4826930.0,0.0,1.0,50.84,51.26,50.52,51.0,4826930.0
2015-04-15,50.58,51.15,50.58,50.85,5998424.0,0.0,1.0,50.58,51.15,50.58,50.85,5998424.0
2015-04-14,50.49,50.84,50.1,50.45,7195259.0,0.0,1.0,50.49,50.84,50.1,50.45,7195259.0
2015-04-13,50.95,51.42,50.66,51.27,4624519.0,0.0,1.0,50.95,51.42,50.66,51.27,4624519.0
2015-04-10,51.31,51.44,50.79,50.82,4621076.0,0.0,1.0,51.31,51.44,50.79,50.82,4621076.0
2015-04-09,50.94,51.615,50.81,51.45,4649153.0,0.0,1.0,50.94,51.615,50.81,51.45,4649153.0
2015-04-08,51.02,51.335,50.78,51.1,5226785.0,0.0,1.0,51.02,51.335,50.78,51.1,5226785.0
2015-04-07,51.38,51.38,50.78,50.8,3163968.0,0.0,1.0,51.38,51.38,50.78,50.8,3163968.0
2015-04-06,50.48,51.25,50.21,51.17,7026690.0,0.0,1.0,50.48,51.25,50.21,51.17,7026690.0
2015-04-02,50.32,51.2,50.07,51.1,4962049.0,0.0,1.0,50.32,51.2,50.07,51.1,4962049.0
2015-04-01,50.25,50.56,50.05,50.27,4186814.0,0.0,1.0,50.25,50.56,50.05,50.27,4186814.0
2015-03-31,50.57,50.7,50.32,50.55,5379784.0,0.0,1.0,50.57,50.7,50.32,50.55,5379784.0
2015-03-30,50.74,51.28,50.6201,50.93,4573500.0,0.0,1.0,50.74,51.28,50.6201,50.93,4573500.0
2015-03-27,50.39,50.58,50.1,50.27,4618719.0,0.0,1.0,50.39,50.58,50.1,50.27,4618719.0
2015-03-26,50.05,50.91,49.98,50.58,6155211.0,0.0,1.0,50.05,50.91,49.98,50.58,6155211.0
2015-03-25,50.91,51.06,50.29,50.31,4464838.0,0.0,1.0,50.91,51.06,50.29,50.31,4464838.0
2015-03-24,51.29,51.37,50.86,50.89,5861154.0,0.0,1.0,51.29,51.37,50.86,50.89,5861154.0
2015-03-23,51.48,52.15,51.4,51.41,4580602.0,0.0,1.0,51.48,52.15,51.4,51.41,4580602.0
2015-03-20,50.88,51.62,50.55,51.62,9736074.0,0.0,1.0,50.88,51.62,50.55,51.62,9736074.0
2015-03-19,51.49,51.67,50.33,50.61,6688208.0,0.0,1.0,51.49,51.67,50.33,50.61,6688208.0
2015-03-18,51.3,52.22,51.1,51.66,8538271.0,0.0,1.0,51.3,52.22,51.1,51.66,8538271.0
2015-03-17,51.59,51.9,51.32,51.6,4626361.0,0.0,1.0,51.59,51.9,51.32,51.6,4626361.0
2015-03-16,51.71,52.0,51.38,51.92,5875968.0,0.0,1.0,51.71,52.0,51.38,51.92,5875968.0
