Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,77.52,77.7,77.16,77.48,683376.0,0.0,1.0,77.52,77.7,77.16,77.48,683376.0
2015-04-15,78.01,78.69,77.46,77.56,595961.0,0.0,1.0,78.01,78.69,77.46,77.56,595961.0
2015-04-14,77.5,78.1,77.08,77.79,634912.0,0.0,1.0,77.5,78.1,77.08,77.79,634912.0
2015-04-13,77.81,78.19,77.471,77.54,533187.0,0.0,1.0,77.81,78.19,77.471,77.54,533187.0
2015-04-10,77.93,78.33,77.6,77.75,427506.0,0.0,1.0,77.93,78.33,77.6,77.75,427506.0
2015-04-09,77.84,78.14,77.33,77.88,616393.0,0.0,1.0,77.84,78.14,77.33,77.88,616393.0
2015-04-08,77.88,78.17,77.45,77.9,477318.0,0.0,1.0,77.88,78.17,77.45,77.9,477318.0
2015-04-07,78.22,78.7,77.85,77.88,521787.0,0.0,1.0,78.22,78.7,77.85,77.88,521787.0
2015-04-06,76.76,78.45,76.76,78.27,1528255.0,0.0,1.0,76.76,78.45,76.76,78.27,1528255.0
2015-04-02,76.35,77.33,76.35,76.86,843942.0,0.0,1.0,76.35,77.33,76.35,76.86,843942.0
2015-04-01,76.66,76.71,75.71,76.28,964961.0,0.4,1.0,76.66,76.71,75.71,76.28,964961.0
2015-03-31,77.83,78.24,77.11,77.11,995741.0,0.0,1.0,77.424001043297,77.83186228482,76.707756911841,76.707756911841,995741.0
2015-03-30,77.46,78.11,77.03,78.02,918550.0,0.0,1.0,77.05593114241,77.702540427752,76.628174230569,77.61300991132,918550.0
2015-03-27,76.99,77.39,76.67,77.33,841829.0,0.0,1.0,76.588382889932,76.986296296296,76.270052164841,76.926609285342,841829.0
2015-03-26,76.17,77.225,75.92,76.85,1185529.0,0.0,1.0,75.772660406886,76.822157016171,75.523964527908,76.449113197705,1185529.0
2015-03-25,75.86,77.48,75.55,75.99,1837153.0,0.0,1.0,75.464277516954,77.075826812728,75.155894627021,75.593599374022,1837153.0
2015-03-24,75.53,77.79,75.0,75.12,2766666.0,0.0,1.0,75.135998956703,77.38420970266,74.608763693271,74.72813771518,2766666.0
2015-03-23,72.97,73.63,72.88,73.2,1096893.0,0.0,1.0,72.589353155973,73.245910276474,72.499822639541,72.818153364632,1096893.0
2015-03-20,72.52,73.12,72.49,72.88,1049557.0,0.0,1.0,72.141700573813,72.738570683359,72.111857068336,72.499822639541,1049557.0
2015-03-19,72.43,72.66,71.87,72.4,475261.0,0.0,1.0,72.052170057381,72.280970266041,71.495091288472,72.022326551904,475261.0
2015-03-18,71.97,72.91,71.01,72.49,972151.0,0.0,1.0,71.594569640063,72.529666145018,70.639577464789,72.111857068336,972151.0
2015-03-17,72.23,72.46,71.41,72.02,666972.0,0.0,1.0,71.853213354199,72.082013562859,71.037490871153,71.644308815858,666972.0
