Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,165.73,166.65,165.1,165.89,1653291.0,0.0,1.0,165.73,166.65,165.1,165.89,1653291.0
2015-04-15,166.72,167.34,165.86,166.44,1995781.0,0.0,1.0,166.72,167.34,165.86,166.44,1995781.0
2015-04-14,165.32,166.48,164.17,165.99,1906661.0,0.0,1.0,165.32,166.48,164.17,165.99,1906661.0
2015-04-13,166.76,167.3599,165.6,165.84,1828130.0,0.0,1.0,166.76,167.3599,165.6,165.84,1828130.0
2015-04-10,167.5,167.7,166.22,167.07,1498923.0,0.0,1.0,167.5,167.7,166.22,167.07,1498923.0
2015-04-09,166.25,167.18,165.08,166.79,1680131.0,0.0,1.0,166.25,167.18,165.08,166.79,1680131.0
2015-04-08,166.21,167.22,165.21,166.27,1746412.0,0.0,1.0,166.21,167.22,165.21,166.27,1746412.0
2015-04-07,165.4,167.57,165.28,166.21,2476006.0,0.0,1.0,165.4,167.57,165.28,166.21,2476006.0
2015-04-06,161.66,165.99,161.4,165.48,2557993.0,0.0,1.0,161.66,165.99,161.4,165.48,2557993.0
2015-04-02,163.38,163.97,162.12,162.8,1762829.0,0.0,1.0,163.38,163.97,162.12,162.8,1762829.0
2015-04-01,164.29,164.54,161.9,162.52,2138955.0,0.0,1.0,164.29,164.54,161.9,162.52,2138955.0
2015-03-31,165.41,166.0,164.62,164.95,2052775.0,0.0,1.0,165.41,166.0,164.62,164.95,2052775.0
2015-03-30,164.2,166.77,164.2,166.05,1673683.0,0.0,1.0,164.2,166.77,164.2,166.05,1673683.0
2015-03-27,162.36,163.9,162.02,163.5,1721265.0,0.0,1.0,162.36,163.9,162.02,163.5,1721265.0
2015-03-26,162.0,163.37,161.21,162.59,2048789.0,0.0,1.0,162.0,163.37,161.21,162.59,2048789.0
2015-03-25,166.24,166.52,162.66,162.7,2522263.0,0.0,1.0,166.24,166.52,162.66,162.7,2522263.0
