Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,30.59,31.07,30.3497,30.7,6342971.0,0.0,1.0,30.59,31.07,30.3497,30.7,6342971.0
2015-04-15,30.12,30.9,29.67,30.7,10770682.0,0.0,1.0,30.12,30.9,29.67,30.7,10770682.0
2015-04-14,29.15,29.63,29.14,29.4,6369365.0,0.0,1.0,29.15,29.63,29.14,29.4,6369365.0
2015-04-13,29.77,29.795,28.85,28.9,4654761.0,0.0,1.0,29.77,29.795,28.85,28.9,4654761.0
2015-04-10,28.86,29.3,28.53,29.18,7649959.0,0.0,1.0,28.86,29.3,28.53,29.18,7649959.0
2015-04-09,28.11,28.87,28.07,28.77,9531761.0,0.0,1.0,28.11,28.87,28.07,28.77,9531761.0
2015-04-08,28.36,28.54,27.89,27.96,7551154.0,0.0,1.0,28.36,28.54,27.89,27.96,7551154.0
2015-04-07,27.91,28.36,27.78,28.16,6647977.0,0.0,1.0,27.91,28.36,27.78,28.16,6647977.0
2015-04-06,27.4,28.14,27.08,27.9,7560945.0,0.0,1.0,27.4,28.14,27.08,27.9,7560945.0
2015-04-02,26.41,27.28,26.39,27.07,8555386.0,0.0,1.0,26.41,27.28,26.39,27.07,8555386.0
2015-04-01,26.3,26.97,26.23,26.64,6801804.0,0.0,1.0,26.3,26.97,26.23,26.64,6801804.0
2015-03-31,26.04,26.44,25.96,26.11,5682437.0,0.0,1.0,26.04,26.44,25.96,26.11,5682437.0
2015-03-30,26.21,26.5101,25.99,26.43,5343567.0,0.0,1.0,26.21,26.5101,25.99,26.43,5343567.0
2015-03-27,26.17,26.19,25.81,25.9,5142033.0,0.0,1.0,26.17,26.19,25.81,25.9,5142033.0
2015-03-26,26.83,27.17,26.36,26.38,7965091.0,0.0,1.0,26.83,27.17,26.36,26.38,7965091.0
2015-03-25,26.11,26.72,25.92,26.41,6194365.0,0.0,1.0,26.11,26.72,25.92,26.41,6194365.0
2015-03-24,25.85,26.08,25.755,25.9,5921011.0,0.0,1.0,25.85,26.08,25.755,25.9,5921011.0
2015-03-23,26.27,26.52,25.9,25.91,6555557.0,0.0,1.0,26.27,26.52,25.9,25.91,6555557.0
2015-03-20,25.99,26.46,25.9,26.18,12211405.0,0.0,1.0,25.99,26.46,25.9,26.18,12211405.0
2015-03-19,25.75,26.04,25.645,25.69,5952741.0,0.0,1.0,25.75,26.04,25.645,25.69,5952741.0
2015-03-18,25.33,26.51,25.07,26.34,7252320.0,0.0,1.0,25.33,26.51,25.07,26.34,7252320.0
2015-03-17,25.86,25.94,25.4,25.56,5111656.0,0.0,1.0,25.86,25.94,25.4,25.56,5111656.0
2015-03-16,25.55,26.04,25.29,26.01,4999323.0,0.0,1.0,25.55,26.04,25.29,26.01,4999323.0
2015-03-13,25.37,25.81,25.12,25.78,6905594.0,0.0,1.0,25.37,25.81,25.12,25.78,6905594.0
2015-03-12,26.01,26.08,25.57,25.61,6914543.0,0.0,1.0,26.01,26.08,25.57,25.61,6914543.0
2015-03-11,25.98,26.17,25.72,25.79,7315215.0,0.0,1.0,25.98,26.17,25.72,25.79,7315215.0
