Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,61.71,62.1264,61.71,61.86,1927709.0,0.0,1.0,61.71,62.1264,61.71,61.86,1927709.0
2015-04-15,61.96,62.325,61.76,61.82,1271839.0,0.0,1.0,61.96,62.325,61.76,61.82,1271839.0
2015-04-14,62.01,62.14,61.65,61.91,1285858.0,0.0,1.0,62.01,62.14,61.65,61.91,1285858.0
2015-04-13,62.53,62.99,61.895,61.97,1248131.0,0.0,1.0,62.53,62.99,61.895,61.97,1248131.0
2015-04-10,62.25,62.59,62.11,62.53,900273.0,0.0,1.0,62.25,62.59,62.11,62.53,900273.0
2015-04-09,62.27,62.44,61.795,62.32,922650.0,0.0,1.0,62.27,62.44,61.795,62.32,922650.0
2015-04-08,61.9,62.46,61.495,62.42,1485819.0,0.0,1.0,61.9,62.46,61.495,62.42,1485819.0
2015-04-07,61.48,62.39,61.28,61.99,1353775.0,0.0,1.0,61.48,62.39,61.28,61.99,1353775.0
2015-04-06,62.09,62.24,61.46,61.48,3404601.0,0.0,1.0,62.09,62.24,61.46,61.48,3404601.0
2015-04-02,66.67,67.46,61.15,62.51,8060637.0,0.0,1.0,66.67,67.46,61.15,62.51,8060637.0
2015-04-01,66.66,66.75,66.07,66.67,1107828.0,0.0,1.0,66.66,66.75,66.07,66.67,1107828.0
2015-03-31,66.25,66.9,66.14,66.67,1720124.0,0.0,1.0,66.25,66.9,66.14,66.67,1720124.0
2015-03-30,65.85,66.46,65.72,66.39,964908.0,0.0,1.0,65.85,66.46,65.72,66.39,964908.0
2015-03-27,65.39,65.63,64.58,65.38,1206427.0,0.0,1.0,65.39,65.63,64.58,65.38,1206427.0
2015-03-26,64.93,65.56,64.53,65.42,955161.0,0.0,1.0,64.93,65.56,64.53,65.42,955161.0
2015-03-25,66.21,66.22,65.25,65.35,1202454.0,0.0,1.0,66.21,66.22,65.25,65.35,1202454.0
2015-03-24,66.61,66.88,66.22,66.23,841065.0,0.0,1.0,66.61,66.88,66.22,66.23,841065.0
2015-03-23,66.76,67.0,66.52,66.52,904149.0,0.0,1.0,66.76,67.0,66.52,66.52,904149.0
2015-03-20,66.54,67.29,66.45,66.83,2613227.0,0.0,1.0,66.54,67.29,66.45,66.83,2613227.0
2015-03-19,66.45,67.01,66.05,66.34,1381649.0,0.0,1.0,66.45,67.01,66.05,66.34,1381649.0
2015-03-18,65.08,67.07,65.07,66.65,1432208.0,0.0,1.0,65.08,67.07,65.07,66.65,1432208.0
2015-03-17,65.45,65.52,64.9,65.32,1226670.0,0.0,1.0,65.45,65.52,64.9,65.32,1226670.0
2015-03-16,64.96,66.0,64.89,65.86,1021715.0,0.0,1.0,64.96,66.0,64.89,65.86,1021715.0
2015-03-13,65.01,65.38,64.18,64.8,1555880.0,0.0,1.0,65.01,65.38,64.18,64.8,1555880.0
2015-03-12,64.715,65.34,64.67,64.96,1648944.0,0.0,1.0,64.715,65.34,64.67,64.96,1648944.0
2015-03-11,65.33,65.8,65.21,65.31,1330902.0,0.0,1.0,65.33,65.8,65.21,65.31,1330902.0
2015-03-10,66.24,66.35,65.02,65.33,1971415.0,0.0,1.0,66.24,66.35,65.02,65.33,1971415.0
2015-03-09,66.82,67.06,66.45,66.57,1295752.0,0.0,1.0,66.82,67.06,66.45,66.57,1295752.0
2015-03-06,67.57,67.8,66.65,66.82,1313497.0,0.0,1.0,67.57,67.8,66.65,66.82,1313497.0
2015-03-05,67.91,68.135,67.72,67.93,1053188.0,0.0,1.0,67.91,68.135,67.72,67.93,1053188.0
2015-03-04,67.79,67.91,66.97,67.64,1351368.0,0.0,1.0,67.79,67.91,66.97,67.64,1351368.0
2015-03-03,68.66,69.0,68.1,68.14,1197556.0,0.0,1.0,68.66,69.0,68.1,68.14,1197556.0
2015-03-02,68.0,69.155,68.0,68.89,1490886.0,0.0,1.0,68.0,69.155,68.0,68.89,1490886.0
2015-02-27,68.29,68.5,67.61,67.94,5007195.0,0.0,1.0,68.29,68.5,67.61,67.94,5007195.0
2015-02-26,68.11,68.57,67.75,68.47,1555504.0,0.0,1.0,68.11,68.57,67.75,68.47,1555504.0
2015-02-25,68.48,68.48,67.93,68.02,1416129.0,0.0,1.0,68.48,68.48,67.93,68.02,1416129.0
2015-02-24,68.54,68.8,68.21,68.53,1138324.0,0.0,1.0,68.54,68.8,68.21,68.53,1138324.0
2015-02-23,69.72,69.85,68.48,68.63,1415051.0,0.0,1.0,69.72,69.85,68.48,68.63,1415051.0
2015-02-20,68.95,69.87,68.79,69.83,2349809.0,0.0,1.0,68.95,69.87,68.79,69.83,2349809.0
2015-02-19,69.22,69.66,68.95,69.03,1893641.0,0.0,1.0,69.22,69.66,68.95,69.03,1893641.0
2015-02-18,69.5,69.78,69.0046,69.12,1585129.0,0.0,1.0,69.5,69.78,69.0046,69.12,1585129.0
2015-02-17,69.78,70.15,69.3,69.79,1879938.0,0.0,1.0,69.78,70.15,69.3,69.79,1879938.0
2015-02-13,69.98,70.06,69.56,69.91,2292254.0,0.0,1.0,69.98,70.06,69.56,69.91,2292254.0
2015-02-12,68.875,70.02,68.87,70.0,2193792.0,0.0,1.0,68.875,70.02,68.87,70.0,2193792.0
2015-02-11,68.2,68.78,68.18,68.57,1588961.0,0.0,1.0,68.2,68.78,68.18,68.57,1588961.0
