Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,50.27,50.49,49.86,50.03,2224445.0,0.0,1.0,50.27,50.49,49.86,50.03,2224445.0
2015-04-15,49.84,50.79,49.75,50.56,3403690.0,0.0,1.0,49.84,50.79,49.75,50.56,3403690.0
2015-04-14,49.29,49.62,48.99,49.42,2498883.0,0.0,1.0,49.29,49.62,48.99,49.42,2498883.0
2015-04-13,49.67,49.85,48.78,48.94,1158423.0,0.0,1.0,49.67,49.85,48.78,48.94,1158423.0
2015-04-10,49.71,49.94,49.23,49.38,1205434.0,0.0,1.0,49.71,49.94,49.23,49.38,1205434.0
2015-04-09,49.27,49.84,49.15,49.61,2616976.0,0.0,1.0,49.27,49.84,49.15,49.61,2616976.0
2015-04-08,50.66,51.09,48.83,49.03,2087349.0,0.0,1.0,50.66,51.09,48.83,49.03,2087349.0
2015-04-07,50.11,50.88,49.915,50.42,1798361.0,0.0,1.0,50.11,50.88,49.915,50.42,1798361.0
2015-04-06,48.86,50.41,48.5,50.07,2338113.0,0.0,1.0,48.86,50.41,48.5,50.07,2338113.0
2015-04-02,47.38,48.57,47.38,48.39,1651290.0,0.0,1.0,47.38,48.57,47.38,48.39,1651290.0
2015-04-01,46.88,48.1899,46.88,47.64,1732611.0,0.0,1.0,46.88,48.1899,46.88,47.64,1732611.0
2015-03-31,47.06,47.45,46.6,46.6,1719522.0,0.0,1.0,47.06,47.45,46.6,46.6,1719522.0
2015-03-30,47.59,47.82,46.87,47.67,1464490.0,0.0,1.0,47.59,47.82,46.87,47.67,1464490.0
2015-03-27,46.95,47.1,46.44,46.86,1318935.0,0.0,1.0,46.95,47.1,46.44,46.86,1318935.0
2015-03-26,47.84,48.23,47.16,47.35,1279257.0,0.0,1.0,47.84,48.23,47.16,47.35,1279257.0
2015-03-25,46.31,47.425,46.03,47.07,1576666.0,0.0,1.0,46.31,47.425,46.03,47.07,1576666.0
2015-03-24,46.0,46.62,45.6,45.95,2329153.0,0.0,1.0,46.0,46.62,45.6,45.95,2329153.0
2015-03-23,47.82,48.14,47.02,47.02,1552678.0,0.0,1.0,47.82,48.14,47.02,47.02,1552678.0
