Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,53.06,53.43,52.53,52.59,3603829.0,0.0,1.0,53.06,53.43,52.53,52.59,3603829.0
2015-04-15,52.16,53.675,51.79,53.47,3489789.0,0.0,1.0,52.16,53.675,51.79,53.47,3489789.0
2015-04-14,51.01,51.74,50.83,51.73,2726927.0,0.0,1.0,51.01,51.74,50.83,51.73,2726927.0
2015-04-13,51.37,51.61,50.34,50.57,1879202.0,0.0,1.0,51.37,51.61,50.34,50.57,1879202.0
2015-04-10,51.06,51.29,50.7,50.92,1559071.0,0.0,1.0,51.06,51.29,50.7,50.92,1559071.0
2015-04-09,50.21,50.98,49.88,50.92,3053832.0,0.0,1.0,50.21,50.98,49.88,50.92,3053832.0
2015-04-08,50.65,51.05,49.86,49.93,2424336.0,0.0,1.0,50.65,51.05,49.86,49.93,2424336.0
2015-04-07,50.66,51.42,50.135,50.3,2790450.0,0.0,1.0,50.66,51.42,50.135,50.3,2790450.0
2015-04-06,50.52,50.93,49.88,50.65,2591956.0,0.0,1.0,50.52,50.93,49.88,50.65,2591956.0
2015-04-02,48.51,49.99,48.24,49.92,3079568.0,0.0,1.0,48.51,49.99,48.24,49.92,3079568.0
2015-04-01,49.27,49.86,48.77,48.87,3235705.0,0.0,1.0,49.27,49.86,48.77,48.87,3235705.0
2015-03-31,48.26,49.72,48.23,48.9,4020077.0,0.0,1.0,48.26,49.72,48.23,48.9,4020077.0
2015-03-30,48.51,49.16,47.7201,49.05,3233661.0,0.0,1.0,48.51,49.16,47.7201,49.05,3233661.0
2015-03-27,47.47,48.615,47.2,48.0,3361094.0,0.0,1.0,47.47,48.615,47.2,48.0,3361094.0
2015-03-26,47.78,48.15,46.92,47.94,3267058.0,0.0,1.0,47.78,48.15,46.92,47.94,3267058.0
2015-03-25,46.32,47.2,45.47,46.77,3896062.0,0.0,1.0,46.32,47.2,45.47,46.77,3896062.0
2015-03-24,46.56,46.64,45.58,45.89,3486811.0,0.0,1.0,46.56,46.64,45.58,45.89,3486811.0
2015-03-23,48.02,48.48,46.38,46.4,3236338.0,0.0,1.0,48.02,48.48,46.38,46.4,3236338.0
2015-03-20,48.0,48.82,47.64,47.84,4885219.0,0.0,1.0,48.0,48.82,47.64,47.84,4885219.0
2015-03-19,47.1,47.9,46.81,47.58,3157636.0,0.0,1.0,47.1,47.9,46.81,47.58,3157636.0
2015-03-18,45.25,48.7,45.17,48.12,5029119.0,0.0,1.0,45.25,48.7,45.17,48.12,5029119.0
2015-03-17,45.32,46.07,44.91,45.61,3558645.0,0.0,1.0,45.32,46.07,44.91,45.61,3558645.0
2015-03-16,43.66,45.65,43.62,45.61,4131619.0,0.0,1.0,43.66,45.65,43.62,45.61,4131619.0
2015-03-13,43.69,44.27,43.31,44.03,3535217.0,0.0,1.0,43.69,44.27,43.31,44.03,3535217.0
2015-03-12,44.73,44.8,44.13,44.25,2300055.0,0.0,1.0,44.73,44.8,44.13,44.25,2300055.0
2015-03-11,44.3,44.69,43.965,44.38,3101906.0,0.0,1.0,44.3,44.69,43.965,44.38,3101906.0
2015-03-10,44.33,45.33,44.27,44.27,2520793.0,0.0,1.0,44.33,45.33,44.27,44.27,2520793.0
2015-03-09,45.39,45.9,45.0,45.02,3258694.0,0.0,1.0,45.39,45.9,45.0,45.02,3258694.0
2015-03-06,45.45,46.58,45.19,45.39,5692576.0,0.0,1.0,45.45,46.58,45.19,45.39,5692576.0
2015-03-05,46.97,47.5,46.01,46.07,5837891.0,0.0,1.0,46.97,47.5,46.01,46.07,5837891.0
2015-03-04,47.06,47.45,46.11,47.21,4021817.0,0.0,1.0,47.06,47.45,46.11,47.21,4021817.0
2015-03-03,46.78,47.58,46.43,46.98,4291010.0,0.0,1.0,46.78,47.58,46.43,46.98,4291010.0
2015-03-02,47.07,47.22,46.18,46.41,6016025.0,0.0,1.0,47.07,47.22,46.18,46.41,6016025.0
2015-02-27,47.85,48.15,46.75,47.23,6800558.0,0.0,1.0,47.85,48.15,46.75,47.23,6800558.0
2015-02-26,47.47,48.17,47.03,47.32,19819690.0,0.0,1.0,47.47,48.17,47.03,47.32,19819690.0
2015-02-25,49.35,50.04,49.168,49.81,2201236.0,0.0,1.0,49.35,50.04,49.168,49.81,2201236.0
2015-02-24,49.14,49.71,48.5,49.67,2632894.0,0.0,1.0,49.14,49.71,48.5,49.67,2632894.0
2015-02-23,48.46,49.27,48.12,48.5,2338194.0,0.0,1.0,48.46,49.27,48.12,48.5,2338194.0
2015-02-20,49.63,50.14,48.58,49.08,2939007.0,0.0,1.0,49.63,50.14,48.58,49.08,2939007.0
2015-02-19,48.57,49.77,47.34,49.7,5125321.0,0.0,1.0,48.57,49.77,47.34,49.7,5125321.0
2015-02-18,50.16,51.77,49.9,50.69,4636124.0,0.0,1.0,50.16,51.77,49.9,50.69,4636124.0
2015-02-17,50.4,51.3,50.05,50.81,3025344.0,0.0,1.0,50.4,51.3,50.05,50.81,3025344.0
2015-02-13,49.68,50.88,49.53,50.79,3152140.0,0.0,1.0,49.68,50.88,49.53,50.79,3152140.0
2015-02-12,48.95,49.47,48.33,48.85,2392704.0,0.0,1.0,48.95,49.47,48.33,48.85,2392704.0
2015-02-11,47.0,48.4328,46.61,47.94,3099487.0,0.0,1.0,47.0,48.4328,46.61,47.94,3099487.0
2015-02-10,47.03,48.0,45.77,47.88,3316618.0,0.0,1.0,47.03,48.0,45.77,47.88,3316618.0
2015-02-09,48.09,48.58,46.865,46.98,3228253.0,0.0,1.0,48.09,48.58,46.865,46.98,3228253.0
2015-02-06,49.12,49.2,46.83,47.72,3898990.0,0.0,1.0,49.12,49.2,46.83,47.72,3898990.0
2015-02-05,48.45,49.1,47.991,48.49,2973433.0,0.0,1.0,48.45,49.1,47.991,48.49,2973433.0
2015-02-04,49.19,49.2508,47.63,47.89,4475803.0,0.0,1.0,49.19,49.2508,47.63,47.89,4475803.0
2015-02-03,50.82,52.417,49.661,50.21,5782831.0,0.0,1.0,50.82,52.417,49.661,50.21,5782831.0
2015-02-02,48.75,49.76,48.34,49.73,3683381.0,0.0,1.0,48.75,49.76,48.34,49.73,3683381.0
2015-01-30,46.92,48.14,46.26,47.74,3952019.0,0.0,1.0,46.92,48.14,46.26,47.74,3952019.0
2015-01-29,46.53,47.58,45.09,47.51,3643194.0,0.0,1.0,46.53,47.58,45.09,47.51,3643194.0
2015-01-28,47.05,47.3,45.5,46.06,4140635.0,0.0,1.0,47.05,47.3,45.5,46.06,4140635.0
2015-01-26,46.42,47.57,45.68,47.52,3087762.0,0.0,1.0,46.42,47.57,45.68,47.52,3087762.0
2015-01-23,46.29,46.99,46.04,46.27,2820480.0,0.0,1.0,46.29,46.99,46.04,46.27,2820480.0
2015-01-22,47.15,47.36,45.8,46.74,2552628.0,0.0,1.0,47.15,47.36,45.8,46.74,2552628.0
2015-01-21,46.36,47.44,46.3,46.93,3183545.0,0.0,1.0,46.36,47.44,46.3,46.93,3183545.0
2015-01-20,44.91,46.05,44.16,45.91,4092139.0,0.0,1.0,44.91,46.05,44.16,45.91,4092139.0
2015-01-15,43.78,44.22,42.95,42.98,4058387.0,0.0,1.0,43.78,44.22,42.95,42.98,4058387.0
2015-01-14,42.04,42.96,41.39,42.85,3644630.0,0.0,1.0,42.04,42.96,41.39,42.85,3644630.0
2015-01-13,41.78,42.82,41.32,42.54,5020491.0,0.0,1.0,41.78,42.82,41.32,42.54,5020491.0
2015-01-12,42.49,42.82,41.01,41.52,3502238.0,0.0,1.0,42.49,42.82,41.01,41.52,3502238.0
2015-01-08,42.14,43.42,41.56,43.18,3824184.0,0.0,1.0,42.14,43.42,41.56,43.18,3824184.0
2015-01-06,42.37,42.88,41.31,41.9,3824207.0,0.0,1.0,42.37,42.88,41.31,41.9,3824207.0
2015-01-05,46.16,46.21,42.19,42.39,7038549.0,0.0,1.0,46.16,46.21,42.19,42.39,7038549.0
2015-01-02,47.02,47.6,45.96,46.88,2961094.0,0.0,1.0,47.02,47.6,45.96,46.88,2961094.0
2014-12-31,46.88,48.0,46.29,47.43,2439546.0,0.0,1.0,46.88,48.0,46.29,47.43,2439546.0
2014-12-30,47.55,48.02,47.0,47.33,2459683.0,0.0,1.0,47.55,48.02,47.0,47.33,2459683.0
2014-12-26,48.61,49.05,46.92,47.22,2918946.0,0.0,1.0,48.61,49.05,46.92,47.22,2918946.0
2014-12-24,48.67,48.67,47.54,48.5,2284842.0,0.0,1.0,48.67,48.67,47.54,48.5,2284842.0
2014-12-23,50.86,50.97,48.4301,48.98,6276656.0,0.0,1.0,50.86,50.97,48.4301,48.98,6276656.0
2014-12-22,50.4,51.08,49.68,50.95,3747271.0,0.0,1.0,50.4,51.08,49.68,50.95,3747271.0
2014-12-19,49.86,51.24,49.4122,51.19,5054088.0,0.0,1.0,49.86,51.24,49.4122,51.19,5054088.0
2014-12-18,49.28,49.98,47.68,49.42,5919562.0,0.0,1.0,49.28,49.98,47.68,49.42,5919562.0
2014-12-17,43.86,48.2,43.77,47.94,6716165.0,0.0,1.0,43.86,48.2,43.77,47.94,6716165.0
2014-12-16,42.14,44.94,42.11,43.56,4754117.0,0.0,1.0,42.14,44.94,42.11,43.56,4754117.0
2014-12-15,44.49,44.88,42.92,43.0,3820701.0,0.0,1.0,44.49,44.88,42.92,43.0,3820701.0
2014-12-11,45.38,46.82,45.14,45.39,3030440.0,0.0,1.0,45.38,46.82,45.14,45.39,3030440.0
2014-12-10,47.06,47.06,45.325,45.78,4914842.0,0.0,1.0,47.06,47.06,45.325,45.78,4914842.0
2014-12-09,47.23,48.53,46.92,47.89,5720917.0,0.0,1.0,47.23,48.53,46.92,47.89,5720917.0
2014-12-05,51.09,51.4,50.05,50.59,2928679.0,0.0,1.0,51.09,51.4,50.05,50.59,2928679.0
2014-12-04,51.65,52.21,51.09,51.58,4209576.0,0.0,1.0,51.65,52.21,51.09,51.58,4209576.0
2014-12-02,49.34,50.83,49.14,50.55,4978444.0,0.0,1.0,49.34,50.83,49.14,50.55,4978444.0
