Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-16,49.43,49.885,49.17,49.8,773460.0,0.0,1.0,49.43,49.885,49.17,49.8,773460.0
2015-04-15,49.7,49.93,49.2955,49.51,1002646.0,0.0,1.0,49.7,49.93,49.2955,49.51,1002646.0
2015-04-14,50.22,50.29,49.58,49.705,1226462.0,0.0,1.0,50.22,50.29,49.58,49.705,1226462.0
2015-04-13,50.47,50.67,50.27,50.32,721032.0,0.0,1.0,50.47,50.67,50.27,50.32,721032.0
2015-04-10,50.11,50.59,49.974,50.58,666402.0,0.0,1.0,50.11,50.59,49.974,50.58,666402.0
2015-04-09,49.86,50.155,49.59,50.14,416536.0,0.0,1.0,49.86,50.155,49.59,50.14,416536.0
2015-04-08,49.97,50.395,49.76,49.92,792114.0,0.0,1.0,49.97,50.395,49.76,49.92,792114.0
2015-04-07,50.68,50.88,50.01,50.01,507349.0,0.0,1.0,50.68,50.88,50.01,50.01,507349.0
2015-04-06,49.62,50.625,49.21,50.58,805654.0,0.0,1.0,49.62,50.625,49.21,50.58,805654.0
2015-04-02,50.41,50.57,49.95,50.11,750060.0,0.0,1.0,50.41,50.57,49.95,50.11,750060.0
2015-04-01,50.64,50.93,50.26,50.455,882024.0,0.0,1.0,50.64,50.93,50.26,50.455,882024.0
2015-03-31,50.63,51.01,50.31,50.94,1187363.0,0.0,1.0,50.63,51.01,50.31,50.94,1187363.0
2015-03-30,49.83,50.81,49.775,50.7,614914.0,0.0,1.0,49.83,50.81,49.775,50.7,614914.0
2015-03-27,49.38,49.77,49.19,49.7,721868.0,0.0,1.0,49.38,49.77,49.19,49.7,721868.0
2015-03-26,49.01,49.69,48.91,49.55,990863.0,0.0,1.0,49.01,49.69,48.91,49.55,990863.0
2015-03-25,50.11,50.24,49.07,49.16,2014723.0,0.0,1.0,50.11,50.24,49.07,49.16,2014723.0
2015-03-24,50.21,50.42,49.76,50.17,975345.0,0.0,1.0,50.21,50.42,49.76,50.17,975345.0
2015-03-23,50.4,50.62,50.05,50.33,840150.0,0.0,1.0,50.4,50.62,50.05,50.33,840150.0
2015-03-20,50.61,50.85,50.25,50.44,1229304.0,0.0,1.0,50.61,50.85,50.25,50.44,1229304.0
2015-03-19,49.35,50.61,49.26,50.41,1260435.0,0.0,1.0,49.35,50.61,49.26,50.41,1260435.0
2015-03-18,50.63,50.72,49.2,49.52,1742535.0,0.0,1.0,50.63,50.72,49.2,49.52,1742535.0
